symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
0G,-0.44,33.33,0.674,-0.94,3,3489.03,1.22,"{""손절"": 2, ""동적익절"": 1}"
A8,1.76,83.33,3.826,-1.11,6,7044.03,3.76,"{""동적익절"": 2, ""트레일링스탑"": 3, ""손절"": 1}"
ACE,-1.05,50.0,0.314,-2.23,4,4640.45,4.17,"{""트레일링스탑"": 2, ""손절"": 2}"
ACS,-0.39,0.0,0.0,-0.45,1,1156.78,3.58,"{""백테스트종료"": 1}"
ACX,-0.79,66.67,0.398,-1.87,3,3480.09,10.06,"{""동적익절"": 1, ""트레일링스탑"": 1, ""손절"": 1}"
ADA,-0.24,50.0,0.849,-1.63,6,6994.07,13.15,"{""손절"": 2, ""동적익절"": 3, ""횡보정리"": 1}"
ADP,0.76,50.0,1.331,-2.5,4,4685.72,2.31,"{""동적익절"": 2, ""손절"": 2}"
AERO,-0.65,0.0,0.0,-1.11,2,2316.97,4.71,"{""손절"": 1, ""백테스트종료"": 1}"
AGI,-2.69,0.0,0.0,-2.92,4,4599.3,1.85,"{""손절"": 4}"
AHT,1.68,50.0,6.386,-0.57,2,2375.51,13.0,"{""횡보정리"": 1, ""동적익절"": 1}"
AKT,0.74,60.0,1.296,-2.18,10,11685.26,2.44,"{""트레일링스탑"": 4, ""손절"": 4, ""동적익절"": 2}"
AL,3.65,62.5,2.557,-2.33,8,9424.93,11.36,"{""동적익절"": 3, ""강제청산"": 1, ""손절"": 3, ""트레일링스탑"": 1}"
ALICE,1.15,57.14,1.56,-2.26,7,8195.39,0.83,"{""동적익절"": 3, ""손절"": 3, ""트레일링스탑"": 1}"
ALT,0.7,66.67,1.56,-1.23,6,7017.65,24.88,"{""동적익절"": 3, ""손절"": 2, ""강제청산"": 1}"
AMO,2.29,66.67,4.953,-0.81,3,3557.39,8.22,"{""동적익절"": 2, ""손절"": 1}"
AMP,3.87,50.0,10.416,-0.57,2,2430.26,12.33,"{""횡보정리"": 1, ""동적익절"": 1}"
ANIME,-0.66,42.86,0.742,-2.08,7,8150.02,7.52,"{""손절"": 3, ""동적익절"": 3, ""백테스트종료"": 1}"
ANKR,-2.14,50.0,0.466,-4.6,8,9279.7,3.4,"{""동적익절"": 2, ""트레일링스탑"": 2, ""손절"": 4}"
APE,1.55,100.0,,-0.68,2,2372.3,11.75,"{""동적익절"": 2}"
API3,0.99,37.5,1.227,-2.17,8,9358.24,2.21,"{""손절"": 5, ""트레일링스탑"": 1, ""동적익절"": 2}"
ARKM,2.57,100.0,,-0.99,4,4730.97,2.56,"{""동적익절"": 3, ""트레일링스탑"": 1}"
ATH,-0.26,50.0,0.928,-2.51,12,13993.42,5.09,"{""동적익절"": 5, ""손절"": 6, ""트레일링스탑"": 1}"
AUDIO,1.41,66.67,1.777,-2.88,6,7035.28,0.65,"{""동적익절"": 3, ""손절"": 1, ""트레일링스탑"": 2}"
AVAIL,-0.91,50.0,0.728,-2.94,8,9310.47,1.23,"{""손절"": 4, ""트레일링스탑"": 2, ""동적익절"": 2}"
AVL,0.28,50.0,1.059,-3.23,10,11673.7,9.95,"{""동적익절"": 5, ""손절"": 3, ""강제청산"": 1, ""백테스트종료"": 1}"
AVNT,-0.39,50.0,0.411,-1.04,2,2323.53,2.38,"{""트레일링스탑"": 1, ""손절"": 1}"
AXS,2.26,66.67,4.104,-0.63,6,7056.56,7.51,"{""횡보정리"": 1, ""동적익절"": 4, ""손절"": 1}"
AZIT,1.51,42.86,1.356,-2.41,7,8204.41,3.98,"{""동적익절"": 3, ""손절"": 4}"
B3,-0.06,33.33,0.938,-1.33,3,3498.44,0.78,"{""손절"": 1, ""동적익절"": 1, ""백테스트종료"": 1}"
BARD,-0.21,50.0,0.644,-0.9,2,2328.04,3.04,"{""손절"": 1, ""트레일링스탑"": 1}"
BASED,-0.36,33.33,0.713,-1.2,3,3490.87,2.78,"{""손절"": 2, ""동적익절"": 1}"
BB,0.75,60.0,1.509,-1.2,5,5852.11,4.32,"{""손절"": 2, ""동적익절"": 2, ""트레일링스탑"": 1}"
BEL,1.59,66.67,2.218,-1.39,6,7039.88,2.58,"{""트레일링스탑"": 1, ""동적익절"": 3, ""손절"": 2}"
BERA,0.39,50.0,3.575,-0.94,2,2343.07,16.5,"{""횡보정리"": 1, ""동적익절"": 1}"
BIO,-3.34,33.33,0.456,-4.44,12,13916.35,3.94,"{""동적익절"": 3, ""손절"": 6, ""트레일링스탑"": 2, ""백테스트종료"": 1}"
BIOT,-1.41,0.0,0.0,-1.53,2,2298.01,3.33,"{""손절"": 2}"
BLAST,-1.78,25.0,0.301,-2.51,4,4621.96,9.33,"{""횡보정리"": 1, ""동적익절"": 1, ""손절"": 2}"
BLUR,-4.13,25.0,0.16,-5.05,8,9229.87,2.57,"{""손절"": 6, ""동적익절"": 1, ""트레일링스탑"": 1}"
BLY,4.62,66.67,3.848,-1.58,3,3615.7,0.22,"{""동적익절"": 2, ""손절"": 1}"
BNT,0.25,50.0,2.626,-0.49,2,2339.48,13.67,"{""동적익절"": 1, ""백테스트종료"": 1}"
BOB,2.57,58.33,2.197,-1.63,12,14064.3,3.77,"{""횡보정리"": 1, ""동적익절"": 4, ""트레일링스탑"": 4, ""손절"": 3}"
BOBA,1.22,100.0,,-0.69,4,4697.21,4.42,"{""동적익절"": 2, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
BREV,0.11,50.0,1.164,-1.17,2,2336.16,1.54,"{""동적익절"": 1, ""손절"": 1}"
BSV,0.37,50.0,1.488,-0.85,2,2342.56,1.5,"{""동적익절"": 1, ""손절"": 1}"
BTC,-1.01,14.29,0.136,-1.93,7,8141.24,22.42,"{""횡보정리"": 6, ""백테스트종료"": 1}"
BTR,-1.69,57.14,0.686,-3.98,14,16290.98,2.67,"{""동적익절"": 4, ""트레일링스탑"": 4, ""손절"": 6}"
C,3.01,100.0,,-0.19,2,2408.85,0.29,"{""동적익절"": 2}"
CAMP,0.3,60.0,1.113,-2.91,5,5840.75,1.9,"{""동적익절"": 3, ""손절"": 2}"
CFG,0.13,60.0,1.061,-1.69,10,11669.88,2.43,"{""손절"": 3, ""트레일링스탑"": 6, ""동적익절"": 1}"
CHIP,-0.65,50.0,0.725,-2.35,4,4650.28,1.71,"{""동적익절"": 2, ""손절"": 2}"
CHR,-0.93,33.33,0.639,-2.59,6,6976.72,3.46,"{""손절"": 4, ""동적익절"": 2}"
CKB,-0.28,0.0,0.0,-0.45,1,1159.69,24.33,"{""횡보정리"": 1}"
COMP,0.83,75.0,2.459,-0.89,4,4687.55,3.73,"{""동적익절"": 2, ""트레일링스탑"": 1, ""손절"": 1}"
CORE,4.23,75.0,2.859,-1.37,12,14105.97,1.92,"{""동적익절"": 7, ""손절"": 3, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
COS,1.14,60.0,1.976,-1.46,5,5861.93,3.93,"{""트레일링스탑"": 1, ""손절"": 2, ""동적익절"": 2}"
CPOOL,2.02,100.0,,-0.58,3,3550.51,0.81,"{""동적익절"": 2, ""트레일링스탑"": 1}"
CRTS,1.75,100.0,,-0.55,3,3543.79,8.39,"{""동적익절"": 2, ""트레일링스탑"": 1}"
CSPR,0.57,57.14,1.238,-1.99,7,8180.89,3.79,"{""동적익절"": 3, ""트레일링스탑"": 1, ""손절"": 3}"
CTSI,1.38,57.14,1.457,-2.19,7,8201.34,1.0,"{""동적익절"": 3, ""손절"": 3, ""트레일링스탑"": 1}"
CUDIS,1.27,75.0,1.822,-1.56,4,4698.41,2.06,"{""동적익절"": 2, ""트레일링스탑"": 1, ""손절"": 1}"
CVC,1.68,75.0,3.539,-1.11,4,4708.86,13.33,"{""동적익절"": 3, ""손절"": 1}"
CYS,-2.91,42.86,0.528,-3.87,14,16260.51,1.99,"{""손절"": 8, ""동적익절"": 3, ""트레일링스탑"": 3}"
D,-1.22,50.0,0.821,-3.27,12,13969.49,2.1,"{""손절"": 6, ""동적익절"": 5, ""트레일링스탑"": 1}"
DAO,8.19,54.55,2.696,-2.9,11,13038.7,2.64,"{""손절"": 5, ""동적익절"": 5, ""트레일링스탑"": 1}"
DBR,-2.45,0.0,0.0,-2.78,2,2271.98,10.58,"{""손절"": 2}"
DEEP,1.05,57.14,1.328,-3.38,14,16359.61,3.57,"{""동적익절"": 4, ""손절"": 5, ""트레일링스탑"": 4, ""백테스트종료"": 1}"
DEXE,1.29,66.67,2.07,-1.76,6,7032.44,2.19,"{""동적익절"": 3, ""트레일링스탑"": 1, ""손절"": 2}"
DKA,-0.21,50.0,0.476,-1.25,2,2328.05,0.62,"{""트레일링스탑"": 2}"
DOGE,-0.92,25.0,0.353,-1.49,4,4643.71,11.12,"{""손절"": 2, ""동적익절"": 1, ""횡보정리"": 1}"
DOOD,-1.37,0.0,0.0,-1.51,2,2298.98,4.62,"{""손절"": 2}"
DOT,0.72,100.0,,-0.2,1,1184.79,2.58,"{""동적익절"": 1}"
DRIFT,2.32,100.0,,-0.97,3,3558.27,4.78,"{""동적익절"": 3}"
EDEN,-1.55,50.0,0.416,-2.42,4,4627.92,0.77,"{""트레일링스탑"": 1, ""손절"": 2, ""동적익절"": 1}"
EDGE,-1.56,25.0,0.508,-3.0,4,4627.55,5.12,"{""손절"": 3, ""동적익절"": 1}"
