time,open,close,high,low,volume
2026-02-19 08:00:00,5.191,5.137,5.191,5.11,2372399.40146177
2026-02-19 09:00:00,5.14,5.125,5.154,5.125,371281.98602829
2026-02-19 10:00:00,5.091,5.1,5.109,5.091,1880853.75553174
2026-02-19 11:00:00,5.107,5.068,5.107,5.068,117125.10106205
2026-02-19 12:00:00,5.077,5.097,5.097,5.066,317700.24585144
2026-02-19 13:00:00,5.07,5.007,5.07,4.971,779127.80101787
2026-02-19 14:00:00,5.022,5.119,5.119,5.004,691299.68211862
2026-02-19 15:00:00,5.042,5.049,5.049,5.042,9620.0
2026-02-19 17:00:00,5.003,5.015,5.015,5.003,200681.18163716
2026-02-19 18:00:00,5.019,5.099,5.099,5.019,20812.31963766
2026-02-19 20:00:00,5.1,5.1,5.1,5.1,1960.78431373
2026-02-20 00:00:00,5.127,5.126,5.133,5.11,436563.75824079
2026-02-20 01:00:00,5.102,5.107,5.121,5.102,52828.15768504
2026-02-20 02:00:00,5.134,5.128,5.154,5.12,580659.41956716
2026-02-20 03:00:00,5.106,5.103,5.106,5.099,200855.78029494
2026-02-20 04:00:00,5.112,5.099,5.12,5.075,921184.99545327
2026-02-20 05:00:00,5.113,5.139,5.139,5.084,366315.09184231
2026-02-20 06:00:00,5.13,5.102,5.13,5.102,147928.658745
2026-02-20 07:00:00,5.091,5.095,5.097,5.087,568564.5772042
2026-02-20 08:00:00,5.129,5.144,5.144,5.126,168786.68508441
2026-02-20 09:00:00,5.148,5.149,5.151,5.139,426598.06074001
2026-02-20 10:00:00,5.195,5.158,5.195,5.158,381892.700283
2026-02-20 11:00:00,5.124,5.124,5.126,5.117,320376.62405798
2026-02-20 12:00:00,5.123,5.076,5.124,5.076,974967.265416909
2026-02-20 13:00:00,5.036,5.025,5.036,5.006,27896.07449387
2026-02-20 14:00:00,5.077,5.084,5.084,5.028,21527.5972218
2026-02-20 15:00:00,5.118,5.152,5.18,5.083,2529356.74034164
2026-02-20 16:00:00,5.175,5.168,5.224,5.159,4260754.36553306
2026-02-20 17:00:00,5.192,5.159,5.192,5.153,222723.73899025
2026-02-20 18:00:00,5.177,5.191,5.191,5.177,61299.144667
2026-02-20 19:00:00,5.171,5.141,5.171,5.14,1580613.430358
2026-02-20 20:00:00,5.164,5.166,5.166,5.147,355236.493718
2026-02-20 21:00:00,5.17,5.186,5.186,5.17,96832.589819
2026-02-20 23:00:00,5.186,5.186,5.186,5.186,26802.930968
2026-02-21 00:00:00,5.198,5.288,5.381,5.197,4046187.364749376
2026-02-21 01:00:00,5.253,5.31,5.31,5.253,565596.44454692
2026-02-21 02:00:00,5.31,5.273,5.31,5.273,116874.84426615
2026-02-21 03:00:00,5.267,5.273,5.274,5.246,796007.66243892
2026-02-21 04:00:00,5.251,5.247,5.259,5.235,210678.03350773
2026-02-21 05:00:00,5.263,5.235,5.274,5.23,1663856.74613336
2026-02-21 06:00:00,5.252,5.224,5.282,5.223,1883176.25347122
2026-02-21 07:00:00,5.239,5.236,5.248,5.215,102289.89773788
2026-02-21 08:00:00,5.292,5.293,5.293,5.292,566786.32155678
2026-02-21 09:00:00,5.294,5.289,5.317,5.255,403516.239967252
2026-02-21 10:00:00,5.286,5.289,5.289,5.286,21850.1188
2026-02-21 11:00:00,5.29,5.253,5.29,5.253,403899.54132197
2026-02-21 12:00:00,5.263,5.276,5.276,5.256,201578.95123485
2026-02-21 13:00:00,5.263,5.276,5.276,5.263,17229.720132
2026-02-21 14:00:00,5.307,5.346,5.373,5.307,541892.04517368
2026-02-21 15:00:00,5.331,5.307,5.331,5.303,382035.85115681
2026-02-21 16:00:00,5.296,5.267,5.296,5.265,586526.62626936
2026-02-21 17:00:00,5.254,5.252,5.254,5.252,21792.12635564
2026-02-21 20:00:00,5.227,5.226,5.227,5.226,5743.09533841
2026-02-21 22:00:00,5.225,5.215,5.225,5.215,58397.1347031
2026-02-22 00:00:00,5.207,5.129,5.278,5.128,1250322.06174208
2026-02-22 01:00:00,5.143,5.143,5.143,5.143,28961.96600242
2026-02-22 02:00:00,5.101,5.1,5.119,5.094,964252.22207516
2026-02-22 03:00:00,5.09,5.095,5.095,5.068,354044.76701766
2026-02-22 04:00:00,5.094,5.094,5.094,5.094,3053.29800271
2026-02-22 05:00:00,5.114,5.114,5.114,5.114,977.708251857
2026-02-22 06:00:00,5.096,5.106,5.106,5.082,238471.32932105
2026-02-22 07:00:00,5.096,5.096,5.096,5.096,99791.1146
2026-02-22 08:00:00,5.097,5.097,5.097,5.097,11613.3625121
2026-02-22 09:00:00,5.114,5.115,5.115,5.114,5923.132421
2026-02-22 10:00:00,5.135,5.128,5.135,5.127,286472.59431324
2026-02-22 11:00:00,5.128,5.127,5.128,5.127,8901.74847362
2026-02-22 12:00:00,5.094,5.066,5.094,5.06,548871.04268022
2026-02-22 13:00:00,5.06,5.033,5.06,5.033,1703198.39559204
2026-02-22 14:00:00,5.027,5.0,5.027,4.999,491311.46897952
2026-02-22 15:00:00,4.97,5.0,5.001,4.969,599033.13955023
2026-02-22 16:00:00,5.017,4.979,5.017,4.979,34641.47952607
2026-02-22 17:00:00,4.986,4.979,4.986,4.977,116598.53121646
2026-02-22 18:00:00,4.992,4.99,4.992,4.99,83231.251698
2026-02-22 19:00:00,4.95,4.962,4.962,4.95,6280.439862
2026-02-22 21:00:00,4.96,4.969,4.969,4.925,918134.84064697
2026-02-22 22:00:00,4.971,4.987,4.987,4.969,195957.831
2026-02-22 23:00:00,5.008,5.028,5.028,4.998,401848.46305508
2026-02-23 00:00:00,5.007,4.988,5.015,4.962,162830.573561
2026-02-23 01:00:00,4.925,4.79,4.925,4.757,1915991.41564804
2026-02-23 02:00:00,4.752,4.805,4.805,4.751,781706.35091348
2026-02-23 03:00:00,4.78,4.779,4.78,4.779,24625.56699017
2026-02-23 04:00:00,4.803,4.777,4.808,4.777,129509.27181
2026-02-23 05:00:00,4.796,4.839,4.839,4.796,177759.611656
2026-02-23 06:00:00,4.834,4.884,4.896,4.834,570324.39323776
2026-02-23 07:00:00,4.875,4.875,4.875,4.875,76260.610344
2026-02-23 08:00:00,4.864,4.835,4.864,4.835,203340.840885
2026-02-23 09:00:00,4.84,4.858,4.858,4.833,558137.94850729
2026-02-23 10:00:00,4.896,4.886,4.897,4.881,383907.10871517
2026-02-23 11:00:00,4.892,4.91,4.923,4.892,239556.88898376
2026-02-23 12:00:00,4.91,4.908,4.922,4.901,323146.70467817
2026-02-23 13:00:00,4.904,4.888,4.904,4.888,459691.13189061
2026-02-23 14:00:00,4.877,4.863,4.877,4.845,44135.22884139
2026-02-23 15:00:00,4.818,4.822,4.843,4.812,428501.79913721
2026-02-23 16:00:00,4.799,4.801,4.802,4.799,170275.74956981
2026-02-23 17:00:00,4.798,4.79,4.802,4.786,1317391.15589865
2026-02-23 18:00:00,4.808,4.832,4.869,4.808,389106.79910983
2026-02-23 19:00:00,4.83,4.82,4.83,4.796,407877.662041
2026-02-23 20:00:00,4.82,4.811,4.82,4.811,15352.5796
2026-02-23 21:00:00,4.813,4.833,4.837,4.813,277893.93944
2026-02-23 22:00:00,4.834,4.861,4.861,4.834,198795.0
2026-02-23 23:00:00,4.834,4.828,4.835,4.827,351159.939030175
2026-02-24 00:00:00,4.836,4.822,4.842,4.822,121261.483202
2026-02-24 01:00:00,4.79,4.814,4.839,4.775,438643.3700359
2026-02-24 02:00:00,4.778,4.786,4.786,4.778,447911.0752
2026-02-24 03:00:00,4.767,4.744,4.767,4.744,180036.7665
2026-02-24 04:00:00,4.743,4.712,4.751,4.711,365416.76765544
2026-02-24 05:00:00,4.705,4.656,4.719,4.656,2368101.47476304
2026-02-24 06:00:00,4.656,4.676,4.683,4.656,1489518.67481504
2026-02-24 07:00:00,4.696,4.665,4.699,4.665,471397.77292027
2026-02-24 08:00:00,4.66,4.717,4.717,4.658,272485.0501332
2026-02-24 09:00:00,4.707,4.701,4.707,4.695,217956.2196648
2026-02-24 10:00:00,4.698,4.713,4.713,4.688,94840.84738186
2026-02-24 12:00:00,4.709,4.712,4.715,4.703,216609.41959175
2026-02-24 13:00:00,4.713,4.743,4.745,4.687,500664.55537005
2026-02-24 14:00:00,4.733,4.791,4.791,4.733,1139761.60640008
2026-02-24 15:00:00,4.848,4.852,4.884,4.848,1203939.56648041
2026-02-24 16:00:00,4.879,4.86,4.89,4.86,212760.507766
2026-02-24 17:00:00,4.879,4.865,4.879,4.856,315325.12230385
2026-02-24 18:00:00,4.862,4.862,4.862,4.862,3526.027015
2026-02-24 19:00:00,4.849,4.851,4.854,4.849,66769.909206
2026-02-24 22:00:00,4.839,4.839,4.839,4.839,204453.73443844
2026-02-24 23:00:00,4.806,4.806,4.826,4.799,269636.38981543
2026-02-25 00:00:00,4.811,4.817,4.826,4.806,544356.86789905
2026-02-25 01:00:00,4.84,4.935,4.951,4.84,417639.409577
2026-02-25 02:00:00,4.963,4.928,4.963,4.928,152130.934624913
2026-02-25 03:00:00,4.912,4.878,4.912,4.878,92368.28071329
2026-02-25 04:00:00,4.837,4.893,4.893,4.834,281475.70650149
2026-02-25 05:00:00,4.877,4.864,4.877,4.863,121722.96839397
2026-02-25 06:00:00,4.875,4.88,4.882,4.871,447445.08777955
2026-02-25 07:00:00,4.87,4.911,4.911,4.87,218247.24957906
2026-02-25 08:00:00,4.899,4.915,4.915,4.899,395606.2602196
2026-02-25 09:00:00,4.915,4.94,5.018,4.914,4900161.45063013
2026-02-25 10:00:00,4.929,4.95,4.955,4.928,658383.049751099
2026-02-25 11:00:00,4.949,4.95,4.951,4.949,822209.67654274
2026-02-25 12:00:00,4.975,4.971,5.0,4.943,4762226.645799261
2026-02-25 13:00:00,4.978,5.035,5.059,4.953,403972.49906309
2026-02-25 14:00:00,5.034,5.044,5.091,5.034,352162.639176499
2026-02-25 15:00:00,5.065,5.07,5.08,5.008,1297969.80450493
2026-02-25 16:00:00,5.077,5.168,5.19,5.077,496184.74589627
2026-02-25 17:00:00,5.181,5.154,5.191,5.154,491671.14795749
2026-02-25 19:00:00,5.108,5.106,5.108,5.081,380277.18773667
2026-02-25 20:00:00,5.085,5.085,5.085,5.085,1075.802982
2026-02-25 21:00:00,5.063,5.103,5.126,5.048,413821.34222265
2026-02-25 22:00:00,5.131,5.092,5.167,5.092,563310.38960684
2026-02-25 23:00:00,5.059,4.982,5.059,4.982,82034.83603817
2026-02-26 00:00:00,5.057,5.091,5.125,5.057,361541.75662909
2026-02-26 01:00:00,5.118,4.994,5.118,4.994,387073.511202323
2026-02-26 02:00:00,4.985,4.949,4.985,4.927,76530.2697
