time,open,close,high,low,volume
2026-02-27 07:00:00,34.62,34.69,34.69,34.62,206131.59933472
2026-02-27 08:00:00,34.69,34.65,34.73,34.63,137086.7849357
2026-02-27 09:00:00,34.58,34.67,34.67,34.58,3307.22601328
2026-02-27 10:00:00,34.7,34.62,34.71,34.53,114020.07218611
2026-02-27 11:00:00,34.68,34.89,35.19,34.68,113066.87018212694
2026-02-27 12:00:00,34.9,33.41,34.9,33.41,316352.15213272
2026-02-27 13:00:00,33.57,33.5,33.74,33.4,332005.16084648453
2026-02-27 14:00:00,33.62,33.95,33.97,33.62,111242.67199629
2026-02-27 16:00:00,33.86,33.62,33.86,33.62,22362.9987
2026-02-27 17:00:00,33.62,33.75,33.75,33.38,21841.2647
2026-02-27 18:00:00,33.47,31.21,33.48,31.21,984774.2714040303
2026-02-27 19:00:00,31.18,31.89,31.96,30.78,2208666.185465808
2026-02-27 20:00:00,31.82,30.51,31.86,30.44,766772.45510784
2026-02-27 21:00:00,30.54,31.43,31.98,30.01,1731786.32244114
2026-02-27 22:00:00,31.47,32.37,32.37,31.35,997983.0043820189
2026-02-27 23:00:00,32.23,35.54,39.94,31.46,15111678.689507354
2026-02-28 00:00:00,35.83,43.26,47.25,34.64,42387283.06461661
2026-02-28 01:00:00,43.25,44.5,45.97,40.41,25228794.71045003
2026-02-28 02:00:00,44.5,41.72,44.63,41.33,8065772.702102695
2026-02-28 03:00:00,41.72,46.15,51.0,41.72,33071244.77504653
2026-02-28 04:00:00,46.44,45.62,47.2,44.3,13938149.84922014
2026-02-28 05:00:00,45.62,44.51,48.44,44.0,15490097.572272616
2026-02-28 06:00:00,44.45,42.88,45.42,41.98,12852694.616427595
2026-02-28 07:00:00,43.12,40.57,43.8,39.75,13259132.541384501
2026-02-28 08:00:00,40.57,37.77,40.76,37.07,11377058.109246833
2026-02-28 09:00:00,37.77,38.12,38.58,37.18,7534899.343444051
2026-02-28 10:00:00,38.07,38.16,40.4,37.96,15178689.45468551
2026-02-28 11:00:00,38.16,37.4,38.79,36.98,7073915.350782686
2026-02-28 12:00:00,37.47,38.36,39.31,37.47,8605043.886385903
2026-02-28 13:00:00,38.28,38.49,38.77,37.83,3430597.9324810174
2026-02-28 14:00:00,38.45,38.22,38.9,37.93,3244478.196790294
2026-02-28 15:00:00,38.15,38.38,38.76,37.51,2723375.5134312552
2026-02-28 16:00:00,38.5,38.37,39.04,37.97,2177785.9259246737
2026-02-28 17:00:00,38.3,38.39,39.6,38.3,3024412.008452603
2026-02-28 18:00:00,38.63,39.68,40.27,38.63,2014499.8424667672
2026-02-28 19:00:00,39.68,39.3,39.68,38.7,1646838.7155037583
2026-02-28 20:00:00,39.28,39.76,40.5,39.24,1384149.1912356173
2026-02-28 21:00:00,39.82,39.22,39.97,38.98,1175160.8234611806
2026-02-28 22:00:00,39.5,38.85,39.97,38.85,1340700.10349143
2026-02-28 23:00:00,38.86,39.67,39.75,38.84,1608493.66822106
2026-03-01 00:00:00,39.83,37.0,40.6,37.0,13222363.304246994
2026-03-01 01:00:00,36.95,37.88,38.14,36.5,5097793.220418205
2026-03-01 02:00:00,38.03,38.08,39.16,38.03,3765029.530271487
2026-03-01 03:00:00,38.08,37.18,38.08,37.14,1772947.58994604
2026-03-01 04:00:00,37.23,37.76,37.8,37.04,1587354.989066228
2026-03-01 05:00:00,37.76,37.65,37.98,37.47,1462311.74895859
2026-03-01 06:00:00,37.62,37.61,38.38,37.37,1467984.8629362676
2026-03-01 07:00:00,37.6,38.21,38.59,37.6,4412733.694216615
2026-03-01 08:00:00,38.32,37.79,38.38,37.79,2382320.22048602
2026-03-01 09:00:00,37.84,37.98,38.33,37.79,1797439.82266021
2026-03-01 10:00:00,37.98,37.85,38.11,37.58,582747.47285794
2026-03-01 11:00:00,37.85,38.33,38.49,37.76,437380.02579192
2026-03-01 12:00:00,38.33,38.81,39.64,38.28,2500366.1321366914
2026-03-01 13:00:00,38.73,38.71,39.83,38.51,2615154.308015372
2026-03-01 14:00:00,38.94,40.56,40.87,38.74,2923805.740405751
2026-03-01 15:00:00,40.63,39.73,41.34,39.49,5867832.396072991
2026-03-01 16:00:00,39.6,39.31,40.3,39.14,3039710.29715266
2026-03-01 17:00:00,39.31,38.65,39.47,38.65,225545.89746803
2026-03-01 18:00:00,38.87,38.5,38.98,38.5,77722.17203514
2026-03-01 19:00:00,38.53,37.97,38.53,37.86,337787.48616569
2026-03-01 20:00:00,37.88,37.51,38.16,37.07,821763.0668200912
2026-03-01 21:00:00,37.32,37.65,37.65,37.25,56686.84558001624
