time,open,close,high,low,volume
2026-03-10 14:55:00,82.09,82.15,82.42,81.98,268478.124075701
2026-03-10 15:00:00,82.15,81.99,82.15,81.7,324715.77095381
2026-03-10 15:05:00,82.0,81.53,82.0,81.52,265165.41872518
2026-03-10 15:10:00,81.53,81.6,81.84,81.43,358688.3575083657
2026-03-10 15:15:00,81.59,81.53,81.78,81.43,338537.86388328
2026-03-10 15:20:00,81.66,82.2,82.2,81.66,265186.9505058613
2026-03-10 15:25:00,82.21,82.21,82.27,81.99,213330.43030146
2026-03-10 15:30:00,82.24,81.79,82.24,81.78,106132.92565008
2026-03-10 15:35:00,81.72,81.73,81.75,81.72,120096.41972274
2026-03-10 15:40:00,81.72,81.35,81.72,81.34,353495.87714024
2026-03-10 15:45:00,81.35,81.45,81.49,81.3,79668.60702172
2026-03-10 15:50:00,81.45,81.39,81.58,81.38,8020.976229026075
2026-03-10 15:55:00,81.39,81.76,81.79,81.38,113023.1931706
2026-03-10 16:00:00,81.65,81.38,81.65,81.0,606343.01363485
2026-03-10 16:05:00,81.15,81.13,81.19,80.97,83152.90227473747
2026-03-10 16:10:00,81.2,81.15,81.22,81.15,97864.50181222
2026-03-10 16:15:00,81.11,81.0,81.11,81.0,51480.3392288
2026-03-10 16:20:00,81.05,81.21,81.27,81.05,134586.02349712
2026-03-10 16:25:00,81.21,81.25,81.25,81.2,126903.27773125
2026-03-10 16:30:00,81.09,81.28,81.28,81.09,53790.26097811
2026-03-10 16:35:00,81.28,81.52,81.71,81.28,114334.37727166
2026-03-10 16:40:00,81.42,81.54,81.54,81.42,1601.23482245
2026-03-10 16:45:00,81.42,81.05,81.42,81.05,5311.52795516
2026-03-10 16:50:00,81.06,81.11,81.15,81.06,18557.04867657
2026-03-10 16:55:00,81.11,81.11,81.11,81.11,135583.28273246
2026-03-10 17:00:00,81.11,81.07,81.15,81.03,54061.2605323
2026-03-10 17:05:00,81.27,81.25,81.33,81.25,1865.35592729
2026-03-10 17:10:00,81.09,81.02,81.09,81.02,128077.86809818
2026-03-10 17:15:00,81.02,81.05,81.05,81.02,34473.09254027
2026-03-10 17:20:00,81.02,81.1,81.1,81.02,6477.03238426
2026-03-10 17:25:00,81.24,81.25,81.25,81.24,3076.968
2026-03-10 17:30:00,81.13,81.29,81.29,81.13,31837.178595341335
2026-03-10 17:35:00,81.19,80.98,81.19,80.98,253886.11873045
2026-03-10 17:40:00,81.0,81.41,81.69,81.0,220006.82049509
2026-03-10 17:45:00,81.65,81.64,81.65,81.64,2326.01778303
2026-03-10 17:50:00,81.77,81.41,81.77,81.41,86876.72721343
2026-03-10 17:55:00,81.33,81.3,81.33,81.3,12672.0
2026-03-10 18:00:00,81.53,81.6,81.6,81.53,9568.60564163
2026-03-10 18:05:00,81.53,81.19,81.53,81.19,236228.23630731
2026-03-10 18:10:00,81.19,81.05,81.22,81.05,66110.84793917
2026-03-10 18:15:00,81.05,81.29,81.29,81.0,142105.61047797
2026-03-10 18:20:00,81.32,81.37,81.49,81.32,7050.53768795
2026-03-10 18:25:00,81.51,81.62,81.67,81.51,28048.75492723
2026-03-10 18:30:00,81.62,81.51,81.7,81.51,156062.07579442
2026-03-10 18:35:00,81.41,81.18,81.41,81.18,13793.34820121
2026-03-10 18:40:00,81.31,81.3,81.46,81.29,113956.11018566
2026-03-10 18:45:00,81.44,81.71,81.78,81.42,112512.95933115765
2026-03-10 18:50:00,81.49,81.49,81.49,81.49,10000.0
2026-03-10 18:55:00,81.5,81.37,81.5,81.37,3188.28177466
2026-03-10 19:00:00,81.61,81.78,81.78,81.57,14420.65857395
2026-03-10 19:05:00,81.49,81.47,81.49,81.47,2505.60567473
2026-03-10 19:10:00,81.43,81.37,81.43,81.37,3799.05648314
2026-03-10 19:20:00,81.32,81.22,81.32,81.01,194453.11589958
2026-03-10 19:25:00,81.01,80.94,81.05,80.94,149538.52962077
2026-03-10 19:30:00,80.92,80.85,80.92,80.85,91487.49849941
2026-03-10 19:35:00,80.85,80.88,80.88,80.85,93748.19097182
2026-03-10 19:40:00,80.88,80.7,81.04,80.7,241594.60131806
2026-03-10 19:45:00,80.67,80.48,80.71,80.48,67518.76586646
2026-03-10 19:50:00,80.48,80.53,80.53,80.3,60220.06676776
2026-03-10 20:00:00,80.85,80.74,80.86,80.61,137833.75362633
2026-03-10 20:05:00,80.73,80.73,80.73,80.73,5000.0
2026-03-10 20:10:00,80.74,80.74,80.74,80.74,1623.2716
2026-03-10 20:15:00,80.74,80.61,80.74,80.61,108525.03756706
