time,open,close,high,low,volume
2026-02-17 15:00:00,7.11,7.044,7.111,7.044,184663.52101073
2026-02-17 16:00:00,7.046,7.142,7.142,7.046,56422.49467964
2026-02-17 19:00:00,7.144,7.15,7.15,7.144,55837.52661345797
2026-02-17 21:00:00,7.15,7.15,7.15,7.15,28635.96254119
2026-02-17 22:00:00,7.077,7.052,7.077,7.052,777665.88833209
2026-02-18 00:00:00,7.052,7.052,7.052,7.052,14158.28967861
2026-02-18 02:00:00,7.053,7.156,7.156,7.053,4820.41681709
2026-02-18 03:00:00,7.149,7.15,7.152,7.149,212584.03502866
2026-02-18 04:00:00,7.151,7.109,7.152,7.109,78084.63049734703
2026-02-18 05:00:00,7.112,7.149,7.149,7.112,88058.40891486
2026-02-18 06:00:00,7.126,7.145,7.145,7.126,475458.61477879
2026-02-18 08:00:00,7.145,7.126,7.145,7.126,148432.31481867
2026-02-18 09:00:00,7.128,7.143,7.143,7.126,29557.19479126
2026-02-18 11:00:00,7.143,7.067,7.143,7.067,558764.58264397
2026-02-18 14:00:00,7.13,7.15,7.15,7.13,2001728.96848952
2026-02-18 15:00:00,7.151,7.173,7.568,7.101,20549961.93413296
2026-02-18 16:00:00,7.108,7.121,7.168,7.086,1070849.5370074604
2026-02-18 17:00:00,7.109,7.109,7.109,7.109,1406.46976091
2026-02-18 18:00:00,7.089,7.088,7.089,7.088,43731.77842566
2026-02-18 19:00:00,7.088,7.024,7.088,7.01,1289738.4452901103
2026-02-18 20:00:00,7.141,7.025,7.141,7.025,130899.08250677
2026-02-18 21:00:00,7.025,7.025,7.025,7.025,57454.44348755
2026-02-18 22:00:00,7.115,6.927,7.115,6.91,1412424.8866717238
2026-02-18 23:00:00,7.0,6.914,7.0,6.912,333033.77804914
2026-02-19 00:00:00,6.915,6.84,6.915,6.752,1456900.728265304
2026-02-19 01:00:00,6.834,6.834,6.834,6.834,733.60642876
2026-02-19 02:00:00,6.847,6.835,6.863,6.835,43081.13896579
2026-02-19 03:00:00,6.839,6.851,6.856,6.839,22253.664673656767
2026-02-19 04:00:00,6.851,6.795,6.851,6.741,1270835.57678269
2026-02-19 05:00:00,6.778,6.85,6.85,6.778,611132.6543452
2026-02-19 06:00:00,6.851,6.851,6.851,6.851,72982.04641659
2026-02-19 07:00:00,6.858,6.858,6.858,6.858,293088.36395452
2026-02-19 08:00:00,6.858,6.84,6.858,6.84,198360.31620718
2026-02-19 09:00:00,6.854,6.84,6.854,6.84,50845.01665903
2026-02-19 10:00:00,6.836,6.832,6.836,6.832,58012.19673477
2026-02-19 11:00:00,6.834,6.82,6.853,6.82,202947.22937014
2026-02-19 12:00:00,6.82,6.83,6.83,6.779,205199.57290563
2026-02-19 13:00:00,6.78,6.78,6.78,6.78,6000.0
2026-02-19 14:00:00,6.779,6.779,6.83,6.779,111230.82930411126
2026-02-19 15:00:00,6.836,6.796,6.854,6.74,782938.3157920508
2026-02-19 16:00:00,6.834,6.81,6.834,6.81,38966.90856129
2026-02-19 17:00:00,6.742,6.742,6.743,6.742,38644.78678863
2026-02-19 20:00:00,6.8,6.8,6.8,6.8,1470.5882353
2026-02-19 23:00:00,6.781,6.782,6.782,6.781,2965.59905101
2026-02-20 00:00:00,6.745,6.778,6.778,6.74,137992.53593049
2026-02-20 01:00:00,6.807,6.8,6.807,6.8,214324.25986598
2026-02-20 02:00:00,6.781,6.781,6.781,6.781,17214.0536
2026-02-20 03:00:00,6.796,6.738,6.796,6.737,214349.91439244
2026-02-20 04:00:00,6.794,6.782,6.795,6.738,116836.28011473129
2026-02-20 05:00:00,6.74,6.808,6.808,6.74,296589.65152531
2026-02-20 06:00:00,6.808,6.808,6.808,6.742,32543.2210984
2026-02-20 07:00:00,6.742,6.742,6.808,6.741,12502.92087056
2026-02-20 08:00:00,6.808,6.847,6.854,6.8,268996.1693267
2026-02-20 09:00:00,6.847,6.802,6.847,6.802,3307.087679802636
2026-02-20 11:00:00,6.832,6.745,6.832,6.745,3772.8619039
2026-02-20 12:00:00,6.745,6.746,6.746,6.745,9532.17013324
2026-02-20 13:00:00,6.747,6.746,6.747,6.746,7695.76707635
2026-02-20 14:00:00,6.854,6.854,6.854,6.854,2918.00408522
2026-02-20 15:00:00,6.854,6.854,6.854,6.854,27091.52126977
2026-02-20 16:00:00,6.853,6.753,6.853,6.753,7918.77352392
2026-02-20 18:00:00,6.753,6.753,6.753,6.753,3251.80001441
2026-02-20 20:00:00,6.851,6.851,6.851,6.851,1459.64092834
2026-02-20 21:00:00,6.851,6.851,6.851,6.851,5838.56371336
2026-02-20 22:00:00,6.85,6.85,6.85,6.758,32947.16851454
2026-02-20 23:00:00,6.85,6.851,6.852,6.85,20101.06967121
2026-02-21 00:00:00,6.85,6.85,6.85,6.79,3656.94478093
2026-02-21 01:00:00,6.852,6.853,6.853,6.852,5163.65918215
2026-02-21 02:00:00,6.853,6.9,6.9,6.853,77583.44928488
2026-02-21 03:00:00,6.88,7.021,7.108,6.874,592505.12330619
2026-02-21 04:00:00,7.001,6.95,7.001,6.95,106108.56298452
2026-02-21 05:00:00,6.95,6.902,6.95,6.901,102822.39044037
2026-02-21 06:00:00,6.946,6.979,6.982,6.904,18589.94549015
2026-02-21 07:00:00,6.942,6.949,6.954,6.942,23620.56213054
2026-02-21 08:00:00,6.908,6.938,6.938,6.908,150761.33164609
2026-02-21 09:00:00,6.953,6.947,6.953,6.94,118289.48391311
2026-02-21 11:00:00,6.936,6.936,6.936,6.936,6245.20547945
2026-02-21 12:00:00,6.936,6.974,6.974,6.936,6635.41641021
2026-02-21 13:00:00,6.936,6.974,6.974,6.935,251886.56590453
2026-02-21 14:00:00,6.974,7.05,7.05,6.973,743707.80466405
2026-02-21 15:00:00,7.049,7.316,7.75,7.049,52189251.28633783
2026-02-21 16:00:00,7.316,7.9,8.3,7.301,104965814.07574531
2026-02-21 17:00:00,7.91,7.92,8.395,7.81,34941448.115443744
2026-02-21 18:00:00,7.919,7.897,7.964,7.784,5463560.503658852
2026-02-21 19:00:00,7.817,8.27,8.3,7.761,23999615.334428303
2026-02-21 20:00:00,8.27,8.347,8.455,8.034,13603826.011838015
2026-02-21 21:00:00,8.346,8.182,8.449,8.163,10840838.64852248
2026-02-21 22:00:00,8.182,8.063,8.246,8.054,10789679.31698145
2026-02-21 23:00:00,8.063,7.931,8.114,7.77,19310816.19187878
2026-02-22 00:00:00,7.838,7.642,7.947,7.501,23429783.37575827
2026-02-22 01:00:00,7.641,7.546,7.641,7.41,11738642.652977988
2026-02-22 02:00:00,7.547,7.47,7.668,7.47,12601912.51414549
2026-02-22 03:00:00,7.47,7.558,7.888,7.404,44473058.214127265
2026-02-22 04:00:00,7.577,7.804,8.638,7.501,106232527.34407248
2026-02-22 05:00:00,7.813,8.009,8.45,7.761,83409991.6558317
2026-02-22 06:00:00,7.994,7.88,8.25,7.781,25547163.96916948
2026-02-22 07:00:00,7.84,7.548,8.101,7.544,24943127.713108536
2026-02-22 08:00:00,7.575,7.752,7.8,7.547,5048878.7706566835
2026-02-22 09:00:00,7.732,7.894,8.169,7.624,34000359.84415438
2026-02-22 10:00:00,7.938,7.56,7.939,7.56,11040998.98303094
2026-02-22 11:00:00,7.599,7.749,7.87,7.599,4304270.901450412
2026-02-22 12:00:00,7.712,7.72,7.994,7.601,17195617.01144484
2026-02-22 13:00:00,7.672,7.482,7.914,7.45,21366538.71237864
2026-02-22 14:00:00,7.484,7.467,7.491,7.403,2344906.911775662
2026-02-22 15:00:00,7.441,7.868,8.25,7.401,75889184.73669939
2026-02-22 16:00:00,7.873,7.882,8.15,7.835,12599897.828845754
2026-02-22 17:00:00,7.882,7.947,7.949,7.859,1407022.1966021068
2026-02-22 18:00:00,7.947,7.948,7.949,7.871,141851.77382132545
2026-02-22 19:00:00,7.877,7.874,7.944,7.874,484959.67154933
2026-02-22 20:00:00,7.874,8.2,8.2,7.863,5394709.651570905
2026-02-22 21:00:00,8.199,8.062,8.27,8.059,6528680.697341912
