time,open,close,high,low,volume
2026-02-23 12:00:00,8.583,8.62,8.626,8.58,147425.45229455
2026-02-23 13:00:00,8.616,8.577,8.617,8.56,448256.86793728
2026-02-23 14:00:00,8.55,8.529,8.55,8.505,148908.02876553
2026-02-23 15:00:00,8.5,8.436,8.5,8.436,33416.34708261
2026-02-23 16:00:00,8.424,8.4,8.424,8.4,8139.02149388
2026-02-23 17:00:00,8.385,8.3,8.385,8.3,221106.68879085
2026-02-23 18:00:00,8.416,8.438,8.438,8.416,14547.3666741
2026-02-23 20:00:00,8.308,8.333,8.333,8.308,2261.04546141
2026-02-23 22:00:00,8.435,8.395,8.437,8.395,174212.36180429
2026-02-23 23:00:00,8.396,8.359,8.396,8.33,806516.19214744
2026-02-24 00:00:00,8.373,8.419,8.419,8.346,39109.30976335
2026-02-24 01:00:00,8.366,8.337,8.366,8.204,2434282.81010768
2026-02-24 02:00:00,8.322,8.286,8.326,8.286,1087480.85509706
2026-02-24 03:00:00,8.27,8.223,8.27,8.223,21701.00902907
2026-02-24 04:00:00,8.221,8.231,8.267,8.201,560040.18599743
2026-02-24 05:00:00,8.248,8.181,8.248,8.18,85040.74984587
2026-02-24 06:00:00,8.181,8.197,8.228,8.181,226505.18175276
2026-02-24 07:00:00,8.207,8.295,8.295,8.2,933791.94342451
2026-02-24 08:00:00,8.3,8.293,8.305,8.293,106565.39498287
2026-02-24 09:00:00,8.292,8.338,8.338,8.264,1131238.19875812
2026-02-24 10:00:00,8.323,8.322,8.323,8.322,60829.75994271
2026-02-24 11:00:00,8.316,8.24,8.316,8.24,461087.247168
2026-02-24 12:00:00,8.248,8.298,8.3,8.237,694069.69537068
2026-02-24 13:00:00,8.3,8.309,8.309,8.257,794951.0090022
2026-02-24 14:00:00,8.308,8.419,8.419,8.238,560988.51051173
2026-02-24 15:00:00,8.412,8.407,8.471,8.354,1191412.89574112
2026-02-24 16:00:00,8.463,8.445,8.463,8.387,302574.82306646
2026-02-24 18:00:00,8.42,8.452,8.458,8.42,378366.76216834
2026-02-24 19:00:00,8.394,8.394,8.394,8.394,755741.71713573
2026-02-24 20:00:00,8.394,8.394,8.394,8.394,1191.32713844
2026-02-24 21:00:00,8.332,8.318,8.336,8.318,218317.47168877
2026-02-24 22:00:00,8.336,8.363,8.363,8.336,85929.72699042
2026-02-24 23:00:00,8.329,8.369,8.369,8.317,182532.71680808
2026-02-25 00:00:00,8.32,8.304,8.332,8.304,420698.92044514
2026-02-25 01:00:00,8.545,8.512,8.607,8.484,2210653.92568118
2026-02-25 02:00:00,8.512,8.484,8.549,8.484,586879.30527355
2026-02-25 03:00:00,8.458,8.4,8.458,8.4,676128.31488699
2026-02-25 04:00:00,8.4,8.391,8.4,8.37,164314.90391674
2026-02-25 05:00:00,8.43,8.355,8.43,8.35,365775.92053882
2026-02-25 06:00:00,8.39,8.403,8.442,8.39,148287.79189821
2026-02-25 07:00:00,8.478,8.332,8.478,8.332,576983.15359827
2026-02-25 08:00:00,8.36,8.339,8.392,8.304,1123323.42380015
2026-02-25 09:00:00,8.337,8.407,8.413,8.322,3560661.39331125
2026-02-25 10:00:00,8.381,8.348,8.381,8.348,159365.51021662
2026-02-25 11:00:00,8.33,8.331,8.369,8.32,266931.08750599
2026-02-25 12:00:00,8.348,8.47,8.47,8.34,3356573.81202791
2026-02-25 13:00:00,8.461,8.568,8.619,8.46,985630.74296438
2026-02-25 14:00:00,8.589,8.682,8.7,8.588,1741288.86626923
2026-02-25 15:00:00,8.75,8.871,8.885,8.742,1072177.11209116
2026-02-25 16:00:00,8.893,8.95,9.006,8.881,1718980.17766061
2026-02-25 17:00:00,8.952,8.99,9.009,8.951,493786.04354063
2026-02-25 18:00:00,8.939,9.063,9.063,8.939,6584.84
2026-02-25 19:00:00,9.061,9.007,9.061,8.979,814817.0569006
2026-02-25 20:00:00,9.013,9.016,9.017,8.957,389079.73536631
2026-02-25 21:00:00,9.016,9.041,9.114,8.996,3168129.49779317
2026-02-25 22:00:00,9.077,8.93,9.123,8.927,1634665.73908089
2026-02-25 23:00:00,8.958,8.82,9.0,8.778,1050164.80606459
2026-02-26 00:00:00,8.872,8.774,8.918,8.774,1634796.46878258
2026-02-26 01:00:00,8.823,8.797,8.823,8.786,83025.99649909
2026-02-26 02:00:00,8.763,8.761,8.763,8.694,1236427.26823928
2026-02-26 03:00:00,8.776,8.799,8.799,8.759,830177.82310503
2026-02-26 04:00:00,8.744,8.805,8.815,8.741,457749.18515215
2026-02-26 05:00:00,8.8,8.721,8.8,8.721,282276.79628962
2026-02-26 06:00:00,8.74,8.714,8.742,8.714,476710.39750826
2026-02-26 07:00:00,8.712,8.731,8.731,8.701,267537.23712718
2026-02-26 08:00:00,8.774,8.808,8.818,8.773,877700.20732968
2026-02-26 09:00:00,8.802,8.864,8.881,8.802,1644407.99883338
2026-02-26 10:00:00,8.82,8.691,8.821,8.691,495526.14441107
2026-02-26 11:00:00,8.691,8.617,8.691,8.6,825104.51650602
2026-02-26 12:00:00,8.595,8.614,8.63,8.591,561558.43724047
2026-02-26 13:00:00,8.588,8.587,8.611,8.587,550304.60101092
2026-02-26 14:00:00,8.608,8.635,8.635,8.581,1740625.38050135
2026-02-26 15:00:00,8.641,8.649,8.681,8.615,812843.99596328
2026-02-26 16:00:00,8.664,8.446,8.664,8.446,1200164.45958584
2026-02-26 17:00:00,8.489,8.467,8.545,8.467,418054.28200681
2026-02-26 18:00:00,8.468,8.578,8.578,8.465,767046.52283219
2026-02-26 19:00:00,8.557,8.63,8.657,8.557,1025348.94823988
2026-02-26 20:00:00,8.676,8.637,8.676,8.637,253253.5783861
2026-02-26 21:00:00,8.608,8.581,8.614,8.564,180344.99619649
2026-02-26 22:00:00,8.636,8.636,8.636,8.636,810.5604
2026-02-26 23:00:00,8.635,8.657,8.657,8.635,229196.72909563
2026-02-27 00:00:00,8.642,8.645,8.645,8.596,1057557.83871462
2026-02-27 01:00:00,8.595,8.604,8.623,8.573,320800.4235832
2026-02-27 02:00:00,8.632,8.65,8.657,8.617,169466.22326333
2026-02-27 03:00:00,8.637,8.694,8.694,8.616,326021.54375759
2026-02-27 04:00:00,8.697,8.721,8.761,8.697,62489.18588228
2026-02-27 05:00:00,8.725,8.725,8.743,8.725,125302.58715747
2026-02-27 06:00:00,8.737,8.697,8.737,8.697,40199.46670438
2026-02-27 07:00:00,8.676,8.68,8.695,8.676,72140.58732584
2026-02-27 08:00:00,8.695,8.68,8.695,8.68,231066.02232213
2026-02-27 09:00:00,8.749,8.698,8.749,8.698,148300.0776842
2026-02-27 10:00:00,8.682,8.673,8.696,8.634,811486.04688558
2026-02-27 11:00:00,8.696,8.604,8.697,8.604,85242.00916407
2026-02-27 12:00:00,8.671,8.597,8.671,8.597,936679.17759439
2026-02-27 13:00:00,8.577,8.619,8.619,8.537,190683.34458275
2026-02-27 14:00:00,8.54,8.563,8.563,8.522,445335.0589
2026-02-27 15:00:00,8.539,8.523,8.554,8.521,79176.31785527
2026-02-27 16:00:00,8.5,8.53,8.53,8.473,142492.43105292
2026-02-27 17:00:00,8.451,8.417,8.451,8.417,180743.99773461
2026-02-27 18:00:00,8.481,8.48,8.481,8.48,200000.0
2026-02-27 19:00:00,8.424,8.401,8.424,8.401,22204.50886418
2026-02-27 20:00:00,8.467,8.457,8.469,8.457,449041.9261057
2026-02-27 21:00:00,8.433,8.416,8.433,8.416,718797.5186414
2026-02-27 22:00:00,8.418,8.417,8.418,8.3,212010.73916527
2026-02-27 23:00:00,8.408,8.456,8.457,8.408,121987.15062059
2026-02-28 00:00:00,8.43,8.446,8.46,8.423,192681.79460787
2026-02-28 01:00:00,8.462,8.417,8.462,8.417,184872.20828752
2026-02-28 02:00:00,8.402,8.402,8.402,8.401,183677.8756552
2026-02-28 03:00:00,8.41,8.386,8.41,8.386,295493.10761784
2026-02-28 04:00:00,8.355,8.321,8.355,8.319,264708.7918622
2026-02-28 05:00:00,8.32,8.3,8.32,8.296,413771.73544014
2026-02-28 06:00:00,8.315,8.0,8.315,8.0,6703235.7864823
2026-02-28 07:00:00,8.01,8.12,8.16,7.952,2256613.52466642
2026-02-28 08:00:00,8.12,7.991,8.12,7.991,509133.68218103
2026-02-28 09:00:00,7.992,7.987,8.035,7.939,3403786.24235722
2026-02-28 10:00:00,7.958,8.025,8.042,7.93,2264265.32681602
2026-02-28 11:00:00,8.012,7.985,8.077,7.984,2662203.87940054
2026-02-28 12:00:00,7.985,8.034,8.05,7.969,628925.24298213
2026-02-28 13:00:00,8.047,8.185,8.2,8.019,1660018.15440127
2026-02-28 14:00:00,8.174,8.096,8.174,8.096,105461.50982236
2026-02-28 15:00:00,8.046,8.103,8.114,8.046,545772.58105912
2026-02-28 16:00:00,8.087,8.106,8.106,8.063,141238.2507871
2026-02-28 17:00:00,8.086,8.128,8.128,8.06,337779.897836
2026-02-28 18:00:00,8.13,8.23,8.23,8.126,181000.0
2026-02-28 19:00:00,8.236,8.307,8.323,8.17,2845084.90599744
2026-02-28 20:00:00,8.393,8.381,8.418,8.381,5594.81337784
2026-02-28 21:00:00,8.377,8.399,8.399,8.377,50000.0
2026-02-28 22:00:00,8.35,8.429,8.429,8.343,1278044.56103789
2026-02-28 23:00:00,8.395,8.395,8.395,8.395,13149.0
2026-03-01 00:00:00,8.39,8.338,8.429,8.338,928061.819969
2026-03-01 01:00:00,8.334,8.499,8.556,8.287,1806907.91865287
2026-03-01 02:00:00,8.517,8.574,8.62,8.517,4261882.49242829
2026-03-01 03:00:00,8.547,8.5,8.573,8.5,857618.92218479
2026-03-01 04:00:00,8.5,8.459,8.5,8.408,1795917.69036639
2026-03-01 05:00:00,8.461,8.506,8.508,8.461,340512.53792632
2026-03-01 06:00:00,8.479,8.426,8.479,8.426,266087.62130814
2026-03-01 07:00:00,8.402,8.412,8.412,8.402,181233.170065
2026-03-01 08:00:00,8.412,8.377,8.412,8.376,106881.76653049
2026-03-01 09:00:00,8.3,8.229,8.352,8.229,472819.03130484
2026-03-01 10:00:00,8.254,8.229,8.256,8.229,74099.91419366
2026-03-01 11:00:00,8.268,8.269,8.269,8.268,120000.0
2026-03-01 12:00:00,8.269,8.233,8.301,8.233,736498.52711184
2026-03-01 13:00:00,8.233,8.365,8.369,8.182,1397118.94690972
2026-03-01 14:00:00,8.37,8.299,8.37,8.299,119778.368443
2026-03-01 16:00:00,8.34,8.205,8.34,8.205,228947.92008772
2026-03-01 18:00:00,8.216,8.229,8.229,8.216,18053.73035481
2026-03-01 19:00:00,8.192,8.16,8.192,8.16,112313.58132577
2026-03-01 20:00:00,8.16,8.054,8.16,8.054,216950.00220158
2026-03-01 21:00:00,8.091,8.144,8.145,8.084,1120638.05796893
2026-03-01 22:00:00,8.161,8.181,8.282,8.15,711505.1952343
2026-03-01 23:00:00,8.169,8.222,8.253,8.163,524795.75339263
2026-03-02 00:00:00,8.222,8.319,8.319,8.222,190469.50150234
2026-03-02 01:00:00,8.334,8.33,8.38,8.33,526603.41413832
2026-03-02 02:00:00,8.335,8.328,8.352,8.284,2273998.30576533
2026-03-02 03:00:00,8.32,8.372,8.372,8.32,155632.74265369
2026-03-02 04:00:00,8.36,8.344,8.363,8.32,21466.83532329
2026-03-02 05:00:00,8.344,8.35,8.38,8.338,238112.67117724
2026-03-02 06:00:00,8.3,8.266,8.3,8.249,94141.844466
2026-03-02 07:00:00,8.319,8.271,8.319,8.271,7657.83050489
2026-03-02 08:00:00,8.272,8.347,8.347,8.248,213407.19305339
2026-03-02 09:00:00,8.342,8.356,8.361,8.342,6568.67087689
2026-03-02 10:00:00,8.31,8.3,8.321,8.3,1855970.02561522
2026-03-02 11:00:00,8.298,8.367,8.367,8.297,174604.77029267
2026-03-02 12:00:00,8.347,8.304,8.347,8.304,38305.67485817
2026-03-02 13:00:00,8.31,8.309,8.326,8.28,593218.60538018
2026-03-02 14:00:00,8.294,8.478,8.478,8.278,2433634.13695412
2026-03-02 15:00:00,8.48,8.575,8.633,8.48,496864.39708178
2026-03-02 16:00:00,8.602,8.634,8.7,8.592,1571571.44936945
2026-03-02 17:00:00,8.612,8.57,8.619,8.536,384275.3062706
2026-03-02 18:00:00,8.577,8.528,8.579,8.526,166986.7134422
2026-03-02 19:00:00,8.483,8.507,8.52,8.483,121996.194194
2026-03-02 20:00:00,8.539,8.496,8.539,8.487,4604.33100429
2026-03-02 21:00:00,8.45,8.507,8.508,8.45,1763844.68125252
2026-03-02 22:00:00,8.487,8.509,8.526,8.479,151368.309967
2026-03-02 23:00:00,8.494,8.4,8.494,8.4,423458.41136108
2026-03-03 00:00:00,8.411,8.397,8.411,8.331,777033.38417501
2026-03-03 01:00:00,8.361,8.353,8.361,8.35,965992.66342229
2026-03-03 02:00:00,8.35,8.382,8.382,8.3,636572.39649404
2026-03-03 03:00:00,8.357,8.357,8.357,8.314,233318.69212834
2026-03-03 04:00:00,8.325,8.303,8.332,8.3,177260.30201472
2026-03-03 05:00:00,8.303,8.29,8.357,8.29,459619.51823411
2026-03-03 06:00:00,8.289,8.288,8.29,8.272,151708.4310431
2026-03-03 07:00:00,8.304,8.276,8.304,8.276,26114.77740154
2026-03-03 08:00:00,8.285,8.177,8.299,8.177,214845.12362563
2026-03-03 09:00:00,8.208,8.114,8.234,8.114,681475.56018781
2026-03-03 10:00:00,8.099,8.109,8.126,8.099,247098.7082986
2026-03-03 11:00:00,8.126,8.16,8.16,8.096,184130.88559598
2026-03-03 12:00:00,8.203,8.184,8.233,8.147,1172017.68814334
2026-03-03 13:00:00,8.15,8.127,8.165,8.127,332587.25624012
2026-03-03 14:00:00,8.197,8.196,8.243,8.108,1127378.83014283
2026-03-03 15:00:00,8.168,8.257,8.267,8.144,1960116.69927652
2026-03-03 16:00:00,8.227,8.35,8.361,8.225,1586480.25572876
2026-03-03 17:00:00,8.218,8.253,8.274,8.218,44008.0
2026-03-03 18:00:00,8.289,8.342,8.387,8.289,411090.93192827
2026-03-03 19:00:00,8.295,8.285,8.295,8.274,3975.665613
2026-03-03 21:00:00,8.201,8.206,8.234,8.184,394710.51537057
2026-03-03 22:00:00,8.234,8.234,8.245,8.234,78667.47631967
2026-03-03 23:00:00,8.234,8.19,8.278,8.19,1088313.48008548
2026-03-04 00:00:00,8.19,8.19,8.205,8.161,865057.1741557
2026-03-04 01:00:00,8.219,8.237,8.239,8.219,20270.43918192
2026-03-04 02:00:00,8.223,8.179,8.226,8.175,888179.41986216
2026-03-04 03:00:00,8.17,8.102,8.182,8.055,468004.1024796
2026-03-04 04:00:00,8.094,8.142,8.142,8.09,873782.91894641
2026-03-04 05:00:00,8.09,8.121,8.125,8.064,580419.04861794
2026-03-04 06:00:00,8.064,8.079,8.079,8.05,332452.61111922
2026-03-04 07:00:00,8.05,8.052,8.059,8.05,138434.17130842
2026-03-04 08:00:00,8.133,8.269,8.269,8.109,1787761.94278881
2026-03-04 09:00:00,8.301,8.301,8.352,8.267,778767.74455496
2026-03-04 10:00:00,8.267,8.247,8.268,8.22,106692.52102454
2026-03-04 11:00:00,8.186,8.132,8.186,8.132,917614.87110135
2026-03-04 12:00:00,8.108,8.136,8.136,8.108,132600.78670597
2026-03-04 14:00:00,8.2,8.165,8.303,8.165,1319731.74744464
2026-03-04 15:00:00,8.216,8.325,8.341,8.196,900581.33516386
2026-03-04 16:00:00,8.4,8.396,8.421,8.329,1632102.47285172
2026-03-04 17:00:00,8.409,8.334,8.409,8.334,3750.91768739
2026-03-04 19:00:00,8.419,8.466,8.466,8.415,110694.55841129
2026-03-04 20:00:00,8.43,8.43,8.431,8.424,98596.45488275
2026-03-04 21:00:00,8.369,8.339,8.381,8.339,114161.30207231
2026-03-04 22:00:00,8.382,8.3,8.382,8.3,915091.28917563
2026-03-04 23:00:00,8.285,8.254,8.287,8.209,1629669.27218439
2026-03-05 00:00:00,8.27,8.273,8.288,8.256,643949.46833693
2026-03-05 01:00:00,8.271,8.24,8.314,8.24,796875.00714793
2026-03-05 02:00:00,8.249,8.204,8.249,8.204,105708.783635
2026-03-05 03:00:00,8.254,8.217,8.254,8.217,1316531.72676548
2026-03-05 04:00:00,8.27,8.27,8.27,8.27,1497.89038
2026-03-05 05:00:00,8.271,8.227,8.271,8.227,124876.02813496
2026-03-05 06:00:00,8.224,8.258,8.258,8.224,387915.03904814
2026-03-05 07:00:00,8.281,8.223,8.281,8.223,2175.65062171
2026-03-05 08:00:00,8.253,8.293,8.293,8.223,859028.01507431
2026-03-05 09:00:00,8.294,8.299,8.299,8.294,1294119.66305169
2026-03-05 10:00:00,8.371,8.388,8.388,8.355,17228.9147208
2026-03-05 11:00:00,8.384,8.369,8.384,8.34,624354.95589755
2026-03-05 12:00:00,8.326,8.39,8.39,8.326,219200.14420853
