time,open,close,high,low,volume
2026-03-22 00:30:00,7.775,7.768,7.79,7.768,66079.49231707
2026-03-22 00:35:00,7.791,7.792,7.792,7.791,46401.646974
2026-03-22 00:40:00,7.798,7.787,7.798,7.787,390117.03511054
2026-03-22 00:50:00,7.788,7.788,7.788,7.788,6476.0
2026-03-22 01:00:00,7.852,7.852,7.852,7.852,1221.47223638
2026-03-22 01:15:00,7.852,7.852,7.852,7.788,35704.45804713
2026-03-22 01:40:00,7.785,7.785,7.785,7.785,6476.0
2026-03-22 01:45:00,7.784,7.784,7.784,7.784,12796.0
2026-03-22 01:50:00,7.851,7.784,7.851,7.784,877.83251536
2026-03-22 01:55:00,7.829,7.818,7.829,7.764,209427.55525108
2026-03-22 02:00:00,7.765,7.79,7.79,7.765,2800.0
2026-03-22 02:05:00,7.795,7.786,7.846,7.729,181110.52982469
2026-03-22 02:10:00,7.718,7.799,7.849,7.718,16945.60925598
2026-03-22 02:15:00,7.763,8.056,8.056,7.727,218352.58211558
2026-03-22 02:20:00,7.82,7.846,7.88,7.819,605435.04574203
2026-03-22 02:30:00,7.854,7.877,7.885,7.845,309057.33107157
2026-03-22 02:45:00,7.821,7.824,7.824,7.821,1800.0
2026-03-22 02:50:00,7.832,7.842,7.842,7.832,1800.0
2026-03-22 02:55:00,7.853,7.853,7.853,7.853,700.0
2026-03-22 03:15:00,7.866,7.88,7.88,7.866,2400.0
2026-03-22 03:20:00,7.871,7.894,7.937,7.869,64710.2896
2026-03-22 03:25:00,7.89,7.896,7.896,7.837,1033921.55201929
2026-03-22 03:30:00,7.9,7.931,7.931,7.9,18352.5112918
2026-03-22 03:35:00,7.931,7.936,7.939,7.925,229563.572497
2026-03-22 03:50:00,7.86,7.87,7.87,7.859,71819.606102
2026-03-22 03:55:00,7.864,7.91,7.91,7.826,71625.75785517518
2026-03-22 04:00:00,7.859,7.89,7.89,7.859,160543.22171776
2026-03-22 04:15:00,7.9,7.9,7.9,7.9,29201.6038
2026-03-22 04:20:00,7.879,7.879,7.879,7.879,603.86944611
2026-03-22 04:30:00,7.87,7.87,7.87,7.87,58640.30180183
2026-03-22 04:35:00,7.907,8.045,8.045,7.907,142666.6492562
2026-03-22 05:15:00,8.0,8.0,8.0,8.0,769.89344819
2026-03-22 05:20:00,8.044,8.044,8.044,8.044,6216.0
2026-03-22 05:25:00,7.955,7.961,7.962,7.955,37735.84905663
2026-03-22 05:30:00,7.962,7.965,7.965,7.96,24679.95298277
2026-03-22 06:00:00,8.021,8.021,8.021,8.021,1052.20633935
2026-03-22 06:05:00,7.997,7.986,8.01,7.97,299266.07759285
2026-03-22 06:10:00,8.004,8.004,8.004,8.004,650.0
2026-03-22 06:40:00,8.003,8.006,8.006,8.003,4251.36384557
2026-03-22 06:45:00,8.003,8.003,8.003,8.003,6248.0
2026-03-22 06:50:00,8.003,7.98,8.008,7.98,114399.9177851
2026-03-22 06:55:00,8.001,8.008,8.008,7.988,13157.0
2026-03-22 07:00:00,8.007,8.007,8.007,8.007,30668.24010287
2026-03-22 07:05:00,8.0,8.0,8.0,8.0,6250.0
2026-03-22 07:15:00,7.932,7.932,7.932,7.932,1752.61322088
2026-03-22 07:20:00,7.985,7.984,7.985,7.984,90586.96371129
2026-03-22 07:30:00,8.007,8.01,8.01,8.007,1702059.485174
2026-03-22 07:45:00,8.01,8.01,8.01,8.01,139973.53681962
2026-03-22 07:50:00,7.981,7.999,8.015,7.981,239493.33511993
2026-03-22 07:55:00,7.928,7.924,7.967,7.924,307624.07330244
2026-03-22 08:05:00,7.919,7.919,7.919,7.919,10505.0236354
2026-03-22 08:10:00,7.987,7.987,7.987,7.987,650.0
2026-03-22 08:25:00,7.95,7.935,7.95,7.935,12000.0
2026-03-22 08:40:00,7.979,7.976,7.979,7.976,18806.41925778
2026-03-22 09:00:00,7.951,7.951,7.951,7.951,6495.734391
2026-03-22 09:05:00,7.979,7.979,7.979,7.979,26942.2320874
2026-03-22 09:10:00,7.966,7.966,7.966,7.966,40839.01364851
2026-03-22 09:20:00,7.991,7.992,7.992,7.991,80835.07447597
2026-03-22 09:25:00,7.963,8.004,8.004,7.954,1147707.72296533
2026-03-22 09:55:00,7.958,7.954,7.959,7.954,278659.06887662
2026-03-22 10:00:00,7.955,7.954,7.955,7.954,70230.32853738
2026-03-22 10:05:00,7.956,7.955,7.997,7.955,24687.20402851
2026-03-22 10:10:00,7.954,7.954,7.954,7.954,6248.0
2026-03-22 10:25:00,7.951,7.951,7.951,7.951,182366.12816497
2026-03-22 10:30:00,7.976,7.98,7.98,7.976,375824.34890217
2026-03-22 10:35:00,7.988,7.943,7.988,7.943,166043.11999122
