time,open,close,high,low,volume
2026-03-18 11:55:00,1.761,1.76,1.761,1.76,316662.88007932
2026-03-18 12:00:00,1.76,1.76,1.76,1.76,140000.0
2026-03-18 12:10:00,1.755,1.755,1.755,1.755,30246.0
2026-03-18 12:30:00,1.74,1.747,1.747,1.74,653852.28825473
2026-03-18 12:35:00,1.746,1.746,1.747,1.746,44921.5179
2026-03-18 12:40:00,1.751,1.751,1.751,1.751,432275.3684035
2026-03-18 12:45:00,1.747,1.747,1.747,1.746,371926.0
2026-03-18 12:50:00,1.751,1.752,1.753,1.748,855778.3232861
2026-03-18 13:00:00,1.749,1.737,1.75,1.736,1361773.18020744
2026-03-18 13:15:00,1.755,1.756,1.756,1.755,56973.86924164009
2026-03-18 13:20:00,1.752,1.752,1.752,1.752,5707.762557077625
2026-03-18 13:25:00,1.752,1.752,1.752,1.752,23650.960142922373
2026-03-18 13:35:00,1.762,1.762,1.762,1.762,5675.368898978433
2026-03-18 13:40:00,1.762,1.756,1.762,1.756,69294.353863
2026-03-18 13:50:00,1.753,1.752,1.753,1.752,64771.9082
2026-03-18 14:00:00,1.752,1.753,1.753,1.752,490805.628162
2026-03-18 14:15:00,1.753,1.75,1.753,1.75,346954.0
2026-03-18 14:20:00,1.751,1.75,1.751,1.75,457532.1425
2026-03-18 14:25:00,1.75,1.75,1.75,1.75,237517.0
2026-03-18 15:35:00,1.74,1.74,1.74,1.74,89482.0
2026-03-18 16:15:00,1.739,1.739,1.739,1.739,109309.0
2026-03-18 16:25:00,1.734,1.729,1.734,1.728,194618.963955
2026-03-18 16:50:00,1.732,1.732,1.732,1.732,114326.79047367
2026-03-18 17:10:00,1.728,1.728,1.728,1.728,50739.815416
2026-03-18 17:35:00,1.738,1.744,1.745,1.738,128474.329516
2026-03-18 22:00:00,1.742,1.738,1.742,1.738,306132.41969268
2026-03-18 22:45:00,1.743,1.743,1.743,1.743,5121.2502
2026-03-18 23:15:00,1.735,1.735,1.735,1.735,140000.0
2026-03-18 23:30:00,1.75,1.75,1.75,1.75,5714.28571429
2026-03-18 23:55:00,1.749,1.749,1.749,1.749,20853.3829
2026-03-19 00:10:00,1.744,1.744,1.744,1.744,108425.0
2026-03-19 00:30:00,1.743,1.744,1.744,1.743,662345.25505439
2026-03-19 00:40:00,1.738,1.738,1.738,1.738,2877.44533947
2026-03-19 00:55:00,1.74,1.74,1.74,1.738,126930.69999999
2026-03-19 01:05:00,1.741,1.741,1.741,1.741,178964.0
2026-03-19 01:10:00,1.741,1.747,1.747,1.741,359415.143435
2026-03-19 01:15:00,1.751,1.751,1.751,1.751,97181.0
2026-03-19 01:20:00,1.75,1.753,1.753,1.75,440615.8807280476
2026-03-19 01:40:00,1.751,1.751,1.751,1.751,12774.8475
2026-03-19 01:45:00,1.751,1.752,1.752,1.751,108706.649381
2026-03-19 02:00:00,1.752,1.752,1.752,1.752,166886.72155228
2026-03-19 02:25:00,1.753,1.754,1.756,1.753,471297.78215827
2026-03-19 02:40:00,1.755,1.756,1.756,1.755,500397.007424
2026-03-19 02:55:00,1.764,1.768,1.768,1.76,293931.31028834
2026-03-19 03:05:00,1.768,1.768,1.768,1.768,17113.51968054
2026-03-19 03:15:00,1.764,1.764,1.764,1.764,200000.0
2026-03-19 03:20:00,1.761,1.755,1.761,1.755,3356082.7327419
2026-03-19 03:30:00,1.76,1.76,1.76,1.76,46459.0
2026-03-19 03:35:00,1.762,1.762,1.762,1.762,11350.73779796
2026-03-19 04:00:00,1.763,1.763,1.763,1.763,5672.149744753261
2026-03-19 04:15:00,1.747,1.747,1.747,1.746,111186.080078
2026-03-19 04:25:00,1.744,1.744,1.745,1.744,177015.975157
2026-03-19 04:30:00,1.75,1.75,1.75,1.748,224579.89095
2026-03-19 04:35:00,1.75,1.75,1.751,1.75,455190.83067602
2026-03-19 05:00:00,1.75,1.75,1.75,1.75,50077.0
2026-03-19 05:45:00,1.741,1.741,1.741,1.741,120595.0
2026-03-19 06:00:00,1.745,1.745,1.745,1.745,5730.65902579
2026-03-19 06:05:00,1.74,1.747,1.747,1.74,113120.009314
2026-03-19 06:30:00,1.74,1.74,1.74,1.74,89481.0
2026-03-19 06:50:00,1.742,1.742,1.742,1.742,19656.840367
2026-03-19 06:55:00,1.742,1.736,1.742,1.735,221152.821239
2026-03-19 07:15:00,1.734,1.734,1.734,1.734,13253.2859
2026-03-19 07:20:00,1.732,1.732,1.733,1.729,400882.502999
2026-03-19 07:40:00,1.741,1.736,1.741,1.736,455137.911712
2026-03-19 07:55:00,1.741,1.735,1.741,1.735,499322.22941429
2026-03-19 08:15:00,1.731,1.731,1.731,1.731,10000.0
2026-03-19 08:40:00,1.735,1.735,1.736,1.735,54031.804279
2026-03-19 08:45:00,1.736,1.736,1.736,1.736,145172.85327171
2026-03-19 08:55:00,1.74,1.74,1.74,1.74,50240.0
2026-03-19 09:10:00,1.738,1.735,1.738,1.735,74827.71866151
2026-03-19 09:15:00,1.745,1.745,1.745,1.745,5730.659025787965
2026-03-19 09:20:00,1.735,1.734,1.735,1.734,42914.9824
2026-03-19 09:45:00,1.743,1.744,1.744,1.743,62043.58370622
2026-03-19 10:05:00,1.741,1.74,1.741,1.74,258425.0
2026-03-19 10:10:00,1.74,1.737,1.74,1.737,531604.51177047
2026-03-19 10:15:00,1.739,1.739,1.739,1.739,33756.598591
2026-03-19 10:20:00,1.741,1.741,1.741,1.741,29340.0713
2026-03-19 10:35:00,1.737,1.737,1.737,1.737,5757.052389176742
2026-03-19 10:40:00,1.737,1.746,1.746,1.737,2109302.6431150334
2026-03-19 11:10:00,1.748,1.751,1.751,1.748,190979.607377
2026-03-19 11:15:00,1.751,1.751,1.751,1.751,93198.0
2026-03-19 11:20:00,1.749,1.747,1.749,1.747,160011.40991617
2026-03-19 11:25:00,1.748,1.743,1.748,1.743,16525.6544016
2026-03-19 12:20:00,1.748,1.746,1.748,1.746,74448.0
2026-03-19 12:30:00,1.746,1.746,1.746,1.746,17182.1305842
2026-03-19 13:00:00,1.737,1.732,1.737,1.732,191327.609021
2026-03-19 13:05:00,1.73,1.728,1.73,1.728,142944.73440927
2026-03-19 13:10:00,1.724,1.723,1.724,1.723,178803.2689272
2026-03-19 13:20:00,1.716,1.716,1.716,1.716,22883.2952
2026-03-19 13:25:00,1.711,1.714,1.714,1.71,196455.310995
2026-03-19 13:40:00,1.727,1.727,1.727,1.727,21914.04413
2026-03-19 14:30:00,1.713,1.713,1.713,1.713,31286.240045
2026-03-19 14:35:00,1.714,1.714,1.714,1.714,718967.0
2026-03-19 15:00:00,1.711,1.711,1.711,1.711,84239.59091976
2026-03-19 15:05:00,1.718,1.718,1.718,1.718,46498.1167185
2026-03-19 15:15:00,1.714,1.714,1.714,1.714,25111.704099
2026-03-19 15:35:00,1.71,1.707,1.71,1.707,51878.23458561
2026-03-19 15:40:00,1.707,1.707,1.707,1.707,22701.47549796
2026-03-19 15:45:00,1.705,1.706,1.706,1.705,71228.61333211
2026-03-19 16:30:00,1.71,1.71,1.71,1.71,37480.0
2026-03-19 16:40:00,1.708,1.708,1.708,1.708,5305.848985
2026-03-19 16:55:00,1.703,1.702,1.703,1.694,695411.5411997
2026-03-19 18:10:00,1.702,1.702,1.702,1.702,37055.9763
2026-03-19 19:05:00,1.696,1.696,1.696,1.696,283012.35063215
2026-03-19 20:00:00,1.702,1.703,1.703,1.702,59997.9567
2026-03-19 21:20:00,1.72,1.72,1.72,1.72,10058.57449399
2026-03-19 21:30:00,1.716,1.716,1.716,1.716,10445.282398
2026-03-19 21:45:00,1.717,1.717,1.717,1.716,135737.61222275
2026-03-19 21:50:00,1.717,1.716,1.717,1.716,9611.65121036
2026-03-19 21:55:00,1.717,1.716,1.717,1.716,360986.887
