time,open,close,high,low,volume
2026-02-20 09:00:00,81.36,81.29,81.95,81.29,75620.18180847
2026-02-20 10:00:00,81.75,82.69,83.37,81.62,60933.90668682
2026-02-20 11:00:00,82.05,81.86,82.06,81.86,13769.9782
2026-02-20 12:00:00,81.94,81.36,81.94,81.36,30622.21318733
2026-02-20 13:00:00,80.14,79.21,80.24,79.07,51657.80174023
2026-02-20 14:00:00,79.45,79.66,79.67,79.36,19166.426239
2026-02-20 15:00:00,79.72,79.34,80.48,78.8,129068.70509117
2026-02-20 16:00:00,79.59,80.27,80.27,79.41,54464.08732883947
2026-02-20 17:00:00,80.07,80.71,81.04,80.06,43728.58433981
2026-02-20 18:00:00,81.12,81.21,81.47,80.92,28521.406454
2026-02-20 19:00:00,80.99,80.5,80.99,80.49,40787.76939422
2026-02-20 20:00:00,80.86,80.66,80.86,80.66,1473.2771882
2026-02-20 21:00:00,80.48,80.49,80.49,80.29,3535.1472112
2026-02-20 22:00:00,80.6,80.6,80.6,80.6,10943.5005
2026-02-20 23:00:00,80.4,80.2,80.4,80.19,14990.629986
2026-02-21 00:00:00,80.4,80.46,80.46,80.4,25182.18793636
2026-02-21 01:00:00,80.09,80.15,80.26,80.09,13011.809972949652
2026-02-21 02:00:00,80.58,80.58,80.58,80.58,487.26117
2026-02-21 03:00:00,80.71,80.46,80.71,80.46,4577.201473
2026-02-21 04:00:00,80.29,80.28,80.29,80.28,402.30154191
2026-02-21 05:00:00,80.35,81.07,81.28,80.35,26537.54272469
2026-02-21 06:00:00,81.29,80.71,81.29,80.71,14003.3180644
2026-02-21 07:00:00,80.84,80.84,80.84,80.84,41635.75866483
2026-02-21 08:00:00,81.0,81.05,81.05,80.84,13020.34831
2026-02-21 09:00:00,81.41,82.2,82.2,81.41,32237.49516854
2026-02-21 10:00:00,82.12,81.81,82.12,81.81,1747.59916053
2026-02-21 11:00:00,81.81,81.71,81.81,81.71,20304.37006073
2026-02-21 12:00:00,82.04,81.51,82.05,81.51,16839.46869507
2026-02-21 13:00:00,81.62,81.79,81.95,81.62,42431.07109231
2026-02-21 14:00:00,82.39,81.59,82.62,81.59,62433.77751017
2026-02-21 15:00:00,81.45,81.45,81.45,81.45,48220.87991366
2026-02-21 16:00:00,81.61,81.05,81.61,80.72,77125.97594566
2026-02-21 17:00:00,80.75,79.99,80.75,79.99,34568.82110892
2026-02-21 20:00:00,80.04,79.92,80.21,79.91,51789.46272611
2026-02-21 21:00:00,79.89,79.89,79.89,79.89,2186.9
2026-02-21 22:00:00,80.0,79.85,80.0,79.85,1285.43711415
2026-02-21 23:00:00,79.74,79.74,79.85,79.64,28593.58493934
2026-02-22 00:00:00,79.55,78.65,79.6,78.64,53824.20197933
2026-02-22 01:00:00,78.81,79.12,79.14,78.81,22568.171409
