time,open,close,high,low,volume
2026-02-20 13:00:00,17.99,17.78,17.99,17.65,4396681.23196022
2026-02-20 14:00:00,17.69,17.87,18.04,17.66,1332344.30887412
2026-02-20 15:00:00,17.91,18.05,18.08,17.9,2073883.52844811
2026-02-20 16:00:00,18.07,18.09,18.3,18.05,462008.14909083
2026-02-20 17:00:00,17.95,18.04,18.08,17.86,190064.47218689
2026-02-20 18:00:00,18.08,18.18,18.25,18.07,136907.69408226
2026-02-20 19:00:00,18.22,18.1,18.22,18.05,398326.20218453
2026-02-20 20:00:00,18.09,18.1,18.16,18.08,72143.53845215
2026-02-20 21:00:00,18.18,18.23,18.31,18.17,317777.62946593
2026-02-20 22:00:00,18.31,18.77,19.03,18.25,2615303.90577594
2026-02-20 23:00:00,18.82,18.68,18.82,18.62,412862.2500158
2026-02-21 00:00:00,18.7,18.75,18.88,18.66,571743.88226016
2026-02-21 01:00:00,18.81,18.76,18.83,18.66,668201.99043183
2026-02-21 02:00:00,18.73,18.59,18.76,18.59,399635.77476209
2026-02-21 03:00:00,18.58,18.41,18.58,18.4,1543421.45514297
2026-02-21 04:00:00,18.4,18.5,18.5,18.4,635516.40549294
2026-02-21 05:00:00,18.4,18.39,18.44,18.34,199399.61567035
2026-02-21 06:00:00,18.43,18.84,18.84,18.42,339322.12567315
2026-02-21 07:00:00,18.74,18.71,18.8,18.66,1484999.22319344
2026-02-21 08:00:00,18.91,18.86,18.91,18.79,259575.95344891
2026-02-21 09:00:00,18.87,18.8,18.87,18.74,95141.92763509
2026-02-21 10:00:00,18.77,18.88,18.93,18.77,442490.66646363
2026-02-21 11:00:00,19.02,18.7,19.07,18.7,811095.1978949
2026-02-21 12:00:00,18.66,18.89,19.13,18.48,2359447.97037514
2026-02-21 13:00:00,18.83,18.73,18.83,18.64,552279.67133013
2026-02-21 14:00:00,18.8,18.82,18.87,18.77,196115.34092112
2026-02-21 15:00:00,18.73,18.68,18.75,18.54,633831.71933307
2026-02-21 16:00:00,18.69,18.91,18.97,18.64,624698.07774905
2026-02-21 17:00:00,18.8,18.99,19.01,18.69,110889.41257469
2026-02-21 18:00:00,19.08,19.32,20.73,19.08,21156910.98848694
2026-02-21 19:00:00,19.23,18.68,19.34,18.68,2948511.12711291
2026-02-21 20:00:00,18.87,18.71,18.92,18.66,245549.16911064
2026-02-21 21:00:00,18.71,18.92,18.97,18.64,129166.70778794
2026-02-21 22:00:00,18.9,18.84,18.93,18.74,238737.38070799
2026-02-21 23:00:00,18.76,18.92,19.0,18.76,228861.55036583
2026-02-22 00:00:00,19.07,18.95,19.41,18.82,2394122.51449007
2026-02-22 01:00:00,19.03,18.96,19.26,18.96,589971.646631
2026-02-22 02:00:00,18.99,18.77,19.0,18.67,1592336.08297937
2026-02-22 03:00:00,18.73,18.64,18.73,18.51,548038.29321064
2026-02-22 04:00:00,18.69,19.05,19.26,18.67,1934709.58962965
2026-02-22 05:00:00,19.05,19.31,19.42,18.84,2264866.88890643
2026-02-22 06:00:00,19.24,19.35,19.69,19.23,1665850.80802459
2026-02-22 07:00:00,19.43,19.37,19.58,19.35,808809.36474051
2026-02-22 08:00:00,19.41,19.13,19.41,19.07,886936.12152454
2026-02-22 09:00:00,19.18,18.97,19.18,18.88,407248.38260455
2026-02-22 10:00:00,19.08,19.01,19.09,19.01,70959.22503657
2026-02-22 11:00:00,19.19,18.95,19.25,18.95,329336.38427743
2026-02-22 12:00:00,18.91,18.88,19.01,18.66,805430.2855218
2026-02-22 13:00:00,18.68,18.56,18.8,18.5,685830.82875637
2026-02-22 14:00:00,18.56,18.28,18.56,18.28,949089.60549681
2026-02-22 15:00:00,18.36,18.24,18.4,18.18,603187.78058192
2026-02-22 16:00:00,18.29,18.21,18.31,18.18,313728.19425094
2026-02-22 17:00:00,18.33,18.04,18.33,18.04,251441.82446997
2026-02-22 18:00:00,18.01,17.8,18.01,17.8,169311.32487497
2026-02-22 19:00:00,17.8,17.88,17.9,17.75,96110.66568683
2026-02-22 20:00:00,17.87,17.75,17.87,17.75,264262.5383477
2026-02-22 21:00:00,17.76,17.62,17.76,17.55,525032.23417786
2026-02-22 22:00:00,17.59,17.59,17.59,17.49,246529.07754101
2026-02-22 23:00:00,17.54,17.58,17.62,17.53,101960.31161324
2026-02-23 00:00:00,17.64,17.46,17.64,17.37,834848.68456531
2026-02-23 01:00:00,17.46,17.03,17.46,16.97,1717715.70423249
2026-02-23 02:00:00,17.0,17.28,17.33,17.0,201509.19455279
2026-02-23 03:00:00,17.2,17.19,17.29,17.13,220305.38181912
2026-02-23 04:00:00,17.11,17.07,17.15,17.07,27840.79376942
2026-02-23 05:00:00,17.03,17.28,17.36,17.02,261009.46754701
2026-02-23 06:00:00,17.28,17.52,17.52,17.28,212501.93286822
2026-02-23 07:00:00,17.48,17.56,17.65,17.46,101709.15002665
2026-02-23 08:00:00,17.69,17.56,17.76,17.56,35954.53537964
2026-02-23 09:00:00,17.49,17.54,17.58,17.38,6118.243895
2026-02-23 10:00:00,17.57,17.56,17.61,17.5,38473.95374595
2026-02-23 11:00:00,17.46,17.34,17.46,17.2,286187.30560903
2026-02-23 12:00:00,17.27,17.61,17.69,17.27,893813.16362795
2026-02-23 13:00:00,17.57,17.56,17.59,17.49,737686.12711063
2026-02-23 14:00:00,17.62,17.78,17.81,17.46,902132.15868077
2026-02-23 15:00:00,17.81,17.68,18.05,17.56,1767184.32349963
2026-02-23 16:00:00,17.69,17.82,18.02,17.6,858800.90819493
2026-02-23 17:00:00,17.75,17.73,17.84,17.48,498089.57468033
2026-02-23 18:00:00,17.79,17.71,17.92,17.7,359678.161683
2026-02-23 19:00:00,17.72,17.7,17.82,17.7,73155.6538335
2026-02-23 20:00:00,17.67,17.7,17.7,17.67,235348.798137
2026-02-23 21:00:00,17.81,17.7,17.81,17.66,189193.86218598
2026-02-23 22:00:00,17.84,17.85,17.89,17.83,71435.97143514
2026-02-23 23:00:00,17.88,17.78,17.88,17.76,82339.90563849
2026-02-24 00:00:00,17.63,17.76,17.83,17.63,82804.57395889
2026-02-24 01:00:00,17.74,17.66,17.93,17.62,522107.94100617
2026-02-24 02:00:00,17.41,17.43,17.44,17.34,243198.2724047
2026-02-24 03:00:00,17.44,17.34,17.45,17.21,687094.43147395
2026-02-24 04:00:00,17.29,17.46,17.46,17.18,311346.41890921
2026-02-24 05:00:00,17.42,17.34,17.42,17.24,264234.48765002
2026-02-24 06:00:00,17.32,17.23,17.34,17.23,358325.51654525
2026-02-24 07:00:00,17.2,17.26,17.39,17.2,321473.21903404
2026-02-24 08:00:00,17.23,17.33,17.33,17.22,33150.47970283
2026-02-24 09:00:00,17.14,17.21,17.22,17.1,54510.46934816
2026-02-24 10:00:00,17.26,17.25,17.26,17.25,21314.3833
2026-02-24 11:00:00,17.19,17.03,17.25,17.03,191747.11355295
2026-02-24 12:00:00,17.01,17.01,17.18,17.01,118317.69002946
2026-02-24 13:00:00,17.03,17.19,17.2,17.03,107270.89380811
2026-02-24 14:00:00,17.09,17.23,17.23,17.08,213439.55633756
