time,open,close,high,low,volume
2026-03-10 16:20:00,4.759,4.759,4.759,4.759,62253.0
2026-03-10 16:25:00,4.76,4.768,4.768,4.759,376506.498631
2026-03-10 16:55:00,4.739,4.714,4.739,4.714,264275.35427178
2026-03-10 17:05:00,4.711,4.71,4.711,4.71,3000.0
2026-03-10 17:10:00,4.709,4.706,4.709,4.706,4800.0
2026-03-10 17:55:00,4.702,4.689,4.702,4.689,290914.27486622
2026-03-10 18:20:00,4.703,4.703,4.703,4.703,10583.6547
2026-03-10 18:25:00,4.698,4.699,4.699,4.698,183953.069395
2026-03-10 18:30:00,4.71,4.728,4.728,4.71,2707.867303
2026-03-10 18:45:00,4.683,4.683,4.683,4.683,2707.867303
2026-03-10 19:00:00,4.672,4.672,4.672,4.672,1336.367466
2026-03-10 19:05:00,4.675,4.692,4.692,4.675,217463.41599204
2026-03-10 19:10:00,4.692,4.685,4.693,4.685,86816.627719
2026-03-10 19:15:00,4.692,4.69,4.692,4.69,2780.7555
2026-03-10 22:30:00,4.711,4.711,4.711,4.711,353140.382
2026-03-10 22:35:00,4.742,4.742,4.742,4.742,118818.552253
2026-03-10 22:50:00,4.727,4.727,4.727,4.727,16473.331457
2026-03-10 23:40:00,4.745,4.745,4.745,4.745,1557.7284397
2026-03-11 00:05:00,4.745,4.745,4.745,4.745,1693.91521012
2026-03-11 00:10:00,4.757,4.778,4.778,4.757,37596.6441654
2026-03-11 00:35:00,4.759,4.759,4.759,4.759,1270.918648
2026-03-11 01:15:00,4.754,4.754,4.754,4.754,2103.49179639
2026-03-11 01:25:00,4.734,4.734,4.734,4.734,17536.5
2026-03-11 01:45:00,4.738,4.721,4.738,4.721,7041.58257594
2026-03-11 02:10:00,4.712,4.713,4.713,4.712,7434.18195224252
2026-03-11 02:15:00,4.69,4.689,4.69,4.689,24271.84466019
2026-03-11 02:25:00,4.689,4.688,4.689,4.688,328374.425469
2026-03-11 02:35:00,4.68,4.678,4.68,4.673,1347017.52551074
2026-03-11 02:45:00,4.682,4.682,4.682,4.682,19386.87
2026-03-11 02:55:00,4.696,4.697,4.697,4.696,6371.52865425
2026-03-11 03:05:00,4.677,4.676,4.677,4.676,299091.532611
2026-03-11 03:15:00,4.68,4.681,4.681,4.68,596232.7036
2026-03-11 03:25:00,4.669,4.669,4.669,4.669,6499.6591022
2026-03-11 03:30:00,4.65,4.65,4.65,4.65,1075.26881721
2026-03-11 03:45:00,4.643,4.643,4.643,4.643,2280.24701365
2026-03-11 03:55:00,4.637,4.637,4.637,4.637,170392.00394299
2026-03-11 04:05:00,4.634,4.633,4.634,4.633,49396.086047
2026-03-11 04:10:00,4.612,4.612,4.612,4.612,1638095.43522865
2026-03-11 04:25:00,4.633,4.64,4.64,4.633,20165.03396885204
2026-03-11 05:15:00,4.612,4.611,4.612,4.611,28462.5762
2026-03-11 05:20:00,4.616,4.611,4.616,4.611,17814.42801992118
2026-03-11 05:30:00,4.6,4.6,4.6,4.6,1086.95652174
2026-03-11 05:35:00,4.587,4.587,4.587,4.587,48025.4894
2026-03-11 05:40:00,4.589,4.573,4.589,4.573,783222.22805622
2026-03-11 06:10:00,4.632,4.633,4.633,4.632,49963.446197
2026-03-11 06:25:00,4.672,4.671,4.672,4.671,27590.092
2026-03-11 06:50:00,4.681,4.681,4.681,4.681,48025.4894
2026-03-11 07:00:00,4.706,4.706,4.706,4.706,186076.03647057
2026-03-11 08:00:00,4.683,4.683,4.683,4.683,11721.11371398
2026-03-11 08:05:00,4.73,4.73,4.73,4.73,42283.29809725
2026-03-11 08:20:00,4.759,4.769,4.769,4.759,199112.522637
2026-03-11 09:20:00,4.8,4.79,4.8,4.79,49552.425493
2026-03-11 09:30:00,4.815,4.815,4.815,4.815,41536.86396677
2026-03-11 09:35:00,4.804,4.804,4.804,4.804,11895.59041427
2026-03-11 09:40:00,4.818,4.819,4.819,4.818,44937.5391769
2026-03-11 09:45:00,4.819,4.819,4.819,4.819,7.421e-05
2026-03-11 09:50:00,4.819,4.819,4.819,4.819,2099.778837
2026-03-11 09:55:00,4.839,4.803,4.839,4.795,1168683.51264462
2026-03-11 10:00:00,4.804,4.804,4.804,4.804,596232.7036
2026-03-11 10:05:00,4.826,4.826,4.826,4.826,18958.8912
2026-03-11 10:30:00,4.814,4.814,4.814,4.814,3605.04023
2026-03-11 10:50:00,4.839,4.839,4.839,4.839,71949.226455
2026-03-11 11:00:00,4.795,4.797,4.797,4.795,9122.8418
2026-03-11 11:10:00,4.796,4.798,4.805,4.775,4596697.44175564
2026-03-11 11:20:00,4.788,4.798,4.798,4.788,614919.961211
2026-03-11 11:25:00,4.798,4.805,4.805,4.798,38740.300635
2026-03-11 11:40:00,4.816,4.816,4.816,4.816,3677.161426
2026-03-11 11:55:00,4.81,4.806,4.81,4.806,1327788.48527088
2026-03-11 12:00:00,4.806,4.806,4.806,4.806,160840.2629
2026-03-11 12:10:00,4.821,4.821,4.821,4.821,8521.6949
2026-03-11 12:15:00,4.83,4.846,4.846,4.83,182124.3051
2026-03-11 12:20:00,4.837,4.837,4.837,4.837,166008.76278775
2026-03-11 12:30:00,4.845,4.844,4.869,4.844,858445.2986158
2026-03-11 12:35:00,4.853,4.86,4.86,4.853,18305.3868
2026-03-11 12:40:00,4.868,4.853,4.868,4.853,3084.522259270541
2026-03-11 12:45:00,4.827,4.827,4.827,4.827,7271.999922
2026-03-11 13:05:00,4.834,4.834,4.834,4.834,4119.4645
2026-03-11 13:10:00,4.845,4.862,4.862,4.845,124165.167837
2026-03-11 13:20:00,4.844,4.835,4.844,4.834,25518.740137
2026-03-11 13:25:00,4.82,4.82,4.82,4.819,2107586.98272308
2026-03-11 13:30:00,4.82,4.834,4.834,4.82,14164.09906154
2026-03-11 13:35:00,4.827,4.828,4.828,4.827,98550.847347
2026-03-11 13:40:00,4.828,4.828,4.828,4.828,5.809e-05
2026-03-11 13:45:00,4.784,4.783,4.784,4.782,38787.74745958
2026-03-11 13:55:00,4.769,4.769,4.769,4.769,10455.3412
2026-03-11 14:10:00,4.757,4.756,4.757,4.756,2200.0
2026-03-11 14:30:00,4.78,4.783,4.79,4.78,61931.346211461336
2026-03-11 14:35:00,4.781,4.798,4.798,4.78,3521331.18761005
2026-03-11 14:40:00,4.782,4.782,4.782,4.782,31096.0
2026-03-11 14:45:00,4.774,4.766,4.774,4.765,300210.80903622
2026-03-11 14:50:00,4.766,4.758,4.766,4.758,328977.24848284
2026-03-11 14:55:00,4.773,4.761,4.773,4.761,51956.881495
2026-03-11 15:00:00,4.765,4.748,4.765,4.748,12370.8722
2026-03-11 15:05:00,4.728,4.729,4.737,4.723,2344296.8792356
2026-03-11 15:10:00,4.729,4.721,4.729,4.715,252156.3988235
2026-03-11 15:15:00,4.728,4.737,4.737,4.728,80807.9233
2026-03-11 15:30:00,4.737,4.739,4.739,4.718,152864.11705838
2026-03-11 15:35:00,4.753,4.762,4.762,4.752,29032.421532
2026-03-11 15:40:00,4.772,4.771,4.781,4.77,825725.59689263
2026-03-11 15:45:00,4.748,4.737,4.749,4.737,623026.38659134
2026-03-11 15:50:00,4.747,4.747,4.747,4.747,3613.290309
2026-03-11 16:00:00,4.766,4.756,4.766,4.756,67566.601174
2026-03-11 16:05:00,4.76,4.76,4.76,4.76,3634.81261
2026-03-11 16:10:00,4.777,4.78,4.78,4.777,42123.186938
2026-03-11 16:15:00,4.788,4.798,4.799,4.788,24713.809142
2026-03-11 16:20:00,4.791,4.781,4.791,4.781,628666.74404341
2026-03-11 16:30:00,4.787,4.787,4.787,4.787,31335.0
2026-03-11 16:40:00,4.795,4.8,4.8,4.795,1005846.672913
2026-03-11 16:45:00,4.828,4.828,4.828,4.828,26943.319891
2026-03-11 16:55:00,4.82,4.82,4.82,4.82,6119.920977
2026-03-11 17:00:00,4.824,4.837,4.837,4.824,118772.240603
2026-03-11 17:10:00,4.826,4.826,4.826,4.826,1211.998588
2026-03-11 17:15:00,4.83,4.826,4.831,4.826,65962.515309
2026-03-11 17:25:00,4.829,4.836,4.836,4.829,24532.4534
2026-03-11 17:30:00,4.818,4.827,4.83,4.818,115249.326032
2026-03-11 17:35:00,4.817,4.842,4.842,4.808,241706.2610641
2026-03-11 17:40:00,4.859,4.838,4.872,4.838,244347.50058395
2026-03-11 17:50:00,4.841,4.841,4.842,4.841,41309.0
2026-03-11 17:55:00,4.829,4.828,4.829,4.828,21829.473615
2026-03-11 18:00:00,4.837,4.837,4.837,4.837,31037.0
2026-03-11 18:05:00,4.818,4.804,4.818,4.804,237554.80918941
2026-03-11 18:10:00,4.813,4.805,4.813,4.805,208855.472
2026-03-11 18:20:00,4.828,4.828,4.828,4.828,4932.789619
2026-03-11 18:25:00,4.841,4.825,4.841,4.825,64279.843479
2026-03-11 18:35:00,4.815,4.815,4.815,4.814,51410.20849255
2026-03-11 18:40:00,4.816,4.816,4.816,4.816,2227.96166988
2026-03-11 18:55:00,4.825,4.825,4.826,4.825,57337.70354
2026-03-11 19:20:00,4.826,4.826,4.826,4.826,3382.481719
2026-03-11 20:00:00,4.83,4.835,4.835,4.83,210484.423247
2026-03-11 20:05:00,4.855,4.872,4.872,4.855,16047.05765
2026-03-11 20:15:00,4.898,4.897,4.898,4.88,630513.992073
2026-03-11 20:20:00,4.924,4.931,4.939,4.922,286463.081588
2026-03-11 20:25:00,4.964,4.974,5.052,4.889,4306388.197438251
2026-03-11 20:30:00,4.976,4.933,4.991,4.933,748988.2177489
2026-03-11 20:35:00,4.922,4.841,4.922,4.84,1293849.4620905956
2026-03-11 20:40:00,4.841,4.841,4.849,4.841,18097.17651248
2026-03-11 20:45:00,4.828,4.784,4.828,4.776,623125.27142842
2026-03-11 20:50:00,4.814,4.81,4.817,4.801,110519.52587388274
2026-03-11 21:00:00,4.812,4.844,4.844,4.812,37786.299104
2026-03-11 21:05:00,4.829,4.816,4.829,4.804,778498.533292
2026-03-11 21:10:00,4.807,4.807,4.807,4.807,5000.0
2026-03-11 21:15:00,4.796,4.809,4.809,4.796,9766.143441
2026-03-11 21:25:00,4.812,4.801,4.812,4.801,17349.121733
2026-03-11 21:45:00,4.788,4.787,4.788,4.787,118464.52551949
2026-03-11 22:05:00,4.795,4.795,4.795,4.795,41626.76969424
2026-03-11 22:10:00,4.82,4.821,4.821,4.82,65110.672134
2026-03-11 22:30:00,4.821,4.819,4.821,4.819,71078.7153117
2026-03-11 22:35:00,4.82,4.82,4.82,4.82,23111.77037
2026-03-11 23:10:00,4.857,4.859,4.859,4.857,8256.3537
2026-03-11 23:15:00,4.853,4.858,4.858,4.853,9312.115708
2026-03-11 23:30:00,4.863,4.828,4.863,4.828,165935.00385172
2026-03-11 23:35:00,4.848,4.863,4.866,4.848,861738.098671
2026-03-11 23:45:00,4.865,4.855,4.865,4.855,694639.7544317
2026-03-12 00:00:00,4.865,4.865,4.865,4.865,8310.7655
2026-03-12 01:05:00,4.829,4.829,4.829,4.829,12927.1355
2026-03-12 01:35:00,4.798,4.798,4.798,4.798,1152.784906
2026-03-12 01:40:00,4.806,4.822,4.822,4.806,11868.64685
2026-03-12 02:00:00,4.823,4.823,4.823,4.823,1049450.13477089
2026-03-12 02:10:00,4.822,4.822,4.822,4.822,1049450.13477089
2026-03-12 02:20:00,4.824,4.824,4.824,4.824,1061.606152
2026-03-12 03:10:00,4.817,4.817,4.817,4.817,20721.0
2026-03-12 03:15:00,4.831,4.832,4.832,4.831,31796.7709
2026-03-12 03:20:00,4.838,4.838,4.838,4.838,1177.99109
2026-03-12 03:30:00,4.835,4.852,4.852,4.832,103793.961457
2026-03-12 03:40:00,4.864,4.868,4.868,4.864,130068.28943946
2026-03-12 04:00:00,4.866,4.858,4.866,4.858,21677.414464
2026-03-12 04:10:00,4.875,4.875,4.875,4.866,208164.685296
2026-03-12 04:15:00,4.867,4.867,4.867,4.867,5637.241956
2026-03-12 04:25:00,4.867,4.867,4.867,4.867,8218.61516335
2026-03-12 04:30:00,4.874,4.875,4.875,4.874,21586.234651
2026-03-12 04:40:00,4.875,4.875,4.875,4.875,81871.0
2026-03-12 04:45:00,4.875,4.875,4.875,4.875,81354.0
2026-03-12 04:55:00,4.876,4.876,4.876,4.876,81892.0
2026-03-12 05:00:00,4.875,4.875,4.875,4.875,12413.85158897
2026-03-12 05:10:00,4.862,4.844,4.862,4.844,2206.518862644558
2026-03-12 05:20:00,4.811,4.818,4.818,4.811,586842.97041801
2026-03-12 05:30:00,4.803,4.802,4.803,4.802,32009.070726
2026-03-12 06:15:00,4.827,4.826,4.827,4.826,19033.77711801
2026-03-12 06:20:00,4.826,4.826,4.826,4.826,2199.40688
2026-03-12 07:30:00,4.82,4.82,4.821,4.82,24647.67362
2026-03-12 07:40:00,4.823,4.823,4.823,4.823,525266.06351444
2026-03-12 07:50:00,4.817,4.817,4.817,4.817,20759.80900976
2026-03-12 07:55:00,4.802,4.799,4.802,4.799,25554.547582
2026-03-12 08:00:00,4.812,4.812,4.812,4.812,231051.42380955
2026-03-12 08:05:00,4.813,4.813,4.813,4.813,12619.0482
2026-03-12 08:25:00,4.795,4.805,4.805,4.795,23133.7627
2026-03-12 08:35:00,4.796,4.796,4.796,4.796,61710.0
2026-03-12 09:15:00,4.805,4.805,4.805,4.805,10334.737
2026-03-12 09:30:00,4.805,4.787,4.805,4.787,3968.21646384
2026-03-12 09:35:00,4.804,4.805,4.805,4.804,153220.6988
2026-03-12 09:40:00,4.812,4.812,4.812,4.812,24984.0
2026-03-12 10:15:00,4.851,4.851,4.851,4.851,493851.0
2026-03-12 10:20:00,4.857,4.857,4.857,4.857,4596.0
2026-03-12 11:00:00,4.863,4.863,4.863,4.863,10982.0
2026-03-12 11:10:00,4.846,4.846,4.846,4.846,2222.544558
2026-03-12 11:50:00,4.846,4.845,4.846,4.838,352382.8401842
2026-03-12 12:05:00,4.848,4.848,4.848,4.848,5000.0
2026-03-12 12:10:00,4.858,4.858,4.858,4.858,56912.0
2026-03-12 12:45:00,4.888,4.889,4.889,4.888,112334.0
2026-03-12 12:50:00,4.889,4.88,4.889,4.88,84290.630132
2026-03-12 13:00:00,4.9,4.9,4.9,4.9,2114.2027
2026-03-12 13:10:00,4.893,4.894,4.894,4.893,43213.7344
2026-03-12 13:15:00,4.897,4.897,4.897,4.897,1175.275885
2026-03-12 13:25:00,4.9,4.901,4.901,4.9,20456.54600422
2026-03-12 13:30:00,4.895,4.911,4.911,4.895,20722.5997951
2026-03-12 13:35:00,4.907,4.921,4.921,4.907,58618.603237
2026-03-12 13:45:00,4.887,4.886,4.887,4.886,29110.105699
2026-03-12 14:00:00,4.902,4.902,4.902,4.902,5401.0
2026-03-12 14:20:00,4.877,4.887,4.887,4.876,35723.95824634
2026-03-12 14:25:00,4.887,4.887,4.887,4.887,10680.0
2026-03-12 14:35:00,4.873,4.873,4.873,4.873,2400.7855
2026-03-12 14:45:00,4.857,4.857,4.857,4.857,6600.0
2026-03-12 15:00:00,4.912,4.912,4.912,4.912,6600.8491
2026-03-12 15:10:00,4.904,4.903,4.904,4.903,21417.0
2026-03-12 15:25:00,4.937,4.945,4.945,4.935,123768.3156771
2026-03-12 15:30:00,4.949,4.949,4.949,4.949,231335.0
2026-03-12 15:40:00,4.95,4.938,4.95,4.938,22721.762392
2026-03-12 15:45:00,4.944,4.936,4.944,4.936,52933.8394
2026-03-12 15:50:00,4.931,4.931,4.931,4.931,42122.0
2026-03-12 15:55:00,4.939,4.939,4.939,4.939,296807.08130463
2026-03-12 16:05:00,4.925,4.924,4.925,4.913,55693.027451
2026-03-12 16:10:00,4.938,4.938,4.938,4.938,22889.406279
2026-03-12 16:15:00,4.939,4.931,4.939,4.931,23116.7627
2026-03-12 16:20:00,4.964,4.964,4.964,4.964,2142.708498
2026-03-12 16:25:00,4.959,4.959,4.959,4.959,13488.1647
2026-03-12 16:35:00,4.96,4.959,4.96,4.959,4274.5585
2026-03-12 16:40:00,4.961,4.961,4.961,4.961,1063.059753
2026-03-12 16:50:00,4.944,4.944,4.944,4.944,1082.972942
2026-03-12 17:00:00,4.908,4.908,4.908,4.908,38859.3292
2026-03-12 17:10:00,4.91,4.913,4.913,4.91,6768.218257
2026-03-12 17:15:00,4.907,4.898,4.907,4.898,65927.821518
2026-03-12 17:20:00,4.901,4.901,4.901,4.901,2433.859741
2026-03-12 17:40:00,4.897,4.897,4.897,4.897,2332.899696
2026-03-12 18:00:00,4.883,4.883,4.883,4.883,2251.027413
2026-03-12 18:20:00,4.858,4.858,4.858,4.858,5697.1689897
2026-03-12 18:40:00,4.863,4.863,4.863,4.863,175638.85158897
2026-03-12 19:20:00,4.891,4.891,4.891,4.891,2236.595179
2026-03-12 19:25:00,4.891,4.891,4.9,4.891,266433.3564083
2026-03-12 19:35:00,4.915,4.933,4.933,4.915,94575.9867399
2026-03-12 19:40:00,4.916,4.916,4.916,4.916,2190.909233
2026-03-12 20:05:00,4.886,4.887,4.887,4.886,42995.1386
2026-03-12 20:15:00,4.874,4.873,4.874,4.873,20456.546
2026-03-12 21:50:00,4.866,4.859,4.866,4.858,163554.31582242
2026-03-12 22:05:00,4.861,4.861,4.861,4.861,1181718.3471619
2026-03-12 22:10:00,4.875,4.875,4.875,4.875,307377.0
2026-03-12 22:20:00,4.874,4.859,4.874,4.859,3300.0
2026-03-12 22:30:00,4.863,4.873,4.873,4.859,302918.30918584
2026-03-12 22:55:00,4.86,4.86,4.86,4.86,20516.9999
2026-03-12 23:00:00,4.897,4.896,4.897,4.896,16067.304343
2026-03-12 23:05:00,4.895,4.895,4.895,4.895,17755.14535742
2026-03-12 23:15:00,4.877,4.877,4.877,4.877,20456.546
2026-03-12 23:30:00,4.878,4.888,4.888,4.878,843782.50284746
2026-03-12 23:35:00,4.872,4.873,4.873,4.872,692036.88910291
2026-03-12 23:40:00,4.875,4.875,4.875,4.875,622597.54633105
2026-03-12 23:45:00,4.877,4.877,4.877,4.877,1032000.0
2026-03-12 23:55:00,4.863,4.853,4.863,4.853,3292.198
2026-03-13 00:05:00,4.845,4.845,4.845,4.845,2243.1175
2026-03-13 00:10:00,4.859,4.852,4.859,4.852,127692.6845
2026-03-13 00:15:00,4.87,4.876,4.901,4.87,463187.08888384
2026-03-13 00:20:00,4.876,4.892,4.897,4.876,328235.0
2026-03-13 00:30:00,4.908,4.916,4.926,4.908,202270.7970409
