time,open,close,high,low,volume
2026-02-27 07:00:00,50.18,50.19,50.19,50.18,51422.11145452
2026-02-27 08:00:00,50.56,50.41,50.56,49.88,12077.10790227
2026-02-27 09:00:00,50.61,50.17,50.68,50.17,105378.06866104
2026-02-27 11:00:00,49.86,49.53,49.86,49.43,4031.61774619
2026-02-27 12:00:00,49.4,49.47,49.47,49.4,8396.48505105
2026-02-27 13:00:00,49.61,49.62,49.69,49.51,30999.41109556
2026-02-27 14:00:00,49.67,49.35,49.67,49.35,52936.15227328
2026-02-27 15:00:00,49.63,49.4,49.69,49.27,17930.0618286
2026-02-27 16:00:00,49.35,49.27,49.35,49.21,40280.9687188
2026-02-27 17:00:00,48.61,48.96,48.96,48.61,4507.861
2026-02-27 19:00:00,48.53,48.42,48.57,48.42,7416.9722798
2026-02-27 21:00:00,48.49,48.75,48.75,48.31,47972.34372021
2026-02-27 22:00:00,48.52,48.78,48.78,48.52,702.69
2026-02-28 00:00:00,48.86,49.04,49.1,48.8,14903.761019
2026-02-28 01:00:00,49.14,49.14,49.14,49.14,3473.58889596
2026-02-28 03:00:00,49.14,49.14,49.14,49.14,508.75050876
2026-02-28 05:00:00,48.21,48.21,48.21,48.21,246.43197073
2026-02-28 06:00:00,47.67,45.99,47.67,45.99,20632.16220486
2026-02-28 07:00:00,45.83,46.65,46.85,45.83,34100.3218
2026-02-28 09:00:00,45.84,45.75,45.84,45.75,8227.7832174
2026-02-28 11:00:00,46.0,46.14,46.25,46.0,26307.08728739
2026-02-28 13:00:00,45.98,46.82,46.82,45.98,19216.35187772
2026-02-28 14:00:00,47.06,47.27,47.27,47.06,9834.9807
2026-02-28 15:00:00,46.79,46.79,46.79,46.79,1095.5709
2026-02-28 16:00:00,47.29,47.29,47.29,47.29,1177.9974
2026-02-28 18:00:00,47.53,47.97,52.72,47.5,2604.6268459
2026-02-28 19:00:00,47.77,48.22,49.07,47.42,17832.66889595
2026-02-28 20:00:00,48.33,48.92,51.04,48.33,2178.83054802
2026-02-28 21:00:00,49.9,49.42,53.33,48.72,20327.30497292
2026-03-01 00:00:00,49.3,50.52,55.42,49.02,207536.46109761
2026-03-01 01:00:00,49.1,50.0,50.07,48.96,98721.4492991
2026-03-01 02:00:00,50.84,50.86,50.86,50.34,15006.9373
2026-03-01 03:00:00,50.86,50.86,50.86,50.86,393.24
2026-03-01 04:00:00,50.1,50.07,50.1,49.98,4909.5522
2026-03-01 06:00:00,49.62,49.43,49.62,49.43,4467.5931576
2026-03-01 08:00:00,49.44,49.32,49.51,49.32,21821.98098928
2026-03-01 10:00:00,49.91,49.91,49.91,49.07,2107.038364
2026-03-01 12:00:00,49.94,49.94,49.94,49.94,2002.40288346
2026-03-01 22:00:00,48.38,48.75,48.77,48.37,22512.76553859
2026-03-02 00:00:00,48.5,49.19,49.19,48.49,69114.17872485
2026-03-02 02:00:00,48.99,48.98,48.99,48.98,8995.513098
