time,open,close,high,low,volume
2026-03-10 14:25:00,57.43,57.68,57.68,57.19,663907.2213516359
2026-03-10 14:30:00,57.66,57.0,57.98,57.0,836659.07358611
2026-03-10 14:35:00,57.0,56.45,57.0,55.4,1247906.335314056
2026-03-10 14:40:00,56.58,57.26,57.26,56.36,472784.3068494725
2026-03-10 14:45:00,57.19,57.63,57.91,57.06,945153.3470172356
2026-03-10 14:50:00,57.71,55.84,57.91,55.79,1331793.322349636
2026-03-10 14:55:00,55.84,57.57,57.96,55.79,1465004.082890614
2026-03-10 15:00:00,57.59,55.76,57.76,54.62,1397786.0622085356
2026-03-10 15:05:00,55.92,55.3,55.92,54.61,680866.137477909
2026-03-10 15:10:00,55.21,54.99,55.3,54.62,319742.42915927
2026-03-10 15:15:00,54.67,54.64,55.29,54.58,593215.72833673
2026-03-10 15:20:00,54.63,54.64,54.88,54.54,314023.0856284
2026-03-10 15:25:00,54.57,53.68,54.57,53.28,613512.02846245
2026-03-10 15:30:00,53.68,53.73,53.86,53.28,452842.60626135
2026-03-10 15:35:00,53.76,53.96,53.96,53.39,147754.88476509647
2026-03-10 15:40:00,53.95,53.0,53.96,52.76,303517.9025265409
2026-03-10 15:45:00,52.83,53.23,53.52,52.73,398018.12642182
2026-03-10 15:50:00,53.32,53.47,53.53,52.9,160061.37011339705
2026-03-10 15:55:00,53.47,53.69,53.69,52.92,243707.03767444592
2026-03-10 16:00:00,53.69,54.0,54.62,53.69,466065.4147121
2026-03-10 16:05:00,53.73,53.41,53.92,53.31,53656.80752102
2026-03-10 16:10:00,53.67,53.72,53.72,53.67,64381.43189938
2026-03-10 16:15:00,53.71,53.39,53.71,53.1,54310.62388845057
2026-03-10 16:20:00,53.13,53.13,53.13,53.1,39248.18614622
2026-03-10 16:25:00,53.37,52.42,53.38,52.39,248425.15113214325
2026-03-10 16:30:00,52.61,52.52,52.96,52.44,70534.28213462
2026-03-10 16:35:00,52.53,52.85,52.94,52.53,94774.83594910712
2026-03-10 16:40:00,52.69,52.41,52.86,52.36,423490.1143934614
2026-03-10 16:45:00,52.81,52.45,52.82,52.45,18378.16905922
2026-03-10 16:50:00,52.9,52.78,52.9,52.78,30431.35572418
2026-03-10 16:55:00,52.5,52.62,52.77,52.45,15940.17575549
2026-03-10 17:00:00,52.6,52.37,52.93,52.36,205973.98066929
2026-03-10 17:05:00,52.38,52.78,52.78,52.38,37489.58547646
2026-03-10 17:10:00,52.77,52.54,52.78,52.53,44511.4441786
2026-03-10 17:15:00,52.54,52.68,53.32,52.47,201544.43721023985
2026-03-10 17:20:00,52.68,52.71,52.77,52.48,55652.37195803
2026-03-10 17:25:00,52.77,53.12,53.14,52.69,119433.62309627784
2026-03-10 17:30:00,53.11,53.11,53.15,53.02,12850.786216275
2026-03-10 17:35:00,52.95,52.67,52.95,52.66,60297.11872721
2026-03-10 17:45:00,52.67,52.71,52.87,52.67,3712.74304184
2026-03-10 17:50:00,52.72,52.66,52.91,52.65,43343.05796282
2026-03-10 17:55:00,52.67,52.85,53.32,52.57,65946.41686166411
2026-03-10 18:00:00,52.85,52.85,53.3,52.83,23903.35356843
2026-03-10 18:05:00,52.85,52.87,52.9,52.85,5610.08864411
2026-03-10 18:10:00,53.15,53.0,53.48,52.87,31344.65394158
2026-03-10 18:15:00,53.33,53.33,53.33,53.33,1141.17481469
2026-03-10 18:20:00,53.1,53.0,53.1,53.0,778.5359931
2026-03-10 18:25:00,53.18,53.47,53.47,53.18,3882.834658810219
2026-03-10 18:30:00,53.18,53.13,53.43,53.02,3703.313901002418
2026-03-10 18:35:00,53.15,53.1,53.18,53.02,6296.608423012408
2026-03-10 18:40:00,53.1,53.02,53.1,53.01,38180.91276155
2026-03-10 18:45:00,53.02,52.99,53.02,52.76,11063.485032476525
2026-03-10 18:50:00,52.86,52.86,52.86,52.86,1135.376261
2026-03-10 18:55:00,52.76,52.88,52.88,52.65,25890.80088086892
2026-03-10 19:00:00,52.67,52.43,52.67,52.0,86894.24817161458
2026-03-10 19:05:00,52.36,52.2,52.94,52.16,56638.91758532
2026-03-10 19:10:00,52.21,52.21,52.21,52.21,391.57249572
2026-03-10 19:15:00,52.44,52.44,52.44,52.44,186.022120518688
2026-03-10 19:20:00,52.22,52.22,52.22,52.21,23668.19806455
2026-03-10 19:25:00,52.4,52.4,52.4,52.22,1662.8751572448623
2026-03-10 19:30:00,52.22,52.22,52.4,52.22,474.7716932112596
2026-03-10 19:35:00,52.39,52.66,52.66,52.01,89918.9608374441
2026-03-10 19:40:00,52.68,52.49,52.68,52.49,4966.15106775
2026-03-10 19:45:00,52.49,52.49,52.49,52.49,859.42084207
2026-03-10 19:55:00,52.49,52.01,52.59,52.01,55888.63839263588
2026-03-10 20:00:00,52.01,52.0,52.03,52.0,55960.6581421352
2026-03-10 20:05:00,52.0,52.23,52.23,52.0,4261.21530605
2026-03-10 20:10:00,52.06,52.05,52.06,52.05,2166.363049
2026-03-10 20:15:00,52.05,51.86,52.05,51.85,36834.1858639997
2026-03-10 20:20:00,51.88,51.9,52.12,51.88,22020.23952028
2026-03-10 20:25:00,51.88,51.8,51.9,51.75,115590.86122320913
2026-03-10 20:30:00,51.8,52.23,52.23,51.75,16290.796809190886
2026-03-10 20:35:00,51.9,52.3,52.32,51.7,25002.38136905095
2026-03-10 20:45:00,52.28,52.29,52.29,51.74,19637.14813483
2026-03-10 20:50:00,51.75,52.34,52.34,51.75,8891.35215597
2026-03-10 20:55:00,52.34,52.34,52.34,52.34,27767.35963635
2026-03-10 21:00:00,52.34,52.61,52.61,52.34,28660.47061003
2026-03-10 21:05:00,52.42,52.34,52.67,52.34,32297.30346039
2026-03-10 21:10:00,52.02,51.72,52.13,51.71,326153.7486514851
2026-03-10 21:15:00,52.07,52.13,52.13,51.6,49620.18938396
2026-03-10 21:20:00,52.36,51.61,52.42,51.56,222005.03747133
2026-03-10 21:25:00,51.68,51.98,52.03,51.61,74217.5844754
2026-03-10 21:30:00,51.99,51.98,52.03,51.64,175577.54375981013
2026-03-10 21:35:00,51.98,52.07,52.08,51.65,34156.82972194268
2026-03-10 21:40:00,52.06,51.67,52.14,51.67,8656.828464372184
2026-03-10 21:45:00,52.01,51.88,52.13,51.66,13598.318098016469
2026-03-10 21:50:00,51.89,52.51,53.05,51.89,116611.653246044
2026-03-10 21:55:00,52.5,52.59,52.59,52.5,18894.947974165058
2026-03-10 22:00:00,52.59,52.57,52.6,52.2,19865.827313141308
2026-03-10 22:05:00,52.57,52.21,52.59,52.15,74336.74558767074
2026-03-10 22:10:00,52.58,52.44,52.58,52.22,142416.801132284
2026-03-10 22:15:00,52.43,53.09,53.76,52.17,244473.59809404527
2026-03-10 22:20:00,53.68,53.31,53.68,53.0,75003.34548925745
2026-03-10 22:25:00,53.31,53.18,53.34,52.9,49671.79699199512
2026-03-10 22:30:00,52.92,53.28,53.3,52.82,44001.28855712424
2026-03-10 22:35:00,53.11,53.18,53.34,52.95,92560.76595571057
2026-03-10 22:40:00,53.22,53.29,53.31,53.1,25399.27233235926
2026-03-10 22:45:00,53.28,53.06,53.3,53.04,23753.854864363664
2026-03-10 22:50:00,53.05,53.28,53.28,52.6,269000.955556482
2026-03-10 22:55:00,52.76,52.89,53.18,52.72,10052.42152531
2026-03-10 23:00:00,53.09,52.95,53.28,52.95,66546.3640696
2026-03-10 23:05:00,52.95,52.83,52.95,52.73,54905.12540076
2026-03-10 23:10:00,52.82,53.07,53.07,52.71,28280.53759611
2026-03-10 23:15:00,53.0,52.88,53.0,52.88,22917.60029315
2026-03-10 23:20:00,52.93,53.0,53.01,52.88,2963.681634691105
2026-03-10 23:25:00,53.0,52.91,53.0,52.91,13555.06628223
2026-03-10 23:30:00,52.9,52.77,52.9,52.58,90551.98860445
2026-03-10 23:35:00,52.77,52.58,52.77,52.58,33835.24096955
2026-03-10 23:40:00,52.58,52.45,52.66,52.45,121148.86997621
2026-03-10 23:45:00,52.43,52.58,52.58,52.17,124515.92905369
2026-03-10 23:50:00,52.4,52.65,52.83,52.4,74479.03457732
2026-03-10 23:55:00,52.6,52.64,52.64,52.36,3217.96347554
2026-03-11 00:00:00,52.39,52.26,52.73,52.23,78624.66008288
2026-03-11 00:05:00,52.36,52.27,52.58,52.25,110622.25732341
2026-03-11 00:10:00,52.28,52.23,52.28,52.23,132850.85284363
2026-03-11 00:15:00,52.32,52.33,52.36,52.32,32419.45060628
2026-03-11 00:20:00,52.33,52.36,52.49,52.23,32678.88282177
2026-03-11 00:25:00,52.56,52.58,52.69,52.56,8136.62125446
2026-03-11 00:30:00,52.73,52.23,52.8,52.23,165443.79544171924
2026-03-11 00:35:00,52.25,52.46,52.46,52.1,100263.75912754332
2026-03-11 00:40:00,52.42,52.32,52.42,52.31,16273.76312753
2026-03-11 00:45:00,52.21,52.65,52.68,52.15,92193.61046971
2026-03-11 00:50:00,52.49,52.53,52.64,52.49,19297.56424288
2026-03-11 00:55:00,52.32,52.32,52.32,52.32,32459.54196397
2026-03-11 01:00:00,52.32,52.23,52.33,52.23,45217.44781855
2026-03-11 01:05:00,52.26,52.25,52.26,52.25,44843.88890719
2026-03-11 01:10:00,52.54,52.6,52.6,52.54,46918.31171738
2026-03-11 01:15:00,52.55,52.67,52.67,52.55,2886.00896263
2026-03-11 01:20:00,52.72,52.79,52.79,52.72,12182.71477148
2026-03-11 01:25:00,52.78,52.87,52.87,52.76,63883.85353372
2026-03-11 01:30:00,52.77,52.76,52.86,52.76,9148.80130515
2026-03-11 01:35:00,52.77,52.56,52.77,52.56,33853.7480421
2026-03-11 01:40:00,52.55,52.24,52.55,52.24,41315.01207964
2026-03-11 01:45:00,52.53,52.7,52.7,52.24,35024.3680016734
2026-03-11 01:55:00,52.6,52.6,52.6,52.23,23251.628287817453
2026-03-11 02:00:00,52.6,52.6,52.61,52.21,113896.94457268
2026-03-11 02:05:00,52.28,52.21,52.28,52.21,37357.15209445
2026-03-11 02:10:00,52.2,52.38,52.38,52.12,123621.02093856
2026-03-11 02:15:00,52.38,52.29,52.38,52.15,15573.64585343068
2026-03-11 02:20:00,52.37,52.16,52.44,52.16,17345.78947906
2026-03-11 02:25:00,52.18,52.18,52.18,52.18,3078.38877488
2026-03-11 02:30:00,52.18,52.04,52.18,52.01,74450.47462025208
2026-03-11 02:35:00,52.09,51.61,52.11,51.6,102099.46164695172
2026-03-11 02:40:00,51.61,51.41,51.83,51.4,131127.56611210006
2026-03-11 02:45:00,51.72,51.45,51.86,51.43,79944.24252395473
2026-03-11 02:50:00,51.45,51.86,51.87,51.44,32645.161164630943
2026-03-11 02:55:00,51.85,51.86,51.86,51.85,7857.54162157
2026-03-11 03:00:00,51.52,51.46,51.54,51.38,109416.7518995
2026-03-11 03:05:00,51.82,51.84,51.84,51.77,19166.52008979925
2026-03-11 03:10:00,51.84,51.84,51.84,51.84,45249.59481653
2026-03-11 03:15:00,51.84,52.21,52.21,51.84,61342.33285695448
2026-03-11 03:20:00,51.88,52.17,52.23,51.88,37030.23042208104
2026-03-11 03:25:00,52.12,52.2,52.25,52.12,16022.289006366274
2026-03-11 03:30:00,52.17,52.17,52.17,52.17,40000.0
2026-03-11 03:35:00,52.23,52.11,52.33,52.08,173165.90851807743
2026-03-11 03:40:00,52.09,51.97,52.09,51.97,18230.99346227
2026-03-11 03:45:00,52.22,52.18,52.22,51.91,21101.49144778
2026-03-11 03:50:00,51.92,52.24,52.32,51.91,30955.5622633968
2026-03-11 03:55:00,52.24,52.09,52.35,52.09,90364.8056117504
2026-03-11 04:00:00,52.32,52.18,52.42,52.17,85206.86590371962
2026-03-11 04:05:00,52.22,52.27,52.61,52.21,64273.7356744864
2026-03-11 04:10:00,52.29,52.08,52.3,52.08,32884.36793499
2026-03-11 04:20:00,52.24,52.24,52.24,52.24,17225.8891885
2026-03-11 04:25:00,52.44,52.65,52.65,52.44,73984.6413987036
2026-03-11 04:30:00,52.61,52.39,52.61,52.39,86738.05218144
2026-03-11 04:35:00,52.28,52.22,52.28,52.22,15122.74031901
2026-03-11 04:40:00,52.44,52.58,52.58,52.44,19018.63829476
