time,open,close,high,low,volume
2026-02-25 15:00:00,9.408,9.399,9.427,9.399,181919.14170192
2026-02-25 16:00:00,9.468,9.423,9.507,9.423,4664.88189364
2026-02-25 17:00:00,9.486,9.487,9.487,9.486,6108.147992
2026-02-25 18:00:00,9.529,9.53,9.53,9.529,21277.4289977
2026-02-25 19:00:00,9.566,9.518,9.566,9.518,2096.00981527
2026-02-25 20:00:00,9.518,9.575,9.584,9.518,2607.01452183
2026-02-25 21:00:00,9.501,9.616,9.616,9.501,12129.34519876
2026-02-25 22:00:00,9.565,9.475,9.565,9.475,130331.49247951
2026-02-25 23:00:00,9.45,9.34,9.45,9.302,139395.92778896
2026-02-26 00:00:00,9.435,9.383,9.477,9.383,36569.68190751
2026-02-26 01:00:00,9.447,9.425,9.447,9.425,3384.27776913
2026-02-26 02:00:00,9.402,9.414,9.414,9.375,9196.6809746
2026-02-26 03:00:00,9.422,9.399,9.422,9.399,5359.32517019
2026-02-26 04:00:00,9.398,9.393,9.446,9.353,13570.05961747
2026-02-26 05:00:00,9.376,9.36,9.391,9.275,394179.16705393
2026-02-26 06:00:00,9.318,9.301,9.35,9.254,223514.63846201
2026-02-26 07:00:00,9.251,9.295,9.331,9.251,60190.94102412
2026-02-26 08:00:00,9.251,9.301,9.305,9.251,197853.64509858
2026-02-26 09:00:00,9.305,9.36,9.36,9.305,138430.23060262
2026-02-26 11:00:00,9.25,9.304,9.307,9.25,68514.33432116
2026-02-26 12:00:00,9.302,9.304,9.305,9.253,4278.38871555
2026-02-26 13:00:00,9.302,9.303,9.307,9.302,55230.95410499
2026-02-26 14:00:00,9.253,9.22,9.301,9.2,301691.88712555
2026-02-26 15:00:00,9.184,9.224,9.275,9.155,128791.63720312
2026-02-26 16:00:00,9.213,9.108,9.213,9.1,433457.56369043
2026-02-26 17:00:00,9.115,9.087,9.115,9.087,23035.9662601
2026-02-26 19:00:00,9.307,9.315,9.315,9.307,67386.98437585
2026-02-26 20:00:00,9.381,9.324,9.381,9.324,57056.6965041
2026-02-26 22:00:00,9.3,9.325,9.325,9.297,50653.86058982
2026-02-26 23:00:00,9.344,9.341,9.351,9.3,11474.27763535
2026-02-27 00:00:00,9.275,9.203,9.275,9.203,2467000.0
2026-02-27 01:00:00,9.203,9.231,9.235,9.177,305405.9153234
2026-02-27 02:00:00,9.26,9.269,9.313,9.26,14790.47684489
2026-02-27 03:00:00,9.27,9.332,9.332,9.27,4683.42098769
2026-02-27 05:00:00,9.4,9.384,9.4,9.35,25669.27147321
2026-02-27 06:00:00,9.35,9.325,9.35,9.325,1134.89270029
2026-02-27 07:00:00,9.301,9.295,9.301,9.25,57749.90675903
2026-02-27 08:00:00,9.343,9.343,9.343,9.343,4250.42499178
2026-02-27 09:00:00,9.261,9.337,9.337,9.261,16359.17523251
2026-02-27 10:00:00,9.25,9.3,9.3,9.225,17855.25436098
2026-02-27 11:00:00,9.246,9.175,9.246,9.175,2171.21719792
2026-02-27 12:00:00,9.185,9.198,9.23,9.185,282477.2949409
2026-02-27 13:00:00,9.231,9.193,9.231,9.132,361254.39543228
2026-02-27 14:00:00,9.19,9.165,9.237,9.165,94014.6266603
2026-02-27 15:00:00,9.2,9.244,9.25,9.191,280649.70478226
2026-02-27 17:00:00,9.222,9.263,9.263,9.222,111194.23529499
2026-02-27 18:00:00,9.309,9.31,9.31,9.309,1074.17695045
2026-02-27 20:00:00,9.259,9.259,9.259,9.259,2160.0604817
2026-02-27 21:00:00,9.25,9.221,9.25,9.193,20920.24040532
2026-02-27 22:00:00,9.216,9.256,9.256,9.175,33203.20975717
2026-02-27 23:00:00,9.27,9.265,9.335,9.265,44224.49262274
2026-02-28 00:00:00,9.265,9.316,9.337,9.258,78412.12953745
2026-02-28 01:00:00,9.341,9.277,9.381,9.275,25926.72844974
2026-02-28 03:00:00,9.279,9.225,9.279,9.225,52715.47051689
2026-02-28 04:00:00,9.225,9.177,9.225,9.177,111139.56145579
2026-02-28 05:00:00,9.175,9.17,9.175,9.17,5997.52183255
2026-02-28 06:00:00,9.15,8.878,9.15,8.878,767631.56370247
2026-02-28 07:00:00,8.91,8.975,9.033,8.892,418344.96434453
2026-02-28 08:00:00,8.953,8.826,8.953,8.826,683715.5043054
2026-02-28 09:00:00,8.825,8.813,8.86,8.813,109967.832074
2026-02-28 10:00:00,8.853,8.845,8.925,8.809,677198.19886461
2026-02-28 11:00:00,8.925,8.925,8.925,8.925,5602.24089636
2026-02-28 12:00:00,8.949,8.921,8.998,8.921,461223.8135224
2026-02-28 13:00:00,8.975,9.059,9.059,8.899,11096.87087632
2026-02-28 14:00:00,9.034,9.014,9.073,9.004,989281.14058506
2026-02-28 15:00:00,9.004,9.071,9.118,8.962,896688.21582504
2026-02-28 16:00:00,9.018,9.023,9.023,9.005,2670367.5959145
2026-02-28 17:00:00,8.992,9.055,9.055,8.97,1257621.73962346
2026-02-28 19:00:00,9.145,9.185,9.185,9.06,749572.79861898
2026-02-28 20:00:00,9.171,9.22,9.225,9.171,130899.38061642
2026-02-28 21:00:00,9.183,9.246,9.266,9.175,40282.59421926
2026-02-28 22:00:00,9.245,9.25,9.327,9.245,12045.64789332
2026-02-28 23:00:00,9.258,9.325,9.325,9.258,155463.14622926
2026-03-01 00:00:00,9.3,9.311,9.311,9.27,157845.60864128
2026-03-01 01:00:00,9.311,9.352,9.352,9.22,47940.86976253
2026-03-01 02:00:00,9.387,9.499,9.499,9.381,451638.87059286
2026-03-01 03:00:00,9.436,9.375,9.436,9.375,16610.64662483
2026-03-01 04:00:00,9.35,9.414,9.414,9.3,898974.55416108
2026-03-01 05:00:00,9.402,9.417,9.417,9.348,66814.42951985
2026-03-01 06:00:00,9.35,9.215,9.35,9.215,279695.15403245
2026-03-01 07:00:00,9.277,9.3,9.3,9.271,209860.94811181
2026-03-01 08:00:00,9.313,9.275,9.313,9.275,29298.84308847
2026-03-01 09:00:00,9.275,9.25,9.292,9.25,65087.78873462
2026-03-01 10:00:00,9.26,9.249,9.262,9.19,212742.4272122
2026-03-01 11:00:00,9.225,9.225,9.225,9.225,542.00542006
2026-03-01 12:00:00,9.203,9.175,9.203,9.175,16237.0765529
2026-03-01 13:00:00,9.173,9.262,9.288,9.125,230950.0190114
2026-03-01 14:00:00,9.238,9.165,9.25,9.165,19243.29561464
2026-03-01 15:00:00,9.151,9.227,9.227,9.15,70163.63679084
2026-03-01 16:00:00,9.175,9.187,9.187,9.125,104596.59561779
2026-03-01 17:00:00,9.1,9.075,9.1,9.075,8089.99481779
2026-03-01 18:00:00,9.118,9.118,9.118,9.118,7255.35173942
2026-03-01 19:00:00,9.05,9.064,9.064,9.05,3389.50220913
2026-03-01 20:00:00,9.025,9.0,9.025,9.0,15396.88936745
2026-03-01 22:00:00,9.087,9.052,9.138,9.05,32460.81077166
2026-03-01 23:00:00,9.083,9.1,9.127,9.082,145454.6740774
2026-03-02 00:00:00,9.134,9.21,9.243,9.132,30572.28153001
2026-03-02 01:00:00,9.261,9.203,9.261,9.203,231447.02104889
2026-03-02 02:00:00,9.2,9.15,9.2,9.15,1634.88547638
2026-03-02 03:00:00,9.149,9.157,9.158,9.149,82629.568965
2026-03-02 04:00:00,9.188,9.175,9.205,9.175,17444.95912807
2026-03-02 06:00:00,9.175,9.175,9.175,9.097,136693.01791445
2026-03-02 07:00:00,9.15,9.186,9.186,9.125,22572.70274463
2026-03-02 08:00:00,9.15,9.162,9.162,9.08,21278.89873612
2026-03-02 09:00:00,9.175,9.175,9.175,9.175,544.95912807
2026-03-02 10:00:00,9.151,9.15,9.151,9.15,72682.3771991
2026-03-02 11:00:00,9.167,9.176,9.176,9.167,27825.7534
2026-03-02 12:00:00,9.229,9.214,9.229,9.214,3253.79884955
2026-03-02 13:00:00,9.136,9.156,9.167,9.136,165864.98952836
2026-03-02 14:00:00,9.148,9.307,9.307,9.148,227006.33821715
2026-03-02 15:00:00,9.369,9.42,9.492,9.369,190113.9554677
2026-03-02 16:00:00,9.448,9.463,9.48,9.421,44648.56495136
2026-03-02 17:00:00,9.392,9.366,9.392,9.365,75278.52864132
2026-03-02 18:00:00,9.376,9.376,9.376,9.376,881.28732512
2026-03-02 20:00:00,9.381,9.381,9.381,9.381,4071.41922512
2026-03-02 21:00:00,9.325,9.263,9.344,9.263,74364.88786606
2026-03-02 22:00:00,9.29,9.3,9.337,9.289,23348.06038594
2026-03-02 23:00:00,9.324,9.25,9.324,9.25,11360.63303379
2026-03-03 00:00:00,9.27,9.262,9.27,9.225,25014.25672899
2026-03-03 01:00:00,9.275,9.251,9.278,9.25,33703.08934213
2026-03-03 02:00:00,9.25,9.23,9.28,9.2,29347.130342
2026-03-03 04:00:00,9.251,9.275,9.275,9.23,428473.42612774
2026-03-03 05:00:00,9.25,9.203,9.25,9.201,197050.33888056
2026-03-03 06:00:00,9.206,9.2,9.206,9.2,1655.08749674
2026-03-03 07:00:00,9.225,9.225,9.255,9.213,9167.65312475
2026-03-03 08:00:00,9.286,9.128,9.307,9.128,15194.98441588
2026-03-03 09:00:00,9.2,9.149,9.2,9.134,229248.14969517
2026-03-03 10:00:00,9.125,9.149,9.161,9.113,418085.97654634
2026-03-03 11:00:00,9.174,9.174,9.174,9.174,86985.39241606
