time,open,close,high,low,volume
2026-03-13 07:30:00,12.67,12.6,12.67,12.6,100442.9200144
2026-03-13 07:40:00,12.69,12.69,12.69,12.69,1007.19045569
2026-03-13 07:50:00,12.69,12.69,12.69,12.69,788.022064617
2026-03-13 07:55:00,12.62,12.61,12.62,12.61,60090.48445867
2026-03-13 08:00:00,12.62,12.62,12.62,12.62,635.20747246
2026-03-13 08:05:00,12.62,12.68,12.68,12.6,27891.41520211
2026-03-13 08:10:00,12.61,12.61,12.61,12.61,37477.78677261
2026-03-13 08:15:00,12.6,12.51,12.6,12.51,431033.62185567
2026-03-13 08:20:00,12.54,12.58,12.58,12.54,172588.17696826
2026-03-13 08:45:00,12.58,12.69,12.69,12.5,237182.98533726
2026-03-13 08:55:00,12.61,12.61,12.61,12.61,143279.3064588
2026-03-13 09:00:00,12.57,12.57,12.57,12.57,753.0
2026-03-13 09:05:00,12.57,12.56,12.57,12.56,99154.8478376
2026-03-13 09:10:00,12.56,12.5,12.56,12.5,9153.66242038
2026-03-13 09:15:00,12.51,12.56,12.56,12.51,159585.98005059
2026-03-13 09:25:00,12.59,12.59,12.59,12.59,20000.0
2026-03-13 09:45:00,12.67,12.67,12.67,12.67,4129.06171823
2026-03-13 09:50:00,12.67,12.68,12.68,12.67,11039.04606238
2026-03-13 09:55:00,12.66,12.67,12.67,12.66,157853.19652723
2026-03-13 10:00:00,12.68,12.71,12.71,12.68,158085.65210302
2026-03-13 10:05:00,12.7,12.71,12.71,12.7,198779.493014
2026-03-13 10:10:00,12.71,12.72,12.72,12.71,179746.62094763
2026-03-13 10:15:00,12.72,12.72,12.72,12.72,9041.529930626
2026-03-13 10:20:00,12.75,12.75,12.75,12.75,16690.61363953
2026-03-13 10:25:00,12.75,12.81,12.81,12.75,48765.7478428
2026-03-13 10:35:00,12.81,12.74,12.81,12.74,14882.357533214
2026-03-13 10:45:00,12.74,12.74,12.74,12.74,84067.0398105
2026-03-13 10:50:00,12.74,12.74,12.74,12.74,2935.38292
2026-03-13 11:00:00,12.73,12.67,12.73,12.67,175875.26515357
2026-03-13 11:05:00,12.67,12.67,12.67,12.67,27053.07515805
2026-03-13 11:10:00,12.67,12.67,12.67,12.67,25219.59459875
2026-03-13 11:15:00,12.75,12.78,12.78,12.75,198422.57102342
2026-03-13 11:20:00,12.69,12.79,12.79,12.69,6512.34221806
2026-03-13 11:25:00,12.68,12.68,12.68,12.68,25784.65069798
2026-03-13 11:35:00,12.77,12.76,12.77,12.76,8513.307182
2026-03-13 11:45:00,12.77,12.74,12.77,12.74,135948.76427645
