time,open,close,high,low,volume
2026-02-21 17:00:00,49.43,49.31,49.44,49.31,13682.69734145
2026-02-21 18:00:00,49.46,50.0,50.0,49.46,4350.66694089
2026-02-21 19:00:00,49.4,49.4,49.4,49.4,502.54364089
2026-02-21 20:00:00,49.29,49.28,49.29,49.28,18800.0
2026-02-21 21:00:00,49.29,49.61,49.61,49.28,25658.34945537
2026-02-22 00:00:00,49.46,49.37,49.46,49.37,11587.79689831
2026-02-22 01:00:00,49.32,49.95,49.95,48.83,80021.56591143
2026-02-22 02:00:00,48.84,48.67,49.45,48.67,64302.02681005
2026-02-22 03:00:00,48.45,48.45,48.45,48.45,196.0
2026-02-22 05:00:00,48.85,48.5,48.85,48.36,58790.47977361
2026-02-22 06:00:00,48.5,48.29,48.5,48.28,5408.72511529
2026-02-22 11:00:00,48.45,48.61,48.67,48.44,36661.60453325
2026-02-22 12:00:00,48.61,48.05,48.61,48.05,55232.83686641
2026-02-22 13:00:00,48.0,47.8,48.25,47.8,22211.50891925
2026-02-22 15:00:00,47.62,47.6,47.62,47.6,5671.168026
2026-02-22 16:00:00,47.6,47.6,47.6,47.6,794.13782588
2026-02-22 17:00:00,47.5,47.5,47.5,47.5,833.0
2026-02-22 21:00:00,47.4,47.4,47.4,47.4,1996.5783
2026-02-22 23:00:00,47.61,47.8,47.8,47.6,18823.96208488
2026-02-23 00:00:00,47.44,47.39,47.8,47.21,2538.10753679
2026-02-23 01:00:00,47.0,46.2,47.1,45.71,431957.65686938
2026-02-23 03:00:00,46.15,46.19,46.64,46.15,827.17081669
2026-02-23 04:00:00,46.17,46.17,46.17,46.17,22145.24412759
2026-02-23 05:00:00,46.62,46.29,46.62,46.29,914.0
2026-02-23 06:00:00,46.29,46.65,46.7,46.29,49073.1646524
2026-02-23 07:00:00,46.56,46.65,46.65,46.56,28169.9523937
2026-02-23 08:00:00,46.56,46.29,46.59,46.29,33926.04395195
2026-02-23 09:00:00,46.54,46.68,46.68,46.54,99813.11536467
