time,open,close,high,low,volume
2026-03-15 18:45:00,5.303,5.303,5.303,5.303,158935.199276856
2026-03-15 22:35:00,5.288,5.288,5.288,5.288,2000.0
2026-03-15 22:50:00,5.303,5.28,5.303,5.28,253006.34861427
2026-03-15 22:55:00,5.302,5.303,5.303,5.302,6045.0
2026-03-15 23:05:00,5.303,5.303,5.303,5.303,7002.1482
2026-03-15 23:10:00,5.303,5.303,5.303,5.303,3873.0
2026-03-16 00:00:00,5.281,5.28,5.281,5.28,18935.8076122
2026-03-16 00:05:00,5.302,5.321,5.321,5.302,309844.298280869
2026-03-16 00:20:00,5.321,5.324,5.324,5.321,109500.0
2026-03-16 00:30:00,5.304,5.304,5.304,5.304,46379.16855761
2026-03-16 00:35:00,5.304,5.323,5.323,5.29,111378.639864734
2026-03-16 01:05:00,5.289,5.289,5.289,5.289,3515.7742065
2026-03-16 01:10:00,5.323,5.323,5.323,5.323,1878.639864737
2026-03-16 01:55:00,5.323,5.324,5.324,5.323,33643.807180326
2026-03-16 02:15:00,5.304,5.296,5.304,5.296,17129.80883628
2026-03-16 02:35:00,5.296,5.296,5.296,5.296,16993.95770393
2026-03-16 02:55:00,5.324,5.326,5.326,5.324,151710.091269273
2026-03-16 03:10:00,5.327,5.327,5.327,5.327,1877.229209686
2026-03-16 03:35:00,5.327,5.327,5.327,5.327,47292.65628867
2026-03-16 03:40:00,5.327,5.372,5.372,5.327,892578.664905104
2026-03-16 03:50:00,5.372,5.38,5.38,5.372,108085.7988
2026-03-16 03:55:00,5.38,5.383,5.383,5.38,17429.17383426
2026-03-16 04:00:00,5.383,5.383,5.383,5.383,17574.2174
2026-03-16 04:05:00,5.383,5.386,5.386,5.383,17536.616
2026-03-16 04:20:00,5.386,5.39,5.39,5.386,135944.82260398
2026-03-16 04:25:00,5.39,5.39,5.39,5.39,13919.8337
2026-03-16 04:35:00,5.39,5.4,5.4,5.39,462514.6393276
2026-03-16 04:40:00,5.402,5.4,5.402,5.4,4790.484605458
2026-03-16 04:50:00,5.4,5.42,5.42,5.4,262257.738884048
2026-03-16 04:55:00,5.416,5.42,5.42,5.416,161566.394478334
2026-03-16 05:55:00,5.42,5.42,5.42,5.42,21238.8871
2026-03-16 06:00:00,5.42,5.422,5.422,5.42,1844.337882716
2026-03-16 07:10:00,5.422,5.422,5.422,5.422,9180.007377351
2026-03-16 07:30:00,5.392,5.392,5.392,5.392,11169.7298892
2026-03-16 07:40:00,5.422,5.422,5.422,5.422,1844.3378827
2026-03-16 07:55:00,5.422,5.422,5.422,5.422,13550.0812
2026-03-16 08:05:00,5.392,5.422,5.422,5.392,40425.92321384
2026-03-16 08:10:00,5.425,5.428,5.429,5.425,7133.137122359
2026-03-16 08:15:00,5.429,5.429,5.429,5.429,12893.71891696
2026-03-16 08:30:00,5.428,5.428,5.428,5.428,236.76457878
2026-03-16 09:40:00,5.428,5.434,5.434,5.428,123557.18364442
2026-03-16 09:55:00,5.433,5.433,5.433,5.433,65790.97994017
2026-03-16 10:20:00,5.433,5.433,5.433,5.433,95472.52795675
2026-03-16 11:15:00,5.433,5.433,5.433,5.433,10000.0
2026-03-16 11:25:00,5.433,5.45,5.45,5.433,162954.078898297
2026-03-16 11:50:00,5.448,5.449,5.449,5.402,71151.786963064
2026-03-16 12:00:00,5.402,5.402,5.402,5.402,7773.14850647
2026-03-16 12:05:00,5.448,5.448,5.448,5.448,1835.535976505
2026-03-16 12:25:00,5.448,5.449,5.449,5.448,76870.0747672
2026-03-16 13:00:00,5.445,5.449,5.449,5.445,101288.34639406
2026-03-16 13:05:00,5.449,5.45,5.45,5.449,61484.96648287
2026-03-16 13:15:00,5.45,5.45,5.45,5.45,46729.10384588
2026-03-16 13:20:00,5.45,5.45,5.45,5.45,39842.88819236
2026-03-16 13:30:00,5.451,5.452,5.452,5.451,16214.724540374
2026-03-16 14:00:00,5.451,5.477,5.477,5.451,182986.655211159
2026-03-16 14:30:00,5.455,5.474,5.474,5.425,9084.098493288
2026-03-16 15:05:00,5.468,5.468,5.468,5.468,1014.79722324
2026-03-16 15:40:00,5.468,5.468,5.468,5.468,1828.82223848
2026-03-16 20:45:00,5.46,5.477,5.477,5.46,16486.44501581
2026-03-16 22:15:00,5.476,5.479,5.479,5.476,17641.5557
2026-03-16 23:35:00,5.48,5.482,5.482,5.48,3649.005150546
2026-03-17 00:15:00,5.466,5.503,5.503,5.466,282687.55658316
2026-03-17 00:20:00,5.503,5.52,5.52,5.503,112798.2434
2026-03-17 00:25:00,5.52,5.527,5.527,5.52,3619.279151309
2026-03-17 00:30:00,5.527,5.527,5.527,5.527,31257.40746526
2026-03-17 01:05:00,5.527,5.551,5.551,5.527,180762.74798091
2026-03-17 01:10:00,5.554,5.554,5.554,5.554,11793.044831359
2026-03-17 01:15:00,5.554,5.574,5.574,5.554,170067.080283801
2026-03-17 01:20:00,5.551,5.551,5.551,5.551,24316.836535473
2026-03-17 01:25:00,5.551,5.595,5.595,5.551,259271.131484241
2026-03-17 01:30:00,5.595,5.595,5.595,5.595,4156.04420583
2026-03-17 01:35:00,5.595,5.6,5.6,5.595,30661.679985757
2026-03-17 02:05:00,5.599,5.6,5.6,5.599,535714.28571429
2026-03-17 02:10:00,5.605,5.523,5.605,5.523,741838.62081517
2026-03-17 02:15:00,5.543,5.555,5.555,5.5,598313.125201477
2026-03-17 02:20:00,5.497,5.496,5.497,5.496,4156.04420583
2026-03-17 02:30:00,5.533,5.534,5.534,5.532,182762.46980085
2026-03-17 02:35:00,5.533,5.562,5.562,5.533,362027.848548279
2026-03-17 02:50:00,5.498,5.498,5.498,5.498,2925.632
2026-03-17 02:55:00,5.562,5.562,5.562,5.562,1797.914419273
2026-03-17 03:00:00,5.562,5.563,5.563,5.562,28104.96677594
2026-03-17 03:15:00,5.562,5.563,5.563,5.562,213478.64302049
2026-03-17 03:20:00,5.498,5.539,5.539,5.48,210601.383910986
2026-03-17 03:25:00,5.55,5.465,5.55,5.465,38825.177670681
2026-03-17 03:30:00,5.465,5.523,5.523,5.465,2744.142662569
2026-03-17 03:40:00,5.466,5.456,5.466,5.456,199101.92979248
2026-03-17 03:55:00,5.501,5.501,5.501,5.501,1817.851299763
2026-03-17 04:10:00,5.504,5.488,5.504,5.488,11501.750365116
2026-03-17 05:30:00,5.496,5.496,5.496,5.496,1819.505094614
2026-03-17 05:45:00,5.498,5.52,5.52,5.498,450000.0
2026-03-17 05:50:00,5.525,5.525,5.525,5.525,1809.954751131
2026-03-17 06:05:00,5.456,5.456,5.456,5.456,3383.1219
2026-03-17 06:10:00,5.524,5.524,5.524,5.524,1810.282404055
2026-03-17 06:20:00,5.525,5.525,5.525,5.525,1809.954751131
2026-03-17 06:30:00,5.525,5.533,5.533,5.525,1996297.48385628
2026-03-17 06:35:00,5.539,5.54,5.54,5.539,3610.43418412
2026-03-17 06:40:00,5.54,5.54,5.54,5.54,22577.63533404
2026-03-17 06:45:00,5.481,5.425,5.481,5.315,1481377.62452847
2026-03-17 06:55:00,5.399,5.414,5.415,5.399,97403.2201993
2026-03-17 07:00:00,5.42,5.42,5.42,5.42,1845.018450184
2026-03-17 07:10:00,5.42,5.441,5.442,5.42,257905.55040557
2026-03-17 07:45:00,5.442,5.468,5.468,5.442,57946.71020579
2026-03-17 08:00:00,5.467,5.469,5.469,5.467,118330.66083452
2026-03-17 08:10:00,5.477,5.477,5.477,5.477,1825.817053131
2026-03-17 09:10:00,5.476,5.477,5.477,5.476,3423.97611958
2026-03-17 10:05:00,5.477,5.477,5.477,5.477,1898.851328879
2026-03-17 10:15:00,5.478,5.484,5.484,5.478,80282.31208994
2026-03-17 10:20:00,5.484,5.493,5.493,5.484,82952.50416953
2026-03-17 10:45:00,5.493,5.494,5.494,5.493,1707.7785
2026-03-17 13:15:00,5.494,5.494,5.494,5.494,1820.16745541
2026-03-17 13:30:00,5.494,5.499,5.499,5.494,40680.350875956
2026-03-17 13:55:00,5.499,5.499,5.499,5.499,90786.30936751
2026-03-17 14:25:00,5.5,5.5,5.5,5.5,1818.181818181
2026-03-17 14:40:00,5.471,5.474,5.474,5.47,12000.0
2026-03-17 14:45:00,5.47,5.472,5.472,5.47,18000.0
2026-03-17 15:00:00,5.5,5.5,5.5,5.5,1818.181818181
2026-03-17 15:30:00,5.46,5.46,5.46,5.46,90786.30936751
2026-03-17 15:35:00,5.499,5.499,5.499,5.499,1818.51245681
2026-03-17 17:30:00,5.46,5.46,5.46,5.46,6837.18345
2026-03-17 18:05:00,5.459,5.459,5.459,5.459,3659.88645
2026-03-17 18:25:00,5.459,5.449,5.459,5.449,36399.0345
2026-03-17 18:30:00,5.495,5.495,5.495,5.495,6909.0
2026-03-17 20:25:00,5.45,5.45,5.45,5.45,3451.0641
2026-03-17 20:30:00,5.451,5.451,5.451,5.451,3329.1678
2026-03-17 20:40:00,5.45,5.49,5.49,5.45,17399.7146
2026-03-17 21:50:00,5.481,5.481,5.481,5.481,961.320926838
2026-03-18 00:40:00,5.45,5.448,5.45,5.448,68307.342941
2026-03-18 00:45:00,5.472,5.472,5.472,5.472,1827.485380116
2026-03-18 02:10:00,5.482,5.482,5.482,5.482,3412.0
2026-03-18 02:40:00,5.482,5.482,5.482,5.482,18241.51769428
2026-03-18 02:45:00,5.479,5.474,5.479,5.474,6391.3612296
2026-03-18 02:50:00,5.483,5.483,5.483,5.483,1823.819077147
2026-03-18 03:00:00,5.474,5.474,5.474,5.474,1826.8176836
2026-03-18 03:35:00,5.482,5.483,5.483,5.482,1823.995712017
2026-03-18 03:40:00,5.456,5.468,5.468,5.456,3655.373772618
2026-03-18 03:45:00,5.456,5.455,5.456,5.455,6273.44846586
2026-03-18 03:50:00,5.482,5.484,5.484,5.482,44820.74725769
2026-03-18 04:20:00,5.449,5.483,5.483,5.449,8450.181877147
2026-03-18 04:45:00,5.449,5.449,5.449,5.449,3435.0777
2026-03-18 05:00:00,5.483,5.448,5.483,5.448,14923.819077147
2026-03-18 05:05:00,5.483,5.483,5.483,5.483,1823.819077147
2026-03-18 05:20:00,5.441,5.439,5.441,5.439,16017.6982
2026-03-18 05:25:00,5.478,5.482,5.482,5.478,3649.635522621
2026-03-18 05:55:00,5.434,5.433,5.434,5.433,32556.65576477
2026-03-18 06:00:00,5.482,5.482,5.482,5.482,1824.151769427
2026-03-18 06:15:00,5.434,5.434,5.434,5.434,1190.90909091
2026-03-18 06:25:00,5.482,5.482,5.482,5.482,1824.151769427
2026-03-18 08:55:00,5.433,5.433,5.433,5.433,8223.78978916
2026-03-18 09:00:00,5.482,5.484,5.484,5.482,299525.126309299
2026-03-18 09:45:00,5.483,5.483,5.483,5.483,939.4714927
2026-03-18 10:20:00,5.466,5.466,5.466,5.466,5500.0
2026-03-18 10:30:00,5.441,5.441,5.441,5.441,121351.27779146
2026-03-18 11:10:00,5.442,5.441,5.442,5.441,40680.35087595
2026-03-18 12:05:00,5.442,5.352,5.442,5.352,723724.70957137
2026-03-18 12:15:00,5.373,5.408,5.408,5.373,1049657.36180459
2026-03-18 12:30:00,5.384,5.383,5.384,5.383,7245.85170236
2026-03-18 12:45:00,5.38,5.38,5.38,5.38,3727.38207955
2026-03-18 13:50:00,5.395,5.395,5.395,5.395,1000.0
2026-03-18 15:05:00,5.395,5.395,5.395,5.395,1029.46627132
2026-03-18 15:10:00,5.395,5.395,5.395,5.395,1000.0
2026-03-18 15:15:00,5.395,5.401,5.562,5.384,4445474.675658954
2026-03-18 15:20:00,5.4,5.4,5.4,5.4,13052.0
2026-03-18 15:30:00,5.385,5.368,5.385,5.368,179624.81591211
2026-03-18 15:35:00,5.368,5.387,5.387,5.35,1208162.78639721
2026-03-18 15:45:00,5.352,5.351,5.352,5.351,909615.53912732
2026-03-18 15:50:00,5.367,5.39,5.392,5.367,131030.4617738
2026-03-18 15:55:00,5.394,5.395,5.395,5.394,98784.29497458
2026-03-18 16:00:00,5.443,5.442,5.444,5.442,53344.047047
2026-03-18 16:05:00,5.445,5.448,5.448,5.445,85636.31303532
2026-03-18 16:15:00,5.459,5.459,5.459,5.459,3663.67466569
2026-03-18 16:35:00,5.432,5.432,5.432,5.432,9458.0
2026-03-18 17:05:00,5.459,5.459,5.459,5.459,16294.75761146
2026-03-18 18:05:00,5.446,5.445,5.446,5.445,42370.95405
2026-03-18 19:50:00,5.438,5.438,5.438,5.438,2167.15635
2026-03-18 22:35:00,5.433,5.416,5.433,5.416,571309.22217175
2026-03-18 23:05:00,5.409,5.4,5.409,5.4,74408.43912924
2026-03-18 23:15:00,5.454,5.454,5.454,5.454,2308.11575413
2026-03-18 23:20:00,5.442,5.442,5.442,5.442,3432.0
2026-03-19 00:05:00,5.452,5.452,5.452,5.452,1834.189288334
2026-03-19 00:20:00,5.445,5.446,5.446,5.445,406924.29777557
