time,open,close,high,low,volume
2026-03-18 05:00:00,44.9,42.3,46.28,41.3,104042462.42482787
2026-03-18 06:00:00,42.27,43.1,43.26,42.2,15163331.13274628
2026-03-18 07:00:00,43.1,42.58,44.12,42.4,18824170.31340004
2026-03-18 08:00:00,42.6,40.8,42.62,40.7,30034547.20167702
2026-03-18 09:00:00,40.76,41.3,41.7,40.47,12643276.873616455
2026-03-18 10:00:00,41.3,41.16,41.51,40.9,8602013.393373966
2026-03-18 11:00:00,41.16,40.42,41.16,40.01,14690061.919947311
2026-03-18 12:00:00,40.4,40.19,40.59,39.79,13923852.237431273
2026-03-18 13:00:00,40.18,38.91,40.38,38.62,17768951.36074941
2026-03-18 14:00:00,38.91,39.25,39.41,38.33,10486456.718009632
2026-03-18 15:00:00,39.32,38.54,39.56,38.38,11423045.704567092
2026-03-18 16:00:00,38.55,37.39,38.65,37.06,9571251.699772695
2026-03-18 17:00:00,37.39,38.11,38.25,37.25,2822211.367744629
2026-03-18 18:00:00,38.05,38.7,39.35,38.05,3851878.384005817
2026-03-18 19:00:00,38.7,38.89,39.11,38.7,1698269.9685546
2026-03-18 20:00:00,38.9,39.5,39.55,38.53,2428475.3905025264
2026-03-18 21:00:00,39.49,38.78,39.93,38.69,7145838.141189726
2026-03-18 22:00:00,38.76,39.15,39.2,38.54,4072137.973866913
2026-03-18 23:00:00,39.15,39.78,40.61,39.02,15549771.193667848
2026-03-19 00:00:00,39.78,39.23,39.78,39.01,8769602.85813334
2026-03-19 01:00:00,39.07,40.72,41.5,39.0,14371090.472573036
2026-03-19 02:00:00,40.71,39.47,41.29,39.44,11462158.715809064
2026-03-19 03:00:00,39.51,39.67,40.08,38.91,10264381.125520963
2026-03-19 04:00:00,39.61,39.74,40.11,39.11,5014652.116830195
2026-03-19 05:00:00,39.88,40.03,40.51,39.77,5162786.196207906
2026-03-19 06:00:00,40.08,39.89,40.32,39.74,5199476.265761407
2026-03-19 07:00:00,39.89,39.04,40.2,38.96,5443565.12199819
2026-03-19 08:00:00,39.06,39.0,39.16,38.0,6667203.973689263
2026-03-19 09:00:00,39.1,38.84,39.35,38.64,2953581.565968148
2026-03-19 10:00:00,38.94,39.02,39.2,38.44,1690877.5372901566
2026-03-19 11:00:00,39.02,39.07,39.15,38.81,1147005.4369922297
2026-03-19 12:00:00,39.07,38.26,39.16,38.12,3328302.77491307
2026-03-19 13:00:00,38.25,38.04,38.34,37.79,6326370.485486381
2026-03-19 14:00:00,38.04,38.06,38.22,37.87,1641397.3850344906
2026-03-19 15:00:00,38.11,37.6,38.27,37.54,4062444.142430288
2026-03-19 16:00:00,37.61,37.96,37.97,37.46,2193901.08405787
2026-03-19 17:00:00,37.95,37.72,37.98,37.3,1049587.6583121668
2026-03-19 18:00:00,37.69,37.08,37.71,36.93,1431752.5912866408
2026-03-19 19:00:00,37.29,37.22,37.39,36.95,1440372.62665389
2026-03-19 20:00:00,37.32,38.25,38.4,37.26,1045472.7315761632
2026-03-19 21:00:00,38.4,38.47,38.77,37.95,1097425.7831134952
2026-03-19 22:00:00,38.4,38.26,38.64,38.06,2774932.135297796
2026-03-19 23:00:00,38.26,38.04,38.36,37.61,2901021.422154793
2026-03-20 00:00:00,38.03,38.0,38.11,37.7,3157952.250368261
2026-03-20 01:00:00,38.0,38.59,38.6,38.0,2613918.9017335665
2026-03-20 02:00:00,38.59,38.91,38.91,38.44,634391.34646645
