time,open,close,high,low,volume
2026-02-27 10:50:00,17.66,17.59,17.66,17.59,31680.68630127
2026-02-27 10:55:00,17.56,17.56,17.56,17.56,2847.38041003
2026-02-27 11:00:00,17.53,17.53,17.53,17.53,14138.06970858
2026-02-27 11:05:00,17.62,17.62,17.62,17.62,1135.0737798
2026-02-27 11:10:00,17.6,17.57,17.6,17.57,133715.78422354
2026-02-27 11:15:00,17.6,17.63,17.66,17.6,102359.6588
2026-02-27 11:20:00,17.67,17.67,17.67,17.67,14469.0494
2026-02-27 11:25:00,17.59,17.53,17.59,17.5,47475.39569425
2026-02-27 11:30:00,17.44,17.34,17.44,17.25,635603.2555869
2026-02-27 11:35:00,17.32,17.32,17.35,17.31,41548.38646544
2026-02-27 11:40:00,17.21,17.21,17.21,17.21,10513.75226827
2026-02-27 11:45:00,17.2,17.19,17.2,17.08,147533.97792914
2026-02-27 11:50:00,17.15,17.19,17.19,17.15,68322.13598214
2026-02-27 11:55:00,17.17,17.21,17.21,17.17,98979.3634
2026-02-27 12:00:00,17.2,17.15,17.2,17.14,30449.5957
2026-02-27 12:10:00,17.13,17.16,17.16,17.08,65117.56756685
2026-02-27 12:20:00,17.16,17.17,17.18,17.14,126319.16434393
2026-02-27 12:25:00,17.11,17.07,17.11,17.07,18476.4974
2026-02-27 12:30:00,17.01,17.01,17.01,17.01,13992.75
2026-02-27 13:00:00,16.91,16.91,16.91,16.91,13249.5568
2026-02-27 13:15:00,17.0,16.97,17.0,16.97,665.7113941
2026-02-27 13:30:00,16.82,16.84,16.84,16.79,157209.599062
2026-02-27 13:35:00,16.72,16.72,16.72,16.72,57647.3113344
2026-02-27 13:40:00,16.83,16.87,16.87,16.83,90545.3191716
2026-02-27 14:00:00,16.89,16.84,16.89,16.84,38601.93815355
2026-02-27 14:10:00,16.89,16.89,16.89,16.89,430.0187
2026-02-27 14:15:00,16.89,16.89,16.89,16.89,5189.0
2026-02-27 14:20:00,16.82,16.8,16.82,16.8,40094.089
2026-02-27 14:30:00,16.86,16.99,16.99,16.86,186284.61734949
2026-02-27 14:35:00,16.99,16.98,16.99,16.98,46762.92745232
2026-02-27 14:40:00,17.02,17.02,17.02,17.02,11021.07747506
2026-02-27 14:50:00,16.98,17.06,17.06,16.97,56069.2327
2026-02-27 15:00:00,17.07,17.13,17.13,17.07,41016.66881354
2026-02-27 15:05:00,17.11,17.13,17.13,17.11,29272.2111
2026-02-27 15:10:00,17.07,17.12,17.12,17.07,20564.21321102
2026-02-27 15:15:00,16.99,16.99,16.99,16.99,16511.27058703
2026-02-27 15:20:00,16.93,16.93,16.93,16.93,302.39948858
2026-02-27 15:25:00,16.95,16.95,16.95,16.95,12533.99197377
2026-02-27 15:30:00,16.93,16.93,16.93,16.93,3706.8626
2026-02-27 15:35:00,16.93,16.93,16.93,16.93,2630.8486
2026-02-27 15:40:00,16.89,16.89,16.89,16.86,26064.68052721
2026-02-27 15:45:00,16.92,16.87,16.93,16.87,57863.80863518
2026-02-27 15:50:00,16.89,16.89,16.89,16.89,14469.0494
2026-02-27 15:55:00,16.92,16.93,16.93,16.92,30883.0904
2026-02-27 16:00:00,16.92,17.01,17.01,16.92,47996.1725
2026-02-27 16:05:00,17.02,17.09,17.1,16.97,158111.92570584
2026-02-27 16:10:00,17.14,17.07,17.16,17.07,108764.28912944
2026-02-27 16:15:00,17.09,17.02,17.09,17.02,76495.0448115
2026-02-27 16:25:00,17.11,17.11,17.11,17.11,9252.0
2026-02-27 16:30:00,17.1,17.1,17.1,17.1,18200.0
2026-02-27 16:35:00,17.04,17.0,17.04,17.0,83248.24302944
2026-02-27 16:40:00,17.0,16.99,17.0,16.96,18173.24525358
2026-02-27 17:20:00,16.84,16.81,16.84,16.81,39656.0984
