time,open,close,high,low,volume
2026-03-03 08:00:00,44.99,44.89,45.14,44.66,2528406.04940768
2026-03-03 09:00:00,44.85,44.64,45.04,44.64,1398227.0038876825
2026-03-03 10:00:00,44.63,44.43,44.77,44.41,1169885.911888992
2026-03-03 11:00:00,44.42,44.01,44.53,43.64,2866059.49193253
2026-03-03 12:00:00,44.0,43.52,44.18,43.44,2222128.351732172
2026-03-03 13:00:00,43.55,44.04,44.39,43.33,2166324.313889043
2026-03-03 14:00:00,44.12,44.87,45.21,44.08,2231681.058771956
2026-03-03 15:00:00,44.87,46.2,46.21,44.81,2216219.120654804
2026-03-03 16:00:00,46.13,45.18,46.44,45.18,3290791.54320542
2026-03-03 17:00:00,45.13,44.17,45.13,44.17,2503407.98992664
2026-03-03 18:00:00,44.17,43.4,44.37,42.68,2774204.995434373
2026-03-03 19:00:00,43.43,43.6,44.24,43.2,1696943.0623143765
2026-03-03 20:00:00,43.59,43.57,44.03,43.38,1125388.004471873
2026-03-03 21:00:00,43.62,43.48,43.65,43.0,2309815.0309596653
2026-03-03 22:00:00,43.48,43.79,43.97,43.48,1701767.6322930355
2026-03-03 23:00:00,43.79,43.09,44.56,42.84,3994889.921751651
2026-03-04 00:00:00,43.1,42.95,43.45,42.9,1608480.6041446582
2026-03-04 01:00:00,42.95,43.3,43.4,42.77,1919681.267099619
2026-03-04 02:00:00,43.32,43.4,43.55,43.09,808662.1559186182
2026-03-04 03:00:00,43.33,43.45,43.6,43.0,3244749.39061731
2026-03-04 04:00:00,43.37,43.51,43.78,43.07,1492842.1748379432
2026-03-04 05:00:00,43.38,44.41,44.57,43.35,2857562.628993489
2026-03-04 06:00:00,44.23,44.23,44.36,43.45,4623412.90549076
2026-03-04 07:00:00,44.18,44.32,44.69,43.9,1109825.028502859
2026-03-04 08:00:00,44.34,44.29,44.56,43.67,1619710.8243829303
2026-03-04 09:00:00,44.29,45.28,45.46,44.29,2578455.7290363377
2026-03-04 10:00:00,45.26,44.44,45.68,44.22,2250036.1752670584
2026-03-04 11:00:00,44.51,43.94,45.04,43.82,2056067.4481078784
