time,open,close,high,low,volume
2026-02-28 16:00:00,23.14,22.69,25.0,22.39,4455257.54417796
2026-02-28 17:00:00,22.69,22.6,22.69,22.3,238957.17896567
2026-02-28 18:00:00,22.6,22.82,23.27,22.6,164266.15439632
2026-02-28 19:00:00,23.22,22.82,23.22,22.82,11861.53067387
2026-02-28 21:00:00,22.71,22.89,22.89,22.71,25972.74866
2026-02-28 22:00:00,23.05,23.01,23.07,22.84,227674.59999388
2026-02-28 23:00:00,23.01,22.83,23.03,22.83,188121.34763687
2026-03-01 00:00:00,22.94,22.59,22.94,22.59,174940.15761954
2026-03-01 01:00:00,22.66,22.79,22.89,22.65,100458.08094775
2026-03-01 02:00:00,22.79,22.76,23.09,22.7,374903.72433561774
2026-03-01 03:00:00,22.83,22.75,22.98,22.75,363092.01134076
2026-03-01 04:00:00,22.97,23.05,23.09,22.77,65098.37022354737
2026-03-01 05:00:00,23.07,23.07,23.08,22.77,2291.3838208864645
2026-03-01 06:00:00,23.07,22.82,23.07,22.76,65848.30621507
2026-03-01 07:00:00,22.82,22.71,22.98,22.71,836.58888015
2026-03-01 08:00:00,22.7,22.96,22.96,22.49,75549.48534697
2026-03-01 09:00:00,22.96,22.98,22.99,22.67,20667.09119471
2026-03-01 10:00:00,22.97,22.68,22.97,22.68,13298.35577441
2026-03-01 11:00:00,22.73,22.95,22.95,22.73,633.25252111
2026-03-01 12:00:00,22.95,22.67,22.95,22.67,37697.92297582
2026-03-01 13:00:00,22.75,22.66,23.03,22.66,101118.5796855
2026-03-01 14:00:00,22.77,23.07,23.07,22.77,41733.31068078
2026-03-01 15:00:00,23.1,23.06,23.1,22.82,34022.1165695396
2026-03-01 16:00:00,23.06,22.66,23.06,22.12,233363.09737028
2026-03-01 17:00:00,22.66,22.64,22.7,22.52,48551.64127395
2026-03-01 18:00:00,22.69,22.95,23.47,22.69,72151.43543353956
2026-03-01 20:00:00,22.87,22.7,22.87,22.7,36158.29240874
2026-03-01 21:00:00,22.7,22.49,22.89,22.49,104714.87822711
2026-03-01 22:00:00,22.61,22.56,22.61,22.41,250405.82676591
2026-03-01 23:00:00,22.65,22.67,22.67,22.65,4826.86041951
2026-03-02 00:00:00,22.63,22.85,22.9,22.52,80077.00683219
2026-03-02 01:00:00,22.84,22.6,22.84,22.6,440.25752107
2026-03-02 02:00:00,22.7,22.85,22.85,22.5,23251.91835357
2026-03-02 03:00:00,22.85,22.88,22.88,22.59,92712.0690564
2026-03-02 04:00:00,22.88,22.88,22.88,22.88,1229.09603789
2026-03-02 05:00:00,22.88,22.89,22.89,22.67,10965.77057524
2026-03-02 07:00:00,22.89,22.9,22.9,22.89,8735.53219214
2026-03-02 08:00:00,22.74,22.72,22.9,22.65,14600.49647591
