time,open,close,high,low,volume
2026-03-31 08:15:00,38.76,38.61,38.76,38.6,65876.6138455
2026-03-31 08:20:00,38.61,38.61,38.61,38.61,15997.36827869
2026-03-31 08:25:00,39.11,39.35,39.35,38.94,14769.841201934256
2026-03-31 08:30:00,39.31,38.69,39.32,38.69,13689.114480313665
2026-03-31 08:35:00,39.12,39.19,39.19,39.12,3593.46158292
2026-03-31 08:40:00,39.29,39.3,39.31,39.28,86754.64072238
2026-03-31 08:45:00,39.35,39.4,40.5,39.34,150632.55757035
2026-03-31 08:50:00,39.99,39.96,39.99,39.95,2827.4843
2026-03-31 08:55:00,39.77,39.44,39.77,39.44,32052.19069794
2026-03-31 09:00:00,39.44,39.77,39.77,39.1,76184.67657394
2026-03-31 09:05:00,40.4,40.53,41.36,40.4,249707.9151405237
2026-03-31 09:10:00,40.53,39.28,40.53,39.27,112324.78780683
2026-03-31 09:15:00,39.72,39.33,40.05,39.33,13570.202329896389
2026-03-31 09:25:00,39.45,39.27,39.45,39.27,600.25287201
2026-03-31 09:35:00,39.42,39.23,39.42,39.23,74927.99262367
2026-03-31 09:40:00,39.41,39.9,39.9,39.41,23102.18602958
2026-03-31 09:45:00,39.5,39.89,39.89,39.5,5060.20141561
2026-03-31 09:50:00,39.5,39.1,39.5,38.99,196345.55035905
2026-03-31 09:55:00,39.08,39.04,39.08,39.03,18969.738137
2026-03-31 10:00:00,39.19,39.05,39.19,39.05,6247.62628242
2026-03-31 10:10:00,39.09,39.02,39.09,39.02,35846.02314786
2026-03-31 10:20:00,38.97,38.85,38.97,38.84,25290.27168452
2026-03-31 10:35:00,38.86,38.86,38.86,38.86,258.6353
2026-03-31 10:45:00,38.86,38.85,38.86,38.85,2606.75845049
2026-03-31 10:50:00,38.86,38.45,38.86,38.23,187146.83738147
2026-03-31 10:55:00,38.92,38.92,38.92,38.92,128.56775521
2026-03-31 11:00:00,38.9,38.9,38.98,38.9,36155.24827776
2026-03-31 11:05:00,38.89,39.24,39.24,38.89,2677.042418874373
2026-03-31 11:15:00,39.0,39.01,39.01,39.0,16695.35466639
2026-03-31 11:25:00,39.13,39.13,39.13,39.13,228.4029
2026-03-31 11:30:00,38.55,39.34,39.34,38.53,31379.197094971016
2026-03-31 11:40:00,39.01,39.0,39.01,39.0,7654.32523157
2026-03-31 11:45:00,39.0,38.61,39.0,38.61,4137.88007396
2026-03-31 11:50:00,39.0,39.33,39.33,39.0,59814.59279636456
2026-03-31 11:55:00,38.98,39.4,39.4,38.98,50796.81430973
2026-03-31 12:00:00,39.3,39.2,39.3,39.2,35944.50967857
2026-03-31 12:05:00,39.21,39.07,39.21,39.07,118688.86013964
2026-03-31 12:10:00,39.17,39.18,39.18,38.65,66168.0
2026-03-31 12:15:00,38.8,38.9,38.9,38.8,12069.1388
2026-03-31 12:20:00,38.82,38.83,38.83,38.82,17025.15917878
2026-03-31 12:25:00,38.83,38.83,38.83,38.83,7656.25261466
2026-03-31 12:30:00,38.83,38.93,38.93,38.83,2398.9738879
2026-03-31 12:35:00,38.62,38.61,38.62,38.61,93770.21238395
2026-03-31 12:40:00,38.64,39.09,39.09,38.64,492.10940278843697
2026-03-31 13:10:00,38.65,38.65,38.65,38.65,397.3291
2026-03-31 13:25:00,38.66,38.65,38.66,38.65,99999.99992342
2026-03-31 13:30:00,38.63,38.61,38.63,38.61,16695.35466639
2026-03-31 13:35:00,38.65,38.65,38.65,38.65,7.658e-05
2026-03-31 13:40:00,38.65,38.61,38.65,38.61,4527.38618687
2026-03-31 13:50:00,38.62,38.76,38.76,38.61,1712.02458231
2026-03-31 14:05:00,38.76,38.76,38.76,38.76,156.45693607
2026-03-31 14:10:00,38.61,38.61,38.61,38.61,37255.63727852
2026-03-31 14:15:00,38.58,38.53,38.58,38.51,99006.78358573
2026-03-31 14:25:00,38.81,38.81,38.81,38.81,1297.35339907
2026-03-31 14:30:00,38.92,38.92,38.92,38.92,2565.42213144
2026-03-31 14:35:00,38.9,38.91,38.91,38.9,4381.8859
2026-03-31 14:45:00,39.13,39.13,39.13,39.13,9738.52186363
2026-03-31 15:05:00,38.58,38.68,38.68,38.57,63283.22693871
2026-03-31 15:10:00,38.55,38.55,38.55,38.55,2698.82979938
2026-03-31 15:25:00,39.0,39.0,39.0,39.0,1000.0
2026-03-31 15:30:00,38.98,38.98,38.98,38.98,10628.63876737
2026-03-31 15:35:00,38.97,39.22,39.22,38.97,76220.26168524
2026-03-31 15:40:00,39.25,39.34,39.34,38.58,8880.33559415
2026-03-31 15:45:00,39.34,39.34,39.34,39.34,6140.0
2026-03-31 15:55:00,39.4,39.4,39.4,39.4,222.0
2026-03-31 16:00:00,39.43,39.49,39.49,39.43,7331.8811
2026-03-31 16:10:00,39.16,39.16,39.16,39.16,1732.58125971
2026-03-31 16:40:00,39.58,39.58,39.58,39.58,399.0
2026-03-31 16:45:00,39.55,39.6,39.6,39.55,47261.26602685
2026-03-31 17:00:00,39.41,39.34,39.41,39.34,20000.0
2026-03-31 17:05:00,39.06,39.06,39.06,39.06,130.5684
2026-03-31 17:10:00,39.36,39.36,39.36,39.36,129.5732
2026-03-31 17:20:00,39.06,39.36,39.36,39.06,658.7012
2026-03-31 17:25:00,39.36,39.94,39.94,39.36,18315.0
2026-03-31 17:30:00,39.38,39.38,39.38,39.38,240.5623
2026-03-31 17:45:00,39.33,39.14,39.33,39.14,30000.0
2026-03-31 18:00:00,39.06,39.06,39.06,39.06,241.2553
2026-03-31 18:05:00,39.65,39.65,39.65,39.65,4856.0
2026-03-31 18:15:00,39.64,39.63,39.65,39.06,26476.65317429
2026-03-31 18:20:00,39.15,39.15,39.15,39.15,260.8044
2026-03-31 18:35:00,39.15,39.15,39.15,39.15,130.2682
2026-03-31 19:20:00,39.69,39.12,39.69,39.12,3711.402
2026-03-31 20:05:00,39.19,39.19,39.19,39.19,263.4163
2026-03-31 20:10:00,39.9,39.9,39.9,39.9,704.0
2026-03-31 20:15:00,39.88,39.88,39.88,39.88,516.0
2026-03-31 20:35:00,39.45,39.45,39.45,39.45,1219.024
2026-03-31 21:30:00,39.26,39.26,39.26,39.26,5838.237
2026-03-31 21:45:00,39.13,39.12,39.13,39.12,3082.92213144
2026-03-31 21:55:00,39.14,39.14,39.14,39.14,328.25630252
2026-03-31 22:05:00,39.15,39.74,39.74,39.15,8876.4890691
2026-03-31 22:25:00,39.68,39.68,39.68,39.68,4787.7191
2026-03-31 22:35:00,39.68,39.66,39.68,39.66,352.94472580645163
2026-03-31 22:40:00,39.58,39.18,39.58,39.18,1169.1656213
2026-03-31 22:50:00,39.66,39.66,39.66,39.66,2114.0
2026-03-31 22:55:00,39.25,39.24,39.61,39.23,11144.2172
2026-03-31 23:00:00,39.57,39.6,39.63,39.57,3301.0
