time,open,close,high,low,volume
2026-03-09 03:00:00,28.16,28.05,28.5,28.05,191071.59967028
2026-03-09 04:00:00,28.15,28.45,28.58,28.15,97589.69441221
2026-03-09 05:00:00,28.35,28.57,28.57,28.27,188658.01653938
2026-03-09 06:00:00,28.39,28.35,28.39,28.35,52431.6281931
2026-03-09 07:00:00,28.34,28.33,28.34,28.33,12069.68319034
2026-03-09 08:00:00,28.24,28.3,28.3,28.24,23193.8087677
2026-03-09 09:00:00,28.16,28.16,28.16,28.16,3574.0
2026-03-09 11:00:00,28.02,28.03,28.03,28.02,3557.54789163
2026-03-09 13:00:00,28.25,28.31,28.42,28.21,31264.11707522
2026-03-09 14:00:00,28.12,28.06,28.12,28.06,3535.83247705
2026-03-09 15:00:00,28.01,28.11,28.11,27.98,1224.47991
2026-03-09 16:00:00,28.03,27.98,28.04,27.97,22238.812382
2026-03-09 17:00:00,28.08,28.08,28.08,28.08,197.78720114
2026-03-09 18:00:00,27.92,28.09,28.09,27.92,4161.356427
2026-03-09 19:00:00,28.1,28.01,28.38,27.96,82571.505165
2026-03-09 20:00:00,28.02,27.97,28.02,27.97,73734.374318
2026-03-09 21:00:00,27.97,27.97,27.97,27.97,75917.63192585
2026-03-09 22:00:00,27.89,27.85,27.89,27.83,5218.48447929
2026-03-09 23:00:00,27.85,27.79,27.86,27.79,8504.53159316
2026-03-10 00:00:00,27.79,28.0,28.02,27.75,240344.0495739905
2026-03-10 01:00:00,27.96,28.0,28.01,27.89,286068.06835176
2026-03-10 02:00:00,28.09,28.09,28.09,28.09,116188.4834438
2026-03-10 03:00:00,28.13,28.07,28.2,28.04,157567.39077463
2026-03-10 04:00:00,28.16,28.16,28.16,28.16,8877.8409091
2026-03-10 05:00:00,28.17,28.02,28.18,28.02,50751.11773259
2026-03-10 06:00:00,27.97,28.04,28.05,27.97,57396.18021371
2026-03-10 07:00:00,28.03,28.01,28.04,27.98,58893.18695978413
2026-03-10 08:00:00,28.09,28.09,28.11,28.05,24568.93055543
2026-03-10 09:00:00,28.18,28.36,28.36,28.18,144639.31295299486
2026-03-10 11:00:00,28.29,28.29,28.29,28.29,1760.85061295
2026-03-10 13:00:00,28.09,28.04,28.09,28.04,781.73357377
2026-03-10 14:00:00,28.06,28.61,28.69,27.88,194270.26753847
2026-03-10 15:00:00,28.53,28.23,28.53,28.2,107928.36826125
2026-03-10 16:00:00,28.25,28.27,28.38,28.25,14248.82246211
2026-03-10 17:00:00,28.14,28.3,28.3,28.13,37858.62391177
2026-03-10 18:00:00,28.05,28.05,28.06,28.05,2249.84912423
2026-03-10 19:00:00,28.05,27.96,28.05,27.95,36862.85967388
2026-03-10 20:00:00,28.07,28.13,28.13,28.07,181521.86713383
2026-03-10 21:00:00,28.09,27.91,28.09,27.89,89619.70522875
2026-03-10 22:00:00,27.98,27.95,27.98,27.87,28989.50450584
2026-03-10 23:00:00,28.13,28.13,28.13,28.13,355.49235692
2026-03-11 00:00:00,28.13,28.04,28.16,28.04,105845.82617434
2026-03-11 01:00:00,28.05,28.05,28.05,28.05,11151.67368571
2026-03-11 02:00:00,27.93,27.94,27.94,27.92,109363.83348589
2026-03-11 03:00:00,27.94,27.99,27.99,27.88,37238.95288526
2026-03-11 04:00:00,28.11,28.12,28.12,28.11,7290.22048365
2026-03-11 05:00:00,28.09,27.96,28.09,27.82,9978.36611503
2026-03-11 06:00:00,27.9,28.0,28.0,27.9,115009.88376992
2026-03-11 07:00:00,28.09,28.0,28.13,27.95,138659.41522008
2026-03-11 08:00:00,28.09,28.15,28.32,28.09,294692.47080469
2026-03-11 09:00:00,28.16,28.5,28.5,28.16,95395.0218902
2026-03-11 10:00:00,28.6,28.6,28.6,28.6,1137.780251
2026-03-11 11:00:00,28.35,28.49,28.49,28.35,45921.413561
2026-03-11 12:00:00,28.47,28.71,28.71,28.47,49970.68299687
2026-03-11 13:00:00,28.63,28.36,28.74,28.36,145635.416481
2026-03-11 14:00:00,28.63,28.54,28.65,28.46,141923.3007471
2026-03-11 15:00:00,28.4,28.45,28.45,28.3,27778.37759335
2026-03-11 16:00:00,28.45,28.49,28.49,28.37,42368.32871604
2026-03-11 17:00:00,28.53,28.41,28.53,28.23,127252.35786873
2026-03-11 18:00:00,28.45,28.45,28.45,28.45,17542.86104836
2026-03-11 19:00:00,28.53,28.53,28.53,28.53,193067.44282182
2026-03-11 21:00:00,28.53,28.53,28.53,28.53,35050.82369436
2026-03-12 00:00:00,28.45,28.47,28.55,28.45,5961.20369676
2026-03-12 01:00:00,28.48,28.48,28.48,28.48,3503.0
2026-03-12 02:00:00,28.54,28.31,28.57,28.31,36148.56522736
2026-03-12 03:00:00,28.18,28.18,28.18,28.18,3539.0
2026-03-12 04:00:00,28.28,28.17,28.28,28.17,14897.6
2026-03-12 05:00:00,28.21,28.16,28.24,28.12,240071.8786916
2026-03-12 06:00:00,28.21,28.19,28.21,28.19,2216.35685405
2026-03-12 07:00:00,28.11,28.16,28.16,28.11,35896.83895141
2026-03-12 08:00:00,28.16,28.13,28.16,28.13,17671.33865692
2026-03-12 09:00:00,28.16,28.16,28.16,28.16,581.3933
2026-03-12 10:00:00,28.24,28.52,28.52,28.24,41017.02422718
2026-03-12 11:00:00,28.37,28.41,28.41,28.37,42000.0
2026-03-12 12:00:00,28.27,28.14,28.34,28.14,154764.95685705
2026-03-12 13:00:00,28.17,28.03,28.23,28.03,20625.89435419
2026-03-12 14:00:00,28.07,28.07,28.07,27.91,59177.08694104
2026-03-12 15:00:00,28.07,28.18,28.24,28.01,34213.05126561
2026-03-12 16:00:00,28.06,28.05,28.06,28.05,802.821703
2026-03-12 17:00:00,28.05,28.05,28.05,28.05,200.0
2026-03-12 20:00:00,28.02,27.98,28.02,27.98,3500.0
2026-03-12 21:00:00,27.96,28.11,28.11,27.96,37706.67417564
2026-03-12 23:00:00,28.14,28.12,28.14,28.04,107856.59593770924
2026-03-13 00:00:00,28.14,28.18,28.48,28.14,117658.08942968
2026-03-13 01:00:00,28.29,28.31,28.31,28.27,95891.463945
2026-03-13 02:00:00,28.32,28.2,28.34,28.2,36714.11401144
2026-03-13 03:00:00,28.21,28.45,28.45,28.21,107002.15731736
2026-03-13 04:00:00,28.5,28.39,28.5,28.31,13761.10884096
2026-03-13 05:00:00,28.37,28.37,28.43,28.33,34164.63535989
2026-03-13 06:00:00,28.36,28.37,28.38,28.36,14432.3826
2026-03-13 07:00:00,28.33,28.41,28.41,28.33,4804.100731
2026-03-13 08:00:00,28.4,28.28,28.4,28.28,7250.65031188
2026-03-13 09:00:00,28.34,28.44,28.45,28.34,37058.05830733
2026-03-13 10:00:00,28.47,28.49,28.51,28.47,68672.64730313
2026-03-13 11:00:00,28.52,28.51,28.54,28.51,64454.87750336
2026-03-13 12:00:00,28.47,28.53,28.53,28.36,83308.70553638
2026-03-13 13:00:00,28.49,28.56,28.64,28.49,150141.86875135
2026-03-13 14:00:00,28.74,28.62,28.87,28.55,180164.34812474
2026-03-13 15:00:00,28.67,28.61,28.88,28.6,142336.69169436
2026-03-13 16:00:00,28.58,28.57,28.6,28.47,60875.6928116
2026-03-13 17:00:00,28.57,28.37,28.57,28.29,102250.87250598
2026-03-13 18:00:00,28.31,28.33,28.35,28.31,50680.85214679
2026-03-13 19:00:00,28.33,28.33,28.34,28.32,55088.2635838
2026-03-13 22:00:00,28.36,28.18,28.36,28.08,39345.86046052
2026-03-13 23:00:00,28.22,28.22,28.22,28.2,212900.39619163
2026-03-14 00:00:00,28.3,28.26,28.3,28.23,6691.63913704
2026-03-14 01:00:00,28.18,28.18,28.19,28.18,13067.32384757
2026-03-14 02:00:00,28.3,28.3,28.3,28.3,176.67844523
2026-03-14 03:00:00,28.32,28.32,28.32,28.32,2271.144
2026-03-14 04:00:00,28.4,28.4,28.44,28.4,25026.20074095
2026-03-14 05:00:00,28.33,28.22,28.33,28.22,14717.03073797
2026-03-14 06:00:00,28.1,27.87,28.1,27.87,37954.87847912
2026-03-14 07:00:00,28.07,28.08,28.08,28.07,2052.2896299
2026-03-14 08:00:00,28.06,28.05,28.16,28.05,28561.743572744974
2026-03-14 09:00:00,28.2,28.13,28.2,28.13,1709.2198581560283
2026-03-14 10:00:00,28.11,28.11,28.11,28.11,200.0
2026-03-14 11:00:00,28.11,28.28,28.28,28.11,63087.73931354
2026-03-14 12:00:00,28.28,28.28,28.28,28.28,2.962e-05
2026-03-14 13:00:00,28.19,28.25,28.25,28.18,785.86550895
2026-03-14 15:00:00,28.07,28.07,28.07,28.07,7052.0
2026-03-14 16:00:00,28.28,28.25,28.28,28.25,3526.0
2026-03-14 17:00:00,28.19,28.19,28.19,28.19,801.16454909
2026-03-14 19:00:00,28.2,28.2,28.2,28.2,320.0
2026-03-14 20:00:00,28.15,28.18,28.25,28.15,37568.26313435
2026-03-14 21:00:00,28.17,28.16,28.17,28.09,17581.90845
2026-03-14 23:00:00,28.21,28.21,28.21,28.21,177.31300957
2026-03-15 00:00:00,28.35,28.22,28.39,28.17,88646.62914884044
2026-03-15 01:00:00,28.2,28.28,28.28,28.2,48845.91524953
2026-03-15 02:00:00,28.34,28.44,28.44,28.34,81281.53929421
2026-03-15 03:00:00,28.4,28.31,28.4,28.31,72938.16525882
2026-03-15 04:00:00,28.29,28.32,28.32,28.29,140495.07946694
2026-03-15 05:00:00,28.27,28.26,28.27,28.26,73602.38115619
2026-03-15 06:00:00,28.26,28.31,28.31,28.26,551.7483
2026-03-15 07:00:00,28.35,28.36,28.39,28.34,19638.579932
2026-03-15 08:00:00,28.44,28.54,28.54,28.44,13109.6805436
2026-03-15 09:00:00,28.57,28.61,28.61,28.57,75868.93391611
2026-03-15 10:00:00,28.71,28.71,28.71,28.71,1044.93207942
2026-03-15 11:00:00,28.76,28.69,28.76,28.69,50591.015
2026-03-15 12:00:00,28.67,28.66,28.73,28.66,69657.13484448349
2026-03-15 13:00:00,28.6,28.46,28.6,28.44,112872.09656825
2026-03-15 14:00:00,28.58,28.67,28.67,28.55,141222.11649588
2026-03-15 15:00:00,28.66,28.57,28.66,28.57,32816.46894627
2026-03-15 17:00:00,28.73,28.72,28.73,28.72,1016.81190002
2026-03-15 20:00:00,28.71,28.71,28.71,28.71,50063.3398
2026-03-15 21:00:00,28.59,28.74,28.74,28.59,14523.90448423
2026-03-15 22:00:00,28.7,28.76,28.81,28.53,133018.79501409442
2026-03-15 23:00:00,28.76,28.54,28.79,28.54,78911.19472576
2026-03-16 00:00:00,28.66,28.68,28.69,28.58,81215.14299077
2026-03-16 01:00:00,28.7,28.91,28.91,28.68,93883.91711667
2026-03-16 02:00:00,28.91,29.3,29.31,28.86,183293.50212343
2026-03-16 03:00:00,29.34,29.41,29.51,29.19,126919.95047963
2026-03-16 04:00:00,29.41,29.56,29.67,29.41,57596.7011653
2026-03-16 05:00:00,29.53,29.66,29.66,29.53,12335.8213
2026-03-16 06:00:00,29.81,30.01,30.01,29.81,82543.38284491
2026-03-16 07:00:00,29.81,29.53,29.89,29.53,240853.8111238
2026-03-16 08:00:00,29.55,29.43,29.7,29.43,96455.07965528
2026-03-16 09:00:00,29.63,30.39,30.45,29.63,985715.45746962
2026-03-16 10:00:00,30.3,29.99,30.57,29.99,1283899.81681257
