time,open,close,high,low,volume
2026-03-26 19:35:00,0.842,0.842,0.842,0.84,1034663.54836196
2026-03-26 19:40:00,0.842,0.842,0.842,0.842,496045.7426173
2026-03-26 19:55:00,0.8534,0.8228,0.8534,0.8227,4495274.43051139
2026-03-26 20:00:00,0.8409,0.8228,0.8414,0.8227,1585866.38034089
2026-03-26 20:05:00,0.8228,0.8228,0.8228,0.8228,91152.16327815
2026-03-26 20:10:00,0.8224,0.8223,0.8224,0.8223,2121610.11796182
2026-03-26 20:15:00,0.8228,0.8223,0.8228,0.8223,2558714.88425685
2026-03-26 20:20:00,0.8223,0.8222,0.8223,0.8222,1847400.00017644
2026-03-26 20:25:00,0.8167,0.8222,0.8222,0.8167,17175.242992
2026-03-26 20:30:00,0.8222,0.8167,0.8222,0.8167,4674708.36119778
2026-03-26 20:35:00,0.8167,0.8222,0.8222,0.8166,7911451.25739831
2026-03-26 20:40:00,0.8366,0.8366,0.8366,0.8366,1196317.24930329
2026-03-26 20:45:00,0.8469,0.8469,0.8469,0.8469,317796.670209
2026-03-26 20:50:00,0.826,0.8235,0.826,0.8159,1519328.75073551
2026-03-26 20:55:00,0.8171,0.8328,0.8328,0.8007,12543089.7945183
2026-03-26 21:00:00,0.801,0.8011,0.8011,0.801,609299.59713445
2026-03-26 21:05:00,0.82,0.826,0.826,0.8198,990359.71937009
2026-03-26 21:10:00,0.8202,0.8465,0.8465,0.8198,8531661.47420475
2026-03-26 21:15:00,0.8204,0.8204,0.8204,0.8204,996706.1515
2026-03-26 21:20:00,0.8202,0.8201,0.8202,0.8201,1557800.04309139
2026-03-26 21:25:00,0.8201,0.8007,0.8201,0.8005,19373385.05084354
2026-03-26 21:30:00,0.8007,0.8179,0.8179,0.8005,1072810.13838704
2026-03-26 21:35:00,0.8008,0.8177,0.8177,0.8005,6142135.10871284
2026-03-26 21:45:00,0.8198,0.82,0.8207,0.8198,1926051.44050827
2026-03-26 21:50:00,0.8007,0.803,0.813,0.7955,16897064.30689946
2026-03-26 21:55:00,0.8075,0.8056,0.8075,0.798,11090370.6315356
2026-03-26 22:00:00,0.8001,0.8049,0.8132,0.798,598020.6094488
