time,open,close,high,low,volume
2026-02-25 18:00:00,27.72,27.78,28.01,27.34,279999.6085097
2026-02-25 19:00:00,27.78,27.33,27.78,27.22,163563.94698844
2026-02-25 20:00:00,27.33,27.66,27.66,27.33,57526.97602153
2026-02-25 21:00:00,27.66,27.75,27.98,27.66,93825.23018864
2026-02-25 22:00:00,28.0,27.44,28.08,27.44,139464.10436251
2026-02-25 23:00:00,27.34,26.68,27.34,26.21,110111.057671
2026-02-26 00:00:00,26.66,26.63,26.8,26.35,134387.66725967
2026-02-26 01:00:00,26.23,26.49,26.62,26.21,496052.01025213
2026-02-26 02:00:00,26.21,26.98,26.98,26.2,83271.63266395
2026-02-26 03:00:00,27.09,27.04,27.1,26.6,6694.55025933
2026-02-26 04:00:00,26.58,26.64,26.87,26.49,73162.96693911
2026-02-26 05:00:00,26.43,26.32,26.5,26.17,134636.85421285
2026-02-26 06:00:00,26.62,25.82,26.62,25.82,319405.59481865
2026-02-26 07:00:00,25.9,26.11,26.17,25.71,443334.92930075
2026-02-26 08:00:00,25.89,25.76,26.21,25.74,58626.97609194
2026-02-26 09:00:00,25.76,26.19,26.19,25.76,2476.38573914
2026-02-26 10:00:00,26.19,25.76,26.19,25.76,23544.07250949
2026-02-26 11:00:00,25.76,25.75,26.11,25.54,1043067.79775408
2026-02-26 12:00:00,25.76,25.95,26.13,25.76,261646.59557177
2026-02-26 13:00:00,26.03,26.18,26.18,26.03,87293.16106143
2026-02-26 14:00:00,26.03,25.9,26.03,25.76,381685.74740681
2026-02-26 15:00:00,25.79,25.84,26.01,25.0,647625.30579225
2026-02-26 16:00:00,25.45,24.95,25.74,24.84,331114.22871699
2026-02-26 17:00:00,24.85,25.22,25.22,24.84,860823.98133686
2026-02-26 18:00:00,24.85,25.27,25.27,24.85,12082.39885613
2026-02-26 19:00:00,25.13,25.43,25.48,24.87,162997.42028805
2026-02-26 22:00:00,25.43,25.45,25.45,25.43,6289.92720108
2026-02-26 23:00:00,25.3,25.44,25.44,25.3,1183.595561
2026-02-27 00:00:00,25.15,25.29,25.43,25.08,170149.00267396
2026-02-27 01:00:00,25.36,25.38,25.38,25.24,17415.23082833
2026-02-27 02:00:00,25.45,25.66,25.66,25.3,43692.44271623
2026-02-27 03:00:00,25.72,26.3,26.3,25.66,110057.56245111
2026-02-27 04:00:00,26.3,26.91,26.97,26.3,133240.94055666
2026-02-27 05:00:00,26.9,27.18,27.34,26.9,149832.06956829
2026-02-27 06:00:00,27.19,26.97,27.26,26.94,442990.73009796
2026-02-27 07:00:00,26.93,26.93,26.93,26.65,99830.82457032
2026-02-27 08:00:00,26.99,27.45,27.45,26.99,229795.79787613
2026-02-27 09:00:00,27.49,27.76,27.76,27.2,90485.90505572
2026-02-27 10:00:00,27.63,27.18,27.93,27.07,362221.83786039
2026-02-27 11:00:00,27.09,26.3,27.09,25.6,471927.389783
2026-02-27 12:00:00,26.13,26.18,26.4,26.12,71476.73407166
2026-02-27 13:00:00,26.18,26.16,27.23,26.0,1022127.88577447
2026-02-27 14:00:00,26.2,26.2,26.45,26.17,51955.7962003
2026-02-27 15:00:00,26.39,26.47,26.66,26.18,34171.25040191
2026-02-27 16:00:00,26.31,26.1,26.53,26.1,38525.48589442
2026-02-27 17:00:00,26.1,26.95,26.95,26.1,388454.45466559
2026-02-27 18:00:00,26.8,26.68,26.99,26.67,203316.10724945
2026-02-27 19:00:00,26.7,26.65,26.8,26.53,76177.27938482
2026-02-27 20:00:00,26.66,26.35,26.67,26.35,62821.36955491
2026-02-27 21:00:00,26.25,26.0,26.53,25.89,765996.72690233
2026-02-27 22:00:00,26.2,26.7,27.42,26.2,299591.38832623
2026-02-27 23:00:00,26.48,26.27,26.58,26.0,677239.30686296
2026-02-28 00:00:00,26.5,27.14,27.14,26.5,120933.68846176
2026-02-28 01:00:00,26.61,26.63,26.78,26.61,13514.71954618
2026-02-28 02:00:00,27.05,27.32,27.32,27.05,239410.82597927
2026-02-28 03:00:00,27.32,27.8,29.0,27.32,1438263.05383455
2026-02-28 04:00:00,27.96,27.06,27.99,26.82,1319248.09767539
2026-02-28 05:00:00,27.17,27.16,27.59,27.13,351056.16747646
2026-02-28 06:00:00,27.32,25.8,27.5,25.63,1995489.95905049
