time,open,close,high,low,volume
2026-03-04 07:00:00,1.209,1.205,1.211,1.203,6438359.77049244
2026-03-04 08:00:00,1.205,1.223,1.233,1.204,10456261.349738248
2026-03-04 09:00:00,1.223,1.223,1.233,1.21,13492348.84872739
2026-03-04 10:00:00,1.223,1.213,1.225,1.212,6843907.98749187
2026-03-04 11:00:00,1.214,1.216,1.222,1.211,6572865.12514439
2026-03-04 12:00:00,1.215,1.216,1.223,1.214,5017508.80280052
2026-03-04 13:00:00,1.216,1.218,1.222,1.213,5485375.073484186
2026-03-04 14:00:00,1.218,1.23,1.23,1.213,2866569.235797674
2026-03-04 15:00:00,1.23,1.231,1.233,1.213,8942991.655171065
2026-03-04 16:00:00,1.229,1.214,1.229,1.212,4315992.89320161
2026-03-04 17:00:00,1.213,1.215,1.22,1.208,2133340.45162565
2026-03-04 18:00:00,1.215,1.215,1.215,1.215,55427.47239074
2026-03-04 19:00:00,1.215,1.224,1.224,1.215,9793991.05697435
2026-03-04 20:00:00,1.213,1.224,1.224,1.213,381798.57555045
2026-03-04 21:00:00,1.224,1.224,1.224,1.212,1481034.18401636
2026-03-04 22:00:00,1.22,1.214,1.223,1.21,10591091.93456082
2026-03-04 23:00:00,1.217,1.211,1.217,1.207,5624192.44640208
2026-03-05 00:00:00,1.207,1.233,1.233,1.207,5611673.75430528
2026-03-05 01:00:00,1.233,1.213,1.244,1.207,29686396.159091894
2026-03-05 02:00:00,1.215,1.21,1.217,1.21,4361043.79420832
2026-03-05 03:00:00,1.21,1.215,1.215,1.206,1956602.2546651
2026-03-05 04:00:00,1.208,1.204,1.208,1.204,1450555.7179323
2026-03-05 05:00:00,1.212,1.206,1.213,1.206,583148.8749230034
2026-03-05 06:00:00,1.206,1.205,1.213,1.205,842758.13840614
2026-03-05 07:00:00,1.213,1.206,1.215,1.205,3965259.91433756
2026-03-05 08:00:00,1.206,1.207,1.211,1.204,733054.53364219
2026-03-05 09:00:00,1.211,1.207,1.212,1.205,613035.37407966
2026-03-05 10:00:00,1.212,1.22,1.22,1.212,1973138.72980395
2026-03-05 11:00:00,1.22,1.218,1.23,1.217,4422837.21921667
2026-03-05 12:00:00,1.218,1.213,1.221,1.211,4232399.262339844
2026-03-05 13:00:00,1.214,1.222,1.222,1.214,378986.56429191
2026-03-05 14:00:00,1.215,1.229,1.229,1.213,27402904.93545173
2026-03-05 15:00:00,1.221,1.221,1.375,1.218,422300190.99756396
2026-03-05 16:00:00,1.221,1.23,1.234,1.209,12621319.609706592
2026-03-05 17:00:00,1.228,1.237,1.237,1.22,1443192.13084403
2026-03-05 18:00:00,1.233,1.236,1.261,1.22,19444197.31494052
2026-03-05 19:00:00,1.232,1.23,1.246,1.23,1750935.2323034
2026-03-05 20:00:00,1.23,1.243,1.256,1.23,3020380.46587365
2026-03-05 21:00:00,1.243,1.249,1.296,1.241,87015238.44504595
2026-03-05 22:00:00,1.25,1.271,1.279,1.248,16050314.29523446
2026-03-05 23:00:00,1.271,1.254,1.271,1.253,13179077.83361518
2026-03-06 00:00:00,1.254,1.248,1.254,1.243,15570324.47229841
2026-03-06 01:00:00,1.243,1.237,1.255,1.235,14868636.13620099
2026-03-06 02:00:00,1.239,1.241,1.241,1.227,9601561.83504927
2026-03-06 03:00:00,1.242,1.238,1.242,1.226,4820635.3176821
2026-03-06 04:00:00,1.242,1.248,1.248,1.227,2115469.72727712
2026-03-06 05:00:00,1.239,1.231,1.25,1.23,4913562.48777091
2026-03-06 06:00:00,1.248,1.252,1.252,1.248,1105468.9860975
2026-03-06 07:00:00,1.251,1.238,1.251,1.238,4057147.9930061
2026-03-06 08:00:00,1.236,1.235,1.236,1.23,10544076.19713757
2026-03-06 09:00:00,1.236,1.238,1.239,1.235,1778715.59479165
2026-03-06 10:00:00,1.238,1.24,1.24,1.238,62972.21324718
2026-03-06 11:00:00,1.244,1.255,1.256,1.244,6002050.95938941
2026-03-06 12:00:00,1.255,1.243,1.257,1.23,7680630.99668022
2026-03-06 13:00:00,1.236,1.232,1.242,1.232,1691396.37250096
2026-03-06 14:00:00,1.233,1.233,1.236,1.226,5059218.41832136
2026-03-06 15:00:00,1.239,1.211,1.239,1.205,10960807.83701786
2026-03-06 16:00:00,1.217,1.204,1.217,1.204,4022350.5691231
2026-03-06 17:00:00,1.204,1.208,1.217,1.197,18029153.64936538
2026-03-06 18:00:00,1.207,1.207,1.207,1.207,74702.60484934
2026-03-06 19:00:00,1.209,1.222,1.222,1.209,1093476.14782092
2026-03-06 20:00:00,1.224,1.216,1.225,1.216,494964.8368397
2026-03-06 21:00:00,1.225,1.225,1.225,1.225,14657.94440188
2026-03-06 22:00:00,1.225,1.219,1.225,1.215,4835424.73308264
2026-03-06 23:00:00,1.216,1.23,1.234,1.216,11521681.95450546
2026-03-07 00:00:00,1.23,1.235,1.36,1.227,357786684.9016174
2026-03-07 01:00:00,1.239,1.263,1.354,1.239,157753239.4099394
2026-03-07 02:00:00,1.261,1.261,1.287,1.261,14784797.63996474
2026-03-07 03:00:00,1.265,1.285,1.309,1.265,46689669.06563602
2026-03-07 04:00:00,1.285,1.265,1.285,1.264,20291380.70378746
2026-03-07 05:00:00,1.265,1.287,1.289,1.264,8682569.81964854
2026-03-07 06:00:00,1.287,1.277,1.29,1.276,1650915.38957498
2026-03-07 07:00:00,1.277,1.275,1.286,1.275,5339217.06986845
2026-03-07 08:00:00,1.276,1.284,1.299,1.275,592747.58560416
2026-03-07 09:00:00,1.294,1.271,1.312,1.251,56681654.97943143
2026-03-07 10:00:00,1.271,1.268,1.271,1.267,486512.69410715
2026-03-07 11:00:00,1.267,1.294,1.296,1.265,10315664.31181895
2026-03-07 12:00:00,1.293,1.294,1.3,1.293,5210042.58825226
2026-03-07 13:00:00,1.294,1.295,1.295,1.289,1367783.28494688
2026-03-07 14:00:00,1.295,1.276,1.295,1.275,3727424.05725309
2026-03-07 15:00:00,1.284,1.225,1.346,1.21,274864554.0978664
2026-03-07 16:00:00,1.225,1.234,1.234,1.219,9848004.15345427
2026-03-07 17:00:00,1.229,1.233,1.234,1.224,4294496.37730192
2026-03-07 18:00:00,1.231,1.23,1.231,1.23,1221174.32674806
2026-03-07 19:00:00,1.238,1.238,1.238,1.238,27204.60561035
2026-03-07 20:00:00,1.231,1.238,1.238,1.231,664524.83016152
2026-03-07 21:00:00,1.238,1.24,1.24,1.234,4491936.85100568
2026-03-07 22:00:00,1.24,1.232,1.24,1.231,7803150.1858488
2026-03-07 23:00:00,1.234,1.229,1.24,1.229,10318398.93359961
2026-03-08 00:00:00,1.229,1.228,1.237,1.228,3079403.38698836
2026-03-08 01:00:00,1.236,1.235,1.24,1.227,4606188.20427371
2026-03-08 02:00:00,1.241,1.237,1.241,1.23,712550.49787348
2026-03-08 03:00:00,1.233,1.229,1.237,1.229,2053450.62641434
2026-03-08 04:00:00,1.23,1.23,1.233,1.227,2180307.5626204
2026-03-08 05:00:00,1.23,1.227,1.23,1.227,324457.16946747
2026-03-08 06:00:00,1.229,1.231,1.242,1.229,1149981.477203593
2026-03-08 07:00:00,1.232,1.232,1.236,1.232,584454.04079378
2026-03-08 08:00:00,1.232,1.265,1.266,1.232,19959472.536221348
2026-03-08 09:00:00,1.26,1.277,1.28,1.245,12456215.36074764
2026-03-08 10:00:00,1.27,1.28,1.28,1.265,2415778.84864172
2026-03-08 11:00:00,1.279,1.268,1.28,1.259,3490422.98529672
2026-03-08 12:00:00,1.268,1.275,1.285,1.263,5444174.50433796
2026-03-08 13:00:00,1.284,1.274,1.285,1.274,4188138.86533977
2026-03-08 14:00:00,1.279,1.283,1.285,1.248,8859017.52036412
2026-03-08 15:00:00,1.282,1.288,1.299,1.261,22057185.16969598
2026-03-08 16:00:00,1.271,1.254,1.271,1.254,2819650.85635563
2026-03-08 17:00:00,1.253,1.249,1.253,1.249,529572.97983821
2026-03-08 18:00:00,1.265,1.261,1.278,1.26,4043043.67717165
2026-03-08 19:00:00,1.278,1.284,1.284,1.274,729931.59060441
2026-03-08 21:00:00,1.284,1.278,1.284,1.266,2072885.00619834
2026-03-08 22:00:00,1.276,1.266,1.278,1.265,1062863.0366096
2026-03-08 23:00:00,1.276,1.265,1.28,1.265,171762.71448043
2026-03-09 00:00:00,1.273,1.266,1.276,1.258,2599311.82645021
2026-03-09 01:00:00,1.271,1.254,1.272,1.249,1456962.20362567
2026-03-09 02:00:00,1.254,1.246,1.262,1.244,2461368.14777706
2026-03-09 03:00:00,1.246,1.242,1.259,1.241,1251144.51695008
2026-03-09 04:00:00,1.242,1.241,1.242,1.241,733042.81955336
2026-03-09 05:00:00,1.259,1.259,1.259,1.257,1433383.95813852
2026-03-09 06:00:00,1.262,1.262,1.262,1.262,15325.67049809
2026-03-09 07:00:00,1.259,1.263,1.263,1.257,534496.18098879
2026-03-09 08:00:00,1.263,1.296,1.296,1.263,4884094.379818426
2026-03-09 09:00:00,1.29,1.294,1.294,1.283,1390896.16911444
2026-03-09 10:00:00,1.284,1.283,1.284,1.283,721773.18346294
2026-03-09 11:00:00,1.283,1.292,1.292,1.283,664898.97786332
2026-03-09 12:00:00,1.292,1.292,1.292,1.292,44981.42414861
2026-03-09 13:00:00,1.291,1.292,1.292,1.285,1567008.79643169
2026-03-09 14:00:00,1.291,1.293,1.294,1.284,1272543.8568563433
2026-03-09 15:00:00,1.285,1.284,1.286,1.284,1903015.27880106
2026-03-09 16:00:00,1.284,1.284,1.284,1.284,1560639.18601149
2026-03-09 17:00:00,1.284,1.283,1.284,1.283,1034781.58706577
2026-03-09 18:00:00,1.282,1.278,1.282,1.278,2201415.88388928
2026-03-09 19:00:00,1.278,1.282,1.282,1.262,2959100.18566122
2026-03-09 20:00:00,1.278,1.289,1.289,1.278,837785.40229133
2026-03-09 21:00:00,1.289,1.284,1.294,1.284,1631454.83649005
2026-03-09 22:00:00,1.283,1.274,1.283,1.272,1268515.10997453
2026-03-09 23:00:00,1.273,1.283,1.283,1.272,736126.55643683
2026-03-10 00:00:00,1.283,1.278,1.287,1.278,383002.102743
2026-03-10 01:00:00,1.278,1.279,1.279,1.278,955852.74499443
2026-03-10 02:00:00,1.277,1.27,1.279,1.27,904891.44569405
2026-03-10 03:00:00,1.271,1.27,1.275,1.27,448857.82214795
2026-03-10 04:00:00,1.269,1.27,1.27,1.268,58252.07429498
2026-03-10 05:00:00,1.27,1.262,1.274,1.262,2932716.3922483
2026-03-10 06:00:00,1.262,1.275,1.275,1.261,2180971.48708321
2026-03-10 07:00:00,1.271,1.286,1.286,1.269,7489145.32627885
2026-03-10 08:00:00,1.281,1.287,1.288,1.28,675623.0030111
2026-03-10 09:00:00,1.285,1.294,1.301,1.285,3020651.87836754
2026-03-10 10:00:00,1.294,1.291,1.295,1.291,165945.84179407
2026-03-10 11:00:00,1.295,1.296,1.299,1.291,723412.4174333614
2026-03-10 14:00:00,1.292,1.296,1.297,1.29,635056.55067695
2026-03-10 15:00:00,1.296,1.287,1.298,1.287,4266848.57179194
2026-03-10 16:00:00,1.287,1.298,1.298,1.287,843318.6247533822
2026-03-10 17:00:00,1.289,1.279,1.298,1.279,1280794.93169961
2026-03-10 18:00:00,1.279,1.274,1.279,1.274,679456.63361378
2026-03-10 19:00:00,1.276,1.274,1.276,1.274,1703766.89529382
2026-03-10 20:00:00,1.277,1.281,1.281,1.277,151607.04849872
2026-03-10 21:00:00,1.28,1.258,1.28,1.25,8800555.24992434
2026-03-10 22:00:00,1.258,1.239,1.259,1.239,5277695.73571693
