time,open,close,high,low,volume
2026-03-08 06:00:00,10.38,10.49,10.49,10.37,165104.71469612
2026-03-08 07:00:00,10.48,10.77,10.8,10.48,2230262.90158202
2026-03-08 08:00:00,10.76,10.76,10.86,10.73,536643.31841517
2026-03-08 09:00:00,10.78,10.77,10.95,10.73,3568789.89152672
2026-03-08 10:00:00,10.72,10.85,10.92,10.7,869791.60025339
2026-03-08 11:00:00,10.85,10.73,10.87,10.64,2106881.9316506
2026-03-08 12:00:00,10.76,10.62,10.82,10.6,691302.3059065
2026-03-08 13:00:00,10.75,10.79,10.79,10.68,1270896.0002965175
2026-03-08 14:00:00,10.77,10.71,10.77,10.65,426763.97283804
2026-03-08 15:00:00,10.7,10.55,10.7,10.46,5532293.2124127
2026-03-08 16:00:00,10.53,10.45,10.53,10.41,240429.91537405312
2026-03-08 17:00:00,10.5,10.52,10.52,10.49,37118.169722
2026-03-08 18:00:00,10.52,10.51,10.52,10.51,177223.14159793
2026-03-08 19:00:00,10.51,10.6,10.62,10.51,219779.42928475
2026-03-08 20:00:00,10.6,10.64,10.65,10.59,817404.5435755558
2026-03-08 21:00:00,10.62,10.66,10.66,10.62,951799.58739904
2026-03-08 22:00:00,10.59,10.56,10.59,10.46,1192535.28472142
2026-03-08 23:00:00,10.55,10.47,10.55,10.43,1071086.95828818
2026-03-09 00:00:00,10.48,10.62,10.64,10.48,1372946.47682619
2026-03-09 01:00:00,10.62,10.65,10.7,10.58,1826000.64661375
2026-03-09 02:00:00,10.63,10.65,10.71,10.56,2195825.52012549
2026-03-09 03:00:00,10.71,10.67,10.81,10.64,1031723.8822934
2026-03-09 04:00:00,10.69,10.71,10.74,10.68,245742.6712195718
2026-03-09 05:00:00,10.69,10.71,10.75,10.66,148747.17132461816
2026-03-09 06:00:00,10.76,10.57,10.76,10.57,578434.42277852
2026-03-09 07:00:00,10.55,10.65,10.67,10.49,230099.18814648
2026-03-09 08:00:00,10.65,10.63,10.73,10.63,454543.5040821
2026-03-09 09:00:00,10.54,10.53,10.57,10.53,877005.35487169
2026-03-09 10:00:00,10.53,10.55,10.59,10.46,699524.26013322
2026-03-09 11:00:00,10.53,10.63,10.63,10.51,323415.77934277
2026-03-09 12:00:00,10.6,10.68,10.74,10.6,234090.46932035
2026-03-09 13:00:00,10.68,10.68,10.73,10.68,42966.82358673
2026-03-09 14:00:00,10.77,10.72,10.83,10.68,631312.2448038
2026-03-09 15:00:00,10.69,10.68,10.75,10.6,1543140.22458916
2026-03-09 16:00:00,10.67,10.74,10.76,10.59,183609.15589149
2026-03-09 17:00:00,10.73,10.73,10.78,10.69,448493.52033225
2026-03-09 18:00:00,10.65,10.68,10.68,10.65,6066.29330923
2026-03-09 19:00:00,10.67,10.67,10.75,10.66,502580.14052447
2026-03-09 20:00:00,10.7,10.76,10.76,10.57,1438863.30720091
2026-03-09 21:00:00,10.75,10.71,10.8,10.71,35989.82241487
2026-03-09 22:00:00,10.72,10.61,10.73,10.61,494302.5407740953
2026-03-09 23:00:00,10.57,10.58,10.58,10.53,773878.69259027
2026-03-10 00:00:00,10.59,10.83,10.83,10.54,1056070.82724552
2026-03-10 01:00:00,10.79,10.64,10.79,10.64,1537414.17602966
2026-03-10 02:00:00,10.64,10.74,10.74,10.62,1355398.3858762286
2026-03-10 03:00:00,10.76,10.66,10.84,10.65,2266050.76714141
2026-03-10 04:00:00,10.64,10.88,10.88,10.64,1690429.75156173
2026-03-10 05:00:00,10.88,10.97,11.06,10.85,6941658.92611154
2026-03-10 06:00:00,10.99,10.97,11.01,10.87,4509448.26759356
2026-03-10 07:00:00,10.96,11.03,11.16,10.95,3951576.7548845415
2026-03-10 08:00:00,11.09,10.96,11.09,10.91,793776.81304313
2026-03-10 09:00:00,10.97,11.16,11.21,10.97,5810439.559813584
2026-03-10 10:00:00,11.16,11.21,11.27,11.05,2719941.588153363
2026-03-10 11:00:00,11.24,11.33,11.44,11.23,3858436.026791746
2026-03-10 12:00:00,11.33,11.37,12.09,11.17,35221666.65556401
2026-03-10 13:00:00,11.38,11.28,11.5,11.08,11455999.690560548
2026-03-10 14:00:00,11.25,11.34,11.39,11.13,2218543.82017888
2026-03-10 15:00:00,11.39,11.24,11.39,11.18,3343605.912288383
2026-03-10 16:00:00,11.24,11.1,11.25,11.08,2096610.72496496
2026-03-10 17:00:00,11.08,11.14,11.2,11.08,255483.09319564
2026-03-10 18:00:00,11.16,11.03,11.16,10.9,2226646.96850551
2026-03-10 19:00:00,10.99,10.91,11.02,10.86,1296352.0509001373
2026-03-10 20:00:00,10.92,11.03,11.03,10.9,1115484.13791904
2026-03-10 21:00:00,11.0,10.77,11.0,10.75,5956139.9827779215
2026-03-10 22:00:00,10.78,10.83,10.88,10.77,1692195.72782586
2026-03-10 23:00:00,10.81,10.86,10.86,10.79,1017659.87954201
2026-03-11 00:00:00,10.85,10.75,10.88,10.75,1530658.4399991657
2026-03-11 01:00:00,10.79,10.81,10.85,10.76,1753789.88288228
2026-03-11 02:00:00,10.77,10.85,10.85,10.7,3687138.86447196
2026-03-11 03:00:00,10.87,10.91,11.07,10.86,2845205.121549412
2026-03-11 04:00:00,10.92,11.02,11.06,10.87,531726.33454109
2026-03-11 05:00:00,10.98,10.88,11.01,10.83,1095158.1355148216
2026-03-11 06:00:00,10.9,10.92,10.92,10.8,1997162.8754905728
2026-03-11 07:00:00,10.96,10.9,10.99,10.87,2090179.23448356
2026-03-11 08:00:00,10.86,10.96,11.0,10.86,690107.23902519
2026-03-11 09:00:00,10.96,10.94,11.09,10.93,573810.48755956
2026-03-11 10:00:00,10.93,11.12,11.12,10.92,1755158.30559012
2026-03-11 11:00:00,11.1,11.03,11.15,11.03,3362833.94501333
2026-03-11 12:00:00,11.03,11.15,11.19,10.99,1219409.79731806
2026-03-11 13:00:00,11.19,11.12,11.28,11.09,854192.24480419
2026-03-11 14:00:00,11.16,11.35,11.43,11.06,10507357.49763381
2026-03-11 15:00:00,11.28,11.42,11.5,11.19,2070922.7991983125
2026-03-11 16:00:00,11.39,11.58,12.09,11.39,35309180.73672027
2026-03-11 17:00:00,11.59,11.18,11.77,11.07,5812216.55616891
2026-03-11 18:00:00,11.18,11.15,11.22,11.12,1287163.99174475
2026-03-11 19:00:00,11.19,11.27,11.27,11.14,571312.50566528
2026-03-11 20:00:00,11.2,11.11,11.23,11.07,1337243.57633303
