time,open,close,high,low,volume
2026-03-26 10:05:00,23.75,23.49,24.4,22.28,65015271.17208427
2026-03-26 10:10:00,23.49,23.37,24.0,23.0,27759424.13202527
2026-03-26 10:15:00,23.48,22.64,23.57,22.6,19250806.36915822
2026-03-26 10:20:00,22.64,22.17,22.82,21.89,17517315.53127796
2026-03-26 10:25:00,22.04,21.97,22.11,21.63,10555679.86562475
2026-03-26 10:30:00,21.97,22.0,22.3,21.95,6747216.70740666
2026-03-26 10:35:00,22.12,22.13,22.37,21.8,9845414.32487329
2026-03-26 10:40:00,22.11,21.7,22.29,21.69,3818852.93469085
2026-03-26 10:45:00,21.7,22.09,22.3,21.61,7547221.48965488
2026-03-26 10:50:00,22.09,22.11,22.33,22.0,4659720.47218947
2026-03-26 10:55:00,22.14,22.16,22.3,22.12,4752831.45690372
2026-03-26 11:00:00,22.3,22.51,22.73,22.25,6258828.53368834
2026-03-26 11:05:00,22.55,21.88,22.55,21.83,4955644.97136122
2026-03-26 11:10:00,21.93,22.13,22.18,21.93,1950997.00321908
2026-03-26 11:15:00,22.13,22.15,22.24,21.84,3043064.71950171
2026-03-26 11:20:00,22.19,22.21,22.34,22.15,1259895.39190372
2026-03-26 11:25:00,22.26,22.15,22.33,21.97,4952705.99013999
2026-03-26 11:30:00,22.15,22.23,22.25,22.0,2213417.32582472
2026-03-26 11:35:00,22.26,22.29,22.33,22.15,1986974.54481694
2026-03-26 11:40:00,22.32,22.53,22.55,22.3,2356671.46437631
2026-03-26 11:45:00,22.48,22.5,22.88,22.46,10603750.84945867
2026-03-26 11:50:00,22.5,22.78,22.84,22.42,3346005.60215443
2026-03-26 11:55:00,22.78,22.81,23.08,22.67,8193145.25841914
2026-03-26 12:00:00,22.84,22.75,22.87,22.4,6003689.690376793
2026-03-26 12:05:00,22.75,22.65,22.77,22.4,2966292.091736316
2026-03-26 12:10:00,22.66,22.32,22.75,22.21,4474606.241188282
2026-03-26 12:15:00,22.3,22.19,22.36,22.01,4310778.25872777
2026-03-26 12:20:00,22.17,21.72,22.17,21.61,5396795.2099584825
2026-03-26 12:25:00,21.72,22.08,22.09,21.57,5908086.022960919
2026-03-26 12:30:00,22.08,21.8,22.3,21.8,5891204.772088606
2026-03-26 12:35:00,21.8,21.6,22.09,21.6,4512046.547018185
2026-03-26 12:40:00,21.59,21.24,21.61,20.8,9570080.450527066
2026-03-26 12:45:00,21.25,21.21,21.4,21.15,3586823.067033724
2026-03-26 12:50:00,21.21,21.36,21.36,21.01,6430445.67254565
2026-03-26 12:55:00,21.36,21.1,21.88,21.06,6498730.119288465
2026-03-26 13:00:00,21.08,20.97,21.14,20.7,4463993.985875313
2026-03-26 13:05:00,20.9,21.32,21.34,20.88,2530469.3981439075
2026-03-26 13:10:00,21.13,21.15,21.49,21.08,2125823.881596604
2026-03-26 13:15:00,21.14,21.23,21.43,21.14,3442168.7261076327
2026-03-26 13:20:00,21.23,21.34,21.44,21.23,3325906.243713015
2026-03-26 13:25:00,21.34,21.16,21.34,21.02,2751546.81280403
2026-03-26 13:30:00,21.16,21.19,21.19,20.96,1004665.040191
2026-03-26 13:35:00,21.14,21.05,21.38,21.0,1183069.3537264415
2026-03-26 13:40:00,21.08,21.2,21.2,21.05,774990.1860855011
2026-03-26 13:45:00,21.2,21.2,21.2,21.06,477237.5470042513
2026-03-26 13:50:00,21.2,21.11,21.2,20.9,1639077.35604564
2026-03-26 13:55:00,21.1,20.98,21.22,20.87,1693922.8549225826
2026-03-26 14:00:00,20.98,20.78,20.98,20.7,2024163.84461581
2026-03-26 14:05:00,20.78,20.89,21.01,20.78,2334862.076712914
2026-03-26 14:10:00,20.88,20.64,20.88,20.64,4119463.74236794
2026-03-26 14:15:00,20.65,20.56,20.79,20.56,1319371.41688703
2026-03-26 14:20:00,20.57,20.58,20.65,20.35,3811876.83732332
2026-03-26 14:25:00,20.58,20.69,20.7,20.58,998509.65499577
2026-03-26 14:30:00,20.65,20.61,20.8,20.52,374189.00224235794
2026-03-26 14:35:00,20.61,20.65,20.74,20.57,467963.39896485
2026-03-26 14:40:00,20.67,20.72,20.74,20.67,233985.51732465
2026-03-26 14:45:00,20.72,20.44,20.72,20.4,1245474.6083030668
2026-03-26 14:50:00,20.43,20.27,20.56,20.25,2485545.120092136
2026-03-26 14:55:00,20.26,20.46,20.5,20.16,2218769.35808572
2026-03-26 15:00:00,20.46,20.51,20.76,20.4,2316491.26752371
2026-03-26 15:05:00,20.51,21.06,21.14,20.4,3483001.3649509395
2026-03-26 15:10:00,21.12,20.83,21.2,20.54,4977141.807037042
2026-03-26 15:15:00,20.83,20.91,21.04,20.55,1210605.3079838136
2026-03-26 15:20:00,20.91,20.89,21.03,20.78,1258440.8582629175
2026-03-26 15:25:00,20.89,20.8,20.89,20.64,619399.9843390477
2026-03-26 15:30:00,20.8,20.9,20.9,20.76,1169401.2893870017
2026-03-26 15:35:00,20.81,20.27,20.81,20.05,2734088.216739096
2026-03-26 15:40:00,20.27,20.3,20.41,20.26,1117436.2154695706
2026-03-26 15:45:00,20.3,20.4,20.42,20.27,1004891.8493977964
2026-03-26 15:50:00,20.39,20.3,20.49,20.19,815124.4800273079
2026-03-26 15:55:00,20.2,20.01,20.3,20.0,2145364.8956891
2026-03-26 16:00:00,20.04,19.94,20.13,19.75,2673058.9620263088
2026-03-26 16:05:00,19.94,19.91,20.01,19.76,1023558.56233856
2026-03-26 16:10:00,19.86,19.94,19.95,19.57,356233.5202107129
2026-03-26 16:15:00,19.96,19.67,19.97,19.67,389050.16568398
2026-03-26 16:20:00,19.72,19.63,19.74,19.55,314198.4667570221
2026-03-26 16:25:00,19.64,19.95,19.97,19.51,1023642.7763773672
2026-03-26 16:30:00,19.95,19.85,19.95,19.82,243929.7853406
2026-03-26 16:35:00,19.93,19.86,19.96,19.85,42941.86335798
2026-03-26 16:40:00,19.87,20.07,20.07,19.87,178245.30406631922
2026-03-26 16:45:00,20.1,19.83,20.11,19.82,378354.21045617
2026-03-26 16:50:00,19.97,19.71,20.0,19.7,76157.69612328
2026-03-26 16:55:00,19.71,19.79,19.79,19.71,255923.6886331
2026-03-26 17:00:00,19.76,19.69,19.76,19.68,209138.65097498
2026-03-26 17:05:00,19.82,19.77,19.83,19.71,174668.60297905
2026-03-26 17:10:00,19.82,19.77,19.87,19.72,1240266.217428417
2026-03-26 17:15:00,19.72,19.84,19.92,19.71,72393.22360414
