time,open,close,high,low,volume
2026-03-15 12:00:00,4.664,4.678,4.678,4.637,963797.82766878
2026-03-15 13:00:00,4.678,4.663,4.704,4.659,4773532.344396009
2026-03-15 14:00:00,4.702,4.689,4.717,4.663,1987672.010498088
2026-03-15 15:00:00,4.664,4.658,4.689,4.652,2189397.09300231
2026-03-15 16:00:00,4.667,4.658,4.667,4.658,979315.5356825
2026-03-15 18:00:00,4.658,4.651,4.698,4.651,604293.55554696
2026-03-15 19:00:00,4.652,4.652,4.652,4.652,106361.52264095
2026-03-15 20:00:00,4.652,4.652,4.652,4.652,46412.58198544
2026-03-15 21:00:00,4.697,4.654,4.697,4.654,346095.56023114
2026-03-15 22:00:00,4.656,4.652,4.656,4.651,5615062.06707664
2026-03-15 23:00:00,4.687,4.69,4.696,4.653,2418957.63633327
2026-03-16 00:00:00,4.691,4.68,4.7,4.67,3017480.30094487
2026-03-16 01:00:00,4.67,4.633,4.671,4.623,3756363.79466378
2026-03-16 02:00:00,4.635,4.637,4.677,4.635,848377.8443337848
2026-03-16 03:00:00,4.68,4.665,4.68,4.665,257905.9526603321
2026-03-16 04:00:00,4.665,4.64,4.678,4.64,2897662.89232854
2026-03-16 05:00:00,4.639,4.66,4.674,4.633,2410805.48496889
2026-03-16 06:00:00,4.66,4.671,4.672,4.636,410970.4156598441
2026-03-16 07:00:00,4.636,4.672,4.68,4.634,1833685.186544314
2026-03-16 08:00:00,4.661,4.678,4.678,4.654,1347599.50573119
2026-03-16 09:00:00,4.667,4.667,4.668,4.651,2505310.15192169
2026-03-16 10:00:00,4.667,4.663,4.667,4.65,3912311.953289865
2026-03-16 11:00:00,4.663,4.68,4.68,4.659,488953.8718269659
2026-03-16 12:00:00,4.661,4.677,4.679,4.661,1643008.96728913
2026-03-16 13:00:00,4.68,4.69,4.7,4.663,918030.2657551016
2026-03-16 14:00:00,4.699,4.718,4.718,4.69,2553852.164716086
2026-03-16 15:00:00,4.718,4.685,4.718,4.685,989289.25977625
2026-03-16 16:00:00,4.685,4.716,4.716,4.685,304854.86526609
2026-03-16 17:00:00,4.717,4.678,4.717,4.678,317381.60411647
2026-03-16 18:00:00,4.678,4.692,4.729,4.678,1323314.34856509
2026-03-16 19:00:00,4.693,4.732,4.732,4.693,1429155.60319668
2026-03-16 20:00:00,4.725,4.731,4.731,4.693,1552448.97203087
2026-03-16 21:00:00,4.708,4.731,4.731,4.679,1989131.75468544
2026-03-16 22:00:00,4.731,4.786,4.786,4.71,4429999.974742575
2026-03-16 23:00:00,4.785,4.736,4.787,4.725,4314364.707392886
2026-03-17 00:00:00,4.763,4.783,4.844,4.763,8752816.013133189
2026-03-17 01:00:00,4.779,4.761,4.817,4.737,6963988.307986802
2026-03-17 02:00:00,4.761,4.74,4.781,4.734,7323153.647100931
2026-03-17 03:00:00,4.73,4.701,4.745,4.693,3492376.71353771
2026-03-17 04:00:00,4.701,4.711,4.743,4.683,3693468.065259928
2026-03-17 05:00:00,4.711,4.738,4.738,4.71,1826125.63859839
2026-03-17 06:00:00,4.71,4.721,4.721,4.71,1047403.25955636
2026-03-17 07:00:00,4.74,4.723,4.744,4.721,1720737.85474242
2026-03-17 08:00:00,4.723,4.769,4.769,4.723,1194244.15190252
2026-03-17 09:00:00,4.769,4.775,4.788,4.76,2026554.58703571
2026-03-17 10:00:00,4.76,4.746,4.79,4.746,2493299.976977478
2026-03-17 11:00:00,4.741,4.758,4.759,4.713,2073058.05190228
2026-03-17 12:00:00,4.758,4.756,4.758,4.726,250100.46465329
2026-03-17 13:00:00,4.726,4.755,4.76,4.726,3307401.51313151
2026-03-17 14:00:00,4.73,4.742,4.787,4.73,2579808.63297483
2026-03-17 15:00:00,4.741,4.734,4.877,4.726,38230609.87988741
2026-03-17 16:00:00,4.734,4.728,4.734,4.728,1115490.89783121
2026-03-17 17:00:00,4.727,4.727,4.727,4.727,36618.31971866
2026-03-17 18:00:00,4.734,4.772,4.772,4.734,353804.1813895
2026-03-17 19:00:00,4.795,4.81,4.825,4.795,3303110.74243052
2026-03-17 20:00:00,4.805,4.823,4.829,4.78,414300.61592628
2026-03-17 21:00:00,4.783,4.773,4.802,4.77,1309715.10916558
2026-03-17 22:00:00,4.781,4.784,4.811,4.781,1849495.3462015104
2026-03-17 23:00:00,4.782,4.809,4.809,4.773,645062.60027983
2026-03-18 00:00:00,4.809,4.81,4.81,4.778,2756999.98811672
2026-03-18 01:00:00,4.785,4.784,4.809,4.784,987169.09191658
2026-03-18 02:00:00,4.808,4.725,4.809,4.725,2618827.0216008
2026-03-18 03:00:00,4.772,4.766,4.781,4.711,3624956.962144755
2026-03-18 04:00:00,4.727,4.749,4.766,4.72,2591511.26926496
2026-03-18 05:00:00,4.725,4.722,4.747,4.72,1992102.2607267
2026-03-18 06:00:00,4.721,4.721,4.764,4.72,1494916.051852902
2026-03-18 07:00:00,4.721,4.767,4.767,4.721,2293535.98285781
2026-03-18 08:00:00,4.727,4.728,4.772,4.724,2368918.538302893
2026-03-18 10:00:00,4.73,4.763,4.771,4.722,1035356.2003064
2026-03-18 11:00:00,4.729,4.681,4.77,4.681,7506284.968294025
2026-03-18 12:00:00,4.68,4.69,4.71,4.679,844456.33604154
2026-03-18 13:00:00,4.702,4.678,4.702,4.675,903168.3816613537
2026-03-18 14:00:00,4.68,4.703,4.703,4.679,300992.16692313
2026-03-18 15:00:00,4.703,4.716,4.717,4.68,1496825.28472029
2026-03-18 16:00:00,4.717,4.683,4.717,4.682,1179802.3892287
2026-03-18 17:00:00,4.717,4.683,4.718,4.683,216907.64353234
2026-03-18 19:00:00,4.685,4.679,4.717,4.679,1220798.25890247
2026-03-18 20:00:00,4.681,4.696,4.696,4.679,148077.91630109
2026-03-18 21:00:00,4.696,4.7,4.7,4.696,683751.0512449
2026-03-18 22:00:00,4.718,4.732,4.741,4.678,454674.7346449154
2026-03-18 23:00:00,4.729,4.704,4.729,4.704,164514.28287812
2026-03-19 00:00:00,4.705,4.692,4.706,4.692,887932.16258992
2026-03-19 01:00:00,4.692,4.723,4.723,4.68,739424.61480088
2026-03-19 02:00:00,4.722,4.682,4.726,4.68,143002.30938689673
2026-03-19 03:00:00,4.683,4.706,4.709,4.651,3294137.63655093
2026-03-19 04:00:00,4.7,4.7,4.7,4.7,1276.32418635
2026-03-19 05:00:00,4.693,4.697,4.697,4.659,2361881.72390256
2026-03-19 06:00:00,4.703,4.701,4.703,4.701,108812.52845319
2026-03-19 07:00:00,4.662,4.696,4.696,4.66,1105943.12923583
2026-03-19 08:00:00,4.66,4.66,4.695,4.658,1193156.11342444
2026-03-19 09:00:00,4.661,4.653,4.693,4.653,3178629.165854224
2026-03-19 10:00:00,4.655,4.657,4.657,4.655,44999.99995961
2026-03-19 11:00:00,4.656,4.694,4.694,4.656,463540.25647189
2026-03-19 12:00:00,4.681,4.665,4.695,4.665,843006.8942071
2026-03-19 13:00:00,4.664,4.694,4.694,4.659,2278601.31670361
2026-03-19 14:00:00,4.69,4.694,4.694,4.69,56500.60050235
2026-03-19 15:00:00,4.694,4.661,4.695,4.66,1091619.11865041
2026-03-19 18:00:00,4.693,4.676,4.693,4.676,11964.59722096
2026-03-19 19:00:00,4.683,4.676,4.683,4.676,419819.50260923
2026-03-19 21:00:00,4.694,4.677,4.694,4.677,126554.29453215
2026-03-19 22:00:00,4.677,4.694,4.694,4.676,1397530.55651676
2026-03-19 23:00:00,4.675,4.694,4.694,4.665,785514.94853036
2026-03-20 00:00:00,4.666,4.727,4.729,4.664,6795208.66001978
2026-03-20 01:00:00,4.727,4.686,4.728,4.673,5197504.93916906
2026-03-20 02:00:00,4.717,4.699,4.717,4.671,1311924.285838154
2026-03-20 03:00:00,4.699,4.7,4.7,4.676,319622.6976542781
2026-03-20 04:00:00,4.7,4.64,4.7,4.64,2920222.77862848
2026-03-20 05:00:00,4.67,4.684,4.699,4.637,5020995.7498658
2026-03-20 06:00:00,4.683,4.667,4.729,4.635,2849076.59198128
2026-03-20 07:00:00,4.699,4.651,4.711,4.651,2702592.87512918
2026-03-20 08:00:00,4.657,4.697,4.701,4.657,138047.72667406115
2026-03-20 09:00:00,4.698,4.698,4.698,4.662,333911.33979265
2026-03-20 10:00:00,4.698,4.696,4.698,4.665,326037.90727074
2026-03-20 11:00:00,4.696,4.71,4.71,4.675,1004185.43253018
2026-03-20 12:00:00,4.719,4.715,4.719,4.682,176510.27812339
2026-03-20 13:00:00,4.714,4.727,4.729,4.682,2727264.2341885
2026-03-20 14:00:00,4.714,4.724,4.724,4.683,366729.86357124
2026-03-20 15:00:00,4.68,4.729,4.746,4.673,6860155.77363933
2026-03-20 16:00:00,4.705,4.709,4.71,4.705,830887.71981305
2026-03-20 17:00:00,4.718,4.702,4.718,4.702,14280.4793
2026-03-20 18:00:00,4.682,4.682,4.682,4.682,19733.01391593
2026-03-20 19:00:00,4.68,4.661,4.682,4.661,830386.07528559
2026-03-20 20:00:00,4.663,4.698,4.698,4.663,496311.2928342818
2026-03-20 21:00:00,4.698,4.696,4.698,4.652,598075.76972669
2026-03-20 22:00:00,4.658,4.659,4.659,4.657,66214.78529046
2026-03-20 23:00:00,4.66,4.636,4.687,4.631,5108856.32035525
2026-03-21 00:00:00,4.635,4.641,4.671,4.635,87734.96929122
2026-03-21 01:00:00,4.665,4.656,4.665,4.641,2232944.96562896
