time,open,close,high,low,volume
2026-02-28 20:00:00,79.58,80.14,80.78,79.55,242843.36288448
2026-02-28 21:00:00,80.01,80.43,80.43,79.28,538883.49872042
2026-02-28 22:00:00,80.59,80.82,81.05,80.38,176567.60265193
2026-02-28 23:00:00,80.79,80.8,80.95,80.5,162968.81130574
2026-03-01 00:00:00,80.7,80.94,81.07,80.24,310477.48003586
2026-03-01 01:00:00,80.84,82.45,83.5,80.21,2221469.5130629647
2026-03-01 02:00:00,82.53,81.82,83.36,81.7,678443.5254689613
2026-03-01 03:00:00,81.76,81.61,82.01,81.45,392357.93017779
2026-03-01 04:00:00,81.48,81.44,81.53,80.65,361724.88581824
2026-03-01 05:00:00,81.37,81.88,81.88,81.09,163320.79653559282
2026-03-01 06:00:00,81.77,80.79,81.77,80.1,688029.02682959
2026-03-01 07:00:00,80.88,80.9,81.0,80.66,207261.87320475
2026-03-01 08:00:00,81.19,80.42,81.6,80.42,261123.89110347
2026-03-01 09:00:00,80.34,79.82,80.91,79.82,501955.45126374
2026-03-01 10:00:00,79.87,80.1,80.49,79.46,310741.03930988
2026-03-01 11:00:00,79.99,80.06,80.14,79.86,125274.21849339
2026-03-01 12:00:00,79.96,79.5,80.12,79.5,154960.25875852
2026-03-01 13:00:00,79.5,80.85,80.92,78.8,417027.80438112
2026-03-01 14:00:00,80.8,80.22,81.01,80.0,320663.26569826
2026-03-01 15:00:00,80.19,79.92,80.27,79.92,221607.1155059
2026-03-01 16:00:00,79.63,79.35,80.27,78.78,431189.11037652
2026-03-01 17:00:00,79.31,78.8,79.6,78.41,199682.95739104
2026-03-01 18:00:00,78.68,79.9,80.05,78.68,208699.83062698
2026-03-01 19:00:00,79.44,79.14,79.58,79.14,88242.0035518
2026-03-01 20:00:00,78.23,77.71,78.23,77.7,70430.24218735
2026-03-01 21:00:00,77.89,78.66,78.87,77.89,20205.35452172
2026-03-01 22:00:00,79.49,78.75,79.83,78.75,107111.32634224
2026-03-01 23:00:00,78.64,79.26,79.39,78.63,60616.55297453
2026-03-02 00:00:00,79.64,79.87,80.0,79.5,84557.73236331
2026-03-02 01:00:00,79.86,79.64,80.2,79.64,19907.19419874212
2026-03-02 02:00:00,79.81,79.4,79.81,79.19,54461.65542994
2026-03-02 03:00:00,79.15,79.93,80.12,79.15,2993.855626
2026-03-02 04:00:00,79.69,79.6,79.95,79.54,33526.36492822
2026-03-02 05:00:00,79.75,79.66,79.75,79.05,18749.769115
2026-03-02 06:00:00,79.2,78.96,79.4,78.25,181411.10828741
2026-03-02 07:00:00,78.34,78.81,78.94,78.14,34211.11705236
2026-03-02 08:00:00,78.59,79.16,79.16,78.29,65279.98568528
2026-03-02 09:00:00,79.35,79.89,80.0,79.35,78393.36599812
2026-03-02 10:00:00,79.75,79.43,79.8,79.43,138841.79055451
2026-03-02 11:00:00,79.5,80.12,80.12,79.5,17360.9998
2026-03-02 12:00:00,79.75,78.6,79.75,78.5,67337.7048685905
2026-03-02 13:00:00,78.37,78.69,79.15,78.3,79426.60444318
2026-03-02 14:00:00,78.56,79.62,79.64,78.45,113620.301237
2026-03-02 15:00:00,79.8,81.1,81.65,79.8,194908.13539984
2026-03-02 16:00:00,81.35,81.75,82.0,81.35,176588.27510087
2026-03-02 17:00:00,80.93,80.39,80.93,79.9,209659.2643082456
2026-03-02 18:00:00,80.39,79.72,80.48,79.72,427361.5611042
2026-03-02 19:00:00,79.72,80.47,80.52,79.36,200988.12767352
2026-03-02 20:00:00,80.44,80.49,80.49,79.99,213.132594
2026-03-02 21:00:00,79.86,80.24,80.77,79.81,45925.86420092
2026-03-02 22:00:00,80.61,80.61,80.62,80.46,43200.61329565
2026-03-02 23:00:00,80.47,79.88,80.47,79.77,34134.51858786
2026-03-03 00:00:00,79.88,79.58,80.05,79.2,116108.1176456
2026-03-03 01:00:00,79.38,79.25,79.54,79.18,70372.17120099
2026-03-03 02:00:00,79.31,79.2,79.65,78.98,183659.99084155
2026-03-03 03:00:00,79.33,79.16,79.56,79.16,9136.0605
2026-03-03 04:00:00,79.1,78.29,79.1,78.14,223031.2182489432
2026-03-03 05:00:00,78.45,78.33,79.18,78.14,193620.20144917
2026-03-03 06:00:00,78.52,78.69,78.69,78.52,18905.0447794
2026-03-03 07:00:00,78.52,78.83,78.85,78.48,39296.04520568053
2026-03-03 08:00:00,78.68,77.7,78.68,77.7,39846.57571541006
2026-03-03 09:00:00,78.14,77.5,78.14,77.2,37451.44963087139
2026-03-03 10:00:00,77.06,77.02,77.17,76.39,179845.92065635332
2026-03-03 11:00:00,77.38,78.17,78.17,77.38,3717.196064
2026-03-03 12:00:00,78.88,78.11,79.25,78.02,56936.76030826824
2026-03-03 13:00:00,77.84,77.77,77.84,77.53,76541.87018547
2026-03-03 14:00:00,77.8,77.41,78.43,77.41,254878.7983699
2026-03-03 15:00:00,77.4,78.79,79.14,76.88,92238.36516902
2026-03-03 16:00:00,79.11,79.06,79.57,78.1,85701.39357309
2026-03-03 17:00:00,78.77,78.84,79.27,78.26,9800.293858
2026-03-03 18:00:00,79.07,78.82,79.57,78.68,47007.35299462
2026-03-03 19:00:00,78.68,78.78,79.05,78.37,56024.18209642
2026-03-03 20:00:00,78.61,78.44,79.06,78.43,35374.790456
2026-03-03 21:00:00,78.3,78.36,78.36,78.1,17574.91229053
2026-03-03 22:00:00,78.53,78.97,78.97,78.53,106686.21668728176
2026-03-03 23:00:00,79.03,78.72,79.04,78.72,219991.45564713
2026-03-04 00:00:00,78.68,78.1,78.84,78.0,119193.70273423
2026-03-04 01:00:00,77.81,78.27,78.51,77.76,243352.0725845825
2026-03-04 02:00:00,77.97,78.15,78.15,77.29,18016.75683847
2026-03-04 03:00:00,77.08,77.23,77.23,76.6,41585.2131388
2026-03-04 04:00:00,77.37,77.53,77.74,77.25,20701.44980064
2026-03-04 05:00:00,77.29,77.61,77.61,77.05,20196.74848143
2026-03-04 06:00:00,77.32,77.69,77.93,77.27,26178.268808180503
2026-03-04 07:00:00,77.24,78.1,78.25,77.24,20418.68866359
2026-03-04 08:00:00,78.09,79.22,79.22,77.86,57294.83646641
2026-03-04 09:00:00,79.57,79.42,79.7,79.26,87908.56664244
2026-03-04 10:00:00,79.53,78.72,79.53,78.5,119800.77346975
2026-03-04 11:00:00,78.88,79.48,79.54,78.75,150713.53457248
2026-03-04 12:00:00,79.28,78.28,79.28,78.1,94396.67915066
2026-03-04 13:00:00,78.91,79.75,79.75,78.91,18275.83268461
2026-03-04 14:00:00,79.88,78.9,80.0,78.9,52342.55546322
2026-03-04 15:00:00,79.08,80.0,80.0,78.7,56925.76226267107
2026-03-04 16:00:00,80.33,79.55,80.33,79.55,9901.83919565
2026-03-04 17:00:00,79.26,79.3,79.46,78.43,202134.69728195
2026-03-04 18:00:00,79.49,79.17,79.5,79.17,24815.61823834
2026-03-04 19:00:00,79.87,80.27,80.27,79.87,66767.78427805
2026-03-04 20:00:00,79.92,79.7,79.97,79.7,31213.42745472
2026-03-04 21:00:00,79.7,79.07,79.7,79.07,53093.37817223
2026-03-04 22:00:00,79.51,79.22,79.97,79.22,100271.64138526
2026-03-04 23:00:00,79.3,79.03,79.3,78.49,222318.27515742
2026-03-05 00:00:00,78.84,79.47,79.81,78.65,166041.29150492
2026-03-05 01:00:00,79.67,79.48,80.01,79.31,154515.42237729
2026-03-05 02:00:00,79.76,79.73,80.12,79.73,29930.88
2026-03-05 03:00:00,80.24,79.85,80.24,79.76,3952.13495907
2026-03-05 04:00:00,79.75,79.36,79.75,79.36,16208.07823258
2026-03-05 05:00:00,79.47,79.08,79.47,78.98,30337.05164169
2026-03-05 06:00:00,79.41,78.94,79.41,78.45,38367.7416666
2026-03-05 07:00:00,79.2,79.45,79.45,78.87,166707.1779906
2026-03-05 08:00:00,79.45,78.48,79.45,78.39,74171.81412693
2026-03-05 09:00:00,79.03,79.3,79.36,79.02,10266.21268734
2026-03-05 10:00:00,79.19,80.05,80.05,79.19,97463.92669583
2026-03-05 11:00:00,80.05,79.18,80.13,79.16,60639.89458341
2026-03-05 12:00:00,79.7,79.88,79.88,79.7,1225.3518
2026-03-05 13:00:00,79.72,79.88,79.88,79.07,20819.31243427
2026-03-05 14:00:00,79.6,79.5,79.88,79.5,6297.3391395
2026-03-05 15:00:00,79.53,79.1,79.53,78.86,72802.80531765
2026-03-05 16:00:00,78.8,78.14,78.9,78.0,108438.97217933316
2026-03-05 17:00:00,78.17,77.67,78.19,77.35,56064.35437601
2026-03-05 18:00:00,77.55,78.09,78.15,77.55,31164.1468
2026-03-05 19:00:00,78.26,78.42,78.42,78.26,3415.0037319914386
2026-03-05 20:00:00,78.24,78.6,78.6,78.23,6048.840854
2026-03-05 21:00:00,78.42,78.42,78.42,78.42,137.668333
2026-03-05 22:00:00,78.52,78.01,78.52,77.93,11119.6653875
2026-03-06 00:00:00,77.9,77.96,77.96,77.8,27394.29058597
2026-03-06 01:00:00,78.33,78.34,78.34,78.33,3346.34150584
2026-03-06 02:00:00,78.4,78.59,78.59,78.34,8109.5218357
2026-03-06 03:00:00,78.59,78.66,79.0,78.59,106529.87349119
2026-03-06 04:00:00,78.5,78.11,78.64,77.95,197185.35480385
2026-03-06 05:00:00,78.38,78.33,78.45,77.96,122497.26265877
2026-03-06 06:00:00,78.33,78.79,79.0,78.33,53699.715433
2026-03-06 07:00:00,78.63,78.6,78.7,78.6,46981.1374651
2026-03-06 08:00:00,78.5,79.63,79.63,78.5,98154.35977754
2026-03-06 09:00:00,79.5,78.86,79.5,78.49,41204.65917223568
2026-03-06 10:00:00,78.9,78.9,78.9,78.9,140.0
2026-03-06 11:00:00,78.68,78.61,79.0,78.42,30518.74068149
2026-03-06 12:00:00,78.67,79.19,79.5,78.22,107705.08959443
2026-03-06 13:00:00,78.8,78.06,79.2,78.06,97557.66282711
2026-03-06 14:00:00,78.0,76.98,78.04,76.98,160671.12184397
2026-03-06 15:00:00,76.94,76.55,77.2,76.39,59217.18018005
2026-03-06 16:00:00,76.58,76.7,77.28,76.23,46777.4307836
2026-03-06 17:00:00,76.7,76.51,76.9,76.51,21584.0
2026-03-06 18:00:00,77.1,77.53,77.54,77.1,4124.933626
2026-03-06 19:00:00,77.35,77.35,77.35,77.35,500.0
2026-03-06 22:00:00,77.33,77.21,77.49,77.04,12170.386694511271
2026-03-06 23:00:00,77.07,77.0,77.07,77.0,12454.05089204
2026-03-07 00:00:00,77.0,77.0,77.0,77.0,17262.22298979
2026-03-07 01:00:00,77.18,76.83,77.18,76.78,84895.96819285
2026-03-07 02:00:00,76.9,76.8,76.9,76.5,164135.0313698
2026-03-07 03:00:00,76.82,77.43,77.43,76.81,22375.70822821
2026-03-07 04:00:00,77.15,77.48,77.63,76.77,48036.53840941
2026-03-07 05:00:00,77.68,76.66,80.42,76.0,804712.1577255
2026-03-07 06:00:00,76.73,76.5,77.18,76.5,140518.82886293
2026-03-07 07:00:00,76.11,76.7,76.7,76.11,4385.36506758
2026-03-07 08:00:00,76.86,76.87,77.01,76.56,18826.55135639
2026-03-07 09:00:00,76.88,76.88,76.88,76.88,2492.23995328
2026-03-07 10:00:00,77.11,77.22,77.22,76.97,12176.13410206
2026-03-07 11:00:00,77.38,77.37,77.39,77.37,10386.0336671
2026-03-07 12:00:00,77.35,77.17,77.4,77.16,39741.32556716
2026-03-07 13:00:00,77.38,77.33,77.68,77.26,33311.11118496
2026-03-07 14:00:00,77.1,77.0,77.52,76.75,77820.01140455
2026-03-07 15:00:00,76.86,76.5,77.15,76.5,34498.868269934326
2026-03-07 16:00:00,76.73,76.73,76.73,76.73,12177.6268
