time,open,close,high,low,volume
2026-02-28 04:00:00,3.7,3.713,3.735,3.684,687541.23631949
2026-02-28 05:00:00,3.712,3.707,3.712,3.701,76642.88612564
2026-02-28 06:00:00,3.701,3.631,3.724,3.631,3568393.57872911
2026-02-28 07:00:00,3.631,3.641,3.652,3.63,617856.48797827
2026-02-28 08:00:00,3.649,3.605,3.652,3.605,1857139.44109781
2026-02-28 09:00:00,3.604,3.598,3.614,3.597,795817.15740386
2026-02-28 10:00:00,3.61,3.598,3.61,3.598,338689.88456775
2026-02-28 12:00:00,3.616,3.6,3.827,3.6,13068299.55645424
2026-02-28 13:00:00,3.623,3.685,3.756,3.623,5309932.215022117
2026-02-28 14:00:00,3.686,3.682,3.705,3.668,867347.72748709
2026-02-28 15:00:00,3.668,3.658,3.683,3.658,267187.41276267305
2026-02-28 16:00:00,3.663,3.665,3.69,3.658,559205.28089768
2026-02-28 17:00:00,3.687,3.689,3.69,3.687,69648.64
2026-02-28 18:00:00,3.689,3.69,3.69,3.688,24544.25819518
2026-02-28 20:00:00,3.69,3.727,3.727,3.69,1033001.09689501
2026-02-28 21:00:00,3.708,3.732,3.732,3.698,59499.71394558
2026-02-28 22:00:00,3.704,3.697,3.704,3.697,206781.81455616
2026-02-28 23:00:00,3.698,3.727,3.727,3.698,455485.88563798
2026-03-01 00:00:00,3.727,3.727,3.727,3.727,2772.39746665
2026-03-01 01:00:00,3.728,3.727,3.728,3.71,1051224.9429335
2026-03-01 02:00:00,3.711,3.699,3.72,3.699,1471386.03111059
2026-03-01 03:00:00,3.699,3.716,3.717,3.687,1802295.69446658
2026-03-01 04:00:00,3.701,3.712,3.717,3.689,421047.52725746
2026-03-01 05:00:00,3.712,3.712,3.712,3.712,3468.2
2026-03-01 06:00:00,3.712,3.712,3.712,3.7,256788.99368461
2026-03-01 07:00:00,3.712,3.712,3.712,3.712,3753627.59497366
2026-03-01 08:00:00,3.7,3.666,3.7,3.659,1357048.64566711
2026-03-01 09:00:00,3.666,3.666,3.666,3.666,11216.02633815
2026-03-01 10:00:00,3.697,3.697,3.698,3.697,377436.20617106
2026-03-01 11:00:00,3.686,3.687,3.704,3.686,417776.49198467
2026-03-01 12:00:00,3.705,3.705,3.705,3.705,9948.86031953
2026-03-01 13:00:00,3.7,3.7,3.7,3.7,108122.00078299
2026-03-01 14:00:00,3.705,3.716,3.716,3.705,591501.79875553
2026-03-01 15:00:00,3.7,3.653,3.7,3.652,826521.8308441
2026-03-01 16:00:00,3.69,3.67,3.694,3.651,636930.2967083
2026-03-01 17:00:00,3.67,3.68,3.715,3.67,898206.80754113
2026-03-01 18:00:00,3.69,3.69,3.69,3.69,10000.0
2026-03-01 19:00:00,3.68,3.676,3.68,3.676,193505.89721127
2026-03-01 20:00:00,3.69,3.69,3.69,3.69,16123.0777655
2026-03-01 21:00:00,3.693,3.716,3.76,3.69,1813882.10432009
2026-03-01 22:00:00,3.716,3.717,3.717,3.716,16336.30912821
2026-03-01 23:00:00,3.729,3.72,3.729,3.72,27016.59107896
