time,open,close,high,low,volume
2026-03-08 02:00:00,13.21,13.18,13.27,13.17,92357.74127476
2026-03-08 03:00:00,13.18,13.27,13.27,13.13,190456.77471966
2026-03-08 04:00:00,13.23,13.24,13.4,13.2,100499.00481053206
2026-03-08 05:00:00,13.26,13.32,13.34,13.21,277613.80416146
2026-03-08 06:00:00,13.31,13.25,13.32,13.25,125191.65257633
2026-03-08 07:00:00,13.25,13.24,13.25,13.24,165084.00433938
2026-03-08 08:00:00,13.24,13.24,13.33,13.2,243265.22151736
2026-03-08 09:00:00,13.29,13.26,13.29,13.26,20467.4199134
2026-03-08 10:00:00,13.26,13.2,13.26,13.2,215223.19858344
2026-03-08 11:00:00,13.21,13.2,13.21,13.19,185500.82500629
2026-03-08 12:00:00,13.18,13.25,13.25,13.1,383879.96285757073
2026-03-08 13:00:00,13.26,13.33,13.33,13.08,293338.7728193607
2026-03-08 14:00:00,13.27,13.32,13.35,13.27,49917.51205752157
2026-03-08 15:00:00,13.32,13.28,13.32,13.28,12938.003364812885
2026-03-08 18:00:00,13.17,13.22,13.22,13.17,166411.44619344
2026-03-08 19:00:00,13.22,13.22,13.22,13.22,25016.63478968
2026-03-08 20:00:00,13.22,13.26,13.26,13.22,1508.2956261386123
2026-03-08 22:00:00,13.19,13.18,13.19,13.18,336082.878411
2026-03-08 23:00:00,13.18,13.16,13.27,13.14,572541.21753763
2026-03-09 00:00:00,13.19,13.1,13.19,12.93,1190078.94482668
2026-03-09 01:00:00,13.1,13.04,13.1,12.99,196995.93285935468
2026-03-09 02:00:00,13.05,13.19,13.19,12.94,266421.7698846416
2026-03-09 03:00:00,13.19,13.15,13.19,13.0,288148.70740268426
2026-03-09 04:00:00,13.09,13.19,13.2,13.08,39912.36407157522
2026-03-09 05:00:00,13.19,13.04,13.19,12.91,471625.6819520288
2026-03-09 06:00:00,13.05,13.1,13.15,13.05,122949.33735835
2026-03-09 07:00:00,13.0,12.96,13.0,12.75,574618.0371321561
2026-03-09 08:00:00,12.96,12.89,13.09,12.87,95270.34089964768
2026-03-09 09:00:00,13.03,13.08,13.08,13.0,81540.02194405685
2026-03-09 10:00:00,13.08,13.0,13.09,13.0,122384.00098575084
2026-03-09 12:00:00,12.99,12.99,12.99,12.99,20000.0
2026-03-09 13:00:00,13.02,13.02,13.03,13.0,326090.7456808677
2026-03-09 14:00:00,13.0,13.0,13.0,13.0,31805.06426809
2026-03-09 15:00:00,12.94,12.92,12.94,12.92,133365.86392802
2026-03-09 16:00:00,12.9,12.9,12.9,12.9,3402.74599543
2026-03-09 18:00:00,12.88,12.88,12.88,12.87,49662.65597922
2026-03-09 19:00:00,12.88,12.88,12.88,12.88,2.746e-05
2026-03-09 20:00:00,12.9,12.89,12.9,12.89,47024.47517569
2026-03-09 21:00:00,12.99,13.05,13.11,12.99,503734.9308583335
2026-03-09 22:00:00,13.05,13.12,13.18,12.92,36189.54672150589
2026-03-09 23:00:00,12.93,12.91,12.93,12.91,30000.0
2026-03-10 00:00:00,12.91,12.89,12.91,12.89,6862.68013206
2026-03-10 01:00:00,13.01,12.97,13.03,12.96,173829.49873836
2026-03-10 02:00:00,12.97,13.0,13.0,12.96,76802.62137759
2026-03-10 03:00:00,13.0,12.94,13.0,12.94,26739.26233673
2026-03-10 04:00:00,12.89,12.86,12.93,12.86,35093.2672
2026-03-10 05:00:00,12.91,12.91,12.96,12.91,155571.01914829
2026-03-10 06:00:00,12.91,12.85,12.91,12.85,217070.85771772
2026-03-10 07:00:00,12.91,13.04,13.04,12.91,274272.38266879
2026-03-10 08:00:00,12.98,12.89,12.98,12.89,40000.00006305
2026-03-10 09:00:00,12.89,12.89,12.89,12.89,31479.91605999
2026-03-10 10:00:00,12.93,13.02,13.02,12.93,98174.15749555
2026-03-10 11:00:00,12.92,12.94,12.94,12.91,79541.54977168
