time,open,close,high,low,volume
2026-03-15 08:00:00,13.39,13.35,13.4,13.35,15237.5
2026-03-15 09:00:00,13.4,13.35,13.4,13.35,17937.50598803
2026-03-15 10:00:00,13.36,13.35,13.48,13.35,235312.860767013
2026-03-15 11:00:00,13.45,13.35,13.45,13.35,15667.1249871
2026-03-15 12:00:00,13.45,13.45,13.5,13.45,128393.10984001
2026-03-15 13:00:00,13.45,13.4,13.45,13.4,51497.62707229
2026-03-15 14:00:00,13.41,13.36,13.44,13.36,94054.46358548
2026-03-15 15:00:00,13.36,13.35,13.42,13.35,31451.113032566856
2026-03-15 16:00:00,13.36,13.35,13.36,13.35,48594.08340974
2026-03-15 17:00:00,13.35,13.35,13.35,13.35,10834.5
2026-03-15 18:00:00,13.41,13.34,13.43,13.34,16190.8246286
2026-03-15 19:00:00,13.41,13.32,13.44,13.32,33150.92857143
2026-03-15 20:00:00,13.33,13.32,13.33,13.32,10833.5
2026-03-15 21:00:00,13.32,13.31,13.32,13.31,10828.5
2026-03-15 22:00:00,13.39,13.31,13.39,13.31,11198.91299478
2026-03-15 23:00:00,13.34,13.36,13.39,13.34,39194.988309
2026-03-16 00:00:00,13.39,13.32,13.39,13.32,30347.83612815
2026-03-16 01:00:00,13.32,13.3,13.37,13.3,20579.79149842
2026-03-16 02:00:00,13.37,13.34,13.42,13.34,121267.6386893
2026-03-16 03:00:00,13.36,13.4,13.41,13.36,31650.0295
2026-03-16 04:00:00,13.43,13.4,13.43,13.4,12862.68450894
2026-03-16 05:00:00,13.4,13.37,13.4,13.37,87686.98994522
2026-03-16 06:00:00,13.4,13.45,13.47,13.4,67589.61748419
2026-03-16 07:00:00,13.45,13.38,13.47,13.38,187061.94221834
2026-03-16 08:00:00,13.45,13.36,13.46,13.36,134806.6349619695
2026-03-16 09:00:00,13.42,13.4,13.48,13.36,189181.34969436
2026-03-16 10:00:00,13.47,13.38,13.47,13.38,14673.59199532
2026-03-16 11:00:00,13.47,13.42,13.48,13.42,32926.78311269
2026-03-16 12:00:00,13.47,13.48,13.53,13.42,159506.24088724
2026-03-16 13:00:00,13.52,13.48,13.57,13.48,143681.45679566
2026-03-16 14:00:00,13.51,13.46,13.56,13.46,39164.929823
2026-03-16 15:00:00,13.45,13.42,13.45,13.42,55152.00274439
2026-03-16 16:00:00,13.49,13.42,13.5,13.42,16510.55847521
2026-03-16 17:00:00,13.5,13.43,13.5,13.43,11230.5
