time,open,close,high,low,volume
2026-03-11 23:25:00,7.545,7.505,7.545,7.502,270049.48914952
2026-03-11 23:30:00,7.505,7.537,7.543,7.502,672950.13369056
2026-03-11 23:35:00,7.459,7.635,7.766,7.458,1591388.1907588963
2026-03-11 23:40:00,7.721,7.51,7.722,7.504,372467.9895344544
2026-03-11 23:45:00,7.613,7.57,7.662,7.543,738267.95025371
2026-03-11 23:50:00,7.57,7.652,7.653,7.546,504619.8084171283
2026-03-11 23:55:00,7.572,7.563,7.572,7.545,54558.9999
2026-03-12 00:00:00,7.516,7.558,7.558,7.47,593912.98891685
2026-03-12 00:05:00,7.559,7.668,7.668,7.471,1126007.4110330374
2026-03-12 00:10:00,7.668,7.575,7.668,7.506,409954.07373484
2026-03-12 00:15:00,7.575,7.481,7.575,7.474,1798332.3982918926
2026-03-12 00:20:00,7.48,7.507,7.542,7.48,319053.84449319
2026-03-12 00:25:00,7.52,7.632,7.647,7.52,564392.3341888855
2026-03-12 00:30:00,7.632,7.553,7.65,7.553,1459143.468198793
2026-03-12 00:35:00,7.633,7.667,7.667,7.539,1713865.3492861656
2026-03-12 00:40:00,7.664,7.594,7.665,7.569,1006433.3390083972
2026-03-12 00:45:00,7.658,7.664,7.664,7.602,1106194.3437302136
2026-03-12 00:50:00,7.664,7.624,7.665,7.624,274172.77429097
2026-03-12 00:55:00,7.662,7.607,7.665,7.607,602246.43027946
2026-03-12 01:00:00,7.609,7.595,7.641,7.593,593836.51903202
2026-03-12 01:05:00,7.595,7.748,7.823,7.593,5085888.070516103
2026-03-12 01:10:00,7.748,7.761,7.885,7.655,11402060.019663222
2026-03-12 01:15:00,7.761,7.738,7.788,7.677,1786531.6683634017
2026-03-12 01:20:00,7.759,7.705,7.761,7.653,2335793.180322402
2026-03-12 01:25:00,7.705,7.65,7.73,7.65,3402486.80821993
2026-03-12 01:30:00,7.65,7.666,7.699,7.649,1648950.6972542622
2026-03-12 01:35:00,7.652,7.634,7.652,7.606,2066366.90425707
2026-03-12 01:40:00,7.633,7.75,7.85,7.632,4670026.483307351
2026-03-12 01:45:00,7.757,7.7,7.757,7.675,1764067.130337174
2026-03-12 01:50:00,7.7,7.672,7.731,7.623,1530008.8522968085
2026-03-12 01:55:00,7.658,7.663,7.732,7.623,1048999.62561983
2026-03-12 02:00:00,7.664,7.636,7.675,7.634,1510610.40434364
2026-03-12 02:05:00,7.637,7.638,7.672,7.637,763868.63908058
2026-03-12 02:10:00,7.638,7.638,7.677,7.638,895762.62716734
2026-03-12 02:15:00,7.639,7.645,7.683,7.637,491117.95828819816
2026-03-12 02:20:00,7.667,7.644,7.685,7.637,1287310.09909368
2026-03-12 02:25:00,7.642,7.667,7.67,7.637,1026543.05476581
2026-03-12 02:30:00,7.665,7.662,7.672,7.637,1164679.378252623
2026-03-12 02:35:00,7.638,7.644,7.7,7.637,653166.8858646645
2026-03-12 02:40:00,7.644,7.698,7.738,7.642,479159.07774576
2026-03-12 02:45:00,7.725,7.704,7.885,7.662,7079231.067776924
2026-03-12 02:50:00,7.718,7.73,7.781,7.704,1643669.3980920014
2026-03-12 02:55:00,7.73,7.73,7.73,7.645,1532149.4003098565
2026-03-12 03:00:00,7.725,7.593,7.725,7.591,4335892.67342153
2026-03-12 03:05:00,7.596,7.567,7.636,7.553,1100440.70175656
2026-03-12 03:10:00,7.567,7.582,7.583,7.557,439231.44581024
2026-03-12 03:15:00,7.582,7.597,7.636,7.555,1585410.82421915
2026-03-12 03:20:00,7.566,7.538,7.585,7.538,1296238.55322079
2026-03-12 03:25:00,7.538,7.45,7.538,7.45,3647815.28711826
2026-03-12 03:30:00,7.499,7.474,7.499,7.435,794895.08254716
2026-03-12 03:35:00,7.474,7.415,7.474,7.362,3646667.46825737
2026-03-12 03:40:00,7.373,7.396,7.432,7.36,1999178.219627228
2026-03-12 03:45:00,7.431,7.311,7.437,7.311,4017024.088835024
2026-03-12 03:50:00,7.311,7.333,7.432,7.28,3785142.91226445
2026-03-12 03:55:00,7.333,7.3,7.333,7.29,1191871.12417595
2026-03-12 04:00:00,7.303,7.294,7.33,7.294,1225446.75457094
2026-03-12 04:05:00,7.3,7.32,7.342,7.295,366852.84075514
2026-03-12 04:10:00,7.292,7.326,7.326,7.291,564577.17556556
2026-03-12 04:15:00,7.345,7.374,7.376,7.345,280800.36426435
2026-03-12 04:20:00,7.374,7.395,7.422,7.374,968749.143557383
2026-03-12 04:25:00,7.442,7.382,7.442,7.378,484273.16120139
2026-03-12 04:30:00,7.382,7.382,7.382,7.381,27708.89700997
2026-03-12 04:35:00,7.4,7.4,7.425,7.381,517946.88504452
2026-03-12 04:40:00,7.4,7.417,7.417,7.4,341002.89234962
2026-03-12 04:45:00,7.427,7.43,7.43,7.427,93502.67405749
2026-03-12 04:50:00,7.431,7.431,7.455,7.431,60062.01953506
2026-03-12 04:55:00,7.455,7.454,7.455,7.43,159977.60533163
2026-03-12 05:00:00,7.452,7.326,7.452,7.313,1711418.8356883333
2026-03-12 05:05:00,7.326,7.422,7.422,7.301,664851.96139377
2026-03-12 05:10:00,7.444,7.422,7.444,7.344,29878.199350636205
2026-03-12 05:15:00,7.423,7.347,7.424,7.347,382268.73718872
2026-03-12 05:20:00,7.348,7.329,7.348,7.3,552329.92728887
2026-03-12 05:25:00,7.329,7.312,7.329,7.285,665419.36807646
2026-03-12 05:30:00,7.312,7.281,7.312,7.281,279037.18773663
2026-03-12 05:35:00,7.281,7.303,7.31,7.28,1045994.63338625
2026-03-12 05:40:00,7.323,7.415,7.418,7.323,1117607.30171884
2026-03-12 05:45:00,7.378,7.368,7.378,7.286,505724.15323514
2026-03-12 05:50:00,7.366,7.366,7.366,7.366,374392.48742114
2026-03-12 05:55:00,7.363,7.309,7.402,7.307,976870.58168259
2026-03-12 06:00:00,7.386,7.386,7.386,7.386,6767.73145642
2026-03-12 06:05:00,7.395,7.393,7.395,7.393,80068.10053971
2026-03-12 06:15:00,7.389,7.389,7.389,7.389,1352.81385282
2026-03-12 06:20:00,7.389,7.308,7.389,7.307,453663.22444671
2026-03-12 06:25:00,7.308,7.308,7.308,7.307,10252.15313767
2026-03-12 06:30:00,7.307,7.327,7.35,7.272,782400.8257082
2026-03-12 06:35:00,7.315,7.315,7.315,7.296,40423.24195995
2026-03-12 06:40:00,7.278,7.281,7.361,7.278,102708.55130001
2026-03-12 06:45:00,7.282,7.305,7.305,7.271,613273.12143365
2026-03-12 06:50:00,7.313,7.298,7.337,7.267,1322802.57365346
2026-03-12 06:55:00,7.298,7.327,7.391,7.271,939211.0116028
2026-03-12 07:00:00,7.328,7.328,7.328,7.328,91048.16196764
2026-03-12 07:05:00,7.328,7.351,7.389,7.328,526309.14905784
2026-03-12 07:10:00,7.39,7.387,7.39,7.353,226740.09128225
2026-03-12 07:15:00,7.392,7.356,7.416,7.355,382735.25423935
2026-03-12 07:20:00,7.356,7.359,7.359,7.356,30855.55332359
2026-03-12 07:25:00,7.39,7.389,7.391,7.356,389754.66826866
2026-03-12 07:30:00,7.389,7.398,7.401,7.357,302813.69666224
2026-03-12 07:35:00,7.395,7.417,7.417,7.394,215727.88840769
2026-03-12 07:40:00,7.417,7.418,7.418,7.417,60960.16362437
2026-03-12 07:45:00,7.418,7.396,7.444,7.356,494438.1450144631
2026-03-12 07:50:00,7.357,7.388,7.441,7.331,1219946.28158023
2026-03-12 07:55:00,7.409,7.368,7.412,7.368,396698.57909916
2026-03-12 08:00:00,7.327,7.303,7.368,7.26,1930650.03030265
2026-03-12 08:05:00,7.303,7.304,7.306,7.266,578122.31951432
2026-03-12 08:10:00,7.302,7.267,7.302,7.267,10565.5582
2026-03-12 08:15:00,7.267,7.264,7.345,7.263,1991289.00979643
2026-03-12 08:20:00,7.264,7.261,7.291,7.261,179013.17589559
2026-03-12 08:25:00,7.292,7.264,7.305,7.261,297665.20867386
2026-03-12 08:30:00,7.265,7.265,7.265,7.265,461454.31654732
2026-03-12 08:35:00,7.267,7.258,7.267,7.235,1553001.17929926
2026-03-12 08:40:00,7.258,7.231,7.259,7.222,3239136.77201093
2026-03-12 08:45:00,7.286,7.4,7.4,7.215,652117.18262458
2026-03-12 08:50:00,7.4,7.322,7.456,7.322,369828.5374152923
2026-03-12 08:55:00,7.323,7.325,7.325,7.323,149760.88774003
2026-03-12 09:00:00,7.377,7.321,7.377,7.321,1835008.5015215
2026-03-12 09:05:00,7.322,7.348,7.348,7.318,537868.3391804
2026-03-12 09:10:00,7.347,7.372,7.459,7.347,479546.04573487
2026-03-12 09:15:00,7.373,7.255,7.373,7.255,346780.97532279
2026-03-12 09:20:00,7.413,7.413,7.413,7.413,103611.0654161832
2026-03-12 09:25:00,7.4,7.348,7.402,7.348,560729.09387363
2026-03-12 09:30:00,7.348,7.387,7.389,7.348,294075.85860491
2026-03-12 09:35:00,7.447,7.436,7.447,7.434,183692.28837844
2026-03-12 09:40:00,7.435,7.435,7.435,7.435,8503.28784628
2026-03-12 09:45:00,7.435,7.372,7.435,7.372,101960.77246463
2026-03-12 09:50:00,7.372,7.368,7.433,7.368,195266.3223638
2026-03-12 09:55:00,7.368,7.37,7.37,7.368,226686.45887839
2026-03-12 10:05:00,7.373,7.373,7.374,7.373,526357.07198161
2026-03-12 10:10:00,7.401,7.373,7.401,7.373,279709.19998611
2026-03-12 10:15:00,7.37,7.455,7.455,7.306,579793.536257315
2026-03-12 10:20:00,7.363,7.351,7.363,7.269,327372.31575204
2026-03-12 10:25:00,7.352,7.354,7.354,7.352,27199.0
2026-03-12 10:30:00,7.354,7.355,7.355,7.354,88374.0
2026-03-12 10:35:00,7.282,7.372,7.379,7.282,824053.05991938
2026-03-12 10:40:00,7.378,7.403,7.403,7.378,158140.40833052
2026-03-12 10:45:00,7.457,7.455,7.457,7.455,117066.28795106371
2026-03-12 10:50:00,7.436,7.393,7.436,7.387,76465.91890482
2026-03-12 10:55:00,7.319,7.316,7.319,7.316,944984.07571492
2026-03-12 11:00:00,7.374,7.367,7.381,7.363,98014.28981746
2026-03-12 11:05:00,7.306,7.306,7.306,7.306,3818.6334555
2026-03-12 11:10:00,7.414,7.393,7.414,7.386,381651.94037361
2026-03-12 11:15:00,7.41,7.416,7.487,7.41,1254297.9613451653
2026-03-12 11:20:00,7.376,7.376,7.376,7.376,20051.85427304
2026-03-12 11:25:00,7.378,7.376,7.423,7.376,177415.70527639
2026-03-12 11:30:00,7.376,7.376,7.378,7.376,129812.0
2026-03-12 11:35:00,7.376,7.385,7.385,7.371,210705.85585151
2026-03-12 11:40:00,7.385,7.385,7.385,7.385,27804.79776156
2026-03-12 11:45:00,7.408,7.451,7.451,7.393,195721.88006108225
2026-03-12 11:50:00,7.395,7.394,7.397,7.394,440202.02140191
2026-03-12 11:55:00,7.425,7.37,7.431,7.37,623966.55951378
2026-03-12 12:00:00,7.369,7.411,7.411,7.361,128887.71594667
2026-03-12 12:05:00,7.362,7.362,7.362,7.362,4087.20714876
2026-03-12 12:10:00,7.364,7.386,7.386,7.355,693594.50680383
2026-03-12 12:15:00,7.385,7.342,7.385,7.342,83104.67740856
2026-03-12 12:20:00,7.408,7.44,7.441,7.408,582808.70851102
2026-03-12 12:25:00,7.441,7.564,7.566,7.441,666405.5852816257
2026-03-12 12:30:00,7.557,7.94,7.94,7.557,24290361.331540547
2026-03-12 12:35:00,7.94,7.796,7.95,7.654,16423923.642791867
2026-03-12 12:40:00,7.796,7.765,7.996,7.725,9390147.495176358
2026-03-12 12:45:00,7.817,7.785,7.93,7.75,4827091.454902958
2026-03-12 12:50:00,7.906,7.853,7.906,7.79,1958059.069004895
2026-03-12 12:55:00,7.891,7.725,7.892,7.641,7351423.964424919
2026-03-12 13:00:00,7.7,7.622,7.7,7.59,7688638.97538547
2026-03-12 13:05:00,7.623,7.622,7.697,7.622,2718718.397541
2026-03-12 13:10:00,7.619,7.588,7.659,7.566,2799739.33444855
2026-03-12 13:15:00,7.574,7.626,7.627,7.563,1608848.6031284002
2026-03-12 13:20:00,7.601,7.561,7.626,7.561,2264092.392931992
2026-03-12 13:25:00,7.561,7.561,7.601,7.56,609580.87624408
2026-03-12 13:30:00,7.563,7.561,7.564,7.561,657008.25946016
2026-03-12 13:35:00,7.565,7.64,7.64,7.565,654591.05230629
2026-03-12 13:40:00,7.64,7.9,7.98,7.64,5691712.068422327
2026-03-12 13:45:00,7.901,7.913,7.985,7.823,9189967.221986037
2026-03-12 13:50:00,7.913,7.901,7.975,7.901,3667984.442354887
2026-03-12 13:55:00,7.902,7.825,7.935,7.821,3260884.13779829
2026-03-12 14:00:00,7.884,7.96,7.972,7.831,1891924.74224464
2026-03-12 14:05:00,7.96,7.977,8.0,7.96,7368832.279287255
2026-03-12 14:10:00,7.997,8.096,8.1,7.981,16281731.723763512
2026-03-12 14:15:00,8.099,8.201,8.24,7.999,18789929.430907737
2026-03-12 14:20:00,8.24,8.225,8.299,8.214,11462669.28360717
2026-03-12 14:25:00,8.225,8.254,8.256,8.2,2782561.70678597
2026-03-12 14:30:00,8.254,8.335,8.378,8.189,15713175.533398869
2026-03-12 14:35:00,8.344,8.43,8.44,8.3,9474795.984125111
2026-03-12 14:40:00,8.43,8.32,8.43,8.301,5914594.222710414
2026-03-12 14:45:00,8.32,7.517,8.5,7.417,24112719.04180214
2026-03-12 14:50:00,7.514,7.643,7.788,7.514,12839487.332103577
2026-03-12 14:55:00,7.644,7.73,7.772,7.601,5187982.43107094
2026-03-12 15:00:00,7.694,7.555,7.694,7.432,7053266.276346397
