time,open,close,high,low,volume
2026-02-19 15:00:00,1.52,1.5,1.526,1.497,9629381.61497927
2026-02-19 16:00:00,1.495,1.494,1.498,1.487,5768574.67323163
2026-02-19 17:00:00,1.497,1.49,1.512,1.49,210430.54270951
2026-02-19 18:00:00,1.501,1.514,1.514,1.501,402031.56770826
2026-02-19 19:00:00,1.51,1.5,1.51,1.5,21085.32575041
2026-02-19 20:00:00,1.516,1.514,1.517,1.513,542277.98884459
2026-02-19 21:00:00,1.509,1.515,1.515,1.509,41947.09250646
2026-02-19 23:00:00,1.517,1.527,1.527,1.517,385034.7891072828
2026-02-20 00:00:00,1.527,1.534,1.536,1.527,2951062.93025133
2026-02-20 01:00:00,1.541,1.536,1.541,1.536,2064535.58343394
2026-02-20 02:00:00,1.54,1.534,1.541,1.532,432047.2988606248
2026-02-20 03:00:00,1.533,1.539,1.539,1.533,196603.47262176
2026-02-20 04:00:00,1.528,1.531,1.531,1.517,622393.14995263
2026-02-20 05:00:00,1.529,1.549,1.549,1.529,1626643.68778719
2026-02-20 06:00:00,1.546,1.545,1.546,1.545,63670.06670657
2026-02-20 07:00:00,1.56,1.563,1.567,1.557,590903.4613465504
2026-02-20 08:00:00,1.566,1.569,1.569,1.566,27516.41665423
2026-02-20 09:00:00,1.576,1.585,1.588,1.576,13235119.00440903
2026-02-20 10:00:00,1.586,1.578,1.591,1.578,2140501.32990254
2026-02-20 11:00:00,1.569,1.564,1.57,1.564,254888.57743039445
2026-02-20 12:00:00,1.553,1.555,1.555,1.548,142310.89141723
2026-02-20 13:00:00,1.548,1.517,1.548,1.509,14750511.24251888
2026-02-20 14:00:00,1.521,1.537,1.543,1.519,584947.1459169087
2026-02-20 15:00:00,1.54,1.591,1.591,1.54,22640254.37235586
2026-02-20 16:00:00,1.59,1.595,1.606,1.581,10897897.98955108
2026-02-20 17:00:00,1.589,1.592,1.594,1.552,7585220.39720865
2026-02-20 18:00:00,1.594,1.594,1.604,1.581,1273406.95282519
2026-02-20 19:00:00,1.589,1.579,1.59,1.578,414388.38274792
2026-02-20 20:00:00,1.588,1.584,1.588,1.584,12334.6042953
2026-02-20 21:00:00,1.581,1.592,1.592,1.581,330305.71546366
2026-02-20 22:00:00,1.596,1.594,1.598,1.589,3010607.931397504
2026-02-20 23:00:00,1.6,1.594,1.6,1.592,8760743.72773016
2026-02-21 00:00:00,1.594,1.588,1.594,1.588,264707.31526208
2026-02-21 01:00:00,1.592,1.592,1.593,1.592,1379881.95195416
2026-02-21 02:00:00,1.594,1.604,1.604,1.594,6486010.3767774
2026-02-21 03:00:00,1.604,1.593,1.604,1.593,2548050.06307588
2026-02-21 04:00:00,1.598,1.6,1.6,1.594,157189.21378327
2026-02-21 05:00:00,1.602,1.602,1.61,1.601,8693070.1810515
2026-02-21 06:00:00,1.602,1.595,1.605,1.595,1863695.55988941
