time,open,close,high,low,volume
2026-03-05 07:00:00,0.4348,0.4348,0.4348,0.4348,134074.88638109
2026-03-05 08:00:00,0.4321,0.4347,0.4347,0.4309,1773595.10199619
2026-03-05 09:00:00,0.4345,0.4353,0.4353,0.4333,5094016.38549748
2026-03-05 10:00:00,0.4353,0.4357,0.4357,0.4336,5038360.60008182
2026-03-05 11:00:00,0.4357,0.4344,0.4368,0.4336,3823696.83591581
2026-03-05 12:00:00,0.4353,0.4422,0.4429,0.4353,17628720.0873314
2026-03-05 13:00:00,0.4413,0.4348,0.442,0.4347,21707569.446761087
2026-03-05 14:00:00,0.4384,0.4426,0.4434,0.4378,32768530.52935478
2026-03-05 15:00:00,0.4423,0.456,0.4741,0.4387,1988559641.8482327
2026-03-05 16:00:00,0.456,0.4624,0.4734,0.4531,543438855.1080801
2026-03-05 17:00:00,0.4623,0.4673,0.4706,0.4623,113623087.69467951
2026-03-05 18:00:00,0.4692,0.4591,0.4703,0.459,99559886.7380176
2026-03-05 19:00:00,0.459,0.4622,0.4636,0.4572,27678778.58957097
2026-03-05 20:00:00,0.4601,0.4542,0.4632,0.4539,47193239.45787841
2026-03-05 21:00:00,0.4542,0.4575,0.471,0.4537,265718629.8325044
2026-03-05 22:00:00,0.4574,0.4477,0.4587,0.4464,94595560.07164688
2026-03-05 23:00:00,0.4478,0.4346,0.4481,0.4325,110132650.42348592
2026-03-06 00:00:00,0.4346,0.434,0.4364,0.4283,67141081.49802054
2026-03-06 01:00:00,0.4339,0.4318,0.4339,0.425,54595675.55048404
2026-03-06 02:00:00,0.4282,0.4295,0.434,0.4246,53438924.645852536
2026-03-06 03:00:00,0.4295,0.4278,0.4315,0.4257,33917943.96073312
2026-03-06 04:00:00,0.4282,0.4292,0.4327,0.4277,13134400.90587224
2026-03-06 05:00:00,0.43,0.4244,0.4349,0.423,111205148.32064492
2026-03-06 06:00:00,0.4326,0.4281,0.435,0.425,80224041.2214996
2026-03-06 07:00:00,0.429,0.4331,0.4331,0.4269,30727752.97866607
2026-03-06 08:00:00,0.4282,0.4279,0.4307,0.4275,8709582.6652941
2026-03-06 09:00:00,0.4282,0.4343,0.4363,0.4278,18079871.61575005
2026-03-06 10:00:00,0.43,0.4272,0.4377,0.4272,44485229.04075353
2026-03-06 11:00:00,0.4286,0.4305,0.4374,0.4267,55722940.46404959
2026-03-06 12:00:00,0.4315,0.4321,0.4321,0.4285,34465637.96368121
2026-03-06 13:00:00,0.4315,0.4279,0.4315,0.427,4081143.31736217
2026-03-06 14:00:00,0.4279,0.4266,0.431,0.4266,9725153.23873852
2026-03-06 15:00:00,0.4266,0.423,0.4312,0.4227,57523312.02389164
2026-03-06 16:00:00,0.423,0.4271,0.429,0.4228,16828746.39573561
2026-03-06 17:00:00,0.426,0.4276,0.4277,0.4227,10864736.85791994
2026-03-06 18:00:00,0.4276,0.42,0.4276,0.42,19268487.09048186
2026-03-06 19:00:00,0.42,0.4175,0.4216,0.4175,7614565.56025795
2026-03-06 20:00:00,0.4168,0.4198,0.4198,0.4168,5746767.01156821
2026-03-06 21:00:00,0.42,0.4232,0.4232,0.42,3964424.02717287
2026-03-06 22:00:00,0.4232,0.4194,0.4264,0.4155,23203442.34974071
2026-03-06 23:00:00,0.4182,0.4193,0.4211,0.4166,17985694.05599168
2026-03-07 00:00:00,0.419,0.4224,0.4238,0.4156,8111558.1410205
2026-03-07 01:00:00,0.4236,0.4247,0.425,0.419,10733575.51769327
2026-03-07 02:00:00,0.4229,0.4235,0.4236,0.4229,6732661.93922952
2026-03-07 03:00:00,0.4234,0.4231,0.4235,0.422,7620140.95972837
2026-03-07 04:00:00,0.423,0.4252,0.4264,0.4222,8642017.64958052
2026-03-07 05:00:00,0.4248,0.4243,0.4248,0.4223,1779126.95354291
2026-03-07 06:00:00,0.4223,0.4245,0.4245,0.422,4105603.51480444
2026-03-07 07:00:00,0.422,0.4213,0.4232,0.4198,12153189.87489606
2026-03-07 08:00:00,0.4212,0.4218,0.4232,0.4198,2670091.18176587
2026-03-07 09:00:00,0.4218,0.4217,0.423,0.421,1110630.79906108
2026-03-07 10:00:00,0.4229,0.4233,0.4233,0.4229,2657826.344569814
2026-03-07 11:00:00,0.4233,0.4237,0.4242,0.4229,3879252.368327364
2026-03-07 12:00:00,0.4235,0.422,0.4239,0.4156,35425566.04914839
2026-03-07 13:00:00,0.4217,0.4204,0.423,0.4203,1527938.89690951
2026-03-07 14:00:00,0.4219,0.4227,0.4238,0.419,6253680.32608839
2026-03-07 15:00:00,0.4219,0.4244,0.4399,0.4209,328217511.28010726
2026-03-07 16:00:00,0.4244,0.4223,0.4245,0.4222,23273089.52670065
2026-03-07 18:00:00,0.4223,0.4223,0.4223,0.4222,1232702.6856751
2026-03-07 19:00:00,0.4224,0.4269,0.4269,0.4216,1862592.3054005853
2026-03-07 21:00:00,0.4221,0.4239,0.4239,0.422,445541.65684638
2026-03-07 22:00:00,0.4239,0.4247,0.4247,0.419,7754101.43186077
2026-03-07 23:00:00,0.4193,0.4184,0.4205,0.4182,29288804.08549101
2026-03-08 00:00:00,0.4184,0.4184,0.4202,0.4184,3026374.14420707
2026-03-08 01:00:00,0.4184,0.4202,0.4203,0.4177,4141849.00710259
2026-03-08 02:00:00,0.4202,0.418,0.4226,0.418,16309831.94178271
2026-03-08 03:00:00,0.4216,0.4227,0.4227,0.4191,2811911.62286962
2026-03-08 04:00:00,0.4217,0.414,0.4217,0.414,49153623.61112283
2026-03-08 05:00:00,0.417,0.4214,0.4214,0.4153,11831489.62304165
2026-03-08 06:00:00,0.4204,0.4197,0.4206,0.4196,1387042.83892922
2026-03-08 07:00:00,0.4193,0.421,0.421,0.4182,2785748.3496454
2026-03-08 08:00:00,0.4183,0.4185,0.4185,0.4151,18266910.24082981
2026-03-08 09:00:00,0.4162,0.4189,0.4189,0.4152,8248082.79994013
2026-03-08 10:00:00,0.4179,0.4197,0.4197,0.4164,2867097.41319077
2026-03-08 11:00:00,0.4196,0.4197,0.4198,0.4178,3249479.44294687
2026-03-08 12:00:00,0.418,0.4167,0.4197,0.4166,4136298.62223501
2026-03-08 13:00:00,0.4169,0.4195,0.4197,0.4169,494651.5938516336
2026-03-08 14:00:00,0.4195,0.421,0.4233,0.4176,27545412.429501086
2026-03-08 15:00:00,0.419,0.4177,0.4235,0.4165,26677795.52004235
2026-03-08 16:00:00,0.418,0.4182,0.423,0.4178,3073937.12785016
2026-03-08 17:00:00,0.4182,0.4209,0.4223,0.4168,2287730.33590117
2026-03-08 18:00:00,0.4171,0.4207,0.4207,0.4168,2231740.0485799
2026-03-08 19:00:00,0.421,0.421,0.4237,0.421,8858122.04870606
2026-03-08 20:00:00,0.421,0.4213,0.4213,0.419,3475909.05408031
2026-03-08 21:00:00,0.4191,0.4213,0.4213,0.4189,849056.39038578
2026-03-08 22:00:00,0.4213,0.4141,0.4213,0.4141,18873477.83754957
2026-03-08 23:00:00,0.4143,0.4173,0.4205,0.4142,4806254.85114676
2026-03-09 00:00:00,0.4171,0.4152,0.4171,0.4151,6407774.92058614
2026-03-09 01:00:00,0.4152,0.4157,0.4177,0.4144,25539813.08311229
2026-03-09 02:00:00,0.4157,0.415,0.4182,0.415,1661094.79799458
2026-03-09 03:00:00,0.415,0.4181,0.4183,0.415,1428129.64043708
2026-03-09 04:00:00,0.4172,0.4149,0.4181,0.4149,13819472.47135929
2026-03-09 05:00:00,0.4149,0.4161,0.4161,0.4149,1729458.42249484
2026-03-09 06:00:00,0.416,0.4161,0.4168,0.4141,17767893.67356701
2026-03-09 07:00:00,0.4165,0.415,0.4165,0.4136,14151881.526915044
2026-03-09 08:00:00,0.415,0.4181,0.4181,0.415,1319232.782390004
2026-03-09 09:00:00,0.4182,0.4178,0.4182,0.4145,24580403.49325566
