time,open,close,high,low,volume
2026-04-12 14:40:00,4.883,4.882,4.883,4.882,22503.2547
2026-04-12 14:45:00,4.883,4.883,4.883,4.883,173734.09403034
2026-04-12 14:55:00,4.915,4.916,4.916,4.915,19086.8052319
2026-04-12 15:40:00,4.916,4.916,4.916,4.916,61193.84208315
2026-04-12 16:50:00,4.944,4.944,4.944,4.944,51124.74437628
2026-04-12 18:35:00,4.897,4.897,4.897,4.897,114895.11219801
2026-04-12 21:35:00,4.944,4.944,4.944,4.944,2022.653721682848
2026-04-12 21:45:00,4.894,4.894,4.894,4.894,2044.98977506
2026-04-12 21:55:00,4.894,4.892,4.894,4.892,15266.26459143
2026-04-12 22:45:00,4.944,4.944,4.944,4.944,10100.75942829
2026-04-13 03:40:00,4.942,4.942,4.942,4.942,35047.935
2026-04-13 04:40:00,4.94,4.941,4.941,4.94,52522.4078036
2026-04-13 04:55:00,4.9,4.9,4.9,4.9,25000.0
2026-04-13 05:35:00,4.905,4.905,4.905,4.905,30000.0
2026-04-13 06:00:00,4.897,4.928,4.928,4.897,76113.62836932
2026-04-13 07:35:00,4.899,4.896,4.899,4.896,100000.0
2026-04-13 07:45:00,4.929,4.921,4.929,4.916,61922.19088075
2026-04-13 07:55:00,4.904,4.904,4.904,4.904,20000.0
2026-04-13 08:45:00,4.94,4.94,4.94,4.94,1111.0
2026-04-13 10:40:00,4.929,4.93,4.93,4.929,81939.5869
2026-04-13 11:00:00,4.92,4.92,4.92,4.92,8775.41917563
2026-04-13 11:05:00,4.901,4.901,4.901,4.901,25259.50314197
2026-04-13 11:15:00,4.92,4.92,4.92,4.92,26677.4409
2026-04-13 11:20:00,4.916,4.936,4.936,4.91,62730.10028159
2026-04-13 11:35:00,4.91,4.9,4.91,4.9,71276.39147014
2026-04-13 11:40:00,4.913,4.913,4.913,4.913,19972.0523645
2026-04-13 11:50:00,4.928,4.9,4.928,4.9,2427.78798451039
2026-04-13 13:05:00,4.901,4.881,4.901,4.878,1057379.7493
2026-04-13 13:10:00,4.903,4.908,4.908,4.902,76277.5959689
2026-04-13 13:30:00,4.913,4.932,4.932,4.913,90760.30309116
2026-04-13 13:35:00,4.922,4.914,4.922,4.914,11966.06426056
2026-04-13 13:40:00,4.913,4.881,4.913,4.881,102174.11837807
