time,open,close,high,low,volume
2026-04-08 07:10:00,34.79,34.79,34.79,34.79,143.71945962
2026-04-08 07:15:00,34.72,34.69,34.72,34.69,13623.17795495
2026-04-08 07:20:00,34.7,34.85,34.85,34.7,10792.58129909
2026-04-08 07:30:00,34.76,34.8,34.8,34.69,93873.87174103
2026-04-08 07:35:00,34.83,34.7,34.83,34.7,27493.49739977
2026-04-08 07:40:00,34.82,34.72,34.82,34.72,340.78654509
2026-04-08 07:45:00,34.83,34.79,34.83,34.79,3358.93
2026-04-08 07:50:00,34.87,34.9,34.92,34.87,4793.5278504
2026-04-08 07:55:00,34.94,35.05,35.09,34.94,115791.12360181
2026-04-08 08:00:00,35.05,35.1,35.1,35.01,224588.0935318
2026-04-08 08:05:00,35.12,35.25,35.36,35.12,885839.22349618
2026-04-08 08:10:00,35.2,35.24,35.24,35.12,5179.013568861647
2026-04-08 08:15:00,35.19,35.22,35.22,35.17,1341.84397164
2026-04-08 08:20:00,35.2,35.09,35.2,35.09,86222.24324246
2026-04-08 08:25:00,35.15,35.18,35.24,35.15,27887.05985887
2026-04-08 08:30:00,35.15,35.19,35.19,35.12,3410.475
2026-04-08 08:40:00,35.18,35.25,35.25,35.18,8345.85098168
2026-04-08 08:45:00,35.22,35.2,35.22,35.2,5181.473417
2026-04-08 08:50:00,35.2,35.2,35.21,35.2,567.85917096
2026-04-08 08:55:00,35.1,35.16,35.16,35.08,3839.91193993
2026-04-08 09:00:00,35.1,35.0,35.1,35.0,827.35042738
2026-04-08 09:05:00,35.04,34.96,35.1,34.96,12101.10233223265
2026-04-08 09:10:00,34.98,34.93,34.98,34.93,43152.58916299
2026-04-08 09:15:00,34.93,35.02,35.02,34.93,213189.40714265
2026-04-08 09:20:00,35.08,35.08,35.08,35.08,142.5313569
2026-04-08 09:25:00,35.15,35.15,35.15,35.15,142.24751067
2026-04-08 09:30:00,35.11,35.1,35.11,35.1,12574.964426
2026-04-08 09:45:00,35.14,35.14,35.14,35.14,142.16661928
2026-04-08 09:50:00,35.16,35.17,35.17,35.16,719.97763561
2026-04-08 10:10:00,35.15,35.15,35.15,35.15,1000.0
2026-04-08 10:15:00,35.17,35.25,35.25,35.17,1349.4125446
2026-04-08 10:20:00,35.11,35.17,35.17,35.11,17804.11971443
2026-04-08 10:30:00,35.22,35.26,35.26,35.22,425.29061526
2026-04-08 10:35:00,35.14,35.11,35.14,35.04,57111.58294587
2026-04-08 10:40:00,35.04,34.96,35.04,34.96,6798.08899178
2026-04-08 10:45:00,34.99,34.99,34.99,34.99,14289.79708489
2026-04-08 10:55:00,34.9,34.9,34.9,34.9,200.0
2026-04-08 11:00:00,34.8,34.77,34.8,34.77,12643.50047707
2026-04-08 11:05:00,34.75,34.72,34.75,34.72,11680.0574221
2026-04-08 11:10:00,34.75,34.83,34.83,34.72,23495.88129784
2026-04-08 11:20:00,34.8,34.85,34.9,34.8,27485.27051622
2026-04-08 11:30:00,34.82,34.82,34.82,34.82,300.0
2026-04-08 11:35:00,34.76,34.42,34.76,34.35,144255.34865170217
2026-04-08 11:40:00,34.47,34.49,34.49,34.47,2543.24255062
2026-04-08 11:45:00,34.48,34.57,34.57,34.48,3689.14274632
2026-04-08 11:50:00,34.5,34.5,34.5,34.5,1088.33698546
2026-04-08 11:55:00,34.54,34.51,34.54,34.51,22720.5977393
2026-04-08 12:00:00,34.5,34.56,34.56,34.42,122905.41984659228
2026-04-08 12:05:00,34.58,34.51,34.58,34.51,104410.1271243
2026-04-08 12:10:00,34.58,34.67,34.67,34.58,152920.23762341
2026-04-08 12:15:00,34.6,34.68,34.68,34.59,5692.01555171
2026-04-08 12:20:00,34.68,34.7,34.75,34.68,17000.0
2026-04-08 12:25:00,34.68,34.76,34.76,34.68,9326.72181426
2026-04-08 12:35:00,34.75,34.69,34.75,34.69,38514.69810538
2026-04-08 12:40:00,34.69,34.65,34.69,34.65,192749.31015439
2026-04-08 12:45:00,34.66,34.61,34.66,34.59,58467.94247482
2026-04-08 12:50:00,34.65,34.66,34.66,34.65,56674.00880359
2026-04-08 12:55:00,34.59,34.63,34.66,34.57,183579.60129614
2026-04-08 13:00:00,34.66,34.68,34.68,34.66,9522.5021697
2026-04-08 13:05:00,34.66,34.96,35.05,34.65,25484.73561941
2026-04-08 13:10:00,35.03,34.78,35.03,34.78,10858.06352978
2026-04-08 13:15:00,34.76,34.73,34.76,34.72,33800.60294946
2026-04-08 13:20:00,34.71,34.64,34.71,34.63,19293.05222366
2026-04-08 13:25:00,34.68,34.79,34.79,34.68,18288.00949623
2026-04-08 13:30:00,34.7,34.64,34.7,34.64,29354.7153
2026-04-08 13:35:00,34.69,34.63,34.69,34.63,27321.01496188
2026-04-08 13:40:00,34.58,34.58,34.58,34.58,578.36899943
2026-04-08 13:45:00,34.65,34.66,34.66,34.65,39553.694
2026-04-08 13:50:00,34.6,34.61,34.61,34.58,18419.914
2026-04-08 14:00:00,34.59,34.59,34.59,34.59,18317.33737
2026-04-08 14:05:00,34.59,34.45,34.59,34.45,171906.19213806
2026-04-08 14:10:00,34.38,34.44,34.44,34.38,25014.76771974
2026-04-08 14:15:00,34.56,34.56,34.6,34.56,226759.12759649
2026-04-08 14:20:00,34.59,34.5,34.6,34.5,170109.15724568
2026-04-08 14:25:00,34.54,34.47,34.54,34.47,59500.62399545
2026-04-08 14:30:00,34.47,34.13,34.47,34.08,278392.8996469
2026-04-08 14:35:00,34.16,34.18,34.18,34.12,70495.12577892
2026-04-08 14:40:00,34.18,34.21,34.27,34.12,219732.9651867
2026-04-08 14:45:00,34.26,34.28,34.29,34.08,164849.50273387
2026-04-08 14:50:00,34.28,34.11,34.28,34.07,308995.37716809224
2026-04-08 14:55:00,34.07,33.96,34.11,33.89,506509.5283675088
2026-04-08 15:00:00,34.02,34.06,34.08,33.98,113432.85352923
2026-04-08 15:05:00,34.0,34.05,34.05,33.96,57680.63177693
2026-04-08 15:10:00,33.97,33.97,33.97,33.82,304655.17830268445
2026-04-08 15:15:00,33.84,33.92,33.95,33.83,43421.03184231
2026-04-08 15:20:00,34.04,34.08,34.08,34.03,26911.098825417703
2026-04-08 15:25:00,33.96,33.97,34.06,33.96,18160.787420963006
2026-04-08 15:30:00,33.96,34.01,34.01,33.95,27062.41266166
2026-04-08 15:35:00,34.01,34.01,34.01,34.01,55344.4431
2026-04-08 15:40:00,34.07,34.07,34.07,34.07,29180.98165212
2026-04-08 15:45:00,34.01,34.1,34.1,34.01,14922.50858564
2026-04-08 15:50:00,34.03,34.07,34.07,34.0,162025.43657829
2026-04-08 15:55:00,34.04,34.04,34.04,34.04,155.644467
2026-04-08 16:00:00,34.11,34.25,34.35,34.11,70846.66689407495
2026-04-08 16:05:00,34.26,34.21,34.26,34.21,153952.88235334
2026-04-08 16:10:00,34.21,34.39,34.39,34.21,38393.00494889
2026-04-08 16:15:00,34.4,34.34,34.4,34.26,146658.57056324
2026-04-08 16:20:00,34.34,34.27,34.39,34.27,16129.64620312
2026-04-08 16:30:00,34.22,34.22,34.22,34.22,103884.79719598
2026-04-08 16:35:00,34.21,34.21,34.21,34.21,2020.99737543
2026-04-08 16:40:00,34.28,34.28,34.28,34.28,1479.73536178
2026-04-08 16:45:00,34.21,34.22,34.22,34.21,4243.12503744
2026-04-08 16:50:00,34.16,34.22,34.22,34.11,21023.36901426
2026-04-08 16:55:00,34.22,34.17,34.22,34.17,8656.08696057
2026-04-08 17:00:00,34.13,34.22,34.22,34.09,177141.8914126
2026-04-08 17:05:00,34.27,34.5,34.5,34.27,180273.78549819
2026-04-08 17:10:00,34.57,34.68,34.68,34.51,48936.21056317
2026-04-08 17:15:00,34.68,34.65,34.68,34.57,42863.62258904
