time,open,close,high,low,volume
2026-03-07 10:00:00,7.856,7.899,7.899,7.856,2542.1171589966925
2026-03-07 13:00:00,7.86,7.79,7.86,7.79,11171.14391909
2026-03-07 14:00:00,7.796,7.959,7.97,7.795,1493188.6127293746
2026-03-07 15:00:00,7.97,7.921,7.97,7.86,1383580.282706483
2026-03-07 16:00:00,7.923,7.929,7.936,7.923,4593.80362975
2026-03-07 18:00:00,7.856,7.856,7.856,7.856,10851.0745896
2026-03-07 19:00:00,7.921,7.881,7.921,7.881,20967.5369816
2026-03-07 20:00:00,7.922,7.883,7.922,7.883,17557.385914075556
2026-03-07 21:00:00,7.922,7.936,7.936,7.922,16531.069866519356
2026-03-07 22:00:00,7.913,8.025,8.5,7.904,22888163.421687383
2026-03-07 23:00:00,8.025,7.859,8.144,7.801,5023273.353399427
2026-03-08 00:00:00,7.801,7.927,7.934,7.801,402022.9545012227
2026-03-08 01:00:00,7.802,7.862,7.862,7.8,1366968.753455286
2026-03-08 02:00:00,7.84,7.812,7.879,7.802,218965.832242995
2026-03-08 03:00:00,7.812,7.821,7.824,7.75,968364.8243014392
2026-03-08 04:00:00,7.821,7.8,7.846,7.8,186842.60861484
2026-03-08 05:00:00,7.8,7.823,7.823,7.8,13508.140994503388
2026-03-08 06:00:00,7.82,7.82,7.82,7.82,31051.87797769
2026-03-08 07:00:00,7.821,7.81,7.881,7.81,84026.63547700556
2026-03-08 08:00:00,7.878,7.853,7.882,7.853,64930.2992035628
2026-03-08 09:00:00,7.881,7.876,7.881,7.876,1499.103062015564
2026-03-08 10:00:00,7.882,7.882,7.882,7.824,61289.52772084057
2026-03-08 11:00:00,7.891,7.9,7.9,7.891,136582.27848102
2026-03-08 12:00:00,7.9,7.852,7.947,7.833,331340.8927340603
2026-03-08 13:00:00,7.924,7.937,7.937,7.829,577812.0731649478
2026-03-08 14:00:00,7.929,7.909,7.946,7.909,279324.0690318056
2026-03-08 15:00:00,7.872,7.829,7.886,7.829,898432.29463306
2026-03-08 17:00:00,7.85,7.887,7.887,7.85,58772.13397561
2026-03-08 20:00:00,7.888,7.888,7.888,7.888,634.1277890466531
2026-03-08 21:00:00,7.831,7.9,7.9,7.831,138709.39711286
2026-03-08 22:00:00,7.831,7.894,7.894,7.831,134344.17876276185
2026-03-08 23:00:00,7.83,7.86,7.86,7.819,216045.3752366216
2026-03-09 00:00:00,7.819,7.741,7.819,7.702,1220099.2243014013
2026-03-09 01:00:00,7.74,7.75,7.789,7.701,585258.4147079462
2026-03-09 02:00:00,7.749,7.8,7.8,7.749,884338.10411628
2026-03-09 03:00:00,7.778,7.702,7.808,7.701,1362371.8784529455
2026-03-09 04:00:00,7.731,7.798,7.8,7.731,339517.1940636464
2026-03-09 05:00:00,7.798,7.78,7.8,7.78,141610.40830835144
2026-03-09 06:00:00,7.8,7.778,7.8,7.778,11317.540089307691
2026-03-09 07:00:00,7.759,7.75,7.759,7.703,119700.00154733258
2026-03-09 08:00:00,7.746,7.746,7.746,7.746,10000.0
2026-03-09 09:00:00,7.744,7.828,7.838,7.744,485438.8269353132
2026-03-09 10:00:00,7.815,7.835,7.835,7.815,12002.36557050143
2026-03-09 11:00:00,7.801,7.833,7.833,7.801,33907.57040191359
2026-03-09 12:00:00,7.816,7.833,7.837,7.8,206617.80919355925
2026-03-09 13:00:00,7.822,7.817,7.822,7.78,212558.03184923195
2026-03-09 14:00:00,7.817,7.894,7.894,7.817,810315.93523314
2026-03-09 15:00:00,7.807,7.71,7.85,7.71,1595695.589182749
2026-03-09 16:00:00,7.726,7.722,7.754,7.722,40254.109031327134
2026-03-09 17:00:00,7.722,7.723,7.723,7.722,69578.18859097
2026-03-09 18:00:00,7.78,7.782,7.782,7.78,13017.2071734
2026-03-09 19:00:00,7.823,7.735,7.832,7.735,42949.87374736108
2026-03-09 21:00:00,7.806,7.806,7.806,7.806,807.3276966436075
2026-03-09 22:00:00,7.806,7.805,7.806,7.803,37003.030540232336
2026-03-09 23:00:00,7.771,7.804,7.804,7.735,152277.76990446285
2026-03-10 01:00:00,7.804,7.804,7.804,7.804,5000.0
2026-03-10 02:00:00,7.803,7.803,7.814,7.803,236266.1275198
2026-03-10 03:00:00,7.803,7.839,7.839,7.803,251565.37638996
2026-03-10 04:00:00,7.839,7.839,7.839,7.839,102710.18460991
2026-03-10 05:00:00,7.775,7.837,7.837,7.775,2977.4622171283195
2026-03-10 08:00:00,7.773,7.831,7.831,7.772,7954.800367343273
2026-03-10 09:00:00,7.772,7.837,7.837,7.772,25793.90074350594
2026-03-10 10:00:00,7.774,7.833,7.833,7.773,330346.4492340484
2026-03-10 11:00:00,7.82,7.828,7.85,7.82,390761.80287969
2026-03-10 12:00:00,7.816,7.877,7.877,7.816,174217.83420349934
2026-03-10 13:00:00,7.897,7.85,7.897,7.85,448439.03172219
2026-03-10 14:00:00,7.845,7.911,8.029,7.792,2127868.33833051
2026-03-10 15:00:00,8.028,7.93,8.987,7.875,65434091.37722474
2026-03-10 16:00:00,7.954,7.738,7.981,7.735,14360737.718414431
2026-03-10 17:00:00,7.738,7.785,7.804,7.73,1083712.9198952762
2026-03-10 18:00:00,7.776,7.782,7.786,7.743,136273.18335239156
2026-03-10 19:00:00,7.747,7.786,7.786,7.747,30676.83549568
2026-03-10 20:00:00,7.786,7.815,7.817,7.734,261820.7130732675
2026-03-10 21:00:00,7.812,7.741,7.812,7.741,875996.6310176342
2026-03-10 22:00:00,7.743,7.787,7.79,7.743,582115.9615304258
2026-03-10 23:00:00,7.778,7.847,7.847,7.777,746617.7797219837
2026-03-11 01:00:00,7.834,7.843,7.845,7.8,302151.6912523754
2026-03-11 02:00:00,7.81,7.835,7.842,7.79,103879.49310248539
2026-03-11 04:00:00,7.781,7.796,7.796,7.778,1468084.07036888
2026-03-11 05:00:00,7.832,7.84,7.84,7.832,1914.5681766108164
2026-03-11 06:00:00,7.834,7.785,7.836,7.785,198115.21787833
2026-03-11 07:00:00,7.78,7.781,7.783,7.779,258689.59609551
2026-03-11 08:00:00,7.843,7.785,7.843,7.785,198000.94734165524
2026-03-11 09:00:00,7.837,7.84,7.84,7.837,3216.070810109518
2026-03-11 10:00:00,7.841,7.85,7.85,7.841,191366.18558037924
2026-03-11 11:00:00,7.85,7.84,7.87,7.84,641222.1728436
2026-03-11 12:00:00,7.84,7.865,7.869,7.84,32026.53946290029
2026-03-11 13:00:00,7.825,7.869,7.87,7.825,457259.1654773601
2026-03-11 14:00:00,7.827,7.9,7.918,7.827,2669181.783182865
2026-03-11 15:00:00,7.842,7.84,8.368,7.8,20335042.05646706
2026-03-11 16:00:00,7.811,7.841,7.97,7.807,2025177.1641111283
2026-03-11 17:00:00,7.835,7.834,7.835,7.834,199861.9900012538
2026-03-11 18:00:00,7.887,7.887,7.887,7.887,617.28395062
2026-03-11 20:00:00,7.835,7.835,7.835,7.835,49332.91846023
2026-03-11 21:00:00,7.875,7.802,7.875,7.802,976738.60580279
2026-03-11 22:00:00,7.801,7.815,7.845,7.8,294509.49307947035
2026-03-11 23:00:00,7.874,7.874,7.874,7.874,13335.02667006254
2026-03-12 00:00:00,7.874,7.9,7.957,7.874,79719.71415155703
2026-03-12 01:00:00,7.9,7.84,7.908,7.813,374853.7347892257
2026-03-12 02:00:00,7.854,7.815,7.854,7.815,316678.91582963
2026-03-12 03:00:00,7.896,7.897,7.897,7.896,12030.559880742918
2026-03-12 04:00:00,7.823,7.823,7.823,7.821,294626.27162551
2026-03-12 05:00:00,7.891,7.87,7.91,7.87,534445.9029503237
2026-03-12 06:00:00,7.917,7.909,7.929,7.83,192521.94013866736
2026-03-12 07:00:00,7.909,7.85,7.909,7.85,80561.38787324
2026-03-12 08:00:00,7.851,7.847,7.851,7.846,273105.1713095
2026-03-12 09:00:00,7.847,7.825,7.847,7.824,501089.98165827
2026-03-12 10:00:00,7.87,7.87,7.87,7.87,1145.56471373
2026-03-12 11:00:00,7.87,7.87,7.966,7.829,345834.2081160359
2026-03-12 12:00:00,7.847,7.945,7.97,7.829,4033457.7757150787
2026-03-12 13:00:00,7.92,7.955,7.983,7.891,4419623.95553051
2026-03-12 14:00:00,8.024,7.948,8.089,7.948,208832.8394183299
2026-03-12 15:00:00,8.079,7.833,8.592,7.813,23335203.3134822
2026-03-12 16:00:00,7.833,7.956,7.956,7.822,427246.44889716944
2026-03-12 17:00:00,7.832,7.822,7.952,7.822,336893.65686766
2026-03-12 18:00:00,7.855,7.821,7.953,7.82,479830.19410888
2026-03-12 19:00:00,7.821,7.821,7.876,7.82,170898.98625834
2026-03-12 20:00:00,7.821,7.844,7.844,7.82,502498.2412174034
2026-03-12 21:00:00,7.844,7.844,7.845,7.844,886581.5589281266
2026-03-12 22:00:00,7.844,7.879,7.881,7.844,167484.69859470063
2026-03-12 23:00:00,7.905,7.858,7.905,7.858,213023.60517121
2026-03-13 00:00:00,7.904,7.921,7.923,7.859,372638.73833646113
2026-03-13 01:00:00,7.938,7.921,7.947,7.921,235472.53358494857
2026-03-13 02:00:00,7.954,7.96,7.96,7.921,184804.4737683345
2026-03-13 03:00:00,7.96,7.987,7.998,7.939,3300581.7765681758
2026-03-13 04:00:00,7.988,7.949,7.988,7.93,381381.95330976
2026-03-13 05:00:00,7.987,7.943,7.987,7.943,874308.9158574033
2026-03-13 06:00:00,7.976,7.944,7.988,7.944,375574.0017903441
2026-03-13 07:00:00,7.945,7.965,7.973,7.884,828434.46142483
2026-03-13 08:00:00,7.966,7.966,7.966,7.965,138278.88002228
2026-03-13 09:00:00,7.988,7.979,7.988,7.899,520330.81195793865
2026-03-13 10:00:00,7.98,7.931,8.0,7.931,233912.39415145
2026-03-13 11:00:00,7.994,7.993,7.994,7.934,62732.33642928842
2026-03-13 12:00:00,7.952,7.999,7.999,7.95,201001.82242332
2026-03-13 13:00:00,8.0,7.998,8.055,7.994,366057.9038747925
2026-03-13 14:00:00,8.055,8.211,8.211,7.948,810305.4392338664
2026-03-13 15:00:00,8.211,8.041,8.577,7.94,14797669.23214407
2026-03-13 17:00:00,8.038,8.038,8.038,8.038,5470.0
2026-03-13 18:00:00,8.023,8.023,8.023,8.023,33470.98220001
2026-03-13 19:00:00,7.987,7.985,8.01,7.985,99467.10144086
2026-03-13 20:00:00,8.042,8.042,8.042,8.042,621.7358865953743
2026-03-13 21:00:00,8.042,8.042,8.042,8.042,20000.0
2026-03-13 22:00:00,7.978,7.978,7.978,7.978,6512.18728404
2026-03-13 23:00:00,7.978,7.978,7.978,7.978,2774.76392042
2026-03-14 00:00:00,7.977,8.095,8.097,7.974,295224.4522497608
2026-03-14 02:00:00,8.095,8.1,8.1,8.095,30182.94331020988
2026-03-14 03:00:00,8.1,8.1,8.1,8.1,650.0
2026-03-14 05:00:00,8.1,8.1,8.1,8.053,89473.42919655012
2026-03-14 06:00:00,8.208,8.208,8.208,8.208,743.17738791423
2026-03-14 07:00:00,8.125,8.126,8.127,8.125,91612.76074022
2026-03-14 08:00:00,8.084,8.088,8.089,8.083,32370.11380505
2026-03-14 09:00:00,8.082,8.151,8.157,8.082,3577.384938154161
2026-03-14 10:00:00,8.092,8.091,8.135,8.091,16243.878318849269
2026-03-14 11:00:00,8.139,8.139,8.139,8.139,1255.436785845927
2026-03-14 12:00:00,8.091,8.09,8.091,8.09,4292.7382636
2026-03-14 13:00:00,8.129,8.2,8.206,8.129,175657.7061689429
2026-03-14 14:00:00,8.101,8.098,8.101,8.098,24446.08863295
2026-03-14 15:00:00,8.136,8.214,8.23,8.114,342174.99389774
2026-03-14 16:00:00,8.123,8.158,8.158,8.123,48223.75357368
2026-03-14 17:00:00,8.159,8.15,8.159,8.15,151629.09258008
2026-03-14 18:00:00,8.194,8.2,8.2,8.183,23354.610793998847
2026-03-14 19:00:00,8.2,8.206,8.206,8.2,134806.80981170034
2026-03-14 20:00:00,8.174,8.2,8.216,8.156,129835.48273660844
2026-03-14 21:00:00,8.151,8.185,8.185,8.148,191467.56712677053
2026-03-14 22:00:00,8.156,8.172,8.174,8.123,437920.98899333173
2026-03-14 23:00:00,8.125,8.158,8.158,8.1,96444.92837144024
2026-03-15 00:00:00,8.096,8.136,8.136,8.096,41515.83459356
2026-03-15 01:00:00,8.156,8.093,8.157,8.092,41890.01314792135
2026-03-15 02:00:00,8.14,8.086,8.153,8.086,2544513.7821531724
2026-03-15 03:00:00,8.085,7.915,8.159,7.903,6465448.86098413
2026-03-15 04:00:00,7.95,8.017,8.1,7.949,891786.40032173
2026-03-15 05:00:00,7.974,8.019,8.022,7.97,377437.2119779301
2026-03-15 06:00:00,8.019,8.024,8.024,7.98,73142.91352366544
2026-03-15 07:00:00,7.978,8.013,8.014,7.953,255854.6263851081
2026-03-15 08:00:00,7.977,8.025,8.025,7.977,178595.3342361
2026-03-15 09:00:00,8.086,8.087,8.088,8.086,112444.43782284
2026-03-15 10:00:00,8.087,8.088,8.088,8.087,100000.0
2026-03-15 11:00:00,8.031,8.018,8.086,8.018,155235.1529198738
2026-03-15 12:00:00,8.088,8.023,8.088,8.022,354897.9314672727
2026-03-15 13:00:00,7.998,7.98,8.023,7.98,315876.45393956
2026-03-15 14:00:00,8.022,8.1,8.178,7.962,2022806.557593983
2026-03-15 15:00:00,8.085,8.085,8.615,7.992,24578992.78408005
2026-03-15 16:00:00,8.054,7.997,8.085,7.997,1510838.43497552
2026-03-15 18:00:00,8.058,8.058,8.058,8.058,645.3214197071234
2026-03-15 19:00:00,8.003,8.001,8.003,8.001,12186.2052
2026-03-15 20:00:00,8.003,8.023,8.057,7.975,671371.7553871269
2026-03-15 21:00:00,8.023,8.019,8.023,7.987,42245.708835396166
2026-03-15 22:00:00,7.978,8.019,8.019,7.977,155570.05514271304
2026-03-15 23:00:00,8.019,8.062,8.062,7.983,71432.30645124847
