time,open,close,high,low,volume
2026-02-21 01:00:00,23.9,23.9,23.9,23.9,1044.0
2026-02-21 02:00:00,23.73,23.75,23.75,23.54,338367.0496982
2026-02-21 03:00:00,23.75,23.75,23.75,23.75,788.1652474
2026-02-21 04:00:00,23.83,23.83,23.83,23.83,5894.57410544
2026-02-21 05:00:00,23.49,23.49,23.49,23.49,8514.26138783
2026-02-21 06:00:00,23.5,23.85,23.85,23.5,65530.92774328
2026-02-21 07:00:00,23.84,23.92,23.92,23.84,22903.75
2026-02-21 09:00:00,24.02,23.48,24.02,23.36,622526.48341883
2026-02-21 10:00:00,23.47,23.22,23.64,23.2,251190.5265957147
2026-02-21 11:00:00,23.22,22.98,23.28,22.98,519637.07923538535
2026-02-21 12:00:00,22.96,22.95,23.06,22.86,168366.88539060453
2026-02-21 13:00:00,23.0,23.12,23.14,23.0,154603.5840612455
2026-02-21 14:00:00,23.12,23.3,23.62,23.1,43276.77926079441
2026-02-21 15:00:00,23.11,23.4,23.4,23.11,31178.84751428
2026-02-21 16:00:00,23.28,23.11,23.29,23.11,1596.730274927634
2026-02-21 17:00:00,23.12,23.05,23.12,23.05,2500.0
2026-02-21 22:00:00,23.29,23.29,23.29,23.29,284.132948
2026-02-22 00:00:00,23.02,23.4,23.4,23.0,33635.04164358173
2026-02-22 01:00:00,23.3,23.27,23.3,22.99,14310.510159267287
2026-02-22 02:00:00,22.99,22.98,23.18,22.97,40271.7143859245
2026-02-22 03:00:00,23.27,23.22,23.27,22.97,117155.01412707272
2026-02-22 04:00:00,23.22,23.03,23.26,22.97,317958.87048594
2026-02-22 05:00:00,23.24,23.25,23.25,23.24,93798.39733110344
2026-02-22 06:00:00,23.25,23.26,23.26,23.25,61971.25382105
2026-02-22 07:00:00,23.26,23.02,23.26,23.02,60460.0756174
2026-02-22 09:00:00,23.05,23.05,23.05,23.05,260.55232289
2026-02-22 10:00:00,23.2,23.21,23.27,23.06,47195.89535693
2026-02-22 11:00:00,23.34,23.41,23.55,23.26,302174.01840948826
2026-02-22 12:00:00,23.23,23.3,23.3,23.16,200607.42118858584
2026-02-22 13:00:00,23.32,23.15,23.32,23.15,5773.47342315
2026-02-22 14:00:00,23.15,23.32,23.32,23.15,82059.18928429553
2026-02-22 15:00:00,23.3,23.06,23.3,23.06,151654.6551897049
2026-02-22 16:00:00,23.05,23.25,23.25,23.05,2872.85728768
2026-02-22 18:00:00,23.08,23.08,23.08,23.08,1719.69045572
2026-02-22 19:00:00,23.08,23.08,23.08,23.08,8565.93892872
2026-02-22 20:00:00,23.05,23.05,23.05,23.05,50000.0
2026-02-22 22:00:00,23.05,23.05,23.05,23.05,2650.89238845
2026-02-22 23:00:00,23.05,23.3,23.3,23.05,706.8418161762231
2026-02-23 00:00:00,23.26,23.21,23.53,23.21,400327.86087038
2026-02-23 01:00:00,23.16,22.99,23.17,22.86,25203.847030101235
2026-02-23 02:00:00,23.08,23.08,23.08,22.81,2849.6533795493933
2026-02-23 03:00:00,22.81,23.04,23.06,22.81,68126.60030393374
2026-02-23 04:00:00,23.04,22.91,23.04,22.72,40900.40234691101
2026-02-23 05:00:00,22.9,22.91,22.91,22.75,24904.52073342649
2026-02-23 06:00:00,22.97,22.99,22.99,22.95,6967.505916442291
