time,open,close,high,low,volume
2026-02-23 03:00:00,42.65,42.69,42.69,42.45,83373.83063666038
2026-02-23 04:00:00,42.59,42.38,42.67,42.38,134124.80817511948
2026-02-23 05:00:00,42.55,42.86,43.1,42.44,196072.62508944533
2026-02-23 06:00:00,43.07,43.11,43.21,43.0,95307.53195732
2026-02-23 07:00:00,43.07,43.13,43.17,42.95,160113.52845933
2026-02-23 08:00:00,43.01,42.7,43.11,42.59,187874.30008708
2026-02-23 09:00:00,42.74,42.89,42.89,42.68,46238.73172330137
2026-02-23 10:00:00,43.25,43.04,43.33,42.99,381761.3496548045
2026-02-23 11:00:00,42.65,42.77,42.86,42.65,13206.66127127
2026-02-23 12:00:00,42.74,42.84,42.95,42.6,164809.29077724
2026-02-23 13:00:00,42.68,42.54,42.68,42.54,11944.45828915
2026-02-23 14:00:00,42.49,42.43,42.49,42.02,130121.9722105883
2026-02-23 15:00:00,42.07,41.9,42.22,41.9,36195.26167237077
2026-02-23 16:00:00,41.8,42.08,42.08,41.66,138741.05061642
2026-02-23 17:00:00,41.54,41.26,41.54,40.8,703605.46156283
2026-02-23 18:00:00,41.32,41.23,41.54,41.23,125764.17377244
2026-02-23 19:00:00,41.23,41.11,41.23,41.08,30442.91273125
2026-02-23 20:00:00,41.14,41.15,41.15,40.97,2850.74552583
2026-02-23 21:00:00,41.44,41.57,41.57,41.44,3747.57635116
2026-02-23 22:00:00,41.64,41.89,41.89,41.64,2755.1070014
2026-02-23 23:00:00,41.85,42.06,42.06,41.85,1414.55741215
2026-02-24 00:00:00,42.06,42.4,42.4,42.06,23231.28450806
2026-02-24 01:00:00,42.21,42.15,42.54,41.56,242349.18980083
2026-02-24 02:00:00,42.25,41.81,42.25,41.81,98630.21907764842
2026-02-24 03:00:00,41.7,41.55,41.76,41.42,101080.72216887
2026-02-24 04:00:00,41.5,41.29,41.55,41.1,247509.82493561
2026-02-24 05:00:00,41.32,41.24,41.38,40.94,133643.78019154
2026-02-24 06:00:00,41.01,40.82,41.11,40.82,15345.61348561
2026-02-24 07:00:00,41.01,41.17,41.27,40.97,60812.00046688
2026-02-24 08:00:00,41.08,41.29,41.49,41.03,86890.69025564
2026-02-24 09:00:00,41.32,41.11,41.38,41.11,140110.2105796
2026-02-24 10:00:00,41.12,41.3,41.3,41.09,159222.10341381
2026-02-24 11:00:00,41.2,41.16,41.2,40.9,752828.3461556988
2026-02-24 12:00:00,41.21,41.39,41.44,41.09,27256.696930292524
2026-02-24 13:00:00,41.38,41.53,41.53,41.12,227329.3057087361
2026-02-24 14:00:00,41.36,42.55,42.7,41.36,57175.792609093005
2026-02-24 15:00:00,42.6,42.81,43.33,42.6,48737.22418357
2026-02-24 16:00:00,42.92,42.88,43.21,42.82,86652.36899666
2026-02-24 17:00:00,43.11,43.12,43.12,43.04,32825.53926202
2026-02-24 18:00:00,43.26,43.05,43.26,43.04,25416.58906839
2026-02-24 19:00:00,43.18,43.41,43.41,42.92,80185.94560897
2026-02-24 20:00:00,43.32,43.41,43.5,43.28,78669.01965052
2026-02-24 21:00:00,43.55,43.38,43.55,43.26,130962.883532
2026-02-24 22:00:00,43.39,43.24,43.55,43.24,49740.72824858
2026-02-24 23:00:00,42.95,43.14,43.14,42.95,141135.74545132986
2026-02-25 00:00:00,42.45,42.59,42.69,42.43,105665.705877479
2026-02-25 01:00:00,42.59,43.56,43.96,42.59,423397.60304135625
2026-02-25 02:00:00,43.72,43.31,43.74,43.31,44006.76984193
2026-02-25 03:00:00,43.25,43.1,43.28,43.02,76968.8824253953
2026-02-25 04:00:00,42.71,43.07,43.07,42.71,18819.97282875582
2026-02-25 05:00:00,43.01,42.87,43.01,42.75,151971.226964528
2026-02-25 06:00:00,42.91,42.75,43.1,42.75,46402.58686573144
2026-02-25 07:00:00,42.74,42.7,42.93,42.68,59043.05668223
2026-02-25 08:00:00,42.79,42.7,42.88,42.67,148657.81395542197
2026-02-25 09:00:00,42.94,43.6,44.26,42.94,523149.327308028
2026-02-25 10:00:00,43.59,43.73,43.92,43.43,318911.94156668
2026-02-25 11:00:00,43.73,43.62,43.83,43.62,46481.2250965
2026-02-25 12:00:00,43.53,43.47,43.76,43.44,164528.14541807
2026-02-25 13:00:00,43.47,43.53,43.68,43.38,129802.72767483
2026-02-25 14:00:00,43.38,43.59,43.59,43.18,322384.13137905
2026-02-25 15:00:00,43.61,43.22,43.61,42.88,530759.82172281
2026-02-25 16:00:00,43.3,43.75,43.99,43.3,169920.58662955
2026-02-25 17:00:00,43.77,43.55,43.8,43.3,70401.08745197
2026-02-25 18:00:00,43.43,44.08,44.59,43.43,224378.47385276
2026-02-25 19:00:00,43.72,44.03,44.03,43.72,43815.5259
2026-02-25 20:00:00,44.01,44.16,44.24,44.01,73160.05657476
2026-02-25 21:00:00,43.75,44.13,44.3,43.72,105829.9591839
