time,open,close,high,low,volume
2026-03-14 21:00:00,27.82,27.86,27.88,27.78,29531.9999
2026-03-14 22:00:00,27.92,28.0,28.0,27.92,13447.38471232
2026-03-14 23:00:00,28.02,28.02,28.02,28.02,3950.0
2026-03-15 00:00:00,28.02,27.92,28.07,27.88,25808.72696821
2026-03-15 01:00:00,27.96,27.98,27.98,27.96,787.655933
2026-03-15 02:00:00,28.23,28.28,28.28,28.23,29418.20467263
2026-03-15 03:00:00,28.28,28.13,28.28,28.12,56525.39781065
2026-03-15 04:00:00,28.13,28.11,28.17,27.93,68710.91470547
2026-03-15 05:00:00,28.28,28.19,28.31,28.19,250118.92488586
2026-03-15 06:00:00,28.24,28.18,28.25,28.12,857638.20808462
2026-03-15 07:00:00,28.2,28.23,28.23,28.05,687502.00717723
2026-03-15 08:00:00,28.23,28.2,28.23,28.14,30648.48943251
2026-03-15 09:00:00,28.24,28.16,28.24,28.13,86884.64300821
2026-03-15 10:00:00,28.13,28.33,28.36,28.13,118656.59012989
2026-03-15 11:00:00,28.36,28.37,28.48,28.36,159205.33262241
2026-03-15 12:00:00,28.37,28.51,28.63,28.37,53305.02780609
2026-03-15 13:00:00,28.45,28.38,28.45,28.13,239924.52269532
2026-03-15 14:00:00,28.46,28.44,28.49,28.4,111078.0620897
2026-03-15 15:00:00,28.45,28.33,28.45,28.31,317668.81564834
2026-03-15 16:00:00,28.38,28.36,28.41,28.34,143065.21173919202
2026-03-15 17:00:00,28.4,28.59,28.59,28.4,40251.18387988
2026-03-15 18:00:00,28.53,28.49,28.65,28.47,140692.2496087
2026-03-15 19:00:00,28.81,28.89,28.9,28.81,77572.439682
2026-03-15 20:00:00,28.94,28.83,28.96,28.83,109864.13357338
2026-03-15 21:00:00,28.83,28.77,28.87,28.64,131832.1432703
2026-03-15 22:00:00,28.74,28.9,28.92,28.6,222721.58885132
2026-03-15 23:00:00,28.95,28.8,28.95,28.65,283940.90621855
2026-03-16 00:00:00,28.89,28.7,28.89,28.51,176992.48369653
2026-03-16 01:00:00,28.62,28.77,28.77,28.52,29151.63340860068
2026-03-16 02:00:00,28.81,28.81,28.81,28.67,97024.99459307
2026-03-16 03:00:00,28.81,29.07,29.29,28.81,369604.82295983
2026-03-16 04:00:00,29.16,29.37,29.37,29.16,115316.90665141394
2026-03-16 05:00:00,29.4,29.39,29.5,29.36,337914.34031095
2026-03-16 06:00:00,29.46,29.35,29.46,29.24,144716.37552561154
2026-03-16 07:00:00,29.4,29.31,29.41,29.27,116656.17056573306
2026-03-16 08:00:00,29.38,29.24,29.42,29.18,582956.89274996
