time,open,close,high,low,volume
2026-03-26 10:00:00,23.75,22.16,24.4,21.61,177469754.45588934
2026-03-26 11:00:00,22.3,22.81,23.08,21.83,51121101.65486427
2026-03-26 12:00:00,22.84,21.1,22.87,20.8,65549578.14345026
2026-03-26 13:00:00,21.08,20.98,21.49,20.7,25412871.38621592
2026-03-26 14:00:00,20.98,20.46,21.01,20.16,21634174.577915564
2026-03-26 15:00:00,20.46,20.01,21.2,20.0,22851387.536807343
2026-03-26 16:00:00,20.04,19.79,20.13,19.51,6955295.0013714
2026-03-26 17:00:00,19.76,19.92,20.43,19.68,4831744.754992601
2026-03-26 18:00:00,19.79,20.57,20.75,19.54,8264949.14718679
2026-03-26 19:00:00,20.58,19.9,20.73,19.89,11671925.92038648
2026-03-26 20:00:00,19.97,19.27,20.0,19.0,16118064.058960697
2026-03-26 21:00:00,19.25,19.63,19.7,19.13,5935395.491752682
2026-03-26 22:00:00,19.63,19.74,19.75,19.39,8219439.095651291
2026-03-26 23:00:00,19.74,19.79,20.12,19.67,11692850.636369126
2026-03-27 00:00:00,19.79,19.05,19.79,18.86,31008580.071139824
2026-03-27 01:00:00,19.04,18.92,19.17,18.85,11692462.74188882
2026-03-27 02:00:00,18.91,18.82,19.0,18.61,15243142.040645909
2026-03-27 03:00:00,18.82,18.65,19.0,18.5,16753543.560690435
2026-03-27 04:00:00,18.64,18.73,18.91,18.55,10802639.22920241
2026-03-27 05:00:00,18.68,18.96,19.4,18.64,21480578.08190077
2026-03-27 06:00:00,18.89,19.17,19.58,18.72,18529901.303512387
2026-03-27 07:00:00,19.19,18.87,19.27,18.83,9454663.33595256
2026-03-27 08:00:00,18.87,18.28,18.94,18.08,20598828.426835712
2026-03-27 09:00:00,18.27,18.31,18.47,18.07,11813328.801978037
2026-03-27 10:00:00,18.36,18.01,18.41,17.9,10483347.061192645
2026-03-27 11:00:00,18.01,18.04,18.21,17.84,9312575.85636617
2026-03-27 12:00:00,18.0,17.87,18.01,17.67,13257569.145815218
2026-03-27 13:00:00,17.9,17.89,17.95,17.69,13400257.16624658
2026-03-27 14:00:00,17.89,17.85,18.0,17.72,8467640.060610294
2026-03-27 15:00:00,17.85,18.13,18.44,17.77,24010113.757394865
2026-03-27 16:00:00,18.09,18.09,18.14,17.86,12492497.686245548
2026-03-27 17:00:00,18.08,17.84,18.09,17.83,3985669.1127861016
2026-03-27 18:00:00,17.83,18.15,18.15,17.82,3901115.424263829
2026-03-27 19:00:00,18.15,18.15,18.59,17.9,11341577.624219462
2026-03-27 20:00:00,18.11,18.35,18.49,17.98,6536854.225675625
2026-03-27 21:00:00,18.31,18.22,18.5,18.18,4724556.960235599
2026-03-27 22:00:00,18.18,18.06,18.23,18.05,3586506.3849703697
2026-03-27 23:00:00,18.05,18.12,18.22,17.91,6268460.9214475
2026-03-28 00:00:00,18.1,18.39,18.88,17.84,44996006.65472561
2026-03-28 01:00:00,18.39,17.44,18.5,17.23,25297330.526052658
2026-03-28 02:00:00,17.44,17.18,17.56,17.02,16494288.690636773
2026-03-28 03:00:00,17.18,17.15,17.2,17.07,5355767.582550404
2026-03-28 04:00:00,17.15,17.22,17.29,17.1,5856675.381397315
2026-03-28 05:00:00,17.25,17.42,17.58,17.23,8262173.268116846
2026-03-28 06:00:00,17.39,17.43,17.48,17.27,3150013.14712419
2026-03-28 07:00:00,17.42,17.52,17.55,17.38,3570818.4399997825
2026-03-28 08:00:00,17.5,17.74,17.74,17.46,6600207.068533475
2026-03-28 09:00:00,17.74,17.52,18.0,17.44,14286739.318347923
2026-03-28 10:00:00,17.52,17.4,17.63,17.32,3979033.26346331
2026-03-28 11:00:00,17.43,17.42,17.52,17.3,4323427.588599839
2026-03-28 12:00:00,17.4,17.67,17.85,17.35,4494306.904626628
