time,open,close,high,low,volume
2026-03-17 15:00:00,63.72,63.96,63.96,63.43,26986.99439642
2026-03-17 16:00:00,63.84,63.78,63.84,63.65,9594.83940783
2026-03-17 17:00:00,63.9,63.9,63.9,63.9,95.98038
2026-03-17 18:00:00,63.94,64.28,64.28,63.94,12528.49058915
2026-03-17 19:00:00,64.16,64.06,64.16,63.85,64090.26816673
2026-03-17 20:00:00,64.07,64.27,64.27,64.07,1654.76133173
2026-03-17 21:00:00,64.19,64.38,64.38,64.18,62601.44618
2026-03-17 22:00:00,64.13,63.97,64.13,63.97,95541.80079593
2026-03-17 23:00:00,63.96,63.7,63.96,63.7,46154.46323234
2026-03-18 00:00:00,63.7,63.78,63.93,63.59,79232.82634545
2026-03-18 01:00:00,63.92,64.29,64.56,63.92,225672.52553521
2026-03-18 02:00:00,64.34,64.6,64.6,64.21,60695.30822884
2026-03-18 03:00:00,64.39,63.68,64.39,63.68,22281.9813097
2026-03-18 04:00:00,63.88,63.54,63.95,63.36,221377.99238548
2026-03-18 05:00:00,63.64,63.54,63.64,63.54,4750.20349382
2026-03-18 06:00:00,63.62,63.73,63.73,63.62,1193.393439
2026-03-18 07:00:00,63.55,63.99,63.99,63.55,20416.198235
2026-03-18 08:00:00,63.97,64.31,64.31,63.96,17236.00660147
2026-03-18 09:00:00,64.34,63.91,64.34,63.91,39389.08339914
2026-03-18 10:00:00,64.03,63.56,64.04,63.56,18216.84171768
2026-03-18 11:00:00,63.58,62.36,63.74,62.33,95130.77100807
2026-03-18 12:00:00,62.2,61.24,62.2,61.07,166334.61883835
2026-03-18 13:00:00,61.19,61.55,61.63,61.0,117024.13508378
2026-03-18 14:00:00,61.04,60.87,61.04,60.82,174669.51863519
2026-03-18 15:00:00,60.66,61.06,61.11,60.46,64738.55205089
2026-03-18 16:00:00,60.89,61.3,61.3,60.89,1616.7073401
2026-03-18 17:00:00,61.0,61.0,61.0,61.0,91.02080944
2026-03-18 18:00:00,61.33,61.21,61.38,61.21,12839.11595756
2026-03-18 19:00:00,61.04,61.04,61.18,61.04,2407.5753397
2026-03-18 20:00:00,60.91,61.36,61.36,60.91,2833.800669
2026-03-18 21:00:00,61.71,61.71,61.71,61.71,100.0
2026-03-18 22:00:00,61.46,61.46,61.46,61.46,13246.07211639
2026-03-18 23:00:00,61.47,61.37,61.76,61.37,47282.8921819
2026-03-19 00:00:00,61.48,61.57,63.01,61.48,144810.64307832933
2026-03-19 01:00:00,61.34,61.15,61.35,61.15,7241.35376092
2026-03-19 02:00:00,60.9,61.29,61.29,60.9,371.786675
2026-03-19 03:00:00,61.53,61.53,61.53,61.53,400.826107
2026-03-19 04:00:00,61.42,61.26,61.42,61.26,2372.75387421
2026-03-19 05:00:00,60.93,61.05,61.05,60.93,18610.59484299
2026-03-19 06:00:00,61.03,60.96,61.04,60.96,8309.764717684837
2026-03-19 07:00:00,60.58,60.72,60.93,60.49,18794.15756692
2026-03-19 08:00:00,60.48,60.6,60.66,60.36,46987.15523801
2026-03-19 09:00:00,60.6,60.88,60.88,60.6,9731.22690042
2026-03-19 10:00:00,60.88,60.56,60.88,60.56,4442.00937
2026-03-19 11:00:00,60.62,60.72,60.72,60.61,5891.9883817
2026-03-19 12:00:00,60.6,60.13,60.6,60.1,29345.27085321
2026-03-19 13:00:00,60.11,60.2,60.38,59.99,10098.59768756
2026-03-19 14:00:00,60.13,60.13,60.13,60.13,83.15316814
2026-03-19 15:00:00,59.73,59.81,59.81,59.72,16616.62991902
2026-03-19 17:00:00,59.8,59.94,59.94,59.64,3709.75803775
2026-03-19 19:00:00,60.05,59.93,60.14,59.93,12320.99565688
2026-03-19 20:00:00,60.0,60.19,60.23,60.0,11754.16405278
2026-03-19 21:00:00,60.41,60.22,60.41,60.22,698.8960098
2026-03-20 00:00:00,60.75,60.75,60.75,60.75,164.6090535
2026-03-20 01:00:00,60.58,61.08,61.08,60.58,82431.69266871
2026-03-20 02:00:00,61.02,60.92,61.02,60.92,5762.034586
2026-03-20 05:00:00,60.96,60.96,60.96,60.96,100.0
2026-03-20 06:00:00,61.07,61.07,61.08,61.07,1330.9196
2026-03-20 07:00:00,61.08,61.05,61.1,60.79,24407.98274644
2026-03-20 10:00:00,61.11,61.32,61.32,61.03,6061.52796306
2026-03-20 11:00:00,61.17,60.99,61.17,60.98,2498.0
2026-03-20 12:00:00,61.19,60.82,61.28,60.81,14224.98514856
2026-03-20 13:00:00,60.82,60.7,60.85,60.7,7019.345043
2026-03-20 14:00:00,60.66,60.47,60.67,60.47,18769.21951361
2026-03-20 15:00:00,60.57,60.58,60.59,60.57,8912.594811
2026-03-20 16:00:00,60.97,60.97,60.97,60.97,241.6798
2026-03-20 17:00:00,60.93,60.76,60.93,60.76,931.48393166
2026-03-20 19:00:00,60.04,60.19,60.21,59.84,13550.54149988
2026-03-20 20:00:00,60.36,60.36,60.36,60.36,784.31436086
2026-03-20 21:00:00,60.62,60.8,60.81,60.62,6991.98686691
2026-03-20 23:00:00,60.8,60.87,60.87,60.72,22359.04048254
2026-03-21 01:00:00,60.82,60.73,60.82,60.71,73912.46269992
2026-03-21 02:00:00,60.68,60.89,60.89,60.67,21729.71282817
2026-03-21 03:00:00,60.75,60.76,60.76,60.66,15895.22263633
2026-03-21 04:00:00,60.96,60.96,60.96,60.96,741.93035302
2026-03-21 06:00:00,60.96,60.96,60.96,60.96,32660.44207067
2026-03-21 07:00:00,60.95,60.95,60.95,60.95,91.61940155
2026-03-21 08:00:00,60.81,60.82,60.82,60.81,275.69531389
2026-03-21 09:00:00,60.86,60.86,60.86,60.86,1647.4089
2026-03-21 10:00:00,60.74,60.74,60.74,60.61,18387.58375495
2026-03-21 11:00:00,60.76,60.76,60.76,60.76,837.722273
2026-03-21 13:00:00,60.76,60.7,60.76,60.66,7313.81740934
2026-03-21 14:00:00,61.15,61.15,61.15,61.15,81.72605427
2026-03-21 16:00:00,61.06,61.06,61.06,61.06,247.682169
2026-03-21 17:00:00,60.9,60.9,60.9,60.9,500.193006
2026-03-21 23:00:00,60.64,59.57,63.84,59.53,87916.8667777857
2026-03-22 00:00:00,59.57,59.07,59.69,59.0,109457.01215687
2026-03-22 01:00:00,59.16,59.0,59.16,58.97,78831.90926978
2026-03-22 02:00:00,59.29,59.27,59.29,59.04,2564.60989626
2026-03-22 03:00:00,59.2,59.37,59.49,59.2,15954.29178308
2026-03-22 04:00:00,59.36,59.32,59.59,59.32,1792.1309621943212
2026-03-22 05:00:00,59.51,59.51,59.51,59.51,168.03898505
2026-03-22 06:00:00,59.44,59.44,59.44,59.44,652.0
2026-03-22 07:00:00,59.44,59.32,59.44,59.32,4206.0
2026-03-22 08:00:00,58.97,59.18,59.18,58.96,262.78508992
2026-03-22 10:00:00,58.93,58.55,58.93,58.55,9756.12042022
2026-03-22 11:00:00,58.84,58.75,58.84,58.48,1858.050250054269
2026-03-22 12:00:00,58.41,57.94,58.76,57.83,8903.35615888
2026-03-22 13:00:00,57.95,57.95,57.95,57.95,1103.2581
2026-03-22 14:00:00,58.25,58.25,58.25,58.25,85.79272478
2026-03-22 15:00:00,58.15,58.13,58.17,58.08,2504.92402553
2026-03-22 16:00:00,58.39,58.42,58.42,58.11,108100.04181776
2026-03-22 17:00:00,58.5,58.41,58.5,58.36,5888.980536
2026-03-22 18:00:00,58.04,57.96,58.04,57.94,13458.25010737
2026-03-22 19:00:00,57.62,57.62,57.62,57.62,100.0
2026-03-22 20:00:00,57.62,57.61,57.62,57.45,8974.63228491
2026-03-22 21:00:00,57.62,57.5,57.63,57.03,42178.57811651
2026-03-22 22:00:00,57.36,57.79,57.79,57.32,16479.51400505
2026-03-22 23:00:00,57.71,57.7,57.71,57.7,18211.93553632
2026-03-23 00:00:00,57.77,57.24,57.77,57.21,21258.14526429
2026-03-23 02:00:00,57.9,57.91,57.91,57.9,3401.932556
2026-03-23 03:00:00,57.9,57.9,57.9,57.9,1100.2818
2026-03-23 04:00:00,57.54,57.87,57.87,57.54,1337.377938390617
2026-03-23 06:00:00,57.9,57.9,57.9,57.9,137.13557212
2026-03-23 07:00:00,57.52,57.35,57.52,57.35,4280.05898477
2026-03-23 10:00:00,57.9,57.9,57.9,57.9,100.0
2026-03-23 11:00:00,57.91,58.95,59.29,57.91,123638.95593218
2026-03-23 12:00:00,58.71,58.7,59.23,58.7,35337.33387202
