time,open,close,high,low,volume
2026-03-11 12:15:00,78.5,78.04,78.51,78.01,210389.45463907
2026-03-11 12:20:00,78.04,78.88,78.88,77.92,152780.2350244708
2026-03-11 12:25:00,78.87,78.61,79.19,78.61,235203.99943060763
2026-03-11 12:30:00,78.63,78.87,78.87,78.22,143499.94545931
2026-03-11 12:35:00,79.21,79.96,80.0,78.96,320227.69978723
2026-03-11 12:40:00,79.97,79.69,80.66,79.33,557679.5219417599
2026-03-11 12:45:00,79.65,79.49,79.65,78.96,422117.7440759881
2026-03-11 12:50:00,79.23,79.5,79.5,79.14,81857.08182696394
2026-03-11 12:55:00,79.5,80.0,80.0,79.31,103319.30061817
2026-03-11 13:00:00,80.0,79.58,80.17,79.58,143362.05328374
2026-03-11 13:05:00,79.89,80.35,80.59,79.88,368375.5299950377
2026-03-11 13:10:00,80.29,81.5,81.5,80.01,1846023.1971621555
2026-03-11 13:15:00,81.57,82.03,82.33,81.45,1761137.7997995485
2026-03-11 13:20:00,82.17,82.6,83.31,81.95,2207464.374004371
2026-03-11 13:25:00,82.55,82.88,83.15,82.42,637625.2972284382
2026-03-11 13:30:00,82.66,82.85,83.2,82.51,582930.2067719287
2026-03-11 13:35:00,82.8,82.99,83.26,82.54,696893.4028369255
2026-03-11 13:40:00,83.24,85.0,85.0,82.85,1102211.4163942966
2026-03-11 13:45:00,85.0,84.2,86.44,83.96,2982503.0082250843
2026-03-11 13:50:00,84.36,83.69,84.45,83.61,1066651.838351871
2026-03-11 13:55:00,83.69,82.4,83.9,82.32,1122434.3886438038
2026-03-11 14:00:00,82.4,82.96,83.31,82.17,826366.8077756901
2026-03-11 14:05:00,83.25,82.6,83.45,82.6,299889.4653934627
2026-03-11 14:10:00,82.62,83.42,83.42,82.41,410774.59641984
2026-03-11 14:15:00,83.29,82.38,83.29,82.38,186141.58330001
2026-03-11 14:20:00,82.33,82.02,82.69,82.02,318535.06806955
2026-03-11 14:25:00,82.02,81.82,82.36,81.82,515984.01175556
2026-03-11 14:30:00,81.72,81.45,81.84,80.75,681606.5729307602
2026-03-11 14:35:00,81.45,80.61,81.55,79.9,588046.23027246
2026-03-11 14:40:00,80.57,80.52,80.75,80.12,174282.80297998938
2026-03-11 14:45:00,80.12,80.13,80.33,79.8,578915.86185668
2026-03-11 14:50:00,80.13,80.64,80.64,80.02,392107.8345858693
2026-03-11 14:55:00,80.64,80.69,80.79,80.47,148637.45762817294
2026-03-11 15:00:00,80.49,81.13,81.13,80.24,162252.13664112176
2026-03-11 15:05:00,81.28,81.73,82.03,81.06,171462.6380287291
2026-03-11 15:10:00,81.73,79.88,82.12,79.38,2855560.54646747
2026-03-11 15:15:00,79.89,79.73,79.9,79.28,697944.94511403
2026-03-11 15:20:00,79.89,78.0,79.9,78.0,747274.74008364
2026-03-11 15:25:00,78.06,77.12,78.09,77.02,426317.25067803
2026-03-11 15:30:00,77.12,78.27,78.54,77.0,273373.0654068371
2026-03-11 15:35:00,78.36,77.74,78.63,77.72,171932.47794098
2026-03-11 15:40:00,77.59,78.0,78.36,77.59,486950.05396445
2026-03-11 15:45:00,77.88,78.01,78.48,77.88,37081.69336815
2026-03-11 15:50:00,77.89,78.24,78.63,77.89,111682.31947376
2026-03-11 15:55:00,78.36,78.24,78.59,78.24,52216.83562373
2026-03-11 16:00:00,77.95,77.7,78.15,77.6,64245.62498315
2026-03-11 16:05:00,78.0,78.75,78.75,77.99,85528.4092629
2026-03-11 16:10:00,78.74,78.7,78.97,78.31,97858.3692628
2026-03-11 16:15:00,78.57,79.41,79.82,78.57,54492.10767792
2026-03-11 16:20:00,79.42,78.65,79.42,78.62,86162.78543874
2026-03-11 16:25:00,78.65,78.87,78.87,78.41,61067.63232984
2026-03-11 16:30:00,78.87,78.49,79.11,78.1,58917.18950752
2026-03-11 16:35:00,78.56,78.55,78.56,78.2,160056.74962614683
2026-03-11 16:40:00,78.55,78.31,78.84,78.31,160649.0755268153
2026-03-11 16:45:00,78.23,77.93,78.24,77.93,83533.96378103
2026-03-11 16:50:00,78.02,77.94,78.1,77.94,9750.89167089
2026-03-11 16:55:00,77.94,77.94,77.95,77.94,67304.26447114
2026-03-11 17:00:00,77.94,77.94,78.23,77.94,5414.82519648
2026-03-11 17:05:00,78.23,77.94,78.24,77.94,20628.81664821
2026-03-11 17:10:00,78.12,78.43,78.59,78.12,70873.03450464
2026-03-11 17:15:00,78.46,78.24,78.84,78.24,44164.69869013
2026-03-11 17:20:00,78.5,78.16,78.54,78.16,32635.69116787
2026-03-11 17:25:00,78.52,78.2,78.52,78.2,44709.00793377
2026-03-11 17:30:00,78.35,78.48,78.48,78.35,1399.99999998
2026-03-11 17:35:00,78.36,78.84,78.84,78.26,11081.10416665
2026-03-11 17:40:00,79.05,79.12,79.12,78.54,17690.01511386
2026-03-11 17:45:00,79.12,78.73,79.25,78.72,38573.75640689
2026-03-11 17:50:00,78.69,78.56,78.69,78.29,107360.10487788
2026-03-11 17:55:00,78.56,78.56,78.57,78.56,24271.70631206206
2026-03-11 18:00:00,78.57,78.7,78.7,78.57,1399.99999998
2026-03-11 18:05:00,78.08,78.04,78.08,78.04,39604.71089841
2026-03-11 18:10:00,77.92,77.7,77.92,77.7,55853.68032734
2026-03-11 18:15:00,78.54,78.55,78.55,78.54,13411.21889304
2026-03-11 18:25:00,79.01,79.01,79.01,79.01,15150.60595568
2026-03-11 18:30:00,79.02,79.01,79.02,79.01,20310.68173734
2026-03-11 18:35:00,78.53,78.53,78.53,78.53,190.52076925
2026-03-11 18:40:00,78.23,78.22,78.23,78.22,24432.24658559
