time,open,close,high,low,volume
2026-03-09 14:00:00,9.83,9.813,9.83,9.785,225324.9477431
2026-03-09 15:00:00,9.812,9.89,9.89,9.782,172094.00523091
2026-03-09 16:00:00,9.87,9.703,9.87,9.703,398560.14090643
2026-03-09 17:00:00,9.704,9.781,9.781,9.704,11976.80222964
2026-03-09 18:00:00,9.712,9.69,9.712,9.688,180462.15663257
2026-03-09 19:00:00,9.674,9.722,9.796,9.673,345002.56585253
2026-03-09 20:00:00,9.72,9.718,9.737,9.682,613597.05037845
2026-03-09 21:00:00,9.709,9.708,9.772,9.689,524664.69547878
2026-03-09 22:00:00,9.705,9.618,9.705,9.608,1489204.54559673
2026-03-09 23:00:00,9.618,9.617,9.618,9.616,78859.86309284
2026-03-10 00:00:00,9.68,9.733,9.8,9.68,384497.45065518
2026-03-10 01:00:00,9.74,9.701,9.74,9.701,617237.90860282
2026-03-10 02:00:00,9.756,9.857,9.87,9.756,565723.37535866
2026-03-10 03:00:00,9.862,9.88,9.88,9.862,146874.5909
2026-03-10 04:00:00,9.924,9.924,9.924,9.924,740.29187463
2026-03-10 05:00:00,9.946,9.778,9.946,9.778,54229.49678554
2026-03-10 06:00:00,9.829,9.814,9.835,9.814,22253.4755661
2026-03-10 07:00:00,9.811,9.791,9.811,9.79,156581.10484384
2026-03-10 08:00:00,9.826,9.849,9.874,9.826,100087.43532067
2026-03-10 09:00:00,9.874,9.864,9.884,9.864,215039.963675
2026-03-10 10:00:00,9.827,9.876,9.906,9.746,402410.9809121916
2026-03-10 11:00:00,9.876,9.8,9.876,9.799,127376.11930704
2026-03-10 12:00:00,9.703,9.732,9.732,9.677,123858.64620896
2026-03-10 13:00:00,9.734,9.728,9.734,9.651,153427.22998536
2026-03-10 14:00:00,9.683,9.872,9.872,9.651,673360.10724159
2026-03-10 15:00:00,9.866,9.744,9.866,9.72,340230.42037431
2026-03-10 16:00:00,9.743,9.753,9.753,9.734,129848.2367649
2026-03-10 17:00:00,9.757,9.774,9.774,9.709,76979.4168
2026-03-10 18:00:00,9.716,9.652,9.716,9.652,496507.58739595
2026-03-10 20:00:00,9.69,9.771,9.778,9.69,389643.67063366
2026-03-10 21:00:00,9.692,9.629,9.692,9.629,99440.27948686
2026-03-10 22:00:00,9.666,9.686,9.686,9.652,13352.04887241
2026-03-11 00:00:00,9.704,9.697,9.721,9.633,155540.03823019
2026-03-11 01:00:00,9.673,9.661,9.673,9.609,425083.02201351
2026-03-11 02:00:00,9.619,9.619,9.619,9.619,1562.9429
2026-03-11 04:00:00,9.647,9.619,9.663,9.619,1587.72869204
2026-03-11 05:00:00,9.659,9.53,9.659,9.5,582983.41873926
2026-03-11 06:00:00,9.556,9.642,9.642,9.556,117074.96624313244
2026-03-11 07:00:00,9.651,9.653,9.695,9.639,410369.5393831174
2026-03-11 08:00:00,9.679,9.743,9.743,9.679,616332.13999769
2026-03-11 09:00:00,9.722,9.818,9.912,9.721,286493.20802479
2026-03-11 10:00:00,9.822,9.776,9.906,9.776,33419.13348418
2026-03-11 11:00:00,9.759,9.732,9.807,9.732,304831.19130306
2026-03-11 12:00:00,9.742,9.775,9.832,9.719,444662.31840902
2026-03-11 13:00:00,9.787,9.689,9.812,9.689,256265.05610875
2026-03-11 14:00:00,9.769,9.768,9.789,9.768,320071.69979812
2026-03-11 15:00:00,9.737,9.698,9.737,9.651,462741.8708912
2026-03-11 16:00:00,9.708,9.712,9.714,9.661,151236.16592125
2026-03-11 17:00:00,9.726,9.65,9.728,9.649,337817.56745715
2026-03-11 18:00:00,9.673,9.682,9.682,9.658,32028.166782
2026-03-11 19:00:00,9.708,9.686,9.747,9.686,241488.73862762
2026-03-11 20:00:00,9.673,9.673,9.673,9.673,15507.0
2026-03-11 21:00:00,9.683,9.732,9.732,9.682,18794.89771419
2026-03-11 22:00:00,9.69,9.675,9.697,9.664,165659.04076321
2026-03-11 23:00:00,9.724,9.684,9.725,9.654,47035.7817298
2026-03-12 00:00:00,9.646,9.666,9.666,9.64,34566.54312301
2026-03-12 01:00:00,9.649,9.635,9.649,9.615,183903.03437184
