symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
0G,-0.55,0.0,0.0,-0.85,1,819.47,2.42,"{""손절"": 1}"
A8,-3.5,33.33,0.298,-5.67,9,9078.93,6.76,"{""동적익절"": 2, ""손절"": 5, ""횡보정리"": 1, ""트레일링스탑"": 1}"
ACX,0.8,100.0,,-0.84,2,2103.46,1.04,"{""트레일링스탑"": 1, ""동적익절"": 1}"
ADA,-3.02,35.71,0.37,-4.21,14,12841.0,14.92,"{""손절"": 6, ""동적익절"": 4, ""횡보정리"": 2, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
ADP,0.33,50.0,1.214,-1.35,4,3341.69,1.92,"{""손절"": 2, ""동적익절"": 2}"
AERO,-0.56,0.0,0.0,-0.89,2,1652.58,4.96,"{""손절"": 1, ""백테스트종료"": 1}"
AGI,-0.93,33.33,0.087,-1.47,3,2476.7,4.31,"{""트레일링스탑"": 1, ""손절"": 2}"
AKT,-0.48,62.5,0.67,-1.69,8,7904.57,3.31,"{""트레일링스탑"": 6, ""손절"": 2}"
ANIME,-0.3,42.86,0.85,-2.48,7,6242.5,6.98,"{""횡보정리"": 1, ""손절"": 3, ""트레일링스탑"": 1, ""동적익절"": 2}"
ANKR,-2.52,20.0,0.146,-3.15,5,4520.18,4.7,"{""동적익절"": 1, ""손절"": 4}"
ATH,1.79,64.29,1.544,-2.57,14,12961.5,6.59,"{""동적익절"": 8, ""손절"": 5, ""트레일링스탑"": 1}"
AVAIL,0.71,100.0,,-0.14,1,851.05,1.58,"{""동적익절"": 1}"
AXS,1.78,66.67,71.026,-0.39,3,2544.67,6.19,"{""동적익절"": 2, ""백테스트종료"": 1}"
BARD,0.0,0.0,,0.0,0,0.0,0.0,{}
BERA,0.01,50.0,1.028,-0.59,2,1667.01,7.33,"{""동적익절"": 1, ""손절"": 1}"
BLAST,-0.2,33.33,0.246,-0.73,3,2911.7,11.36,"{""횡보정리"": 1, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
BOB,-1.11,0.0,0.0,-1.22,2,1638.78,5.17,"{""손절"": 2}"
BOBA,-2.38,25.0,0.36,-2.81,8,7440.4,3.19,"{""손절"": 5, ""트레일링스탑"": 1, ""동적익절"": 1, ""백테스트종료"": 1}"
BSV,-1.12,0.0,0.0,-1.2,2,1638.59,1.58,"{""손절"": 2}"
BTC,-0.18,33.33,0.944,-1.57,18,17495.55,18.42,"{""횡보정리"": 8, ""동적익절"": 4, ""손절"": 3, ""트레일링스탑"": 2, ""백테스트종료"": 1}"
BTR,-9.07,27.27,0.171,-9.7,11,11439.44,4.51,"{""손절"": 7, ""트레일링스탑"": 2, ""동적익절"": 2}"
C,-0.21,62.5,0.932,-4.22,8,7494.71,4.25,"{""트레일링스탑"": 1, ""동적익절"": 4, ""손절"": 3}"
CAMP,3.96,75.0,7.821,-0.68,4,3432.6,1.83,"{""동적익절"": 3, ""손절"": 1}"
CFG,-0.47,60.0,0.589,-1.84,5,4154.95,2.13,"{""트레일링스탑"": 2, ""손절"": 2, ""백테스트종료"": 1}"
CHR,-0.06,33.33,0.944,-1.29,3,3331.87,5.42,"{""동적익절"": 1, ""손절"": 1, ""백테스트종료"": 1}"
COS,-2.2,41.67,0.431,-4.05,12,10778.29,2.57,"{""손절"": 5, ""동적익절"": 2, ""트레일링스탑"": 4, ""백테스트종료"": 1}"
CPOOL,2.44,100.0,,-0.64,4,3394.42,16.0,"{""동적익절"": 4}"
CSPR,-1.4,40.0,0.37,-2.34,5,4964.95,5.68,"{""손절"": 3, ""트레일링스탑"": 1, ""동적익절"": 1}"
CUDIS,-0.78,50.0,0.101,-1.29,2,2063.91,1.62,"{""트레일링스탑"": 1, ""손절"": 1}"
CVC,-0.03,75.0,0.948,-1.06,4,3332.56,12.9,"{""동적익절"": 1, ""트레일링스탑"": 2, ""손절"": 1}"
CYS,0.48,57.14,1.269,-1.08,7,5845.4,3.89,"{""동적익절"": 2, ""손절"": 3, ""트레일링스탑"": 2}"
DAO,-0.77,63.64,0.866,-5.65,11,9563.95,1.38,"{""동적익절"": 5, ""트레일링스탑"": 2, ""손절"": 4}"
DEEP,1.45,72.73,2.87,-1.54,11,10453.11,7.96,"{""트레일링스탑"": 7, ""횡보정리"": 1, ""손절"": 1, ""동적익절"": 1, ""백테스트종료"": 1}"
DKA,-0.29,0.0,0.0,-0.82,1,826.14,1.08,"{""트레일링스탑"": 1}"
DOGE,-0.8,0.0,0.0,-0.93,2,1646.5,15.75,"{""손절"": 1, ""횡보정리"": 1}"
DOOD,-1.15,0.0,0.0,-1.24,2,1637.75,5.96,"{""손절"": 2}"
DOT,0.67,100.0,,-0.28,2,1683.47,9.54,"{""동적익절"": 1, ""트레일링스탑"": 1}"
EDGE,-0.31,50.0,0.45,-0.96,2,1658.91,5.12,"{""트레일링스탑"": 1, ""손절"": 1}"
ENA,0.34,100.0,,-0.3,1,841.82,2.0,"{""트레일링스탑"": 1}"
ENJ,-0.16,50.0,0.922,-1.48,8,6662.58,6.03,"{""횡보정리"": 1, ""동적익절"": 2, ""손절"": 3, ""트레일링스탑"": 2}"
ENSO,-5.34,35.71,0.173,-6.74,14,13616.21,6.21,"{""동적익절"": 1, ""손절"": 9, ""트레일링스탑"": 4}"
EPT,1.12,100.0,,-0.62,3,2528.19,4.56,"{""동적익절"": 1, ""트레일링스탑"": 2}"
ETH,-1.53,36.84,0.668,-2.48,19,17878.4,17.28,"{""손절"": 4, ""동적익절"": 5, ""트레일링스탑"": 2, ""횡보정리"": 7, ""백테스트종료"": 1}"
ETHFI,-0.34,50.0,0.638,-1.39,2,2074.78,9.38,"{""동적익절"": 1, ""손절"": 1}"
F,-1.11,25.0,0.574,-2.33,8,7888.93,9.56,"{""횡보정리"": 2, ""손절"": 2, ""동적익절"": 2, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
FANC,-2.02,0.0,0.0,-2.31,3,2449.25,2.78,"{""손절"": 3}"
FLOCK,-0.85,0.0,0.0,-0.91,1,1228.7,1.0,"{""손절"": 1}"
FORT,0.0,0.0,,0.0,0,0.0,0.0,{}
G,1.16,40.0,1.407,-2.44,10,8779.0,6.35,"{""횡보정리"": 1, ""동적익절"": 4, ""손절"": 4, ""백테스트종료"": 1}"
GAS,0.44,66.67,1.882,-0.54,3,2511.11,19.67,"{""동적익절"": 2, ""손절"": 1}"
GLM,0.0,0.0,,0.0,0,0.0,0.0,{}
GTC,-0.61,0.0,0.0,-0.78,1,818.01,2.25,"{""손절"": 1}"
GWEI,-0.38,50.0,0.894,-2.3,12,9990.57,4.45,"{""트레일링스탑"": 2, ""손절"": 5, ""동적익절"": 5}"
H,-2.05,33.33,0.288,-2.99,6,5365.3,3.01,"{""손절"": 4, ""트레일링스탑"": 1, ""동적익절"": 1}"
HAEDAL,0.13,57.14,1.112,-0.72,7,5836.48,10.1,"{""손절"": 2, ""트레일링스탑"": 3, ""횡보정리"": 1, ""동적익절"": 1}"
HOOK,-1.08,50.0,0.638,-2.71,8,7889.65,4.72,"{""트레일링스탑"": 2, ""동적익절"": 2, ""손절"": 4}"
HUMA,-2.85,53.85,0.614,-4.36,26,22845.26,2.93,"{""손절"": 11, ""트레일링스탑"": 10, ""동적익절"": 5}"
HYPER,-0.54,0.0,0.0,-0.62,1,819.74,5.08,"{""손절"": 1}"
ICP,0.22,50.0,1.428,-1.14,2,2088.9,7.21,"{""손절"": 1, ""동적익절"": 1}"
ICX,0.17,100.0,,-0.32,1,837.61,4.58,"{""트레일링스탑"": 1}"
IOTX,0.13,50.0,6.475,-0.72,2,1669.84,10.67,"{""트레일링스탑"": 2}"
IP,-0.23,57.14,0.859,-1.74,7,6244.35,7.8,"{""동적익절"": 2, ""손절"": 3, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
IQ,-1.37,0.0,0.0,-1.45,2,1632.4,1.0,"{""손절"": 2}"
IRYS,0.66,100.0,,-0.27,1,849.93,3.17,"{""동적익절"": 1}"
