time,open,close,high,low,volume
2026-03-05 04:00:00,32.47,32.88,32.94,32.43,587142.42578281
2026-03-05 05:00:00,32.85,32.68,32.93,32.61,434739.45163523
2026-03-05 06:00:00,32.73,32.76,32.77,32.41,163144.14576965
2026-03-05 07:00:00,32.68,32.42,32.8,32.34,422164.91286873
2026-03-05 08:00:00,32.48,32.65,32.72,32.47,270864.02067111
2026-03-05 09:00:00,32.59,32.48,32.77,32.47,555352.99127669
2026-03-05 10:00:00,32.5,33.15,33.18,32.5,586311.51694758
2026-03-05 11:00:00,33.12,33.34,33.35,33.05,728478.66300743
2026-03-05 12:00:00,33.32,33.51,33.84,33.32,682649.055577223
2026-03-05 13:00:00,33.61,33.12,33.71,33.12,1432815.4065816393
2026-03-05 14:00:00,33.13,33.01,33.26,32.84,1028171.72067199
2026-03-05 15:00:00,32.96,32.53,32.96,32.3,826163.30892381
2026-03-05 16:00:00,32.43,32.4,32.43,32.27,43668.63500211
2026-03-05 17:00:00,32.28,32.0,32.28,31.92,138154.65330975
2026-03-05 18:00:00,31.84,32.14,32.15,31.72,231866.1987170844
2026-03-05 19:00:00,32.3,31.87,32.3,31.83,12939.61386519
2026-03-05 20:00:00,31.95,32.12,32.13,31.95,218126.40451353
2026-03-05 21:00:00,32.23,31.82,32.23,31.77,52471.45975233
2026-03-05 22:00:00,32.02,31.94,32.07,31.89,33738.64139586
2026-03-05 23:00:00,31.91,31.88,32.14,31.88,504909.4413834
2026-03-06 00:00:00,31.76,31.67,31.8,31.6,506267.55824804
2026-03-06 01:00:00,31.66,31.6,31.78,31.25,580894.13342904
2026-03-06 02:00:00,31.61,31.6,31.79,31.55,324012.79951855395
2026-03-06 03:00:00,31.6,31.63,31.75,31.6,573310.3770846995
2026-03-06 04:00:00,31.58,31.36,31.66,31.19,479587.67116585
2026-03-06 05:00:00,31.16,31.31,31.31,31.1,690342.11872674
2026-03-06 06:00:00,31.48,31.66,31.66,31.31,1119566.55001532
2026-03-06 07:00:00,31.58,31.71,31.72,31.52,28670.36499178273
2026-03-06 08:00:00,31.73,31.71,31.92,31.66,178053.43539391
2026-03-06 09:00:00,31.69,31.72,31.72,31.44,196480.8930551225
2026-03-06 10:00:00,31.77,32.01,32.04,31.77,50374.6671965
2026-03-06 11:00:00,32.14,32.22,32.3,32.08,74354.85570654
2026-03-06 12:00:00,32.2,32.42,32.53,32.05,569065.29885658
2026-03-06 13:00:00,32.51,32.31,33.22,32.31,882107.8895249654
2026-03-06 14:00:00,32.34,31.69,32.46,31.5,302075.87640188
2026-03-06 15:00:00,31.79,31.9,32.35,31.71,506679.19845008
2026-03-06 16:00:00,31.94,31.76,32.1,31.76,207595.72581917
2026-03-06 17:00:00,31.8,31.61,31.89,30.18,711337.70844133
2026-03-06 18:00:00,31.67,31.53,31.75,31.53,1156597.76788465
2026-03-06 19:00:00,31.5,31.68,31.88,31.5,159850.91846143
2026-03-06 20:00:00,31.77,32.19,32.25,31.77,127076.37247409
2026-03-06 21:00:00,32.06,32.41,32.66,32.06,169483.03259126
2026-03-06 22:00:00,32.38,32.27,32.41,32.26,174037.9170443008
2026-03-06 23:00:00,32.08,32.08,32.08,31.97,66666.84148009
2026-03-07 00:00:00,32.45,32.34,33.17,32.02,1013507.32501514
2026-03-07 01:00:00,32.26,32.4,32.54,32.26,127880.06205866455
2026-03-07 02:00:00,32.16,32.16,32.44,32.15,54350.257951
2026-03-07 03:00:00,32.0,32.22,32.25,31.96,141211.16339261
2026-03-07 04:00:00,32.22,32.75,32.84,32.22,271516.0428248729
2026-03-07 05:00:00,32.88,33.37,33.39,32.47,2668621.73921366
2026-03-07 06:00:00,33.31,32.54,33.31,32.36,1578837.73338475
2026-03-07 07:00:00,32.51,32.56,32.56,32.32,670367.42910343
2026-03-07 08:00:00,32.57,32.65,32.92,32.51,1054335.83404547
2026-03-07 09:00:00,32.74,32.95,33.05,32.43,711316.56882602
2026-03-07 10:00:00,33.06,33.08,33.18,32.98,928378.01749912
2026-03-07 11:00:00,33.1,32.75,33.5,32.69,2289550.530144093
2026-03-07 12:00:00,32.78,32.71,32.86,32.56,438620.935902057
2026-03-07 13:00:00,32.81,32.98,33.04,32.73,188401.67531943
2026-03-07 14:00:00,32.79,32.95,33.0,32.71,144197.70118321
2026-03-07 15:00:00,32.98,32.49,33.07,32.49,1369146.7784199475
2026-03-07 16:00:00,32.55,32.34,32.55,32.3,147918.26145401
2026-03-07 17:00:00,32.35,32.93,32.93,32.34,181736.8257146
2026-03-07 18:00:00,32.83,32.66,32.83,32.4,523569.63120928
2026-03-07 19:00:00,32.57,32.14,32.62,31.93,430575.4164266
2026-03-07 20:00:00,32.08,32.1,32.1,31.99,172152.0410384
2026-03-07 21:00:00,32.24,32.22,32.27,32.22,18317.0411696
2026-03-07 22:00:00,32.37,31.85,32.37,31.85,210937.49654681
2026-03-07 23:00:00,31.95,32.01,32.15,31.95,186212.89484356
2026-03-08 00:00:00,31.95,31.64,31.96,31.64,192898.02976118
2026-03-08 01:00:00,31.64,31.68,31.87,31.59,158874.80795785
2026-03-08 02:00:00,31.76,31.46,31.82,31.46,44448.59017651
2026-03-08 03:00:00,31.59,31.61,31.69,31.5,87671.65901824
2026-03-08 04:00:00,31.6,31.41,31.71,31.41,109370.77192254
2026-03-08 05:00:00,31.7,31.67,31.91,31.62,546070.09187522
2026-03-08 06:00:00,31.59,31.73,31.73,31.48,1131885.47773855
2026-03-08 07:00:00,32.06,31.84,32.14,31.84,237869.96776244
2026-03-08 08:00:00,31.83,31.67,31.88,31.5,388004.52183522
2026-03-08 09:00:00,31.75,31.86,31.87,31.67,146155.7162787725
2026-03-08 10:00:00,31.99,31.86,32.05,31.86,6602.53248528
2026-03-08 11:00:00,31.85,31.72,31.85,31.5,74542.84604185991
2026-03-08 12:00:00,31.5,31.5,31.66,31.3,159431.79744698
2026-03-08 13:00:00,31.47,31.46,31.47,31.09,450552.7633587607
2026-03-08 14:00:00,31.37,31.33,31.39,31.28,80241.83270956
2026-03-08 15:00:00,31.47,31.28,31.48,31.23,161952.79904301
2026-03-08 16:00:00,31.27,31.0,31.27,31.0,282614.29238634
2026-03-08 17:00:00,31.1,30.98,31.1,30.94,70811.41072449
2026-03-08 18:00:00,30.97,30.76,30.99,30.76,166341.3584145
2026-03-08 19:00:00,30.82,31.02,31.02,30.68,290301.36805416
2026-03-08 20:00:00,30.98,30.63,31.23,30.51,494486.96450124
2026-03-08 21:00:00,30.65,30.77,30.79,30.6,398899.05307345
2026-03-08 22:00:00,30.56,30.37,30.58,30.1,1663641.1144461904
2026-03-08 23:00:00,30.39,30.1,30.39,30.1,583821.128638443
2026-03-09 00:00:00,30.2,30.42,30.64,30.18,424550.6748848685
2026-03-09 01:00:00,30.47,29.67,30.58,29.67,642045.64871365
2026-03-09 02:00:00,29.81,30.12,30.21,29.81,430922.3841339
2026-03-09 03:00:00,30.0,30.38,30.47,30.0,532667.13628459
2026-03-09 04:00:00,30.43,31.41,31.5,30.43,579002.09698559
2026-03-09 05:00:00,31.43,31.18,31.62,31.18,356208.7371253
2026-03-09 06:00:00,31.25,30.87,31.25,30.87,183440.89461688328
2026-03-09 07:00:00,30.77,30.84,31.03,30.76,52055.29629423
2026-03-09 08:00:00,30.93,30.91,30.96,30.8,379447.12423275
2026-03-09 09:00:00,30.9,30.82,31.17,30.64,77436.80433006
2026-03-09 10:00:00,30.85,30.72,30.85,30.72,7017.7451407
2026-03-09 11:00:00,30.7,30.72,30.72,30.54,165657.55402228
2026-03-09 12:00:00,30.72,31.02,31.04,30.72,158731.30757752
2026-03-09 13:00:00,31.02,31.14,31.17,30.79,56602.02164563
2026-03-09 14:00:00,31.18,31.44,31.49,31.14,48874.35203516627
2026-03-09 15:00:00,31.23,31.06,31.32,31.01,195794.9245849
2026-03-09 16:00:00,31.06,31.3,31.6,30.93,465792.37889204
2026-03-09 17:00:00,31.36,31.25,31.55,31.24,137477.68488511
2026-03-09 18:00:00,31.09,31.21,31.24,30.98,105961.179836
2026-03-09 19:00:00,31.16,31.25,31.71,31.16,182168.0314465
2026-03-09 20:00:00,31.25,31.17,31.25,31.04,178588.22768885
2026-03-09 21:00:00,31.18,31.2,31.27,31.15,226291.80542435
2026-03-09 22:00:00,31.2,31.13,31.2,31.1,170120.381784
2026-03-09 23:00:00,31.29,31.03,31.37,31.0,232002.0001227
2026-03-10 00:00:00,31.07,31.25,31.25,31.0,135207.36254944064
2026-03-10 01:00:00,31.22,31.12,31.25,31.05,176984.64876903
2026-03-10 02:00:00,31.27,31.28,31.76,31.27,588850.18520359
2026-03-10 03:00:00,31.37,31.18,31.6,31.07,651067.3189329127
2026-03-10 04:00:00,31.19,31.52,31.56,31.16,420817.998319216
2026-03-10 05:00:00,31.55,31.21,31.65,31.21,308867.05126514
2026-03-10 06:00:00,31.27,31.26,31.32,31.15,516673.84910681
2026-03-10 07:00:00,31.36,31.34,31.36,31.34,24822.3909661
2026-03-10 08:00:00,31.34,31.45,31.48,31.34,323627.99764153
2026-03-10 09:00:00,31.4,31.99,32.03,31.33,387365.16990579
2026-03-10 10:00:00,31.96,31.71,31.96,31.59,318300.9239804
2026-03-10 11:00:00,31.79,31.83,31.83,31.74,252052.26151785176
2026-03-10 12:00:00,31.81,31.77,31.81,31.73,251098.73783555
2026-03-10 13:00:00,31.94,31.65,32.0,31.35,1253924.8748468
2026-03-10 14:00:00,31.59,32.36,32.36,31.45,661412.720637
2026-03-10 15:00:00,32.35,32.03,32.35,31.82,896151.7719515
2026-03-10 16:00:00,32.17,31.97,32.32,31.97,681215.91729019
2026-03-10 17:00:00,31.94,31.73,31.96,31.64,402396.2504193886
2026-03-10 18:00:00,31.79,31.7,31.8,31.53,733418.94754339
2026-03-10 19:00:00,31.7,31.59,31.7,31.57,111811.81727479
2026-03-10 20:00:00,31.69,31.67,31.69,31.67,79111.02200791
2026-03-10 21:00:00,31.7,31.48,31.7,31.34,293757.8671182
2026-03-10 22:00:00,31.43,31.48,31.49,31.41,687605.98877259
2026-03-10 23:00:00,31.44,31.45,31.52,31.43,141910.37924508
2026-03-11 00:00:00,31.35,31.56,31.59,31.34,651710.52734211
2026-03-11 01:00:00,31.53,31.39,31.53,31.39,20309.152599
2026-03-11 02:00:00,31.3,31.06,31.3,30.97,661112.99835019
2026-03-11 03:00:00,31.1,30.98,31.1,30.97,214601.4731375
2026-03-11 04:00:00,30.9,31.09,31.1,30.82,1141813.71817987
2026-03-11 05:00:00,31.02,30.88,31.02,30.88,180123.90934629
2026-03-11 06:00:00,31.04,31.06,31.09,31.04,210635.7427182168
2026-03-11 07:00:00,31.01,31.02,31.07,30.94,242640.70230233
2026-03-11 08:00:00,31.04,31.16,31.16,31.04,176470.24177544
2026-03-11 09:00:00,31.2,31.11,31.2,31.11,412451.83401048
2026-03-11 10:00:00,30.99,30.86,31.05,30.82,307851.96782157
2026-03-11 11:00:00,30.78,30.69,30.81,30.69,5175.96120857
2026-03-11 12:00:00,30.74,30.9,30.96,30.71,89189.42607809
2026-03-11 13:00:00,30.96,31.17,31.43,30.96,1023479.51100759
2026-03-11 14:00:00,31.42,31.46,31.7,31.37,124674.04910086
2026-03-11 15:00:00,31.35,31.29,31.35,31.17,18213.54578325
2026-03-11 16:00:00,31.4,31.56,31.56,31.26,19114.23321676694
2026-03-11 17:00:00,31.6,31.28,31.64,31.2,68942.9408093
2026-03-11 18:00:00,31.27,31.35,31.48,31.2,52036.13002249
2026-03-11 19:00:00,31.39,31.38,31.41,31.33,264248.22338156
2026-03-11 20:00:00,31.3,31.28,31.3,31.27,20742.30688461
2026-03-11 21:00:00,31.4,31.48,31.48,31.4,19707.47564815
2026-03-11 22:00:00,31.49,31.25,31.49,31.17,92465.48939046
2026-03-11 23:00:00,31.42,31.3,31.47,31.3,164643.84870879
2026-03-12 00:00:00,31.28,31.55,31.67,31.28,108969.12411725
2026-03-12 01:00:00,31.57,31.35,31.57,31.33,257466.31486684
2026-03-12 02:00:00,31.42,31.2,31.46,31.2,85566.10758954
2026-03-12 03:00:00,31.34,31.35,31.46,31.28,185950.71592995385
2026-03-12 04:00:00,31.32,31.2,31.38,31.2,1374235.54727189
2026-03-12 05:00:00,31.41,31.44,31.64,31.4,833592.16134692
2026-03-12 06:00:00,31.53,31.69,31.76,31.44,241435.42340676
2026-03-12 07:00:00,31.74,31.69,31.88,31.65,1780942.65613368
2026-03-12 08:00:00,31.82,31.89,31.89,31.68,126046.40400644146
2026-03-12 09:00:00,31.93,31.62,31.96,31.5,468843.4466145869
2026-03-12 10:00:00,31.69,32.04,32.04,31.69,79695.05001777897
2026-03-12 11:00:00,32.12,31.95,32.12,31.87,98051.16837915
2026-03-12 12:00:00,32.02,31.77,32.07,31.73,363512.97006951
2026-03-12 13:00:00,31.88,31.66,31.97,31.58,483847.43046685
2026-03-12 14:00:00,31.61,31.47,31.65,31.27,247136.88048355
2026-03-12 15:00:00,31.43,31.57,31.57,31.16,166526.68876307
2026-03-12 16:00:00,31.45,31.47,31.49,31.3,163068.494757
2026-03-12 17:00:00,31.39,31.44,31.45,31.39,7979.39374042
2026-03-12 18:00:00,31.41,31.37,31.46,31.33,112156.2501265
2026-03-12 19:00:00,31.36,31.25,31.37,31.25,108375.65578912
2026-03-12 20:00:00,31.17,31.19,31.2,31.11,371469.06259118
2026-03-12 21:00:00,31.19,31.24,31.24,31.19,252107.04883451
2026-03-12 22:00:00,31.2,31.01,31.25,30.97,714728.32629933
2026-03-12 23:00:00,31.03,30.97,31.26,30.97,1728122.34602477
2026-03-13 00:00:00,31.02,31.24,31.5,30.92,1110156.42538872
2026-03-13 01:00:00,31.3,31.61,31.62,31.2,711103.79147963
2026-03-13 02:00:00,31.68,31.77,31.85,31.68,342370.1158743441
2026-03-13 03:00:00,31.86,32.15,32.15,31.86,553341.92702383
2026-03-13 04:00:00,32.06,31.87,32.21,31.87,444302.3353845
2026-03-13 05:00:00,31.91,31.91,31.93,31.81,637225.6504995
2026-03-13 06:00:00,31.81,31.9,31.95,31.74,677692.4685389467
2026-03-13 07:00:00,31.87,32.14,32.17,31.85,567336.60244056
2026-03-13 08:00:00,31.95,32.0,32.29,31.92,824823.99009345
2026-03-13 09:00:00,32.04,32.57,32.57,32.03,3413791.51022926
2026-03-13 10:00:00,32.59,32.66,32.66,32.47,686045.5376328517
2026-03-13 11:00:00,32.63,32.59,32.82,32.59,959868.79030282
2026-03-13 12:00:00,32.61,33.07,33.35,32.52,2299869.452649634
2026-03-13 13:00:00,33.12,33.23,33.36,32.95,1081901.2435434246
2026-03-13 14:00:00,33.24,32.71,33.59,32.61,1336123.97865722
2026-03-13 15:00:00,32.74,32.48,33.04,32.39,1462827.8165895236
2026-03-13 16:00:00,32.56,32.46,32.56,32.38,805072.80564218
2026-03-13 17:00:00,32.32,32.13,32.32,32.0,92975.751579
2026-03-13 18:00:00,32.25,32.2,32.25,32.08,14436.32386129
2026-03-13 19:00:00,32.09,32.0,32.09,32.0,13794.8846378
2026-03-13 20:00:00,32.14,32.25,32.25,32.14,4058.4905
2026-03-13 21:00:00,32.37,32.11,32.37,32.1,4828.64882977
2026-03-13 22:00:00,32.0,32.08,32.08,31.87,53818.01783813
2026-03-13 23:00:00,32.23,32.26,32.28,32.2,71758.94250505
2026-03-14 00:00:00,32.2,32.43,32.73,32.19,133787.24634139
2026-03-14 01:00:00,32.35,32.37,32.59,32.31,1513034.72489317
2026-03-14 02:00:00,32.37,32.25,32.37,32.12,73292.522824
2026-03-14 04:00:00,32.28,32.21,32.38,32.18,73942.19932733
2026-03-14 05:00:00,32.18,32.24,32.25,32.06,407190.44182876
2026-03-14 06:00:00,32.21,31.95,32.21,31.95,83222.33917939
2026-03-14 07:00:00,31.91,31.85,31.99,31.75,216209.03820453
2026-03-14 08:00:00,31.75,31.82,31.92,31.75,126360.25394582
2026-03-14 09:00:00,31.9,31.91,32.08,31.86,192225.0369347099
2026-03-14 10:00:00,31.88,31.94,31.94,31.84,39799.48925
2026-03-14 11:00:00,31.93,32.1,32.19,31.93,17218.8108716
2026-03-14 12:00:00,32.07,32.13,32.13,31.91,95868.02543842
2026-03-14 13:00:00,32.19,32.5,32.5,32.19,376182.61016264
2026-03-14 14:00:00,32.42,32.39,32.47,32.31,40213.74540262
2026-03-14 15:00:00,32.35,32.23,32.41,32.22,770986.43962667
2026-03-14 16:00:00,32.34,32.41,32.6,32.34,66671.33751992647
2026-03-14 17:00:00,32.47,32.48,32.49,32.33,105931.35719797164
2026-03-14 18:00:00,32.39,32.47,32.55,32.34,513328.2455257664
2026-03-14 19:00:00,32.44,32.5,32.63,32.42,68580.94803520848
2026-03-14 20:00:00,32.52,32.48,32.56,32.43,20177.644101398328
2026-03-14 21:00:00,32.4,32.35,32.44,32.35,74973.03955134787
2026-03-14 22:00:00,32.36,32.39,32.43,32.36,54294.26836229519
2026-03-14 23:00:00,32.51,32.78,32.78,32.43,350238.83321734
2026-03-15 00:00:00,32.74,32.6,32.78,32.55,98882.3313175756
2026-03-15 01:00:00,32.62,32.84,32.97,32.61,230243.04962743
2026-03-15 02:00:00,32.94,33.01,33.13,32.94,405716.13886711
2026-03-15 03:00:00,33.06,33.1,33.1,32.88,81849.58497048
2026-03-15 04:00:00,33.24,33.45,33.51,33.24,586365.9867591368
2026-03-15 05:00:00,33.51,33.61,34.0,33.49,2260031.318891424
2026-03-15 06:00:00,33.55,33.86,33.97,33.52,446565.92357168
2026-03-15 07:00:00,33.87,33.94,34.06,33.79,1332994.36978655
2026-03-15 08:00:00,33.95,33.69,33.96,33.68,385215.04330569
2026-03-15 09:00:00,33.73,33.68,33.75,33.53,371615.74576721
2026-03-15 10:00:00,33.94,33.72,33.94,33.64,168213.7172597
2026-03-15 11:00:00,33.6,33.74,33.75,33.6,104276.79240612
2026-03-15 12:00:00,33.82,33.82,33.97,33.69,295162.5834010542
2026-03-15 13:00:00,33.68,33.65,33.69,33.48,128613.43376027
2026-03-15 14:00:00,33.78,33.56,33.82,33.47,632358.70742776
2026-03-15 15:00:00,33.56,33.63,33.76,33.38,1153370.32283187
2026-03-15 16:00:00,33.59,33.57,33.66,33.53,174526.474984942
2026-03-15 17:00:00,33.63,33.49,33.67,33.26,418536.9144761883
2026-03-15 18:00:00,33.61,33.44,33.76,33.4,292528.61346536
2026-03-15 19:00:00,33.52,33.62,33.62,33.52,23544.91351564
2026-03-15 20:00:00,33.6,33.58,33.67,33.44,180652.78635456
