time,open,close,high,low,volume
2026-03-10 18:00:00,55.63,55.63,55.63,55.63,829.99477636
2026-03-10 19:00:00,55.63,55.6,55.63,55.6,30211.19290279
2026-03-10 20:00:00,55.58,55.57,55.58,55.57,3456.88309208
2026-03-10 21:00:00,55.95,55.56,56.04,55.56,60401.0594759
2026-03-10 22:00:00,55.72,55.61,55.73,55.61,19920.25716727
2026-03-10 23:00:00,55.62,55.57,55.62,55.56,22089.3372761
2026-03-11 00:00:00,55.57,55.0,55.57,55.0,286864.52131577
2026-03-11 01:00:00,55.05,55.62,55.69,55.01,25758.2342515
2026-03-11 02:00:00,55.55,55.39,55.55,55.39,36540.12951184
2026-03-11 03:00:00,55.72,55.1,55.72,55.1,10471.35849168
2026-03-11 04:00:00,55.11,55.62,55.63,55.11,25691.32561968
2026-03-11 05:00:00,55.63,55.83,55.84,55.6,62280.55754743
2026-03-11 06:00:00,55.76,55.47,55.77,55.45,2849.75703725
2026-03-11 07:00:00,55.78,55.77,55.79,55.49,19990.75644093
2026-03-11 08:00:00,55.65,55.47,55.66,55.47,13029.71804073
2026-03-11 09:00:00,55.49,55.18,55.49,55.1,176756.91836007
2026-03-11 10:00:00,55.18,55.19,55.57,55.18,67846.75951583
2026-03-11 11:00:00,55.2,55.46,55.5,55.18,135688.55059107
2026-03-11 12:00:00,55.46,55.32,55.46,55.32,2062.20053536
2026-03-11 13:00:00,55.55,55.92,56.2,55.55,117456.88328825
2026-03-11 14:00:00,56.2,55.87,56.22,55.79,53600.98513569
2026-03-11 15:00:00,56.12,55.51,56.16,55.08,196960.33448419
2026-03-11 16:00:00,55.23,55.55,55.58,55.11,13940.504358550375
2026-03-11 17:00:00,55.56,55.57,55.57,55.18,7677.479051936989
2026-03-11 18:00:00,55.31,55.3,55.31,55.3,1279.96056063
2026-03-11 19:00:00,55.23,55.23,55.23,55.23,17745.01845705
2026-03-11 22:00:00,55.57,55.31,55.57,55.31,23034.35332634
2026-03-11 23:00:00,55.31,55.57,55.57,55.31,6896.01994498
2026-03-12 00:00:00,55.57,55.94,56.07,55.57,155040.8505806596
2026-03-12 01:00:00,56.02,56.25,56.3,55.67,998425.88075828
2026-03-12 02:00:00,56.25,56.26,56.5,55.95,270296.25727482
2026-03-12 03:00:00,56.27,56.33,56.33,56.03,52423.83100742
2026-03-12 04:00:00,56.33,56.21,56.34,56.05,5910.51088338
2026-03-12 05:00:00,56.28,56.32,56.34,56.0,29925.65862037
2026-03-12 06:00:00,56.04,56.28,56.31,56.03,23472.61897262
2026-03-12 07:00:00,56.03,56.28,56.28,56.01,3147.3694076
2026-03-12 08:00:00,56.0,56.28,56.28,56.0,14795.24062621
2026-03-12 09:00:00,56.08,56.76,56.76,56.08,178575.34348312
2026-03-12 10:00:00,56.76,56.74,56.77,56.27,210233.10824603
2026-03-12 11:00:00,56.74,56.7,56.74,56.38,83942.99547912
2026-03-12 12:00:00,56.57,56.57,56.71,56.51,82709.04902245276
2026-03-12 13:00:00,56.57,56.57,56.7,56.57,124941.54325992
2026-03-12 14:00:00,56.58,56.69,56.7,56.24,102526.79049578
2026-03-12 15:00:00,56.7,56.19,56.7,55.93,351132.08385407
2026-03-12 16:00:00,56.17,56.15,56.17,55.93,1677.86011235
2026-03-12 17:00:00,56.27,55.92,56.27,55.92,5616.99913089
2026-03-12 18:00:00,55.92,55.99,56.31,55.92,6038.12005158
2026-03-12 19:00:00,55.98,55.94,55.98,55.94,178.63522687
2026-03-12 20:00:00,55.94,55.94,56.19,55.94,6941.88528782
2026-03-12 21:00:00,55.94,56.13,56.17,55.94,28419.008295515032
2026-03-12 22:00:00,55.93,55.88,56.1,55.81,62252.41868032
2026-03-12 23:00:00,56.13,56.23,56.36,56.13,130777.82210973
2026-03-13 00:00:00,56.36,56.48,56.49,56.12,56219.65134676218
2026-03-13 01:00:00,56.48,56.75,56.77,56.48,345003.6558207778
2026-03-13 02:00:00,56.73,57.03,57.14,56.73,226608.46600051
2026-03-13 03:00:00,57.08,57.66,57.75,56.8,208802.58800972
2026-03-13 04:00:00,57.73,57.28,57.73,57.27,51989.82707166
2026-03-13 05:00:00,57.28,57.22,57.41,56.82,144855.42489794
2026-03-13 06:00:00,57.22,56.97,57.22,56.5,279405.98759318
2026-03-13 07:00:00,57.1,56.61,57.11,56.61,19001.53834219
2026-03-13 08:00:00,56.83,56.66,56.83,56.66,1954.93870403
2026-03-13 09:00:00,56.65,56.81,56.81,56.61,80043.37386356
2026-03-13 10:00:00,56.81,57.2,57.2,56.73,65295.17691345
2026-03-13 11:00:00,56.91,57.2,57.2,56.84,41352.34348336
2026-03-13 12:00:00,57.2,57.29,57.29,56.94,51401.06675841
2026-03-13 13:00:00,57.29,57.63,57.65,57.29,130650.95241551948
2026-03-13 14:00:00,57.63,57.58,57.63,57.14,32909.87347262
2026-03-13 15:00:00,57.55,56.59,57.63,56.55,553808.82011576
