time,open,close,high,low,volume
2026-04-03 00:10:00,25.43,25.47,25.47,25.43,4676.4
2026-04-03 00:15:00,25.4,25.39,25.4,25.39,15337.91962754
2026-04-03 00:20:00,25.45,25.41,25.45,25.41,4608.1
2026-04-03 00:45:00,25.44,25.44,25.44,25.44,786.1635220125786
2026-04-03 00:55:00,25.46,25.46,25.46,25.46,8969.5243431
2026-04-03 01:15:00,25.44,25.44,25.44,25.44,445.6064
2026-04-03 01:20:00,25.47,25.47,25.47,25.47,533.7531
2026-04-03 01:30:00,25.57,25.51,25.57,25.51,1399.8685
2026-04-03 01:40:00,25.48,25.48,25.48,25.48,9226.39401917
2026-04-03 01:45:00,25.48,25.48,25.48,25.48,8434.51649889
2026-04-03 02:00:00,25.48,25.48,25.48,25.48,839.93337818
2026-04-03 02:10:00,25.45,25.45,25.45,25.45,298.1788
2026-04-03 02:25:00,25.56,25.56,25.56,25.56,1002.9212
2026-04-03 02:30:00,25.4,25.4,25.4,25.4,9729.27130991
2026-04-03 02:35:00,25.41,25.39,25.41,25.39,1830.70894517
2026-04-03 02:40:00,25.38,25.38,25.38,25.38,19651.38375495
2026-04-03 02:45:00,25.42,25.42,25.42,25.42,532.4597816
2026-04-03 02:50:00,25.43,25.55,25.55,25.43,77378.4258283
2026-04-03 02:55:00,25.6,25.54,25.6,25.54,3463.34123908
2026-04-03 03:10:00,25.55,25.56,25.56,25.55,104706.70310673
2026-04-03 03:15:00,25.6,25.61,25.61,25.56,1867.61244907
2026-04-03 03:25:00,25.58,25.56,25.58,25.56,964.7016
2026-04-03 03:30:00,25.56,25.64,25.64,25.56,23098.325407
2026-04-03 03:40:00,25.7,25.7,25.7,25.7,777.4
2026-04-03 03:45:00,25.68,25.68,25.68,25.68,14017.4333778
2026-04-03 04:05:00,25.68,25.68,25.68,25.68,38940.80996885
2026-04-03 04:15:00,25.71,25.71,25.71,25.71,935.353965
2026-04-03 04:30:00,25.68,25.7,25.7,25.68,17027.5689
2026-04-03 04:45:00,25.69,25.69,25.69,25.69,229.794745
2026-04-03 04:55:00,25.72,25.72,25.72,25.72,241.81381693
2026-04-03 05:00:00,25.69,25.65,25.72,25.65,75571.58497314
2026-04-03 05:05:00,25.7,25.7,25.7,25.7,15100.0
2026-04-03 05:10:00,25.7,25.75,25.75,25.7,32377.20537
2026-04-03 05:15:00,25.66,25.66,25.66,25.66,317.28125
2026-04-03 05:25:00,25.75,25.75,25.75,25.75,707.7285
2026-04-03 05:30:00,25.83,25.83,25.83,25.83,652.1025
2026-04-03 05:35:00,25.8,25.79,25.8,25.79,50413.96704795
2026-04-03 05:40:00,25.74,25.72,25.74,25.72,60284.17971106
2026-04-03 05:45:00,25.7,25.7,25.7,25.7,38940.80996885
2026-04-03 06:00:00,25.69,25.69,25.69,25.69,226.7574
2026-04-03 06:05:00,25.6,25.55,25.6,25.55,41108.33007431
2026-04-03 06:10:00,25.55,25.6,25.6,25.55,4091.2779104
2026-04-03 06:20:00,25.55,25.54,25.55,25.54,46703.0878682
2026-04-03 06:30:00,25.52,25.48,25.52,25.48,33488.234234
2026-04-03 06:35:00,25.5,25.55,25.55,25.5,43859.50062476
2026-04-03 06:40:00,25.55,25.54,25.55,25.54,3154.60900979
2026-04-03 06:50:00,25.47,25.46,25.48,25.45,85338.825311
2026-04-03 06:55:00,25.46,25.45,25.46,25.45,40562.800889
2026-04-03 07:00:00,25.4,25.4,25.4,25.4,1000.0
2026-04-03 07:05:00,25.4,25.38,25.4,25.38,31111.06987809
2026-04-03 07:10:00,25.4,25.4,25.4,25.4,240.2691
2026-04-03 07:15:00,25.38,25.37,25.38,25.36,67367.5344674
2026-04-03 07:20:00,25.42,25.38,25.42,25.34,14868.5456
2026-04-03 07:30:00,25.45,25.45,25.45,25.45,777.4362
2026-04-03 07:35:00,25.46,25.44,25.46,25.39,4742.795108343569
2026-04-03 07:40:00,25.42,25.42,25.42,25.42,98102.50141758
2026-04-03 07:50:00,25.35,25.32,25.35,25.32,76768.42844821
2026-04-03 07:55:00,25.36,25.36,25.37,25.36,91983.80405394
2026-04-03 08:00:00,25.33,25.39,25.39,25.33,20100.47011341
2026-04-03 08:05:00,25.38,25.43,25.43,25.38,13803.47267007
2026-04-03 08:10:00,25.46,25.42,25.46,25.42,9056.14826357
2026-04-03 08:15:00,25.42,25.42,25.42,25.42,75998.09166671
2026-04-03 08:20:00,25.42,25.41,25.42,25.41,147243.45935783
2026-04-03 08:25:00,25.43,25.37,25.43,25.36,14430.05827528
2026-04-03 08:30:00,25.4,25.4,25.4,25.4,433.576
2026-04-03 08:35:00,25.37,25.37,25.37,25.37,14327.45436165
2026-04-03 08:40:00,25.38,25.36,25.38,25.36,33012.25136777
2026-04-03 08:45:00,25.34,25.32,25.36,25.32,80545.53113403
2026-04-03 08:50:00,25.31,25.31,25.31,25.31,24241.72435365
2026-04-03 08:55:00,25.3,25.36,25.36,25.3,21794.14729427
2026-04-03 09:00:00,25.38,25.4,25.4,25.35,289543.41613641
2026-04-03 09:05:00,25.36,25.35,25.36,25.35,63985.12604038
2026-04-03 09:10:00,25.36,25.36,25.39,25.35,81973.78245456562
2026-04-03 09:15:00,25.37,25.39,25.39,25.37,39351.0916
2026-04-03 09:20:00,25.4,25.31,25.4,25.31,40599.01972194
2026-04-03 09:25:00,25.3,25.31,25.31,25.3,23445.32253707
2026-04-03 09:30:00,25.29,25.35,25.35,25.29,29932.88652137
