time,open,close,high,low,volume
2026-02-19 21:00:00,31.76,31.83,31.86,31.76,44216.84859995
2026-02-19 22:00:00,31.95,32.2,32.2,31.8,127718.25943285
2026-02-19 23:00:00,32.11,31.98,32.11,31.83,75903.1143929
2026-02-20 00:00:00,32.06,32.27,32.28,31.97,60977.171101
2026-02-20 01:00:00,32.31,32.48,32.5,32.26,220099.12801652
2026-02-20 02:00:00,32.48,32.79,32.79,32.39,243217.56945248
2026-02-20 03:00:00,32.64,32.65,32.65,32.54,313894.83412827
2026-02-20 04:00:00,32.56,32.36,32.56,32.19,222111.03525412
2026-02-20 05:00:00,32.27,32.56,32.59,32.2,159431.96716247
2026-02-20 06:00:00,32.62,32.54,32.96,32.53,438034.76850684
2026-02-20 07:00:00,32.54,32.43,32.61,32.43,138091.6274341914
2026-02-20 08:00:00,32.49,32.45,32.5,32.45,28863.80879974
2026-02-20 09:00:00,32.53,32.65,32.65,32.53,145676.1009283
2026-02-20 10:00:00,32.82,32.61,32.93,32.6,238875.34258176
2026-02-20 11:00:00,32.8,32.8,32.8,32.8,159670.92938385
2026-02-20 12:00:00,32.59,32.43,32.59,32.39,350265.40191544
2026-02-20 13:00:00,32.47,32.01,32.47,31.89,504397.55911293
2026-02-20 14:00:00,32.09,32.25,32.29,32.05,584375.34797513
2026-02-20 15:00:00,32.32,32.49,32.77,32.18,1481437.8451962
2026-02-20 16:00:00,32.85,32.77,33.01,32.52,481519.54936208
2026-02-20 17:00:00,32.69,32.77,32.77,32.27,572391.8541986
2026-02-20 18:00:00,32.76,32.69,32.76,32.66,139697.07498027
2026-02-20 19:00:00,32.82,32.57,32.82,32.57,124206.5952942
2026-02-20 20:00:00,32.6,32.55,32.6,32.54,82159.22777
2026-02-20 21:00:00,32.55,32.55,32.55,32.55,3072.19662059
2026-02-20 22:00:00,32.5,32.57,32.63,32.45,350675.38727091
2026-02-20 23:00:00,32.46,32.45,32.46,32.45,5922.32840419
2026-02-21 00:00:00,32.39,32.38,32.46,32.38,16721.13370302
2026-02-21 02:00:00,32.35,32.38,32.39,32.3,107549.68373564
2026-02-21 04:00:00,32.14,32.18,32.18,32.14,590.98097819
2026-02-21 05:00:00,32.18,32.22,32.22,32.18,41673.34131916
2026-02-21 06:00:00,32.22,31.97,32.22,31.97,145838.94330854
2026-02-21 07:00:00,31.97,32.04,32.04,31.91,143516.30263473
2026-02-21 08:00:00,32.08,32.21,32.21,32.04,124697.27443814
2026-02-21 09:00:00,32.21,32.18,32.36,32.18,52981.094831
2026-02-21 10:00:00,32.19,32.15,32.21,32.15,185703.45778475
2026-02-21 11:00:00,32.19,32.15,32.19,32.15,27882.6854
2026-02-21 13:00:00,32.24,32.35,32.35,32.18,594612.32829814
2026-02-21 14:00:00,32.56,32.27,32.56,32.22,88206.23104282543
2026-02-21 15:00:00,32.17,32.14,32.17,32.14,14236.29275171
2026-02-21 16:00:00,32.15,32.11,32.24,32.11,394660.02934625
2026-02-21 17:00:00,32.19,32.1,32.19,32.1,132514.90144041
2026-02-21 18:00:00,32.08,32.08,32.08,32.08,126655.75235566
2026-02-21 20:00:00,32.05,32.05,32.15,32.04,15847.66274969
2026-02-21 21:00:00,32.04,31.82,32.04,31.74,163517.90393269
2026-02-21 22:00:00,31.82,31.82,31.82,31.82,1571.0
2026-02-21 23:00:00,31.86,31.86,31.86,31.86,254.29207896
2026-02-22 00:00:00,31.75,31.37,31.75,31.37,496860.79462520086
2026-02-22 01:00:00,31.36,31.35,31.44,31.35,167368.1144487553
2026-02-22 02:00:00,31.38,31.0,31.43,31.0,221182.99684467743
2026-02-22 03:00:00,31.05,30.94,31.05,30.88,163824.53907449383
2026-02-22 04:00:00,31.07,30.99,31.07,30.99,17695.70920539
2026-02-22 05:00:00,31.0,31.0,31.0,31.0,425.06346745
2026-02-22 06:00:00,30.99,31.14,31.14,30.99,24893.00176341
2026-02-22 07:00:00,31.15,31.21,31.21,31.15,1031.54032496
2026-02-22 08:00:00,31.15,30.8,31.15,30.77,126781.32068019
2026-02-22 09:00:00,30.78,30.77,30.78,30.77,42319.7364
2026-02-22 10:00:00,30.86,30.85,31.03,30.85,153166.29464418
2026-02-22 11:00:00,30.81,30.76,30.81,30.76,51562.21544228
2026-02-22 12:00:00,30.75,30.53,30.75,30.49,64464.08983635
2026-02-22 13:00:00,30.45,30.39,30.45,30.27,14305.96821739
2026-02-22 14:00:00,30.39,30.03,30.4,30.03,125015.54174953584
2026-02-22 15:00:00,30.11,30.18,30.18,29.97,249435.62529311067
2026-02-22 16:00:00,30.08,30.08,30.08,30.08,480.92506313
2026-02-22 17:00:00,30.1,29.96,30.1,29.96,64780.37790815
2026-02-22 18:00:00,29.96,29.97,29.97,29.95,18172.305476
2026-02-22 19:00:00,29.96,29.91,30.43,29.85,512694.27416357
2026-02-22 20:00:00,29.91,29.72,29.91,29.67,86563.67124207932
2026-02-22 21:00:00,29.72,29.7,29.81,29.69,63161.363722951646
2026-02-22 22:00:00,29.72,29.72,29.72,29.71,83152.76029011117
2026-02-22 23:00:00,29.67,29.7,29.72,29.54,86933.1982205963
2026-02-23 00:00:00,29.65,29.16,29.65,29.16,468592.99900877
2026-02-23 01:00:00,29.16,28.34,29.16,28.21,1962517.281729134
2026-02-23 02:00:00,28.34,28.59,28.64,28.34,698512.82521379
2026-02-23 03:00:00,28.62,28.51,28.76,28.51,262464.80855091
2026-02-23 04:00:00,28.34,28.31,28.34,28.31,24799.386
2026-02-23 05:00:00,28.3,28.38,28.39,28.3,228004.19515899
2026-02-23 06:00:00,28.75,28.78,28.83,28.75,108655.72130194
2026-02-23 07:00:00,28.8,28.73,28.87,28.73,92121.74493912
2026-02-23 08:00:00,28.75,28.52,28.79,28.52,331751.0127146
2026-02-23 09:00:00,28.63,28.86,28.86,28.63,211370.69949
2026-02-23 10:00:00,28.92,28.84,28.99,28.84,173785.22735012
2026-02-23 11:00:00,28.82,28.73,28.86,28.72,288268.46030829
2026-02-23 12:00:00,28.78,28.96,28.96,28.61,96783.40908359
2026-02-23 13:00:00,28.91,28.64,28.91,28.64,88124.66676963
2026-02-23 14:00:00,28.64,28.54,28.64,28.4,164517.39460542
2026-02-23 15:00:00,28.4,28.11,28.4,28.11,267984.88935798
2026-02-23 16:00:00,28.01,27.84,28.03,27.82,316688.39771181
2026-02-23 17:00:00,27.79,27.74,27.79,27.58,561704.9209951
2026-02-23 18:00:00,27.86,27.84,27.92,27.84,16123.73527726
2026-02-23 19:00:00,27.81,27.73,27.83,27.71,105347.2705429
2026-02-23 20:00:00,27.79,27.88,28.03,27.7,358413.3359433
2026-02-23 21:00:00,27.97,28.34,28.46,27.97,125238.6810373
2026-02-23 22:00:00,28.66,28.75,28.75,28.62,121811.03269924
2026-02-23 23:00:00,28.61,28.53,28.61,28.52,51866.5262743
2026-02-24 00:00:00,28.53,28.45,28.53,28.45,45371.0705743
2026-02-24 01:00:00,28.36,28.46,28.53,27.97,470249.2006955
2026-02-24 02:00:00,28.46,28.28,28.76,28.28,533153.5187548
2026-02-24 03:00:00,28.24,28.23,28.32,28.13,395288.07838481
2026-02-24 04:00:00,28.22,28.23,28.23,27.91,310367.0112479
2026-02-24 05:00:00,28.15,27.96,28.25,27.89,498414.7881490841
2026-02-24 06:00:00,28.11,28.09,28.11,28.0,332945.9458869
2026-02-24 07:00:00,28.12,28.04,28.24,27.97,374876.2140583
2026-02-24 08:00:00,27.98,28.27,28.27,27.88,131429.22375472
2026-02-24 09:00:00,28.49,28.44,28.73,28.22,891889.70651018
2026-02-24 10:00:00,28.54,31.21,32.1,28.53,9099565.258160062
2026-02-24 11:00:00,31.2,32.22,37.08,30.53,27726925.86713705
2026-02-24 12:00:00,32.23,32.5,34.57,31.93,11737437.805368172
2026-02-24 13:00:00,32.66,32.0,35.1,31.87,14132053.096708285
2026-02-24 14:00:00,31.96,31.11,32.5,30.44,3856655.583306973
2026-02-24 15:00:00,31.11,30.97,31.24,25.22,2375227.2576357503
2026-02-24 16:00:00,30.98,31.44,31.79,30.44,2257971.14175546
2026-02-24 17:00:00,30.86,30.5,31.3,30.5,642056.62203265
2026-02-24 18:00:00,30.41,30.45,30.91,30.12,673238.954336
2026-02-24 19:00:00,30.42,29.81,30.43,29.59,720669.27212168
2026-02-24 20:00:00,29.84,30.18,31.06,29.84,369090.05386087
2026-02-24 21:00:00,30.07,30.18,30.29,29.59,634216.62819267
2026-02-24 22:00:00,30.3,30.21,30.62,30.05,244197.11127972
2026-02-24 23:00:00,30.19,30.4,30.79,30.05,806080.95991971
2026-02-25 00:00:00,30.32,30.54,30.61,29.91,740630.2037526336
2026-02-25 01:00:00,30.76,30.86,31.22,30.61,335271.0717162
2026-02-25 02:00:00,30.99,30.81,31.25,30.81,347856.10787992
2026-02-25 03:00:00,30.4,30.82,30.82,30.4,23213.6165135516
2026-02-25 04:00:00,30.62,30.58,30.74,30.48,185743.59375393
2026-02-25 05:00:00,30.35,30.57,30.63,30.34,144300.68283229
2026-02-25 06:00:00,30.68,30.12,30.68,30.12,42434.72477123
2026-02-25 07:00:00,30.12,30.38,30.38,30.06,321323.54113668
2026-02-25 08:00:00,30.38,30.22,30.59,30.18,441164.29313263
2026-02-25 09:00:00,30.4,30.04,30.53,30.04,238086.49253422
2026-02-25 10:00:00,30.24,29.75,30.24,29.72,284823.07611122
2026-02-25 11:00:00,29.67,30.02,30.08,29.61,480381.85234732
2026-02-25 12:00:00,29.96,30.26,30.34,29.86,166157.65721616
2026-02-25 13:00:00,30.46,30.76,30.92,30.36,195602.0039110722
2026-02-25 14:00:00,30.63,30.6,30.72,30.34,349771.96739076
2026-02-25 15:00:00,30.6,30.79,30.79,30.45,1367528.5267156332
2026-02-25 16:00:00,30.75,30.78,30.82,30.59,1001072.543759848
