time,open,close,high,low,volume
2026-03-21 07:00:00,2.209,2.2,2.209,2.2,2867364.91079736
2026-03-21 08:00:00,2.203,2.201,2.209,2.196,25059266.96538103
2026-03-21 09:00:00,2.201,2.194,2.201,2.193,505924.16021949
2026-03-21 10:00:00,2.192,2.196,2.196,2.19,29973.65864742
2026-03-21 11:00:00,2.201,2.199,2.206,2.196,1159180.90026796
2026-03-21 12:00:00,2.201,2.192,2.201,2.185,2154870.589470927
2026-03-21 13:00:00,2.194,2.192,2.195,2.186,1052726.56833317
2026-03-21 14:00:00,2.191,2.212,2.214,2.191,2989556.185650756
2026-03-21 15:00:00,2.213,2.233,2.241,2.213,8748458.845446678
2026-03-21 16:00:00,2.231,2.223,2.231,2.223,1961146.64458567
2026-03-21 17:00:00,2.224,2.225,2.225,2.223,68706.91149499
2026-03-21 18:00:00,2.222,2.226,2.227,2.222,67341.60188325
2026-03-21 19:00:00,2.224,2.217,2.224,2.217,313700.26729404
2026-03-21 20:00:00,2.218,2.218,2.218,2.218,3520.50588477
2026-03-21 21:00:00,2.225,2.217,2.226,2.217,116956.02702883
2026-03-21 22:00:00,2.217,2.223,2.223,2.21,307552.1515056541
2026-03-21 23:00:00,2.223,2.166,2.223,2.165,10940338.7902011
2026-03-22 00:00:00,2.167,2.156,2.18,2.141,7298761.835416613
2026-03-22 01:00:00,2.161,2.133,2.161,2.133,2748507.19627379
2026-03-22 02:00:00,2.147,2.166,2.173,2.147,1070935.2361351522
2026-03-22 03:00:00,2.162,2.162,2.174,2.161,1191403.300281312
2026-03-22 04:00:00,2.162,2.172,2.175,2.162,2030689.39628483
2026-03-22 05:00:00,2.175,2.157,2.175,2.156,1076007.47538295
2026-03-22 06:00:00,2.157,2.16,2.16,2.154,1025673.21083987
2026-03-22 07:00:00,2.162,2.157,2.166,2.157,273153.88327355
2026-03-22 08:00:00,2.158,2.152,2.158,2.145,536154.63325083
2026-03-22 09:00:00,2.148,2.144,2.148,2.144,940276.96833235
2026-03-22 10:00:00,2.145,2.135,2.145,2.132,830081.7487411074
2026-03-22 11:00:00,2.132,2.095,2.132,2.095,5062911.956381463
2026-03-22 12:00:00,2.102,2.116,2.116,2.1,1748236.581835636
2026-03-22 13:00:00,2.116,2.111,2.118,2.111,75044.67668644
2026-03-22 14:00:00,2.114,2.121,2.128,2.107,1219268.1112856
2026-03-22 15:00:00,2.122,2.132,2.14,2.122,2186675.833340365
2026-03-22 16:00:00,2.135,2.14,2.142,2.134,3605412.1425990076
2026-03-22 17:00:00,2.14,2.133,2.143,2.126,1444237.80678546
2026-03-22 18:00:00,2.132,2.102,2.132,2.102,512698.59011651
2026-03-22 19:00:00,2.101,2.108,2.108,2.091,1208777.4931947
2026-03-22 20:00:00,2.103,2.097,2.109,2.097,1076408.12541928
2026-03-22 21:00:00,2.103,2.093,2.103,2.071,2602115.24314438
2026-03-22 22:00:00,2.084,2.105,2.105,2.082,1038484.97709358
2026-03-22 23:00:00,2.108,2.096,2.11,2.096,4190819.35238662
2026-03-23 00:00:00,2.102,2.097,2.102,2.088,5609660.71095027
2026-03-23 01:00:00,2.097,2.102,2.104,2.096,525985.2331297963
2026-03-23 02:00:00,2.103,2.109,2.116,2.1,1985345.69829254
2026-03-23 03:00:00,2.109,2.11,2.114,2.109,1336718.17582572
2026-03-23 04:00:00,2.114,2.126,2.126,2.109,870035.99205939
2026-03-23 05:00:00,2.125,2.113,2.133,2.108,974805.04591123
2026-03-23 06:00:00,2.106,2.099,2.109,2.093,2402059.42115503
2026-03-23 07:00:00,2.106,2.108,2.115,2.094,2452303.44143352
2026-03-23 08:00:00,2.107,2.1,2.107,2.1,930987.82642856
2026-03-23 09:00:00,2.096,2.094,2.096,2.084,2820900.62202026
2026-03-23 10:00:00,2.099,2.096,2.107,2.096,363165.8717413
2026-03-23 11:00:00,2.101,2.144,2.157,2.101,12947198.60667528
2026-03-23 12:00:00,2.146,2.166,2.166,2.138,1747193.3926642009
2026-03-23 13:00:00,2.167,2.177,2.185,2.162,2004635.78322252
2026-03-23 14:00:00,2.187,2.18,2.189,2.173,961043.2363501257
2026-03-23 15:00:00,2.18,2.156,2.185,2.155,1365786.5252282976
2026-03-23 16:00:00,2.158,2.139,2.158,2.127,6593193.34678601
2026-03-23 17:00:00,2.133,2.142,2.142,2.132,321534.41307732
2026-03-23 18:00:00,2.146,2.142,2.146,2.142,153894.6135113
2026-03-23 19:00:00,2.139,2.13,2.139,2.13,185268.76643708
2026-03-23 20:00:00,2.13,2.138,2.138,2.126,241019.19933145
2026-03-23 21:00:00,2.139,2.144,2.144,2.139,93261.24408604
2026-03-23 22:00:00,2.143,2.138,2.144,2.133,2406346.19406232
2026-03-23 23:00:00,2.137,2.141,2.142,2.13,2022898.9565497
2026-03-24 00:00:00,2.139,2.142,2.142,2.128,1681643.8593836038
2026-03-24 01:00:00,2.133,2.119,2.133,2.118,2322610.62694201
2026-03-24 02:00:00,2.124,2.142,2.142,2.124,1563777.76923034
2026-03-24 03:00:00,2.135,2.137,2.144,2.135,465963.80977784
