time,open,close,high,low,volume
2026-03-26 10:45:00,8.127,8.117,8.127,8.117,3464.30624169
2026-03-26 10:55:00,8.168,8.166,8.17,8.166,249984.0286
2026-03-26 11:15:00,8.166,8.164,8.166,8.164,14654.07014804
2026-03-26 11:20:00,8.143,8.1,8.143,8.099,3480844.22232211
2026-03-26 11:25:00,8.088,8.029,8.088,8.018,2440991.39404516
2026-03-26 11:30:00,8.095,8.1,8.1,8.095,104401.57888473
2026-03-26 11:35:00,8.075,8.104,8.104,8.075,25000.0
2026-03-26 11:40:00,8.103,8.111,8.111,8.072,3936.520144
2026-03-26 11:45:00,8.113,8.099,8.113,8.099,120080.86789411
2026-03-26 11:50:00,8.113,8.113,8.113,8.113,628.62073216
2026-03-26 12:00:00,8.113,8.113,8.113,8.104,5539.14327924
2026-03-26 12:05:00,8.051,8.051,8.051,8.051,5411.45780535
2026-03-26 12:10:00,8.1,8.1,8.1,8.1,5668.63
2026-03-26 12:15:00,8.092,8.093,8.093,8.088,825660.59369677
2026-03-26 12:20:00,8.054,8.088,8.088,8.036,722584.50799067
2026-03-26 12:25:00,8.094,8.088,8.094,8.088,1236.39960436
2026-03-26 12:30:00,8.046,8.09,8.106,8.045,995489.48442858
2026-03-26 12:40:00,8.081,8.061,8.081,8.061,740632.66960195
2026-03-26 12:45:00,8.09,8.068,8.097,8.068,617648.85573646
2026-03-26 12:50:00,8.092,8.088,8.112,8.085,609603.98107468
2026-03-26 12:55:00,8.09,8.093,8.093,8.09,52984.0
2026-03-26 13:00:00,8.108,8.095,8.109,8.095,44302.5136147
2026-03-26 13:05:00,8.156,8.107,8.156,8.107,216462.80100567
2026-03-26 13:10:00,8.093,8.092,8.093,8.092,11974.032897
2026-03-26 13:15:00,8.079,8.079,8.079,8.079,2341.64617727
2026-03-26 13:20:00,8.073,8.073,8.073,8.073,2315.409004
2026-03-26 13:25:00,8.076,8.075,8.076,8.075,8884.886527
2026-03-26 13:30:00,8.075,8.075,8.075,8.075,139261.0
2026-03-26 13:35:00,8.075,8.075,8.096,8.075,263789.15087366
2026-03-26 13:40:00,8.076,8.075,8.076,8.075,1154.76874723
2026-03-26 13:45:00,8.138,8.165,8.179,8.138,321467.07569736
2026-03-26 13:50:00,8.119,8.169,8.169,8.087,1057500.44873335
2026-03-26 14:00:00,8.127,8.126,8.127,8.126,32919.824838
2026-03-26 14:05:00,8.125,8.116,8.125,8.116,40996.09582812
2026-03-26 14:10:00,8.125,8.125,8.125,8.125,33599.44158432
2026-03-26 14:20:00,8.117,8.115,8.126,8.115,690763.76595552
2026-03-26 14:45:00,8.116,8.13,8.13,8.099,837088.22075863
2026-03-26 14:50:00,8.129,8.143,8.144,8.129,834461.47474041
2026-03-26 14:55:00,8.144,8.259,8.259,8.142,877668.18721584
2026-03-26 15:00:00,8.199,8.199,8.199,8.199,286581.38773081
2026-03-26 15:10:00,8.121,8.119,8.121,8.119,105192.79863582
2026-03-26 15:15:00,8.112,8.117,8.117,8.109,108869.43080125
2026-03-26 15:20:00,8.142,8.118,8.142,8.118,3399.10251495
2026-03-26 15:30:00,8.124,8.123,8.124,8.123,96086.98334928
2026-03-26 15:35:00,8.151,8.162,8.162,8.151,265155.40476909
2026-03-26 15:40:00,8.179,8.177,8.179,8.174,305407.63938764
2026-03-26 15:50:00,8.191,8.199,8.199,8.188,409901.01994843
2026-03-26 15:55:00,8.168,8.168,8.168,8.168,169211.16584323
2026-03-26 16:00:00,8.17,8.166,8.17,8.166,891921.29593599
2026-03-26 16:05:00,8.161,8.16,8.161,8.16,899105.06188859
2026-03-26 16:10:00,8.15,8.148,8.15,8.148,99716.91057536
2026-03-26 16:20:00,8.135,8.135,8.135,8.135,1201.71721194
2026-03-26 16:25:00,8.115,8.102,8.115,8.102,419753.08641976
2026-03-26 16:35:00,8.122,8.108,8.13,8.108,556141.24796819
2026-03-26 16:40:00,8.123,8.129,8.129,8.123,477819.16951815
2026-03-26 17:00:00,8.133,8.133,8.133,8.133,50543.58571916
2026-03-26 17:10:00,8.111,8.111,8.111,8.111,1534.801163
2026-03-26 17:25:00,8.107,8.107,8.107,8.107,4024.966253
2026-03-26 17:35:00,8.108,8.106,8.108,8.106,64000.0
2026-03-26 17:45:00,8.107,8.106,8.107,8.106,50914.0
2026-03-26 17:50:00,8.106,8.105,8.106,8.105,36680.0479
2026-03-26 17:55:00,8.105,8.1,8.105,8.1,1066419.76730808
2026-03-26 18:00:00,8.1,8.1,8.116,8.1,36170.2550874
2026-03-26 18:25:00,8.088,8.088,8.088,8.088,62294.5027
2026-03-26 18:35:00,8.118,8.118,8.118,8.118,622.61198445
2026-03-26 18:40:00,8.081,8.081,8.081,8.081,3683.48993097
2026-03-26 19:00:00,8.09,8.09,8.09,8.09,3315.14093787
2026-03-26 19:15:00,8.089,8.089,8.089,8.089,29836.2684409
2026-03-26 19:25:00,8.089,8.108,8.108,8.089,4548.49071587
2026-03-26 19:40:00,8.093,8.09,8.093,8.09,430459.662
2026-03-26 19:45:00,8.093,8.093,8.094,8.093,47998.74786918
2026-03-26 19:50:00,8.093,8.093,8.093,8.093,20275.17458085
2026-03-26 20:00:00,8.096,8.095,8.096,8.095,180079.81928231
2026-03-26 20:05:00,8.096,8.094,8.096,8.094,56093.6825
2026-03-26 20:10:00,8.093,8.184,8.185,8.093,97474.36023551
2026-03-26 20:15:00,8.182,8.197,8.197,8.182,72072.78314016
2026-03-26 20:20:00,8.257,8.259,8.259,8.218,111327.45121496
2026-03-26 20:30:00,8.259,8.259,8.259,8.259,1515.02833119
2026-03-26 20:45:00,8.253,8.262,8.262,8.253,30545.2140471
2026-03-26 20:50:00,8.263,8.25,8.273,8.25,27730.2475887
2026-03-26 21:05:00,8.239,8.243,8.243,8.225,1583391.86398705
2026-03-26 21:10:00,8.241,8.241,8.241,8.241,30514.38158432
2026-03-26 21:20:00,8.264,8.282,8.282,8.264,98399.47578432
2026-03-26 21:25:00,8.275,8.275,8.275,8.275,76357.93205832
2026-03-26 21:35:00,8.288,8.259,8.288,8.239,1879710.30782081
2026-03-26 21:40:00,8.271,8.27,8.271,8.27,2303.049499
2026-03-26 21:50:00,8.258,8.243,8.258,8.243,3966.77249505
2026-03-26 22:00:00,8.238,8.239,8.239,8.238,1500.819451
2026-03-26 22:10:00,8.233,8.24,8.24,8.233,5012.505543
2026-03-26 22:15:00,8.218,8.215,8.218,8.215,59748.75808156
2026-03-26 22:20:00,8.213,8.204,8.213,8.204,34267.718812
2026-03-26 22:35:00,8.24,8.24,8.241,8.24,61532.16653285
2026-03-26 22:40:00,8.25,8.255,8.255,8.25,123155.82938474
2026-03-26 22:45:00,8.24,8.223,8.24,8.223,38050.95242517
2026-03-26 22:55:00,8.226,8.23,8.23,8.226,23609.08948381
2026-03-26 23:00:00,8.232,8.232,8.232,8.232,616.674889
2026-03-26 23:10:00,8.226,8.226,8.226,8.226,30535.41189512
2026-03-26 23:20:00,8.171,8.17,8.171,8.17,176645.28452712
2026-03-26 23:30:00,8.18,8.185,8.187,8.18,250142.04125897
2026-03-27 00:00:00,8.215,8.22,8.22,8.215,81407.7663
2026-03-27 00:05:00,8.228,8.228,8.228,8.228,3409.68192062
2026-03-27 00:10:00,8.204,8.214,8.214,8.202,7350.42996698
2026-03-27 00:25:00,8.177,8.19,8.19,8.171,108970.7421
2026-03-27 00:30:00,8.165,8.165,8.165,8.165,8554.0
