time,open,close,high,low,volume
2026-03-05 21:00:00,0.7456,0.744,0.7456,0.7436,821216.44058357
2026-03-05 22:00:00,0.7435,0.7424,0.7435,0.7396,1928704.57539957
2026-03-05 23:00:00,0.743,0.7414,0.7478,0.7414,5863280.05370132
2026-03-06 00:00:00,0.7415,0.7401,0.7415,0.7401,922552.26169587
2026-03-06 01:00:00,0.743,0.744,0.744,0.743,76872.188
2026-03-06 02:00:00,0.7432,0.7401,0.7432,0.7401,73471.28212787
2026-03-06 03:00:00,0.7403,0.7433,0.7448,0.74,3873885.1476036
2026-03-06 04:00:00,0.7401,0.738,0.7401,0.738,5431299.82062118
2026-03-06 05:00:00,0.738,0.7408,0.7408,0.737,2784254.63131793
2026-03-06 06:00:00,0.7371,0.738,0.74,0.737,1196777.49998887
2026-03-06 07:00:00,0.738,0.7489,0.749,0.738,26907624.99190908
2026-03-06 08:00:00,0.7489,0.7515,0.7515,0.7447,5382658.62119828
2026-03-06 09:00:00,0.7499,0.7492,0.7537,0.747,2012907.562051596
2026-03-06 10:00:00,0.7527,0.7499,0.7527,0.7444,3898914.720141149
2026-03-06 11:00:00,0.7454,0.7449,0.7499,0.7443,5860720.52781793
2026-03-06 12:00:00,0.7499,0.7467,0.7499,0.7414,10043928.29177838
2026-03-06 13:00:00,0.7461,0.745,0.7467,0.7445,173219.45872257
2026-03-06 14:00:00,0.7466,0.7414,0.7511,0.7412,12434240.07148462
2026-03-06 15:00:00,0.7449,0.7413,0.7894,0.737,266306410.289906
2026-03-06 16:00:00,0.7408,0.7365,0.7408,0.7365,8843345.23892998
2026-03-06 17:00:00,0.7365,0.7358,0.7365,0.7358,4701311.96779525
2026-03-06 18:00:00,0.7356,0.7341,0.7356,0.7341,5826027.52635947
2026-03-06 19:00:00,0.739,0.7389,0.7391,0.7389,270642.7296224056
2026-03-06 20:00:00,0.7345,0.7341,0.7345,0.7341,276594.66882679
2026-03-06 21:00:00,0.7393,0.7342,0.7393,0.7342,98591.41504791
2026-03-06 22:00:00,0.7393,0.7345,0.7393,0.7345,31346.63611384
2026-03-06 23:00:00,0.7344,0.7287,0.7351,0.7283,9773950.69078772
2026-03-07 00:00:00,0.7357,0.7294,0.7357,0.729,10468977.67832159
2026-03-07 01:00:00,0.7301,0.7301,0.7301,0.7301,244946.69211614
2026-03-07 03:00:00,0.7302,0.7251,0.7302,0.7251,5798591.48287265
2026-03-07 04:00:00,0.7251,0.7286,0.7302,0.7248,6093775.21666015
2026-03-07 05:00:00,0.7254,0.7249,0.7289,0.7249,4253217.344383296
2026-03-07 06:00:00,0.7249,0.72,0.7286,0.7181,7725350.4855484
2026-03-07 07:00:00,0.72,0.7161,0.72,0.712,10508678.677123904
2026-03-07 08:00:00,0.7144,0.714,0.7168,0.7123,1219237.3007165375
2026-03-07 09:00:00,0.714,0.713,0.715,0.713,2053195.20278096
2026-03-07 10:00:00,0.714,0.7168,0.7168,0.713,2464742.7584674
2026-03-07 11:00:00,0.7168,0.717,0.717,0.7131,8219532.00485621
2026-03-07 12:00:00,0.7201,0.7224,0.7224,0.7183,5056352.474813542
2026-03-07 13:00:00,0.72,0.7194,0.7224,0.7194,7480895.84476111
2026-03-07 14:00:00,0.72,0.7267,0.7268,0.72,3478471.91134693
2026-03-07 15:00:00,0.7241,0.7221,0.7287,0.7221,5251272.750923146
2026-03-07 16:00:00,0.7222,0.7222,0.7222,0.7222,51589.30584216
2026-03-07 17:00:00,0.725,0.7222,0.725,0.7222,834262.01831275
2026-03-07 18:00:00,0.7222,0.7237,0.7237,0.7222,2147680.77668603
2026-03-07 21:00:00,0.7219,0.7219,0.7219,0.7219,24380.039073
2026-03-07 22:00:00,0.7219,0.722,0.722,0.7216,434480.197345
2026-03-07 23:00:00,0.722,0.721,0.7255,0.7209,133566.77430685383
2026-03-08 00:00:00,0.7259,0.721,0.7259,0.721,972829.40868535
2026-03-08 01:00:00,0.721,0.7193,0.7254,0.7193,1996585.4735076528
2026-03-08 02:00:00,0.719,0.7162,0.719,0.7162,596244.82924138
2026-03-08 03:00:00,0.7162,0.7169,0.7169,0.7071,5639255.88266332
2026-03-08 05:00:00,0.7125,0.7169,0.7169,0.7123,1947304.2656357
2026-03-08 06:00:00,0.7155,0.7155,0.7167,0.7152,556805.89671077
2026-03-08 07:00:00,0.7147,0.715,0.7189,0.7147,379048.10786866
2026-03-08 08:00:00,0.7189,0.716,0.7189,0.715,578009.661100118
2026-03-08 09:00:00,0.7189,0.7186,0.7189,0.716,276713.03117126
2026-03-08 10:00:00,0.716,0.7186,0.7187,0.716,101778.97210066476
2026-03-08 11:00:00,0.7165,0.7188,0.7192,0.7149,2873020.449399704
2026-03-08 12:00:00,0.7188,0.7197,0.7198,0.7159,2567784.062002173
2026-03-08 13:00:00,0.7196,0.7253,0.7268,0.7196,16189056.606734456
2026-03-08 14:00:00,0.7256,0.7337,0.7337,0.7256,10577473.129153764
2026-03-08 15:00:00,0.729,0.7295,0.7324,0.7235,16958894.046859443
2026-03-08 16:00:00,0.7299,0.723,0.7299,0.7228,3287112.4604381
2026-03-08 17:00:00,0.7214,0.7213,0.7214,0.7213,75768.78488359
2026-03-08 18:00:00,0.723,0.7214,0.7242,0.7214,15844.27279896
