time,open,close,high,low,volume
2026-03-30 14:00:00,80.53,80.62,80.63,80.53,2273.6332503
2026-03-30 14:05:00,80.55,80.55,80.55,80.55,1000.0
2026-03-30 14:10:00,80.54,80.57,80.57,80.4,8188.01713714
2026-03-30 14:15:00,80.43,80.21,80.43,80.21,29404.33256848
2026-03-30 14:20:00,80.23,80.21,80.23,80.21,25464.36556143
2026-03-30 14:25:00,80.31,80.32,80.32,80.31,32923.70393947
2026-03-30 14:30:00,80.32,80.32,80.32,80.32,1245.01992032
2026-03-30 14:35:00,80.27,79.88,80.27,79.8,105432.84944671
2026-03-30 14:40:00,79.94,79.85,79.95,79.85,15527.33580698
2026-03-30 14:45:00,79.97,79.94,80.13,79.94,31245.60508320563
2026-03-30 14:50:00,79.94,80.07,80.08,79.94,35817.36105309
2026-03-30 14:55:00,80.31,80.32,80.32,80.31,2380.16347121
2026-03-30 15:00:00,80.31,80.28,80.31,80.24,18805.67536274
2026-03-30 15:05:00,80.11,79.94,80.11,79.94,54014.05729684
2026-03-30 15:10:00,79.94,79.94,79.94,79.86,53898.93960303
2026-03-30 15:15:00,79.85,79.84,79.91,79.75,97122.69953401
2026-03-30 15:20:00,79.84,79.87,79.87,79.74,3285.05694222
2026-03-30 15:25:00,79.85,79.99,79.99,79.85,1163.26730367
2026-03-30 15:30:00,79.86,80.07,80.22,79.86,81809.14425501754
2026-03-30 15:35:00,80.31,80.14,80.32,80.14,162108.10282623
2026-03-30 15:45:00,80.31,80.26,80.31,80.12,38194.04482003
2026-03-30 15:50:00,80.29,80.29,80.29,80.29,5300.0
2026-03-30 15:55:00,80.12,79.8,80.21,79.8,104512.39607367
2026-03-30 16:00:00,79.8,79.79,79.8,79.79,12943.08042595
2026-03-30 16:05:00,79.79,79.68,79.79,79.61,127281.48917079
2026-03-30 16:10:00,79.82,79.73,79.82,79.7,31597.86110224
2026-03-30 16:15:00,79.74,79.74,79.74,79.74,4184.77201719
2026-03-30 16:20:00,79.7,79.71,79.73,79.67,43236.79424838818
2026-03-30 16:25:00,79.82,79.82,79.82,79.82,14200.0
2026-03-30 16:30:00,79.73,79.82,79.82,79.73,5110.29423845
2026-03-30 16:35:00,79.79,79.81,79.81,79.7,26432.96576
2026-03-30 16:40:00,79.71,79.71,79.71,79.71,46158.774899
2026-03-30 16:45:00,79.68,79.75,79.75,79.59,64953.34342746
2026-03-30 16:50:00,79.58,79.5,79.59,79.5,104853.94562378
2026-03-30 16:55:00,79.48,79.35,79.53,79.26,90187.48070080033
