time,open,close,high,low,volume
2026-04-17 08:55:00,34.97,34.88,34.97,34.88,19287.9102
2026-04-17 09:00:00,34.93,34.93,34.93,34.92,3809.07352
2026-04-17 09:05:00,35.05,35.59,35.65,35.05,498815.72143154
2026-04-17 09:10:00,35.63,35.83,35.89,35.62,444849.72593386
2026-04-17 09:15:00,35.9,35.14,35.95,34.92,431683.9786367937
2026-04-17 09:20:00,34.91,35.34,35.42,34.91,119915.36284518488
2026-04-17 09:25:00,35.31,35.53,35.53,35.31,30664.87378256
2026-04-17 09:30:00,35.44,35.57,35.68,35.44,413537.7458110558
2026-04-17 09:35:00,35.31,34.96,35.31,34.96,220516.22013929
2026-04-17 09:40:00,35.02,35.06,35.06,35.02,14497.076
2026-04-17 09:45:00,34.98,35.02,35.06,34.84,126417.95427697
2026-04-17 09:50:00,35.01,34.96,35.13,34.83,505333.00278321
2026-04-17 09:55:00,34.87,34.88,34.88,34.87,27659.37860313
2026-04-17 10:00:00,34.77,34.97,35.12,34.72,296954.88628422
2026-04-17 10:05:00,34.97,34.91,35.0,34.9,406626.20727341
2026-04-17 10:10:00,34.86,34.84,34.89,34.83,113370.38661731
2026-04-17 10:15:00,34.84,34.78,34.84,34.78,106907.33001614
2026-04-17 10:20:00,34.84,34.84,34.84,34.84,1089.633917
2026-04-17 10:25:00,34.87,34.85,34.87,34.79,89791.40286312
2026-04-17 10:30:00,34.8,35.15,35.15,34.8,61726.5430058219
2026-04-17 10:35:00,35.16,35.19,35.22,35.14,174168.85952322
2026-04-17 10:40:00,35.12,35.01,35.14,34.92,354629.63473517
2026-04-17 10:45:00,35.03,35.03,35.03,35.03,570.9392
2026-04-17 10:50:00,35.03,35.03,35.03,35.03,23319.28046832
2026-04-17 10:55:00,34.88,34.88,34.88,34.88,2503.014849
2026-04-17 11:00:00,34.91,34.92,34.92,34.91,1789.1412
2026-04-17 11:05:00,34.87,34.91,34.91,34.87,936.6819614
2026-04-17 11:15:00,34.87,34.86,34.87,34.86,72353.7780442
2026-04-17 11:20:00,34.97,34.9,34.99,34.9,22823.12419105
2026-04-17 11:25:00,34.96,35.0,35.01,34.95,193218.98417623
2026-04-17 11:30:00,35.09,35.03,35.1,35.03,106368.85174109
2026-04-17 11:35:00,35.09,35.27,35.35,35.09,185133.8625462819
2026-04-17 11:45:00,35.25,35.07,35.27,35.04,92558.79683634
2026-04-17 11:50:00,35.08,35.01,35.08,35.01,33748.73926295
2026-04-17 11:55:00,34.94,34.94,34.94,34.94,62737.61657716
2026-04-17 12:00:00,34.9,34.86,34.9,34.8,7005.71091959
2026-04-17 12:05:00,34.9,34.9,34.9,34.9,506.1848495
2026-04-17 12:10:00,34.98,34.98,34.98,34.98,17106.8373
2026-04-17 12:15:00,35.05,35.05,35.05,35.05,34896.0121
2026-04-17 12:20:00,35.11,35.17,35.2,35.11,44423.01928732
2026-04-17 12:25:00,35.09,35.05,35.09,35.05,2853.06704708
2026-04-17 12:35:00,35.04,34.96,35.04,34.96,108193.96259234
2026-04-17 12:40:00,34.97,34.96,34.97,34.96,17856.09839062
2026-04-17 12:45:00,34.93,34.87,34.93,34.87,2818.45238872
2026-04-17 12:50:00,34.82,34.82,34.82,34.82,3906.0590912
2026-04-17 12:55:00,34.74,34.73,34.74,34.73,7455.18813253
2026-04-17 13:05:00,34.72,34.82,34.82,34.72,1107.91911123
2026-04-17 13:10:00,34.72,34.74,34.74,34.72,6324.46962625
2026-04-17 13:15:00,34.74,34.73,34.79,34.61,94887.62783224
2026-04-17 13:20:00,34.8,34.98,34.98,34.8,15451.2780777
2026-04-17 13:25:00,34.97,34.97,34.97,34.97,125251.287661
2026-04-17 13:30:00,35.08,35.11,35.14,35.07,516176.38936038
2026-04-17 13:35:00,35.12,35.32,35.32,35.12,845284.57603746
2026-04-17 13:40:00,35.32,35.21,35.32,35.08,183041.97552063
2026-04-17 13:45:00,35.21,35.33,35.39,35.17,94772.4006058
2026-04-17 13:50:00,35.34,35.2,35.34,35.2,12430.3692697
2026-04-17 13:55:00,35.11,35.13,35.13,35.11,9069.12851
2026-04-17 14:00:00,35.21,35.2,35.21,35.2,13050.9539408
2026-04-17 14:05:00,35.2,35.28,35.28,35.19,3431.18109089
2026-04-17 14:10:00,35.33,35.3,35.35,35.3,47923.2645658
2026-04-17 14:15:00,35.25,35.25,35.25,35.25,8924.26965166
2026-04-17 14:20:00,35.28,35.28,35.28,35.28,155.605939
2026-04-17 14:25:00,35.38,35.47,35.54,35.31,146554.7726537
2026-04-17 14:30:00,35.33,35.33,35.33,35.33,22218.99479722
2026-04-17 14:35:00,35.4,35.29,35.4,35.29,263731.71939327
2026-04-17 14:40:00,35.35,35.45,35.45,35.35,14007.5651235
2026-04-17 15:05:00,35.21,35.11,35.22,35.11,19687.01572645
2026-04-17 15:10:00,35.12,35.07,35.12,35.07,4887.07085773
2026-04-17 15:25:00,34.98,34.97,34.98,34.97,55722.92887533
2026-04-17 15:30:00,34.98,34.94,34.98,34.9,80488.6375438
2026-04-17 15:35:00,34.91,34.9,34.91,34.87,117076.3256763
2026-04-17 15:40:00,34.96,34.9,34.96,34.9,55194.04473472
2026-04-17 15:45:00,34.87,34.79,34.87,34.79,78950.12674661
2026-04-17 15:50:00,34.83,34.84,34.86,34.83,51088.80329683
2026-04-17 15:55:00,34.86,34.9,34.9,34.82,13266.66665721
2026-04-17 16:00:00,34.93,34.94,34.94,34.93,6050.559687
2026-04-17 16:15:00,34.72,34.97,34.97,34.72,31515.060134
2026-04-17 16:20:00,34.9,34.9,34.9,34.9,557.7714572
2026-04-17 16:25:00,34.94,35.01,35.01,34.94,2083.0829
2026-04-17 16:30:00,35.05,35.06,35.06,35.05,30101.18992894
2026-04-17 16:35:00,35.06,34.94,35.06,34.91,4996.79558511
2026-04-17 16:40:00,34.94,34.94,34.94,34.94,9835.1477024
2026-04-17 16:45:00,35.06,35.0,35.08,34.99,26617.5872986
2026-04-17 17:00:00,34.83,34.96,34.96,34.83,17785.63033313
2026-04-17 17:20:00,34.91,34.91,34.91,34.91,382.101086
2026-04-17 17:25:00,34.86,34.85,34.86,34.84,77251.638073
2026-04-17 17:35:00,34.74,34.73,34.74,34.73,3514.874094
2026-04-17 17:40:00,34.65,34.71,34.71,34.65,1039.01617018
2026-04-17 17:45:00,34.76,34.77,34.77,34.76,1228.20842618
2026-04-17 17:50:00,34.78,34.79,34.79,34.78,2916.844851
2026-04-17 18:15:00,34.68,34.68,34.68,34.68,26398.821687
2026-04-17 18:40:00,34.65,34.66,34.66,34.65,371.56912694
2026-04-17 18:50:00,34.7,34.68,34.7,34.68,514.75891714
2026-04-17 19:00:00,34.68,34.64,34.68,34.63,34583.02730045
2026-04-17 19:15:00,34.78,34.81,34.81,34.78,14190.771251
2026-04-17 19:40:00,34.84,34.85,34.85,34.84,31757.7233
2026-04-17 20:50:00,34.87,34.87,34.87,34.87,1138.8251345
2026-04-17 21:05:00,34.9,34.9,34.9,34.9,15913.58122438
2026-04-17 21:25:00,34.8,34.8,34.8,34.8,594.948228
2026-04-17 21:35:00,34.79,34.79,34.79,34.79,557.941525
2026-04-17 21:40:00,34.8,34.8,34.8,34.8,22278.44535836
2026-04-17 21:50:00,34.94,34.94,34.94,34.94,1974.517
2026-04-17 22:00:00,34.99,34.99,34.99,34.99,1420.0
2026-04-17 22:05:00,34.98,34.98,34.98,34.98,7191.87600344
2026-04-17 22:35:00,34.98,34.98,34.98,34.98,6878.16881636
2026-04-17 22:55:00,35.36,35.36,35.36,35.36,282.80542987
2026-04-17 23:00:00,35.26,35.28,35.28,35.26,30033.23095751
2026-04-17 23:20:00,35.12,35.12,35.12,35.12,945.418165
2026-04-17 23:30:00,35.12,35.11,35.12,35.11,23119.5041
2026-04-17 23:35:00,35.11,35.11,35.11,35.11,301.34672064
2026-04-17 23:55:00,35.0,34.98,35.0,34.98,378.993114
2026-04-18 00:05:00,34.83,34.83,34.83,34.83,183.644797
2026-04-18 00:10:00,34.78,34.78,34.78,34.78,348.852213
2026-04-18 00:15:00,34.65,34.65,34.65,34.65,181.43332325
2026-04-18 00:20:00,34.74,34.72,34.74,34.72,5649.491771
2026-04-18 00:25:00,34.76,34.76,34.76,34.76,5620.0
2026-04-18 00:30:00,34.74,34.62,34.74,34.62,17193.58185024
2026-04-18 00:35:00,34.61,34.5,34.63,34.5,80292.90764437
2026-04-18 00:45:00,34.6,34.6,34.66,34.6,36343.51062425
2026-04-18 00:50:00,34.47,34.5,34.5,34.47,43536.36404451
2026-04-18 01:15:00,34.63,34.63,34.63,34.63,4716.32930379
2026-04-18 01:20:00,34.46,34.38,34.46,34.38,48964.66268012
2026-04-18 01:25:00,34.37,34.37,34.37,34.37,17704.39336632
