time,open,close,high,low,volume
2026-02-25 07:00:00,15.98,16.0,16.04,15.98,552823.94809013
2026-02-25 08:00:00,16.04,16.47,16.47,16.04,2228381.216206139
2026-02-25 09:00:00,16.39,16.73,16.73,16.39,2486151.86164619
2026-02-25 10:00:00,16.7,16.59,16.72,16.59,834899.2155624542
2026-02-25 11:00:00,16.59,16.64,16.73,16.45,1100866.77952664
2026-02-25 12:00:00,16.69,16.64,16.74,16.63,1936549.92051696
2026-02-25 13:00:00,16.69,16.64,16.72,16.64,321085.3730131795
2026-02-25 14:00:00,16.72,16.97,16.97,16.64,1318565.47022896
2026-02-25 15:00:00,16.97,16.81,16.97,16.78,2120981.3471249007
2026-02-25 16:00:00,16.83,16.99,16.99,16.8,654693.3819173956
2026-02-25 17:00:00,17.0,17.01,17.09,16.99,383685.37448661
2026-02-25 18:00:00,17.09,17.25,17.25,17.08,707768.75851935
2026-02-25 19:00:00,17.24,17.26,17.26,17.17,581834.84026182
2026-02-25 20:00:00,17.27,17.0,17.27,16.97,846406.11998032
2026-02-25 21:00:00,17.03,17.06,17.17,16.97,403830.54229463736
2026-02-25 22:00:00,17.07,16.85,17.17,16.85,750169.1369438048
2026-02-25 23:00:00,16.83,16.51,16.84,16.47,1938951.659542772
2026-02-26 00:00:00,16.59,16.55,16.64,16.39,1232211.72325223
2026-02-26 01:00:00,16.51,16.46,16.63,16.45,1697057.93231792
2026-02-26 02:00:00,16.46,16.49,16.5,16.35,765321.7376899536
2026-02-26 03:00:00,16.49,16.48,16.49,16.37,150447.03256107
2026-02-26 04:00:00,16.48,16.65,16.71,16.48,1270874.7019998932
2026-02-26 05:00:00,16.65,16.53,16.65,16.48,606697.72189035
2026-02-26 06:00:00,16.52,16.61,16.63,16.5,235614.80518434
2026-02-26 07:00:00,16.52,16.51,16.61,16.51,60249.95254368
2026-02-26 08:00:00,16.59,16.6,16.6,16.52,311938.80996029
2026-02-26 09:00:00,16.61,16.59,16.69,16.48,510876.25736891
2026-02-26 10:00:00,16.62,16.59,16.62,16.52,323788.83972527
2026-02-26 11:00:00,16.58,16.38,16.59,16.38,525198.74207924
2026-02-26 12:00:00,16.39,16.47,16.47,16.37,344264.24468778
2026-02-26 13:00:00,16.44,16.43,16.44,16.31,1153125.54855405
2026-02-26 14:00:00,16.43,16.37,16.43,16.35,580959.38750833
2026-02-26 15:00:00,16.36,16.32,16.36,16.21,619827.77243229
2026-02-26 16:00:00,16.23,16.12,16.29,16.12,146720.59830216
2026-02-26 17:00:00,16.12,16.03,16.12,16.0,319230.13840542
2026-02-26 18:00:00,16.02,16.02,16.03,15.94,148429.407003
2026-02-26 19:00:00,16.02,16.17,16.19,16.01,130861.99169671
2026-02-26 20:00:00,16.15,16.17,16.17,16.15,1361.23334645
2026-02-26 21:00:00,16.19,16.22,16.22,16.19,73750.09340682
2026-02-26 22:00:00,16.24,16.19,16.25,16.19,123790.03837154308
2026-02-26 23:00:00,16.19,16.08,16.24,16.08,707323.74355905
2026-02-27 00:00:00,16.11,16.05,16.11,16.05,403480.2106433924
2026-02-27 01:00:00,16.1,16.04,16.1,16.02,128321.53733196
2026-02-27 02:00:00,16.05,16.27,16.29,16.04,505091.76967006
2026-02-27 03:00:00,16.27,16.28,16.29,16.22,22913.55306917
2026-02-27 04:00:00,16.28,16.37,16.46,16.28,531753.1960206
2026-02-27 05:00:00,16.4,16.36,16.4,16.36,88447.2346583
2026-02-27 06:00:00,16.33,16.27,16.36,16.27,210236.4135765133
2026-02-27 07:00:00,16.35,16.42,16.46,16.3,702579.9147904256
2026-02-27 08:00:00,16.44,16.46,16.51,16.42,86188.67700211804
2026-02-27 09:00:00,16.51,16.52,16.89,16.46,2236664.369643825
2026-02-27 10:00:00,16.51,16.33,16.54,16.32,603984.52817564
2026-02-27 11:00:00,16.33,16.37,16.53,16.31,1551382.76638339
2026-02-27 12:00:00,16.37,16.3,16.44,16.23,1934210.6677786447
2026-02-27 13:00:00,16.32,16.27,16.32,16.18,711614.60839781
2026-02-27 14:00:00,16.25,16.36,16.37,16.24,1590165.93071279
2026-02-27 15:00:00,16.28,16.31,16.31,16.25,288184.705845105
2026-02-27 16:00:00,16.31,16.17,16.31,16.17,419894.68640162
2026-02-27 17:00:00,16.17,16.22,16.22,16.1,350185.15094722
2026-02-27 18:00:00,16.22,16.14,16.22,16.14,186122.72147388
2026-02-27 19:00:00,16.19,16.05,16.19,16.05,292378.2765432
2026-02-27 20:00:00,16.05,16.18,16.18,16.05,62424.44392185
2026-02-27 21:00:00,16.15,16.01,16.15,16.01,610003.41890671
2026-02-27 22:00:00,16.01,16.0,16.1,16.0,204636.63101262
2026-02-27 23:00:00,16.08,16.15,16.15,16.01,251096.63163741
2026-02-28 00:00:00,16.12,16.23,16.29,16.12,1024975.5699512544
2026-02-28 01:00:00,16.24,16.23,16.3,16.11,401758.42402591
2026-02-28 02:00:00,16.2,16.3,16.3,16.2,45119.93875031
2026-02-28 03:00:00,16.23,16.2,16.23,16.14,321995.05112127
