time,open,close,high,low,volume
2026-05-18 07:00:00,51.24,53.28,56.88,51.24,66561246.48716834
2026-05-18 08:00:00,53.27,54.04,54.7,52.44,18315696.27306221
2026-05-18 09:00:00,54.02,53.44,54.89,53.26,18282180.268901728
2026-05-18 10:00:00,53.44,53.14,53.93,52.56,13288377.426632326
2026-05-18 11:00:00,53.08,53.73,53.85,52.74,5386840.077866355
2026-05-18 12:00:00,53.73,54.19,55.41,53.73,15553626.881828424
2026-05-18 13:00:00,54.2,53.77,54.45,53.22,5201323.649512515
2026-05-18 14:00:00,53.62,53.02,53.74,52.71,2705225.2032226915
2026-05-18 15:00:00,53.03,53.72,54.32,52.0,6944714.651627047
2026-05-18 16:00:00,53.74,54.5,54.5,53.46,1968000.447870303
2026-05-18 17:00:00,54.62,56.91,58.28,54.5,12068149.867600398
2026-05-18 18:00:00,56.91,55.46,57.97,55.18,5426579.020170183
2026-05-18 19:00:00,56.05,55.06,56.32,54.68,3202347.431425285
2026-05-18 20:00:00,54.97,55.38,56.36,54.96,2671416.8950073216
2026-05-18 21:00:00,55.31,55.09,55.93,54.65,3589186.1666922187
2026-05-18 22:00:00,55.1,53.89,55.1,53.51,3801056.47901116
2026-05-18 23:00:00,53.88,54.11,54.13,53.39,4482945.882446811
2026-05-19 00:00:00,53.99,54.96,56.03,53.99,5866076.980876542
2026-05-19 01:00:00,54.95,54.36,55.65,54.36,4591637.308293908
2026-05-19 02:00:00,54.35,54.79,55.08,53.94,3205710.8850901886
2026-05-19 03:00:00,54.79,54.2,55.07,53.89,3127900.6303192545
2026-05-19 04:00:00,54.17,54.42,54.65,53.61,2909798.2137801135
2026-05-19 05:00:00,54.24,53.6,54.28,53.39,3337891.6496798783
2026-05-19 06:00:00,53.59,52.7,53.59,52.66,2897924.928458309
2026-05-19 07:00:00,52.98,52.69,53.11,52.23,4665792.4257354345
2026-05-19 08:00:00,52.69,51.25,52.69,51.24,5367418.632479419
2026-05-19 09:00:00,51.25,50.94,51.7,50.59,2994926.746421369
2026-05-19 10:00:00,50.97,50.92,51.38,50.35,3079011.3918448193
2026-05-19 11:00:00,51.0,52.16,52.2,50.71,1237648.3483599245
2026-05-19 12:00:00,52.17,52.19,53.26,52.02,2915213.2777932226
2026-05-19 13:00:00,52.42,52.56,52.68,51.99,880104.2080378913
2026-05-19 14:00:00,52.56,52.05,53.0,51.89,674575.3154576399
2026-05-19 15:00:00,51.99,51.06,52.04,50.82,2441184.63102328
2026-05-19 16:00:00,51.0,51.06,51.9,50.67,1276306.0122883194
2026-05-19 17:00:00,51.06,50.86,51.86,50.86,1714249.9641034997
2026-05-19 18:00:00,50.83,49.73,50.92,49.62,971722.84576361
2026-05-19 19:00:00,49.75,50.1,50.15,49.63,240594.84428717755
2026-05-19 20:00:00,50.36,50.83,51.05,50.36,607356.24388751
2026-05-19 21:00:00,50.74,50.56,51.38,50.34,2836681.8757691807
2026-05-19 22:00:00,50.54,50.05,50.63,50.0,1139886.114769364
2026-05-19 23:00:00,50.0,50.1,50.39,49.81,792298.982869002
2026-05-20 00:00:00,50.1,50.92,51.02,50.1,936805.8144288711
2026-05-20 01:00:00,51.1,50.73,51.7,50.02,1255680.807423875
2026-05-20 02:00:00,50.75,50.18,50.97,49.8,1013357.2605991972
2026-05-20 03:00:00,50.23,50.4,50.72,50.08,801824.03459343
2026-05-20 04:00:00,50.36,49.68,50.57,49.5,1134912.25027909
2026-05-20 05:00:00,49.61,50.34,50.6,49.19,1389395.2511757447
2026-05-20 06:00:00,50.59,51.3,51.42,50.34,512163.98249721
2026-05-20 07:00:00,51.33,52.27,52.27,51.33,784600.0463402371
2026-05-20 08:00:00,52.27,51.08,52.48,50.92,614283.8502002303
2026-05-20 09:00:00,51.07,50.83,51.15,50.59,735470.8815752
