time,open,close,high,low,volume
2026-04-13 02:55:00,25.91,25.89,25.91,25.89,110869.77804443
2026-04-13 03:00:00,26.02,26.03,26.03,26.02,897.865492
2026-04-13 03:20:00,26.07,26.07,26.07,26.07,447.4666
2026-04-13 04:00:00,26.06,26.05,26.06,26.05,19429.42583146
2026-04-13 04:15:00,26.01,25.96,26.01,25.96,45767.15384616
2026-04-13 04:35:00,26.08,26.17,26.17,26.08,19683.572395
2026-04-13 04:50:00,26.02,26.02,26.02,26.02,55877.0995
2026-04-13 04:55:00,26.08,26.07,26.14,26.07,2992.411883
2026-04-13 05:00:00,26.17,26.18,26.18,26.17,10830.681376
2026-04-13 05:05:00,26.17,26.1,26.17,26.1,7732.1637
2026-04-13 05:10:00,26.17,26.16,26.17,26.16,45322.68668855
2026-04-13 05:20:00,26.23,26.25,26.25,26.23,3874.622187847619
2026-04-13 06:05:00,26.32,26.3,26.33,26.3,96435.16780635
2026-04-13 06:10:00,26.36,26.27,26.36,26.27,46540.91899962924
2026-04-13 06:50:00,26.42,26.44,26.44,26.42,8734.387451
2026-04-13 06:55:00,26.44,26.45,26.45,26.38,40283.51790124
2026-04-13 07:00:00,26.53,26.54,26.58,26.53,86116.21003475
2026-04-13 07:15:00,26.42,26.32,26.42,26.32,1508.72203275
2026-04-13 07:35:00,26.08,26.08,26.08,26.08,192.22
2026-04-13 07:40:00,26.05,26.05,26.05,26.05,939.84962406
2026-04-13 07:45:00,26.06,26.04,26.06,26.03,191797.9308844
2026-04-13 08:00:00,26.0,26.01,26.01,26.0,96153.15384616
2026-04-13 08:05:00,25.96,25.96,25.96,25.96,16256.76563598
2026-04-13 08:10:00,25.95,25.95,25.95,25.95,5577.9190751445085
2026-04-13 08:40:00,25.9,25.88,25.9,25.85,129851.87705458
2026-04-13 08:45:00,25.85,25.84,25.85,25.84,1932.3671869
2026-04-13 09:00:00,25.94,25.95,25.95,25.94,3726.42262932
2026-04-13 09:05:00,25.94,25.94,25.94,25.94,7300.79
2026-04-13 09:10:00,25.87,25.87,25.87,25.87,961.90842632
2026-04-13 09:15:00,25.93,26.02,26.02,25.93,109671.26389178
2026-04-13 09:20:00,26.04,26.04,26.04,26.04,9.666e-05
2026-04-13 09:35:00,26.07,26.08,26.08,26.07,154266.66946
2026-04-13 09:40:00,26.23,26.23,26.23,26.23,32292.0
2026-04-13 09:45:00,26.23,26.23,26.23,26.22,100452.64767235
2026-04-13 09:50:00,26.24,26.3,26.3,26.24,163527.7480445
2026-04-13 09:55:00,26.31,26.25,26.31,26.24,59602.04493441
2026-04-13 10:00:00,26.37,26.36,26.38,26.29,69854.72000697
2026-04-13 10:10:00,26.32,26.33,26.33,26.32,95000.0
2026-04-13 10:20:00,26.22,26.22,26.22,26.22,190.99
2026-04-13 10:25:00,26.29,26.3,26.3,26.29,16311.859692015209
2026-04-13 10:30:00,26.29,26.29,26.29,26.29,981.1374
2026-04-13 10:35:00,26.35,26.35,26.35,26.35,269.85
2026-04-13 10:40:00,26.36,26.5,26.5,26.36,137028.25368567888
2026-04-13 10:45:00,26.5,26.5,26.5,26.5,2141.49
