time,open,close,high,low,volume
2026-03-18 16:30:00,8.207,8.181,8.207,8.181,807942.94440233
2026-03-18 16:35:00,8.168,8.168,8.168,8.168,1386.24319466
2026-03-18 16:40:00,8.168,8.18,8.18,8.168,115147.9789
2026-03-18 16:45:00,8.18,8.18,8.18,8.18,0.00011896
2026-03-18 16:50:00,8.183,8.207,8.23,8.183,234945.83907705
2026-03-18 16:55:00,8.212,8.212,8.212,8.212,11099.9999
2026-03-18 17:05:00,8.184,8.183,8.184,8.183,67702.005605
2026-03-18 17:20:00,8.185,8.183,8.185,8.183,33997.99048775
2026-03-18 17:25:00,8.147,8.147,8.147,8.147,14439.37186994
2026-03-18 17:30:00,8.179,8.144,8.179,8.144,3339.31180711
2026-03-18 17:35:00,8.164,8.183,8.183,8.164,64498.58086579
2026-03-18 17:50:00,8.188,8.188,8.188,8.188,3243.0
2026-03-18 18:00:00,8.22,8.22,8.22,8.22,16500.0
2026-03-18 18:05:00,8.232,8.219,8.232,8.219,33000.0
2026-03-18 18:10:00,8.203,8.203,8.203,8.203,16500.0
2026-03-18 18:15:00,8.203,8.2,8.203,8.2,25659.30709396
2026-03-18 18:25:00,8.2,8.202,8.202,8.2,105716.528067
2026-03-18 18:35:00,8.21,8.21,8.21,8.21,5946.003718
2026-03-18 18:45:00,8.201,8.2,8.201,8.2,25376.2244209
2026-03-18 19:00:00,8.197,8.209,8.209,8.197,63100.0
2026-03-18 19:25:00,8.214,8.214,8.214,8.214,12174.33649867
2026-03-18 19:45:00,8.17,8.17,8.17,8.17,2447.98041616
2026-03-18 20:05:00,8.142,8.11,8.142,8.11,28972.87693204
2026-03-18 20:10:00,8.104,8.139,8.139,8.103,88905.61036337
2026-03-18 20:55:00,8.179,8.178,8.179,8.178,16500.0
2026-03-18 21:00:00,8.209,8.211,8.211,8.209,29721.263559
2026-03-18 21:20:00,8.263,8.263,8.263,8.263,2100.58177803
2026-03-18 21:35:00,8.288,8.288,8.288,8.288,1206.56370657
2026-03-18 21:40:00,8.249,8.248,8.249,8.248,16500.0
2026-03-18 21:55:00,8.234,8.234,8.234,8.234,1000.0
2026-03-18 22:05:00,8.212,8.212,8.212,8.212,3508.705182
2026-03-18 22:10:00,8.206,8.204,8.206,8.204,12607.15815723
2026-03-18 22:15:00,8.2,8.199,8.2,8.199,3280.83989502
2026-03-18 22:35:00,8.241,8.245,8.245,8.241,52221.50460019
2026-03-18 22:40:00,8.244,8.25,8.25,8.244,33866.53316666
2026-03-18 22:45:00,8.25,8.25,8.25,8.25,0.00016189
2026-03-18 22:55:00,8.216,8.215,8.216,8.215,16400.0
2026-03-18 23:00:00,8.216,8.216,8.216,8.216,2416.91842901
2026-03-18 23:40:00,8.234,8.241,8.241,8.234,32731.7261
2026-03-19 00:05:00,8.235,8.261,8.266,8.21,1084225.46593744
2026-03-19 00:15:00,8.212,8.212,8.212,8.212,19858.89007426
2026-03-19 00:45:00,8.217,8.225,8.225,8.216,47166.0
2026-03-19 00:50:00,8.225,8.214,8.225,8.214,3196.950887091094
2026-03-19 00:55:00,8.225,8.235,8.235,8.225,20690.085802058908
2026-03-19 01:05:00,8.214,8.182,8.218,8.182,146673.77748054743
2026-03-19 01:20:00,8.202,8.198,8.202,8.198,22348.12967581
2026-03-19 01:35:00,8.194,8.193,8.194,8.193,14515.0
2026-03-19 01:45:00,8.213,8.214,8.214,8.213,426049.19403463
2026-03-19 01:50:00,8.195,8.195,8.195,8.195,3111.8892585
2026-03-19 02:05:00,8.216,8.248,8.248,8.216,124624.30503288
2026-03-19 02:10:00,8.267,8.267,8.267,8.267,1814.44296601
2026-03-19 02:40:00,8.294,8.294,8.294,8.294,602.84543044
2026-03-19 02:45:00,8.24,8.242,8.242,8.24,3000.0
2026-03-19 03:00:00,8.269,8.265,8.29,8.265,16372.0745
2026-03-19 03:05:00,8.252,8.273,8.273,8.249,451074.67118485
2026-03-19 03:20:00,8.302,8.356,8.356,8.302,65903.56169
2026-03-19 03:25:00,8.39,8.487,8.515,8.39,51247.355223
2026-03-19 03:30:00,8.487,8.518,8.518,8.487,22867.4536
2026-03-19 03:35:00,8.5,8.508,8.51,8.495,582422.9583965
2026-03-19 03:40:00,8.51,8.51,8.51,8.51,2349.07211652
2026-03-19 03:45:00,8.51,8.483,8.51,8.483,63182.9999
2026-03-19 03:55:00,8.498,8.498,8.498,8.498,4110.9010165
2026-03-19 04:00:00,8.43,8.43,8.43,8.43,1504.0274
2026-03-19 04:05:00,8.41,8.409,8.41,8.393,13096.627629427518
2026-03-19 04:35:00,8.333,8.333,8.333,8.333,10000.0
2026-03-19 04:40:00,8.332,8.333,8.333,8.332,11810.6761
2026-03-19 04:50:00,8.356,8.391,8.391,8.356,113207.76486728912
2026-03-19 04:55:00,8.361,8.361,8.361,8.361,16180.0
2026-03-19 05:05:00,8.415,8.415,8.415,8.415,1181505.71764505
2026-03-19 05:10:00,8.396,8.396,8.396,8.395,129212.3398722
2026-03-19 05:15:00,8.396,8.434,8.434,8.396,21713.44237561
2026-03-19 05:30:00,8.426,8.426,8.426,8.426,4719.81688314
2026-03-19 05:35:00,8.407,8.384,8.407,8.384,4719.81688314
2026-03-19 06:15:00,8.408,8.414,8.414,8.408,18269.7416
2026-03-19 06:30:00,8.379,8.381,8.384,8.379,54243.44237561
2026-03-19 06:45:00,8.387,8.407,8.407,8.387,26809.24829418
2026-03-19 07:05:00,8.363,8.352,8.363,8.352,22378.1160231
2026-03-19 07:10:00,8.335,8.304,8.335,8.304,1334.155247985201
2026-03-19 07:15:00,8.318,8.343,8.344,8.318,962751.07511025
2026-03-19 07:20:00,8.344,8.291,8.344,8.291,189030.18085621
2026-03-19 07:25:00,8.289,8.344,8.344,8.289,238834.07557677
2026-03-19 07:40:00,8.366,8.366,8.366,8.366,609.28243579
2026-03-19 07:45:00,8.352,8.348,8.352,8.348,1530.67886613
2026-03-19 07:50:00,8.345,8.344,8.345,8.344,2000.0
2026-03-19 07:55:00,8.344,8.345,8.345,8.344,54904.1440736
2026-03-19 08:00:00,8.344,8.325,8.344,8.325,4597.99387169
2026-03-19 08:05:00,8.324,8.318,8.448,8.297,211448.50997178
2026-03-19 08:10:00,8.318,8.318,8.318,8.318,16170.0
2026-03-19 08:15:00,8.345,8.344,8.346,8.344,22160.89384139
2026-03-19 08:25:00,8.314,8.314,8.314,8.314,17063.458916
2026-03-19 08:30:00,8.302,8.305,8.315,8.302,55175.70169834
2026-03-19 08:35:00,8.302,8.292,8.302,8.254,926319.9551479
2026-03-19 08:40:00,8.273,8.258,8.274,8.258,251908.76736256
2026-03-19 08:55:00,8.256,8.255,8.256,8.255,7269.46018829
2026-03-19 09:00:00,8.303,8.309,8.309,8.303,191446.64100609
