time,open,close,high,low,volume
2026-04-27 04:00:00,24.76,24.71,24.9,24.7,76397.14110039
2026-04-27 05:00:00,24.65,24.35,24.68,24.14,1801972.62399692
2026-04-27 06:00:00,24.23,23.94,24.23,23.66,1521777.56941187
2026-04-27 07:00:00,23.78,23.8,23.83,23.59,1109927.74602767
2026-04-27 08:00:00,23.8,23.89,23.89,23.76,1162592.30020617
2026-04-27 09:00:00,23.93,23.95,23.98,23.93,331511.80921988
2026-04-27 10:00:00,24.01,24.05,24.16,23.96,869469.0879741
2026-04-27 11:00:00,24.05,24.31,24.31,24.03,548009.27688089
2026-04-27 12:00:00,24.36,24.26,24.38,24.25,194073.14375295
2026-04-27 13:00:00,24.4,24.03,24.4,24.02,1021607.90020255
2026-04-27 14:00:00,24.08,24.27,24.47,24.02,1051932.9720645251
2026-04-27 15:00:00,24.37,23.84,24.37,23.78,1941538.57153562
2026-04-27 16:00:00,23.84,24.03,24.51,23.78,1285945.06088545
2026-04-27 17:00:00,24.13,24.28,24.28,24.13,103391.2005181
2026-04-27 18:00:00,24.19,24.2,25.05,24.18,638925.8271698201
2026-04-27 19:00:00,24.18,23.95,24.18,23.94,167948.92855343
2026-04-27 20:00:00,24.35,24.37,24.45,24.34,109276.12760371
2026-04-27 21:00:00,24.4,24.39,24.52,24.35,319275.2549212
2026-04-27 22:00:00,24.29,24.71,25.01,24.29,1205749.018248622
2026-04-27 23:00:00,24.56,24.95,25.1,24.52,2335675.696957764
2026-04-28 00:00:00,25.04,24.42,25.04,24.15,3414531.1673944
2026-04-28 01:00:00,24.27,24.09,24.41,23.98,1084745.31932884
2026-04-28 02:00:00,24.11,24.07,24.15,23.84,1005602.38181395
2026-04-28 03:00:00,24.03,24.07,24.13,24.0,389194.7596151
2026-04-28 04:00:00,24.07,24.07,24.14,23.8,1065702.8216868986
2026-04-28 05:00:00,24.14,24.1,24.2,24.05,172005.41710722
2026-04-28 06:00:00,24.06,24.09,24.12,24.01,67952.45948589
2026-04-28 07:00:00,24.0,24.07,24.07,23.87,89441.66110254
2026-04-28 08:00:00,23.92,24.08,24.08,23.8,1442619.18751319
2026-04-28 09:00:00,24.08,23.82,24.15,23.82,771001.35591379
2026-04-28 10:00:00,23.84,23.84,23.85,23.84,24058.44155845
2026-04-28 11:00:00,23.91,23.74,23.91,23.71,716386.59772415
2026-04-28 12:00:00,23.78,23.95,23.95,23.74,95073.20002756
2026-04-28 13:00:00,23.91,23.97,23.97,23.91,23539.60520815
2026-04-28 14:00:00,23.91,23.96,23.96,23.91,32827.10741745
2026-04-28 15:00:00,23.96,23.86,23.96,23.86,43897.752769
2026-04-28 16:00:00,24.0,23.96,24.02,23.81,158109.44538963
2026-04-28 17:00:00,24.02,24.41,24.41,24.02,248302.99812491
2026-04-28 18:00:00,24.5,24.5,24.55,24.4,262950.18227152
2026-04-28 19:00:00,24.56,24.55,24.61,24.53,388051.14674445
2026-04-28 20:00:00,24.49,24.43,24.53,24.39,87692.24886363276
2026-04-28 21:00:00,24.43,24.3,24.45,24.24,121242.5278899
2026-04-28 22:00:00,24.31,24.29,24.34,24.29,85943.01561373
2026-04-28 23:00:00,24.13,24.19,24.2,24.11,128113.51518512
2026-04-29 00:00:00,24.14,24.13,24.14,24.13,14481.394614
2026-04-29 01:00:00,24.21,24.22,24.22,24.11,236960.91374723
2026-04-29 02:00:00,24.31,24.11,24.31,24.11,94297.22884597
2026-04-29 03:00:00,24.23,24.35,24.35,24.23,32471.831953
2026-04-29 04:00:00,24.39,24.4,24.49,24.39,66969.34009271
2026-04-29 05:00:00,24.42,24.33,24.43,24.33,1213051.70539322
2026-04-29 06:00:00,24.38,24.4,24.4,24.38,140335.70972039
2026-04-29 07:00:00,24.34,24.07,24.34,24.07,1209191.09496438
2026-04-29 08:00:00,24.06,24.06,24.06,23.99,242004.71079206
2026-04-29 09:00:00,24.0,24.06,24.06,23.91,213744.17535847
2026-04-29 10:00:00,24.34,24.4,24.4,24.29,140481.09693373565
2026-04-29 11:00:00,24.38,24.19,24.43,24.19,20052.0
2026-04-29 12:00:00,24.22,24.47,24.56,24.16,341903.87888764
2026-04-29 13:00:00,24.73,24.42,24.75,24.35,1203703.6209482525
2026-04-29 14:00:00,24.35,24.41,24.62,24.3,64310.28556628
2026-04-29 15:00:00,24.32,23.85,24.32,23.85,1964916.27691504
2026-04-29 16:00:00,23.96,23.84,23.97,23.77,241200.16041736
2026-04-29 17:00:00,23.9,24.0,24.0,23.9,7118.40804134
2026-04-29 18:00:00,23.83,23.68,23.83,23.25,999954.9570785646
2026-04-29 19:00:00,23.69,23.65,23.72,23.58,226607.06311573
2026-04-29 20:00:00,23.7,23.93,23.93,23.66,3168.590996
2026-04-29 21:00:00,23.96,24.02,24.06,23.95,95928.657144
2026-04-29 22:00:00,24.06,24.0,24.06,23.92,102647.62116457
2026-04-29 23:00:00,23.81,23.8,23.88,23.8,6522.52399714
2026-04-30 00:00:00,23.88,24.02,24.02,23.77,409617.23019083
2026-04-30 01:00:00,24.11,24.2,24.2,24.1,93928.927507
2026-04-30 02:00:00,24.05,23.8,24.05,23.8,3203.18202276
2026-04-30 03:00:00,23.84,24.03,24.04,23.74,766551.23345386
2026-04-30 04:00:00,23.84,23.75,23.84,23.75,211286.25670846
2026-04-30 05:00:00,23.78,23.84,23.84,23.78,3007.5283
2026-04-30 06:00:00,23.79,23.77,23.81,23.77,54117.66352395
2026-04-30 07:00:00,23.9,24.1,24.22,23.9,401521.73739702
2026-04-30 08:00:00,24.07,24.23,24.38,24.07,838122.5471636992
2026-04-30 09:00:00,24.27,24.74,24.96,24.13,2723870.6855500247
2026-04-30 10:00:00,24.74,24.8,24.89,24.53,947173.09436085
2026-04-30 11:00:00,24.85,24.63,24.86,24.2,483648.22142896
2026-04-30 12:00:00,24.61,24.43,24.81,24.42,256611.54530782
2026-04-30 13:00:00,24.44,24.51,24.51,24.4,130669.05592033
2026-04-30 14:00:00,24.41,24.3,24.41,24.22,297674.00815556
2026-04-30 15:00:00,24.3,24.12,24.36,24.1,638445.03360681
2026-04-30 16:00:00,24.1,24.29,24.37,24.06,160178.620685
2026-04-30 17:00:00,24.29,24.29,24.29,24.22,56834.0
2026-04-30 18:00:00,24.13,24.17,24.17,24.12,7996.236966
2026-04-30 19:00:00,24.12,24.13,24.18,24.12,44706.32609854
2026-04-30 20:00:00,24.03,24.01,24.03,24.01,150000.00006662
2026-04-30 21:00:00,24.02,24.02,24.02,24.02,1192.0
2026-04-30 22:00:00,24.02,24.03,24.09,23.96,205494.35019741775
2026-04-30 23:00:00,23.95,24.0,24.0,23.91,228844.73811206
2026-05-01 00:00:00,24.0,23.87,24.0,23.85,290112.89457017
2026-05-01 01:00:00,23.85,23.98,23.98,23.78,361070.97142434
2026-05-01 02:00:00,23.81,23.69,23.82,23.69,204109.84867003
2026-05-01 03:00:00,23.72,24.04,24.15,23.72,1139841.37171699
2026-05-01 04:00:00,24.02,23.93,24.13,23.93,25253.19278561
2026-05-01 05:00:00,23.93,23.89,23.96,23.89,57278.8805
2026-05-01 06:00:00,23.89,23.9,23.9,23.89,2076.1151
2026-05-01 07:00:00,23.8,23.71,23.8,23.69,27817.67883143
2026-05-01 08:00:00,23.72,23.89,23.89,23.72,11899.8405
2026-05-01 09:00:00,23.98,23.96,24.14,23.91,84678.30087614
2026-05-01 10:00:00,23.97,23.99,23.99,23.79,73902.77555011
2026-05-01 11:00:00,24.14,24.11,24.28,24.11,12420.0603
2026-05-01 12:00:00,24.09,24.19,24.19,24.09,22285.01228502
2026-05-01 13:00:00,24.2,24.37,24.37,24.2,47498.36264861
2026-05-01 14:00:00,24.34,24.34,24.34,24.31,12098.433264
2026-05-01 15:00:00,24.26,24.15,24.31,24.15,179599.91498059
2026-05-01 16:00:00,24.24,24.27,24.27,24.21,256234.11012563
2026-05-01 17:00:00,24.23,24.22,24.24,24.22,9022.062932
2026-05-01 18:00:00,24.23,24.24,24.24,24.23,48205.8895
2026-05-01 19:00:00,24.22,24.22,24.22,24.18,14300.502528
2026-05-01 20:00:00,24.18,23.94,24.18,23.94,64515.86041635
2026-05-01 21:00:00,23.82,23.99,24.01,23.82,71110.010473
2026-05-01 22:00:00,23.96,24.0,24.0,23.96,65660.488
2026-05-01 23:00:00,23.87,23.92,23.92,23.77,60160.17750842
2026-05-02 00:00:00,23.91,24.16,24.16,23.91,48113.84275627
2026-05-02 01:00:00,24.17,24.21,24.22,24.17,222117.31953923
2026-05-02 02:00:00,24.18,24.14,24.18,24.06,26508.35225302
2026-05-02 03:00:00,24.12,24.18,24.18,24.12,212464.43042754
2026-05-02 04:00:00,24.28,24.16,24.28,24.16,88274.30863785
2026-05-02 05:00:00,24.09,24.11,24.11,24.09,50280.9102
2026-05-02 06:00:00,24.1,24.1,24.1,24.1,1000.0
2026-05-02 07:00:00,24.13,24.12,24.13,24.11,59578.28597146
2026-05-02 08:00:00,24.1,24.19,24.19,24.1,26096.451694
2026-05-02 09:00:00,24.19,24.33,24.33,24.16,289526.11757651
2026-05-02 10:00:00,24.26,24.15,24.26,24.11,41641.66957759
2026-05-02 11:00:00,24.09,23.93,24.09,23.93,19594.44951165
2026-05-02 12:00:00,24.0,23.9,24.02,23.9,17537.600091723332
2026-05-02 13:00:00,23.87,23.94,23.94,23.87,5821.66724442
2026-05-02 14:00:00,24.1,24.25,24.25,24.1,5147.53568326
2026-05-02 15:00:00,24.23,24.64,24.65,24.23,358611.54599323
2026-05-02 16:00:00,24.66,24.82,24.82,24.6,73467.99747308
2026-05-02 17:00:00,24.82,24.9,24.98,24.82,83039.00366447
2026-05-02 18:00:00,24.89,25.04,25.04,24.74,242784.69065161
2026-05-02 19:00:00,24.9,24.85,24.92,24.83,19625.1673579
2026-05-02 20:00:00,24.87,24.77,24.87,24.67,40573.84904627
2026-05-02 21:00:00,24.61,24.57,24.73,24.57,160130.06687015
2026-05-02 23:00:00,24.55,24.52,24.59,24.52,245579.51994446
2026-05-03 00:00:00,24.5,24.45,24.54,24.41,123129.23383923
2026-05-03 01:00:00,24.45,24.15,24.45,24.15,284059.121338
2026-05-03 02:00:00,24.12,24.04,24.12,23.95,38434.45209926
2026-05-03 03:00:00,23.94,24.06,24.06,23.93,45132.68917464
2026-05-03 04:00:00,24.07,24.07,24.07,24.07,18403.452404
2026-05-03 05:00:00,23.98,23.96,23.98,23.96,172573.76822288
2026-05-03 06:00:00,23.94,24.14,24.14,23.91,80084.26470292
2026-05-03 07:00:00,24.19,24.09,24.2,24.09,109879.26561518
2026-05-03 08:00:00,24.08,24.22,24.28,24.06,49681.42871768
2026-05-03 09:00:00,24.15,24.24,24.33,24.13,60116.07905701
2026-05-03 10:00:00,24.44,24.26,24.57,24.26,23338.80111998
2026-05-03 11:00:00,24.22,24.27,24.27,24.14,11483.57810812
2026-05-03 12:00:00,24.26,24.22,24.31,24.22,5865.32244426
2026-05-03 13:00:00,24.22,24.39,24.39,24.22,7485.08557402
2026-05-03 14:00:00,24.4,24.38,24.4,24.37,11704.349002
2026-05-03 15:00:00,24.28,24.2,24.28,24.19,71507.09082911
2026-05-03 16:00:00,24.2,24.38,24.38,24.2,15699.349737
2026-05-03 17:00:00,24.36,24.22,24.36,24.22,8073.074542
2026-05-03 18:00:00,24.24,24.24,24.24,24.24,384.9
2026-05-03 19:00:00,24.21,24.2,24.21,24.2,4000.0
2026-05-03 20:00:00,24.29,24.37,24.39,24.29,20871.25436152335
2026-05-03 21:00:00,24.37,24.1,24.38,24.09,5608.66760478
2026-05-03 22:00:00,24.21,24.33,24.39,24.21,68412.02975608
2026-05-03 23:00:00,24.18,24.14,24.2,24.11,80028.14975703
2026-05-04 00:00:00,24.14,24.19,24.19,23.85,446902.63322467
2026-05-04 01:00:00,24.08,24.4,24.4,24.08,214905.44103895986
2026-05-04 02:00:00,24.47,24.62,24.62,24.42,670831.9217059816
2026-05-04 03:00:00,24.63,24.81,24.81,24.61,76507.96133338
2026-05-04 04:00:00,24.74,24.7,24.81,24.63,138010.35420407
2026-05-04 05:00:00,24.67,24.93,24.93,24.59,186393.4445201
2026-05-04 06:00:00,24.96,24.71,25.01,24.66,241657.14200926953
2026-05-04 07:00:00,24.75,24.9,24.91,24.66,42712.93922967
2026-05-04 08:00:00,24.85,24.82,24.93,24.81,64401.35204466
2026-05-04 09:00:00,24.86,25.53,25.53,24.86,725473.86742404
2026-05-04 10:00:00,25.5,24.94,25.5,24.43,4114490.363949135
2026-05-04 11:00:00,24.87,24.72,24.87,24.68,535270.7938407683
2026-05-04 12:00:00,24.67,24.76,24.76,24.67,450562.49325869
2026-05-04 13:00:00,24.5,24.85,25.2,24.43,1122257.591024022
2026-05-04 14:00:00,24.93,25.39,25.56,24.93,868782.0483733601
2026-05-04 15:00:00,25.47,25.22,25.48,25.12,900173.2997568231
2026-05-04 16:00:00,25.23,25.09,25.31,25.09,301493.33012186
2026-05-04 17:00:00,25.1,25.01,25.18,25.01,1064687.85491773
2026-05-04 18:00:00,25.0,24.9,25.0,24.88,110167.66475909
2026-05-04 19:00:00,24.91,24.82,24.94,24.82,33300.74141347
2026-05-04 20:00:00,24.76,24.68,24.76,24.65,68286.60236814
2026-05-04 21:00:00,24.71,24.85,24.85,24.71,21803.36030963
2026-05-04 22:00:00,24.81,24.67,24.81,24.66,14457.02441974
2026-05-04 23:00:00,24.63,24.61,24.63,24.49,211912.5759203
2026-05-05 00:00:00,24.61,24.88,24.9,24.61,114581.20459506
2026-05-05 01:00:00,25.01,25.16,25.16,25.01,2204.285944
2026-05-05 02:00:00,25.3,25.43,25.55,25.25,7017.06315243
2026-05-05 03:00:00,25.38,25.5,25.58,25.37,26394.309916745908
2026-05-05 04:00:00,25.38,25.22,25.38,25.22,99840.09428155
2026-05-05 05:00:00,25.26,25.65,25.86,25.24,395691.9340282929
2026-05-05 06:00:00,25.58,25.63,25.8,25.58,220409.16748969
2026-05-05 07:00:00,25.63,25.71,25.8,25.63,231843.96678759
2026-05-05 08:00:00,25.77,25.91,25.99,25.71,273987.3351501168
2026-05-05 09:00:00,25.8,25.8,25.98,25.71,400901.30602960236
2026-05-05 10:00:00,25.74,25.76,25.79,25.64,216403.05298022
2026-05-05 11:00:00,25.79,25.6,25.79,25.51,333246.72207001
2026-05-05 12:00:00,25.58,25.79,25.9,25.58,54497.54780519
2026-05-05 13:00:00,25.89,25.69,25.9,25.57,191758.9662443
2026-05-05 14:00:00,25.73,25.43,25.78,25.43,192449.35654143
2026-05-05 15:00:00,25.51,25.42,25.53,25.35,220452.59926866
2026-05-05 16:00:00,25.47,25.83,26.11,25.47,365790.3559309431
2026-05-05 17:00:00,25.98,25.83,26.2,25.8,190307.13564049
2026-05-05 18:00:00,25.81,25.68,25.81,25.68,30600.0
2026-05-05 19:00:00,25.65,25.65,25.75,25.65,115596.35402954
2026-05-05 20:00:00,25.55,25.67,25.71,25.55,128449.33176447
2026-05-05 21:00:00,25.86,25.79,25.86,25.79,22641.6251818
2026-05-05 22:00:00,25.94,25.95,25.95,25.68,224530.7214668
2026-05-05 23:00:00,25.96,25.65,25.96,25.65,44801.855884646495
2026-05-06 00:00:00,25.66,25.56,25.74,25.38,2402022.06781434
2026-05-06 01:00:00,25.56,26.09,26.09,25.56,366380.62434691
2026-05-06 02:00:00,26.08,26.08,26.22,25.94,353421.6563952199
2026-05-06 03:00:00,25.99,26.26,26.39,25.99,337714.92014107
2026-05-06 04:00:00,26.26,26.16,26.31,26.16,499450.94201997
2026-05-06 05:00:00,26.1,26.44,26.44,25.97,408953.38985384477
2026-05-06 06:00:00,26.19,26.8,27.42,26.13,3075064.9652210814
2026-05-06 07:00:00,26.72,26.64,27.19,26.43,1864211.18538811
2026-05-06 08:00:00,26.67,26.79,26.79,26.48,160388.913463
2026-05-06 09:00:00,26.72,26.55,26.72,26.55,725878.21494858
2026-05-06 10:00:00,26.44,26.15,26.48,26.13,778102.98511551
2026-05-06 11:00:00,26.37,26.18,26.44,25.7,225348.60647891
2026-05-06 12:00:00,26.31,26.38,26.38,26.06,91366.80241799
2026-05-06 13:00:00,26.46,26.06,26.46,26.06,50208.8947262
2026-05-06 14:00:00,26.02,26.1,26.25,25.88,530554.7965731245
2026-05-06 15:00:00,26.09,26.25,26.25,26.06,341987.28299011
2026-05-06 16:00:00,26.31,26.5,26.5,26.22,231253.57984593
2026-05-06 17:00:00,26.57,26.56,26.66,26.45,72859.4403225
2026-05-06 18:00:00,26.55,26.55,26.55,26.55,15504.06469701
2026-05-06 19:00:00,26.57,26.37,26.57,26.37,114086.18247457
2026-05-06 20:00:00,26.35,26.35,26.35,26.35,15504.06469701
2026-05-06 21:00:00,26.4,26.68,26.68,26.4,49489.31279394
2026-05-06 22:00:00,26.52,26.33,26.52,26.33,197463.37677492
2026-05-06 23:00:00,26.38,26.62,26.62,26.25,53709.32525754
2026-05-07 00:00:00,26.43,26.0,26.43,26.0,247150.73720502
2026-05-07 01:00:00,25.75,26.02,26.02,25.75,196276.36626863
2026-05-07 02:00:00,26.13,26.27,26.45,26.01,168492.75048029
2026-05-07 03:00:00,26.27,26.62,26.72,26.27,265941.36529305
2026-05-07 04:00:00,26.42,26.47,26.61,26.24,891841.7422779
2026-05-07 05:00:00,26.75,27.05,27.27,26.75,447443.86821965
2026-05-07 06:00:00,27.06,26.92,27.14,26.91,278354.72731197
2026-05-07 07:00:00,27.08,26.86,27.42,26.76,688638.2926292646
2026-05-07 08:00:00,26.72,26.78,26.78,26.66,254143.2406612
2026-05-07 09:00:00,26.83,26.63,26.83,26.55,274435.9024276151
2026-05-07 10:00:00,26.55,26.41,26.55,23.52,2088192.644643503
2026-05-07 11:00:00,26.46,26.54,26.71,26.37,2815805.237108318
2026-05-07 12:00:00,26.54,27.0,27.08,26.54,560350.73948002
2026-05-07 13:00:00,27.0,26.61,27.08,26.41,526380.36279692
2026-05-07 14:00:00,26.55,26.29,26.71,26.11,366595.917109082
2026-05-07 15:00:00,26.16,26.34,26.41,25.98,646649.8952233955
