time,open,close,high,low,volume
2026-03-08 23:00:00,10.23,10.15,10.25,10.15,170927.24726553
2026-03-09 00:00:00,10.18,10.2,10.29,10.18,97244.20841992
2026-03-09 01:00:00,10.2,10.24,10.25,10.17,758493.42209886
2026-03-09 02:00:00,10.26,10.28,10.36,10.18,240526.01315408
2026-03-09 03:00:00,10.22,10.34,10.35,10.21,525169.71458445
2026-03-09 04:00:00,10.36,10.31,10.47,10.3,870897.20488342
2026-03-09 05:00:00,10.32,10.36,10.41,10.3,225817.76279384
2026-03-09 06:00:00,10.33,10.35,10.47,10.3,1512529.190618
2026-03-09 07:00:00,10.39,10.44,10.52,10.39,4805502.27065972
2026-03-09 08:00:00,10.46,10.39,10.55,10.34,2763842.13852575
2026-03-09 09:00:00,10.32,10.36,10.37,10.17,1284955.56672025
2026-03-09 10:00:00,10.28,10.3,10.39,10.28,114714.677001
2026-03-09 11:00:00,10.37,10.28,10.38,10.18,302703.62998865
2026-03-09 12:00:00,10.28,10.3,10.45,10.28,861699.59942135
2026-03-09 13:00:00,10.32,10.36,10.4,10.3,45000.16336905
2026-03-09 14:00:00,10.36,10.3,10.36,10.22,1169013.16823661
2026-03-09 15:00:00,10.3,10.32,10.32,10.25,181469.21636142
2026-03-09 16:00:00,10.31,10.23,10.31,10.23,258990.35461213
2026-03-09 17:00:00,10.29,10.27,10.3,10.26,140351.658252
2026-03-09 18:00:00,10.27,10.26,10.31,10.26,321203.87704612
2026-03-09 19:00:00,10.27,10.2,10.27,10.18,39870.0
2026-03-09 20:00:00,10.22,10.28,10.28,10.2,84131.6880887
2026-03-09 21:00:00,10.27,10.27,10.27,10.27,183760.24974696
2026-03-09 22:00:00,10.26,10.17,10.26,10.17,541843.94619091
2026-03-09 23:00:00,10.22,10.19,10.23,10.19,808959.20472318
2026-03-10 00:00:00,10.16,10.21,10.21,10.06,593706.51814336
2026-03-10 01:00:00,10.21,10.2,10.21,10.13,363954.79960906
2026-03-10 02:00:00,10.2,10.28,10.29,10.07,1127650.24031901
2026-03-10 03:00:00,10.25,10.18,10.25,10.18,244697.27339961
2026-03-10 04:00:00,10.18,10.26,10.26,10.16,512543.07333673
2026-03-10 05:00:00,10.28,10.23,10.28,10.23,206827.47144818
2026-03-10 06:00:00,10.25,10.19,10.25,10.19,300248.84499838
2026-03-10 07:00:00,10.27,10.26,10.3,10.25,378439.80901879
2026-03-10 08:00:00,10.27,10.19,10.28,10.19,894845.33131747
2026-03-10 09:00:00,10.27,10.26,10.27,10.26,14556.404637
2026-03-10 10:00:00,10.23,10.18,10.25,10.17,718455.60909015
2026-03-10 11:00:00,10.21,10.25,10.26,10.21,183725.58673471
2026-03-10 12:00:00,10.2,10.21,10.21,10.18,233250.94948055
2026-03-10 13:00:00,10.17,10.15,10.17,10.15,48651.38894701
2026-03-10 14:00:00,10.15,10.25,10.26,10.15,1069407.78561671
2026-03-10 15:00:00,10.21,10.11,10.23,10.09,2109813.43497866
2026-03-10 16:00:00,10.15,10.11,10.18,10.11,398393.14131463
2026-03-10 17:00:00,10.1,10.15,10.18,10.09,567281.69624021
2026-03-10 18:00:00,10.11,10.28,10.42,10.11,2237835.3276575
2026-03-10 19:00:00,10.24,10.2,10.28,10.15,382364.9002551
2026-03-10 20:00:00,10.24,10.29,10.29,10.23,304091.53452747
2026-03-10 21:00:00,10.22,10.17,10.24,10.16,1796214.02994632
2026-03-10 22:00:00,10.17,10.22,10.26,10.16,381840.12593247
2026-03-10 23:00:00,10.23,10.19,10.25,10.17,474362.29503695
