time,open,close,high,low,volume
2026-05-01 13:00:00,16.43,16.52,16.52,16.42,120465.43714504
2026-05-01 14:00:00,16.51,16.42,16.52,16.41,139813.79563
2026-05-01 15:00:00,16.45,16.41,16.45,16.39,202835.02380804
2026-05-01 16:00:00,16.39,16.38,16.39,16.33,5630.09
2026-05-01 17:00:00,16.32,16.32,16.32,16.32,3856.5
2026-05-01 18:00:00,16.27,16.27,16.27,16.27,310.0
2026-05-01 19:00:00,16.26,16.21,16.26,16.21,2033.27753045
2026-05-01 20:00:00,16.19,16.18,16.19,16.18,1369.45812808
2026-05-01 21:00:00,16.21,16.23,16.23,16.21,50000.0
2026-05-01 22:00:00,16.25,16.15,16.25,16.15,33121.708776
2026-05-01 23:00:00,16.15,16.14,16.15,16.08,138335.28770889
2026-05-02 00:00:00,16.12,16.17,16.18,16.11,23451.93335
2026-05-02 01:00:00,16.13,16.11,16.13,16.11,3180.4335
2026-05-02 02:00:00,16.07,16.05,16.1,16.05,66709.62547423
2026-05-02 03:00:00,16.04,16.02,16.04,15.98,1068640.94289735
2026-05-02 04:00:00,15.99,15.98,16.02,15.98,71108.40991453
2026-05-02 05:00:00,15.98,15.99,16.06,15.95,560641.68354356
2026-05-02 06:00:00,16.05,16.05,16.05,16.05,4218.0
2026-05-02 07:00:00,16.07,16.07,16.07,16.07,961.7989793
2026-05-02 08:00:00,16.08,16.08,16.08,16.04,127395.23624083
2026-05-02 09:00:00,16.15,16.15,16.15,16.15,2273.41300214
2026-05-02 10:00:00,16.08,16.05,16.1,16.05,6152.09617427
2026-05-02 11:00:00,16.0,15.96,16.08,15.96,85952.86635691
2026-05-02 12:00:00,16.01,16.03,16.03,15.96,5809.99
2026-05-02 13:00:00,16.06,16.06,16.06,16.06,1891.15838564
2026-05-02 14:00:00,16.12,16.14,16.14,16.11,361783.38219645
2026-05-02 15:00:00,16.11,16.11,16.11,16.11,620.73246431
2026-05-02 16:00:00,16.14,16.1,16.14,16.1,3422.8266454
2026-05-02 17:00:00,16.14,16.09,16.14,16.09,49188.82024823
2026-05-02 18:00:00,16.09,16.04,16.09,16.04,15719.96710227
