time,open,close,high,low,volume
2026-04-09 15:00:00,88.8,89.08,89.09,88.57,113126.63121919
2026-04-09 16:00:00,89.27,89.37,89.37,89.27,112.00626608
2026-04-09 17:00:00,89.43,89.59,89.59,89.32,3793.14822923
2026-04-09 18:00:00,89.03,89.03,89.03,89.03,562.0
2026-04-09 20:00:00,89.25,89.24,89.25,89.24,2641.60148651
2026-04-09 21:00:00,89.05,89.05,89.05,89.05,152.70078593
2026-04-09 22:00:00,89.7,89.7,89.7,89.7,222.96544036
2026-04-09 23:00:00,88.88,89.24,89.24,88.87,23105.93743573
2026-04-10 01:00:00,89.57,89.72,89.73,89.44,8648.02856207
2026-04-10 02:00:00,89.41,89.41,89.41,89.41,57.21955039
2026-04-10 04:00:00,89.13,89.27,89.76,88.96,182093.9395811
2026-04-10 05:00:00,89.1,89.1,89.12,88.92,30916.70815935
2026-04-10 06:00:00,88.92,88.74,88.92,88.74,700.71230138
2026-04-10 07:00:00,88.5,88.68,88.68,88.5,21297.46108068
2026-04-10 09:00:00,89.08,89.76,89.94,89.08,48802.8784489
2026-04-10 10:00:00,89.82,89.29,89.82,89.29,11886.90158619
2026-04-10 11:00:00,89.42,89.42,89.42,89.42,1146.02260107
2026-04-10 12:00:00,89.59,89.51,89.61,89.51,18276.77910707
2026-04-10 13:00:00,89.92,89.93,89.93,89.92,31284.3025983
2026-04-10 15:00:00,89.33,89.35,89.35,89.33,1201.36369508
2026-04-10 18:00:00,88.83,89.35,89.35,88.83,5735.65271874
2026-04-10 19:00:00,89.71,90.34,90.34,89.71,64670.54179139
2026-04-10 20:00:00,89.74,89.74,89.74,89.74,68.08558057
2026-04-10 21:00:00,89.91,89.91,89.97,89.91,194800.56726162
2026-04-10 22:00:00,89.6,89.6,89.6,89.6,320.0
2026-04-10 23:00:00,89.91,89.55,89.91,89.55,2619.25921798
2026-04-11 00:00:00,89.65,89.65,89.65,89.65,943.93752295
2026-04-11 02:00:00,89.12,88.93,89.12,88.93,991.16912438
2026-04-11 03:00:00,88.77,88.75,88.77,88.75,20302.30757613
2026-04-11 04:00:00,88.75,88.38,88.75,88.38,82564.46148527
2026-04-11 05:00:00,88.72,88.76,88.92,88.72,1282.48805566
2026-04-11 07:00:00,88.62,88.3,88.62,88.3,178.24959136
2026-04-11 08:00:00,88.48,88.49,88.49,88.48,8500.35228494
2026-04-11 09:00:00,88.28,88.14,88.28,88.14,1797.68375448
2026-04-11 10:00:00,88.54,88.37,88.55,88.36,8215.01152983
2026-04-11 13:00:00,87.98,87.85,87.98,87.68,6923.41916107
2026-04-11 14:00:00,87.87,88.34,88.45,87.81,158634.38170365
2026-04-11 15:00:00,87.98,87.83,87.98,87.83,9063.24049507
2026-04-11 16:00:00,88.0,88.31,88.32,88.0,14941.70481062
2026-04-11 18:00:00,88.3,88.55,88.55,88.3,848.23871134
2026-04-11 19:00:00,88.73,88.74,88.74,88.73,1634.237237
2026-04-11 21:00:00,89.26,88.86,89.26,88.86,23091.24219213
2026-04-11 23:00:00,88.64,88.63,88.64,88.63,83.94093945
2026-04-12 01:00:00,89.93,88.18,90.01,88.18,117964.79983149
2026-04-12 02:00:00,87.96,87.81,88.18,87.81,28743.675533
2026-04-12 03:00:00,87.81,87.75,87.81,87.63,684.63789005
2026-04-12 04:00:00,87.29,87.38,87.39,87.08,57907.81783893
2026-04-12 05:00:00,87.02,87.28,87.37,87.0,11165.25716271
2026-04-12 06:00:00,87.65,87.64,87.65,87.64,5336.38552427
2026-04-12 08:00:00,87.65,87.59,87.88,87.59,12293.37121265
2026-04-12 09:00:00,87.72,87.72,87.72,87.72,3220.4
2026-04-12 10:00:00,87.51,87.38,87.57,87.38,38292.51839725
2026-04-12 11:00:00,87.0,87.35,87.35,86.98,1761.8493991
2026-04-12 12:00:00,87.17,87.85,87.85,87.16,25350.32347849
2026-04-12 13:00:00,87.17,87.17,87.17,87.17,712.39145784
2026-04-12 14:00:00,87.15,87.15,87.15,87.15,114.74469306
2026-04-12 15:00:00,87.18,87.18,87.18,87.18,63.71874284
2026-04-12 16:00:00,87.43,87.46,87.46,87.18,25543.62054907
2026-04-12 17:00:00,88.03,89.04,93.82,88.03,1273080.73624081
2026-04-12 18:00:00,89.25,89.29,89.48,88.57,145208.42871018
2026-04-12 19:00:00,89.48,89.11,89.48,88.85,23534.78262904
2026-04-12 20:00:00,88.83,89.09,89.09,88.63,30198.36658211
2026-04-12 21:00:00,88.82,88.2,88.82,88.2,5843.39446139
2026-04-12 22:00:00,87.99,87.84,88.3,87.17,87900.85395093
2026-04-12 23:00:00,87.48,87.18,87.48,87.18,9054.26464412
2026-04-13 00:00:00,87.27,87.25,87.27,87.25,47713.919833
2026-04-13 01:00:00,87.79,87.8,87.8,87.79,1043.22508688
2026-04-13 02:00:00,87.76,87.46,87.8,87.46,10041.85441361
2026-04-13 03:00:00,87.46,87.37,87.46,87.37,26775.40749331
2026-04-13 04:00:00,87.94,87.92,87.94,87.92,227.42779168
2026-04-13 05:00:00,87.42,87.42,87.42,87.42,2629.59247932
2026-04-13 07:00:00,87.15,86.43,87.15,86.33,3765.99059326
2026-04-13 08:00:00,86.08,85.98,86.08,85.98,7148.28428859
2026-04-13 09:00:00,86.12,86.18,86.18,86.12,29708.658894
2026-04-13 10:00:00,86.17,86.0,86.17,86.0,8547.71460385
2026-04-13 11:00:00,86.0,86.17,86.17,86.0,1764.9754095
2026-04-13 12:00:00,86.39,86.4,86.4,86.39,8600.0
2026-04-13 13:00:00,86.78,86.38,86.78,86.38,12059.76324456
2026-04-13 14:00:00,86.78,87.23,87.23,86.78,872.20962907
2026-04-13 15:00:00,86.77,86.41,86.77,86.41,6489.62450522
2026-04-13 16:00:00,86.48,86.29,86.48,86.29,1162.99596818
2026-04-13 17:00:00,86.28,86.27,86.28,86.27,6322.18671338
2026-04-13 18:00:00,86.27,86.22,86.27,85.98,1847.24839277
2026-04-13 19:00:00,86.13,86.67,86.67,86.13,3976.722403
2026-04-13 20:00:00,86.66,86.66,86.66,86.66,577.0
2026-04-13 22:00:00,87.69,88.32,88.52,87.68,46581.24168932
2026-04-13 23:00:00,88.32,88.99,88.99,88.32,29933.63389432
2026-04-14 00:00:00,89.01,88.3,89.01,88.3,8242.5115551
2026-04-14 01:00:00,88.22,88.08,88.23,88.08,19665.29315505
2026-04-14 02:00:00,88.06,88.09,88.09,88.06,608.21787281
2026-04-14 04:00:00,88.04,88.04,88.04,88.04,113.71276655
2026-04-14 05:00:00,87.53,87.05,87.53,86.85,15445.00047141
2026-04-14 06:00:00,86.41,86.39,86.41,86.39,115.7407423
